Hybridization REF	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05	TCGA-A2-A04U-01A-11D-A112-05
cg10994858	0.0239731821734459	MINPP1	10	89264429
cg10995359	0.0775141605048225	LCLAT1	2	30670170
cg10995380	0.0753114823581231	TGFB1I1	16	31484032
cg10995925	0.810250980776851	LTA	6	31539601
cg10996143	0.0545414046753515	FKBP1A	20	1373995
cg10997248	0.670050273729782	FXYD2	11	117699019
cg10999429	NA	ACVRL1	12	52300973
cg11000221	0.0209755630796892	DHX40	17	57643293
cg11003133	0.0977570310310863	AIM2	1	159046391
cg11004890	0.199895070792803	SLC4A11	20	3218500
cg11005091	0.0316101017089759	HNRNPA1;HNRPA1L-2;CBX5	12	54675412
cg11005826	0.398009199202796	IGF2AS;INS-IGF2;IGF2	11	2165961
cg11007123	0.0141407433142182	SPTAN1	9	131314542
cg11007423	0.0589782704776598	SPPL2A	15	51058114
cg11008571	NA	N4BP2L1	13	32990510
cg11008866	NA	CASR	3	121902442
cg11009596	0.0115535193833211	AURKB	17	8113758
cg11009736	0.821788048529174	MARCO	2	119699682
cg11010122	0.100216812707477	DNAJB14	4	100868318
cg11011602	0.34325028341455	SNORD24;MED22;RPL7A	9	136215029
cg11011938	0.0132888932104788	SEMA5A	5	9545976
cg11012046	0.0577666254581496	GLB1L2	11	134202336
cg11015241	0.941406550811095	ATP10A	15	26026249
cg11016563	0.10853105014615	TRPC6	11	101454626
cg11016745	0.372759125337405	CXorf58;APOO	X	23926314
cg11017269	0.0660967444562118	RHOBTB3	5	95067136
cg11018904	0.0694979284546898	SPEF1	20	3762064
cg11021744	0.0118445534456628	SLC6A1	3	11034279
cg11023442	0.0262163160193641	LOC100306951;INPP5K	17	1420488
cg11024597	0.911797635209608	NA	NA	0
cg11025793	0.097191800882919	IER2;STX10	19	13262015
cg11027330	0.0507711056293978	METRN	16	764794
cg11027570	0.0317799293842331	RBP1	3	139258431
cg11029501	0.00559205150514569	TARBP1	1	234614232
cg11032157	0.936620013001353	TAS2R50;PRR4;PRH1	12	11139304
cg11033833	0.236599069596267	GPR101	X	136113828
cg11034784	0.0102664222902113	MTERFD2	2	242041544
cg11034861	0.0558321966399858	TRADD;FBXL8	16	67194079
cg11035216	0.00867607169655434	RASSF1	3	50374929
cg11037148	0.125573525141282	NA	NA	0
cg11037424	0.0179713400858423	PRPF6	20	62612592
cg11037772	0.306737138796436	NA	NA	0
cg11037787	NA	PLA2G2A	1	20307002
cg11037818	0.0940583622298093		1	208041879
cg11038081	NA	ZNF235	19	44810637
cg11038843	0.122301122018789	B3GAT1	11	134281391
cg11039072	0.0402580527671102	ZNF770	15	35280907
cg11041457	0.228097784900368	GNL3;PBRM1	3	52719354
cg11041966	0.0126267206036903	RBM28	7	127983966
cg11042320	0.372378847975794	PDGFRB	5	149534497
cg11042454	NA	TUBB2C	9	140135729
cg11043092	NA	MCPH1	8	6287904
cg11044163	0.0540246152380698	CPVL	7	29186153
cg11044263	0.0285817150297748	TMEM65	8	125385130
cg11044823	0.140623854122945	CENPK;PPWD1	5	64858848
cg11047295	0.0118972056282726	HMGB1	13	31039916
cg11049298	0.0394976645871084	HNRNPA0	5	137089619
cg11049305	0.512757318905848	ZC4H2	X	64196751
cg11050116	0.00708012125218582	PCM1	8	17780536
cg11050527	0.0180433165834046	ATP6V1H	8	54755511
cg11051139	0.528464595024176	KRT80	12	52580428
cg11051158	0.0273864104440004	C2orf3	2	75938223
cg11051843	0.0192611747444583	SEMA3C	7	80548695
cg11052068	0.069997917764567	WASF1;CDC40	6	110501899
cg11052143	0.903642326775602	ALS2CR11	2	202484020
cg11053574	0.0122582138315137	NT5C3L	17	39992149
cg11053740	0.0299675499952983	RAB2B;TOX4	14	21945175
cg11054882	0.0678092785907801	TRAPPC4;RPS25	11	118889578
cg11054936	0.308406455412406	GJB2	13	20766170
cg11056832	0.0109978944412497	PKN3	9	131465146
cg11057497	0.0209669979249821	HMGCS1	5	43313384
cg11058696	0.0361272147939146	SNRPB2	20	16711094
cg11058932	0.890712081860345	TSGA13	7	130372167
cg11059341	NA	MYL1	2	211179560
cg11059483	0.0508772090357719	ESR2	14	64760864
cg11061603	0.0169930350912318	RPS10	6	34393330
cg11061975	NA	SIRPG	20	1639325
cg11062095	0.077954286238735	C5orf15	5	133304652
cg11063110	0.878441954295589	CPA5	7	129985205
cg11063988	0.00715565812668288	SIX5	19	46272660
cg11064206	0.0146410712568585	OGFOD2;ABCB9	12	123459532
cg11064558	0.00883764770588504	ZNF295	21	43430383
cg11064797	0.012035898973294	RELL2;HDAC3	5	141016628
cg11065385	0.0166359797176967	B4GALNT3	12	568798
cg11065518	0.0377422481897787	MDH1B;FASTKD2	2	207630263
cg11065693	NA	IRF9	14	24630380
cg11068096	0.882711575255719	NA	NA	0
cg11070419	0.747081837282312	C4BPA	1	207277210
cg11070941	0.0255892568927173	STX11	6	144471985
cg11072113	0.522995963978662	VWCE	11	61063124
cg11074362	0.899968519056267	DENND4C	9	19297575
cg11074746	0.0164135269773666	MEMO1	2	32236343
cg11075556	0.766699753709094	ANKRD7	7	117865112
cg11075745	0.825506758841067	CLDN19	1	43205976
cg11077161	0.614757454699183	SIPA1L1	14	71996050
cg11078738	0.0920622007693765	ANTXR1	2	69240453
cg11079619	0.224000949587879	INHBA;LOC285954	7	41742630
cg11080718	0.0945288939108765	NA	NA	0
cg11081833	0.634674828131216	LGALS2	22	37975941
cg11082575	0.0705283786885584	FAM60A	12	31479096
cg11084020	0.120312905388564	TAX1BP1	7	27779567
cg11084035	0.0124361913358031	GANAB	11	62414045
cg11084611	0.944990920798695	C2orf27A	2	132480958
cg11086066	0.138756977554929	NFATC2	20	50159508
cg11086568	0.0104136073198428	WDR53;FBXO45	3	196296032
cg11091262	0.833061702826035	GALNTL5	7	151653454
cg11093356	0.0193602783538091	DDX19A	16	70380593
cg11094938	0.88879880827946	ATP2A1	16	28888844
cg11095315	0.874292317340679	PABPN1	14	23789003
cg11096640	0.0460293255106388	ACTR3B	7	152457432
cg11096837	0.0169256038690534	NA	NA	0
cg11096993	0.080812754878958	ACY3	11	67417958
cg11098259	0.184105410433073	AQP9	15	58430391
cg11099291	0.0520744408787513	C17orf91;WDR81	17	1620044
cg11099899	0.828194372175328	CLDN14	21	37852334
cg11100802	0.0143118352446956	TRIM52	5	180688063
cg11102782	0.0300191959114258	ISYNA1	19	18549136
cg11102794	0.0691834113458348	LMO1	11	8285587
cg11104347	0.0396636849658906	DUSP23	1	159750836
cg11105610	0.841541160914886	LGALS3BP	17	76976352
cg11107205	0.0225672254277726	RCL1	9	4793458
cg11108432	0.0249343000269295	PINX1	8	10697698
cg11108890	0.790690639529508	VAMP5	2	85811471
cg11109684	0.00890108920671531	RAB10	2	26257047
cg11110686	0.931420296184729	MAGEC1	X	140991714
cg11113534	0.984168142879856	C20orf70	20	31756024
cg11114344	NA	NCRNA00188;SNORD49B;SNORD49A	17	16341984
cg11115427	NA	PHYH	10	13342610
cg11115702	0.0323670227205038	SPNS1	16	28986698
cg11116142	0.00652541978815245	CRBN	3	3221344
cg11116440	NA	URM1	9	131133274
cg11117707	0.0169047769689996	SLC16A6;ARSG	17	66288529
cg11118665	0.0130401659450848	TCFL5	20	61493341
cg11119131	0.0355153262695089	CCDC99	5	169010837
cg11119596	0.030643053279437	CD96	3	111261010
cg11119884	0.770404170543493	NA	NA	0
cg11120551	NA	CHD1L	1	146713996
cg11122968	NA	CD33	19	51727295
cg11126134	0.0104332290211285	C13orf33	13	31480304
cg11126313	0.819431665298189	CCR3	3	46284262
cg11128808	0.937740677377286	CACNG6	19	54495970
cg11129291	0.0184170568812285	DARS	2	136742688
cg11130441	0.273546316820408	C2orf58	2	38358147
cg11132751	0.968372650172906	CXorf67	X	51149970
cg11134443	0.681533153732757	NA	NA	0
cg11136251	0.0224501085524758	ZWILCH;RPL4	15	66797427
cg11136562	0.198388764849236	ARAP3	5	141061285
cg11139878	0.600316434848229	CD5L	1	157811790
cg11140307	0.0109855451956452	CMTM4	16	66730384
cg11140785	0.012244953878787	ZNF264	19	57703301
cg11141013	0.0198593554471661	ZNF688	16	30583056
cg11141561	0.0147824418854254	CAMLG	5	134074404
cg11142466	0.0148359680142878	KRCC1	2	88355481
cg11147193	0.293976546786661	HPCAL1	2	10442040
cg11147886	0.84568999507598	NFAT5	16	69598170
cg11148307	0.939604658482263		10	134671663
cg11149033	NA	TFAM	10	60145204
cg11151665	NA	PSG6	19	43421584
cg11151811	0.00954138793631674	PRKAG1	12	49412422
cg11151820	0.0541230937235272	CCT5;FAM173B	5	10250162
cg11152574	NA	ACSL5	10	114134550
cg11154542	0.752426327131665	CTSL1	9	90340652
cg11154798	0.0272117341414982	RAI14	5	34656563
cg11154879	0.485135686117872	C20orf151	20	61001775
cg11155265	NA	ASAP3	1	23811445
cg11157872	0.0249081556920004	RSRC2;KNTC1	12	123011310
cg11158374	0.87027704687011	TFF2	21	43771664
cg11158430	0.809593222520478	UTS2D	3	191001413
cg11158440	0.0396567100875988	IER2;STX10	19	13261480
cg11158729	0.013761645645311	CNNM4	2	97427027
cg11158760	0.042873738831353	FHIT	3	61237270
cg11159299	NA	GZMM	19	543432
cg11159727	0.0326368606097036	NA	NA	0
cg11160386	0.0117950087323444	MDM1	12	68725932
cg11160820	0.0409449599046713	CD58	1	117113618
cg11161417	0.733821552073419	SPACA3	17	31319454
cg11161873	0.845250682407933	NA	NA	0
cg11164347	0.0727078451116162	NA	NA	0
cg11164400	0.171191165328046	PPP1R9A	7	94536787
cg11166252	0.0130206357306983	AHR	7	17338258
cg11166823	0.0106426383424699	AGPAT3	21	45284425
cg11166999	0.723727674696776	PAR-SN;SNORD107	15	25226929
cg11170179	0.067488103179395	KLK10	19	51522767
cg11170796	0.847220527641856	TCF3	19	1650224
cg11171719	0.0127138457138867	CTDSPL	3	37903684
cg11172196	0.0181640321809911	TMEM65	8	125384789
cg11172299	0.0257237423671091	C14orf142;UBR7	14	93673792
cg11172423	0.945711589404105	CLDN19	1	43205623
cg11173246	0.453226223910234	TSPAN4;POLR2L	11	841376
cg11174654	0.274619653592979	NA	NA	0
cg11175310	0.0908061173927524	RSU1	10	16859107
cg11175476	0.0604374229292218	LRP6	12	12419201
cg11175477	0.0161536295887481	VPS29;RAD9B	12	110939919
cg11176095	NA	GPR126	6	142622515
cg11177404	0.79773133863567	CGB2;SNAR-G2	19	49535079
cg11177450	0.0302157000873512	SENP5	3	196594476
cg11177693	0.412283644865017	ZNF513;PPM1G	2	27604063
cg11177955	0.0127381879389364	C1orf58;AIDA	1	222886490
cg11178136	0.866345890976883	KIAA0652;HARBI1	11	46637717
cg11178443	0.0387497096443658	RANGRF;SLC25A35	17	8192024
cg11179184	NA	C8orf76	8	124254358
cg11181795	NA	NEURL4;GPS2	17	7219971
cg11184091	0.01599863568674	DOLPP1	9	131843633
cg11185452	0.0404168472676567	SLC39A9;ERH	14	69865072
cg11185569	0.0322989308605558	CHN2	7	29234470
cg11187508	0.0260194642453449	CWF19L1	10	102027336
cg11189434	0.0152428964203456	RPL5	1	93297822
cg11189837	0.0203905039447607	ADAMTS1	21	28218596
cg11191210	0.126403545702153	VGLL2	6	117585815
cg11191337	0.710555371985503	PLTP	20	44541804
cg11192270	NA	ATP13A2	1	17338644
cg11193041	0.0273267326159394	GSTZ1;POMT2	14	77787952
cg11194725	0.0372934870264093	CBX1	17	46178360
cg11195002	0.246616460228037	ICAM5	19	10399805
cg11195662	0.0476711528801908	PRUNE2	9	79520720
cg11196870	0.0406836360501103	GINS4	8	41386826
cg11197066	0.0220714305533742	PGAP1	2	197791305
cg11199399	0.0738490091809772	LTBP1	2	33172442
cg11200929	0.0188593817868606	CRABP1	15	78632670
cg11201229	0.932937206448816	PIK3C2A	11	17191235
cg11201288	0.898668226356214	LRRC40;SFRS11	1	70669885
cg11201532	0.881153415016123	MFNG	22	37882078
cg11203041	0.107670489460275	MGST1	12	16500185
cg11204562	0.0927143846769564	C10orf81	10	115511153
cg11206634	0.858845511271303	SFT2D3	2	128458399
cg11206667	0.0114306172103269	FBXO36;TRIP12	2	230786584
cg11206763	0.00662490515053743	ESYT1	12	56521692
cg11207379	0.0291488530885282	TDG	12	104359415
cg11207564	0.554919089656259	NA	NA	0
cg11208235	0.0141651219939553	BCAR3	1	94147468
cg11208483	0.313661684640707	NA	NA	0
cg11208880	0.0082675300079092	LRRC8D	1	90287278
cg11212312	0.93245459272637	IL3	5	131395683
cg11212609	0.0277375022560831	C17orf81;DULLARD	17	7155399
cg11213150	0.869460944291018	ANGPTL2;RALGPS1	9	129884457
cg11214889	0.0232101843634325	CLUL1	18	597111
cg11216616	0.0491946161617028	RAB35	12	120555510
cg11219178	NA	OSBPL5	11	3120949
cg11220060	0.644853039194252	KLF1	19	12997418
cg11220635	0.0335034642897365	RDH11	14	68162577
cg11221132	0.746546341413587	CYP2D7P1	22	42540342
cg11221265	0.0870800691650534	SDHC;LOC642502	1	161284279
cg11221508	0.0201682420688746	ZNF830;CCT6B	17	33288337
cg11221513	NA	C22orf9	22	45636109
cg11222041	0.0241874001567975	TOR1A	9	132586346
cg11223252	0.11865243832254	RNF103	2	86851318
cg11223864	0.0197940570701493	GNB2	7	100271323
cg11225410	0.667486265018389	SOCS2	12	93966317
cg11225935	0.0421648898968939	KDM5A;CCDC77	12	498478
cg11226328	0.0252148280255034	EPB41	1	29213367
cg11227541	0.0174681067237728	GNG5;SPATA1	1	84972317
cg11228872	0.0107011698680014	CALR	19	13049259
cg11231018	0.945049663805855	LIPF	10	90423408
cg11233153	0.780015456843647	SLC10A3	X	153718691
cg11233228	0.0638087732648958	PRPF4;CDC26	9	116037401
cg11233384	0.0628310031850845	AKR7A3	1	19615702
cg11234457	0.970041751960139	FTMT	5	121187547
cg11235426	0.0821766192594906	DUSP22	6	292522
cg11235871	0.0127801235490872	QARS	3	49142143
cg11236244	0.771774498456096	CSAG1;MAGEA12	X	151904510
cg11237115	0.0103653729573959	KLHL24	3	183353422
cg11237738	0.863850532601307	C4orf6	4	5527295
cg11237817	0.833151414158488	NA	NA	0
cg11237883	0.0265422157029081	STYXL1;MDH2	7	75677249
cg11238505	0.0276090285147104	CYHR1;KIFC2	8	145691776
cg11241627	0.729047068818931	FERD3L	7	19185165
cg11243196	0.0151253968407751	ADAMTS3	4	73434856
cg11245384	0.829204960417827	PDYN	20	1974646
cg11246695	0.00989095487798895	PIAS3	1	145576023
cg11248413	0.849824711732574	NEUROG1	5	134871658
cg11248491	0.0197050863629438	CYTH3	7	6312525
cg11249120	NA	SAMD3	6	130543838
cg11249173	NA	LOC221710;HERV-FRD	6	11112209
cg11250058	0.56511968065241	NA	NA	0
cg11250247	0.0408009943457227	TBP	6	170864036
cg11251086	0.0164259598352117	DUSP11	2	74007147
cg11251498	0.392693488635167	IDO2	8	39792769
cg11251858	0.0142924304230276	ESR1	6	152129036
cg11251877	0.693671360510683		6	168398981
cg11254522	0.953962874953212	FGR	1	27950343
cg11255163	0.0166129148601399	CDH1	16	68771200
cg11255230	0.018503854786311	BCL2	18	60987808
cg11256279	NA	C7orf23	7	86849303
cg11256445	0.956212774375531	HCLS1	3	121380233
cg11258532	NA	CA7	16	66877873
cg11260422	0.0219979458124594	FOXA1	14	38064112
cg11260848	0.824492344440916	ALX4	11	44326260
cg11261264	0.917402442294588	PTPRH	19	55720737
cg11262815	0.0235276777473019	CACNA1G	17	48638703
cg11262874	0.285169834150951	ZNF681	19	23941711
cg11263296	0.0528086424067334	CCDC64	12	120428313
cg11263497	0.0276433673251382	WDR35	2	20190220
cg11263584	0.0200818097843414	ICT1	17	73008587
cg11264817	0.0149734552623611	INCA1;KIF1C	17	4901584
cg11265916	0.0115366605374239	MAPK1	22	22221056
cg11265941	0.688385962285257	SNRPN	15	25068738
cg11266874	0.0271543075539151	ARL13B	3	93699352
cg11267879	NA	CYP2F1	19	41619952
cg11269533	0.157751036234113	FEV	2	219850301
cg11270633	NA	IL28B	19	39736956
cg11271605	0.0359182538137772	STEAP4	7	87936282
cg11272332	0.416200225233612	ZDHHC15	X	74742810
cg11274211	0.0294182968393203	PIP5K1B;FAM122A	9	71395330
cg11275139	0.230761000559342	NA	NA	0
cg11276198	0.00622640323264358	KRAS	12	25404189
cg11276280	0.0186148001144972	TBCC	6	42713551
cg11277126	0.0331617459774129	TRPC4AP	20	33680945
cg11277230	0.171321018237002	C4orf36	4	87813935
cg11278262	0.0192386196359367	KRTCAP2;TRIM46	1	155146720
cg11279021	0.0944324896978198	ETV1	7	14028690
cg11283860	NA		1	8273352
cg11285003	0.594296585516231	HCN1	5	45696592
cg11285843	0.1061365527995	TMEM41A	3	185217130
cg11286122	0.331649504386794	PHLDB1	11	118477406
cg11286163	0.062323003355491	PSMA5	1	109969161
cg11286618	0.0286290774555038	WBP1	2	74685465
cg11289251	0.00679838170512477	DDX28;DUS2L	16	68056774
cg11290225	0.121272866616237	KIFC2	8	145692591
cg11291009	0.662808992022185	ARHGEF9	X	62975067
cg11291200	0.924891446772833	MAGEB2	X	30233490
cg11295113	0.327635793511551	FOLR2	11	71927938
cg11295902	0.018850948462636	SF1	11	64546368
cg11296363	0.0441209752143926	FTSJ3;PSMC5	17	61905004
cg11296937	0.243448943078668	PRDX5;TRMT112	11	64084966
cg11297236	0.596987621804598	PDILT	16	20416475
cg11298412	0.058031348422652	PARM1	4	75858589
cg11298616	0.0145802660396932	CKAP2	13	53029954
cg11299964	0.0972363038238688	MAPKAP1	9	128469783
cg11300809	0.178847784483577	SGPP2	2	223288637
cg11301598	NA	OASL	12	121476792
cg11303670	0.0413419651846891	TSPAN33	7	128784442
cg11303749	0.0167228196911549	HIST1H4B	6	26027410
cg11304234	0.344290794753257	IL18	11	112034801
cg11304524	0.934909113613678	TSSK4	14	24674887
cg11304734	NA	POLR1E	9	37485592
cg11308639	0.843676253428109	BMP10	2	69098272
cg11308840	0.0356148666719066	TMEM215	9	32783516
cg11310496	0.974796025490868	PNLIPRP2	10	118380175
cg11310692	0.0200624503306421	PEX7	6	137143636
cg11311499	0.156311911760483	MSH2	2	47630845
cg11312566	0.018202121924642	SLC2A8	9	130159344
cg11313124	0.0243920598178906	ZMAT3	3	178789226
cg11313997	0.0188203413397092	B4GALT7	5	177027589
cg11314271	0.86598167380089	NA	NA	0
cg11314292	0.0227032915944228	RNF125	18	29598433
cg11314684	0.0420546631068535	AKT3	1	244006288
cg11316784	0.010533027283917	NSD1	5	176560594
cg11318251	0.511758111217166	BAALC;C8orf56	8	104152588
cg11319389	0.312454449031006	TOX2	20	42544648
cg11320084	0.160880733361141	RNF2	1	185014181
cg11320143	0.0181263018675092	GDAP2;WDR3	1	118472483
cg11321895	0.0274983464838375	PLAG1;CHCHD7	8	57123832
cg11323198	0.113585352446101	CDH8	16	62069806
cg11323230	0.0112751268008687	AMFR	16	56459217
cg11323731	0.136241177751494	AKR1A1	1	46016768
cg11324740	0.0326045631774767	NUSAP1;OIP5	15	41624793
cg11325578	0.910376971689727	GPR143	X	9733287
cg11326613	0.0439509090133016	CCDC107	9	35657478
cg11326640	0.0146570577547567	NA	NA	0
cg11328149	0.870352765492027	LY6G6C	6	31689459
cg11328541	0.453957004513314	OR7C1	19	14910889
cg11328875	0.0225584868655615	PPIL5	14	50066018
cg11329235	0.0173828480401052	SRRM1	1	24969260
cg11330108	0.0319929195031446	BCL2	18	60986115
cg11331769	NA	TAZ;DNASE1L1	X	153639287
cg11332950	0.0119825009899535	AHSA2	2	61404256
cg11332994	0.611019721100836	NA	NA	0
cg11334469	0.489724000453522	NA	NA	0
cg11336428	0.032046712861098	TEX2	17	62340505
cg11337525	0.203671353034932	APOC1	19	45418417
cg11337780	NA	ZNF439	19	11977718
cg11340260	0.606582206984138	GP1BA	17	4835476
cg11341028	0.511870963217573	KBTBD4;NDUFS3	11	47601881
cg11341528	0.023997128006642	CASD1	7	94139401
cg11344614	NA	JAM2	21	27010160
cg11345438	NA	KIAA2013	1	11986397
cg11346450	0.892387773955681	NA	NA	0
cg11353032	0.0124852102416858	ZRSR2	X	15808390
cg11354906	0.0908200235285131	SFRP2	4	154710371
cg11356290	0.0460648109666642	AZI2	3	28390998
cg11356705	0.0125067189795605	NUP54	4	77069568
cg11360149	NA	OR2V2	5	180581315
cg11360718	0.749233979280532	TM9SF4	20	30720375
cg11360768	0.0070135366855523	WHSC1L1	8	38239777
cg11366015	0.00959148201577214	C20orf27	20	3748106
cg11368509	0.0567690736934072	SUV420H2	19	55851365
cg11368578	0.297424677534962	CDK5	7	150754936
cg11368643	0.781872068781442	PCDHB15	5	140625059
cg11368791	0.0159939700579267	WDR46;PFDN6	6	33257095
cg11368946	NA	GCAT	22	38204391
cg11371160	0.73762742262102	UBL4A	X	153714615
cg11371394	0.253754187290907	TGFBRAP1	2	105946583
cg11371791	0.0120317660857307	NA	NA	0
cg11372696	0.0699672721501082	POLR2G	11	62528990
cg11372831	NA	PAICS;PPAT	4	57303157
cg11373429	0.0294578198418917	ICAM5	19	10400751
cg11373746	0.0507687971369564	ALDH9A1	1	165668181
cg11375079	0.0465582804980889	GLRX5;SNHG10;SCARNA13	14	96001246
cg11375102	0.759851085480054	IFT140;TMEM204	16	1583810
cg11375475	0.0119016415801175	BBC3	19	47734362
cg11375622	0.0461574695819636	HSF1;BOP1	8	145516294
cg11376198	0.0797771904567334	AKR7L	1	19600730
cg11377136	0.767794833328179	PKDREJ	22	46658960
cg11378044	0.914720436771983	NA	NA	0
cg11378052	0.820387194181278	HEATR4	14	74027058
cg11378484	0.106964446962631	THOC7	3	63848695
cg11378686	0.0791544156835777	ZNF318	6	43336278
cg11378840	0.0074639987786975	HHEX	10	94449797
cg11380128	0.877808430094226	PRLH	2	238473800
cg11380624	0.605944194986869	DNAJC14	12	56222881
cg11384427	NA	CD27;LOC678655	12	6553585
cg11385473	0.0600486283436282	IMMP1L;ELP4	11	31530943
cg11386709	NA	EPB41L2	6	131278559
cg11386746	NA	CDH15	16	89237370
cg11387131	0.0294302948021832	KCNJ5	11	128761211
cg11387519	0.0328341946871226	CCDC142;MRPL53	2	74699973
cg11388238	NA	KCTD18	2	201375098
cg11389172	0.796888300673416	SLC18A3;CHAT	10	50818299
cg11390468	0.0339379595646462	IFT57	3	107940784
cg11391732	0.833936090761873	HSPB3	5	53751919
cg11392765	0.0273270701357897	NKX3-2	4	13546673
cg11393453	0.00772234947702323	FAM59A	18	30050326
cg11393848	0.172475165904186	C1QC	1	22969340
cg11394644	0.0142238252101415	FAM104A;C17orf80	17	71229370
cg11394785	0.385762211917236	LTC4S	5	179221090
cg11395610	NA	RAB28	4	13485238
cg11395917	0.0204166870349593	PLEKHB2	2	131862942
cg11395975	NA	MLST8	16	2255950
cg11396509	0.0652147745089019	SIRT2;NFKBIB	19	39389915
cg11397854	0.0404569875861954	IQSEC1	3	13008878
cg11398517	0.530723108845471	GTSF1L	20	42355625
cg11398680	0.0297393343286555	PTK2	8	142011853
cg11399100	0.0349349999695819	TMEM59L	19	18722368
cg11399527	0.02365134642585	PDP2	16	66914446
cg11399590	NA	PCIF1	20	44564022
cg11399891	0.033641648588188	ZNF444	19	56652352
cg11400333	0.011551185667985	TMEM151A	11	66059695
cg11402505	0.055672809091688	FBXO27	19	39523436
cg11403598	NA	NIP7;COG8	16	69374664
cg11405695	0.597601460885808	ATAD3C	1	1384091
cg11406340	0.937350919406827	C10orf110;IDI2	10	1071573
cg11406695	0.0226620628835474	NA	NA	0
cg11407345	0.126549413839022	C21orf58;PCNT	21	47745057
cg11408517	0.0249247113538679	LATS1	6	150039536
cg11411707	0.0513558319853652	GABPB2	1	151043197
cg11412582	0.372611850366996	HERC2	15	28567519
cg11414046	0.00975082556842062	BRAF	7	140624194
cg11414151	0.0465224397468382	NA	NA	0
cg11415932	0.0167911846251263	POLB	8	42196139
cg11416386	0.0122950142433876	DPY19L3	19	32897202
cg11418559	0.0879752587283142	GRRP1	1	26487928
cg11419863	0.0211163489653913	FAU;MRPL49	11	64890006
cg11422541	0.0295924124902838	ADCY6	12	49182586
cg11423990	NA	TXN2	22	36877559
cg11426590	0.0116783856632783	TRIM62	1	33647854
cg11428724	0.888440661229103	PAX7	1	18957632
cg11429632	0.103689942937684	RAB14	9	123964581
cg11429658	0.863231867266182	ABCC13	21	15646635
cg11431126	0.0231485090933319	RHOU	1	228870709
cg11432797	0.835048730832044	SPN	16	29674487
cg11434468	0.0167885180951164	XKR6	8	11059277
cg11435943	0.913993199464884	SERPINB12	18	61222687
cg11438428	0.89239743919588	PTF1A	10	23481594
cg11438755	0.0215172546662009	TMEM20	10	95653570
cg11442050	0.032029711181098	EIF4ENIF1	22	31886454
cg11442717	0.0194224506990587	PHF10	6	170125241
cg11443787	0.0852758307247719	MLLT10	10	21822403
cg11449935	0.0121117500965365	TGIF2	20	35202477
cg11450001	0.0390744107479671	GABARAPL1	12	10365596
cg11450827	0.879989577861669	CLDN5	22	19513006
cg11451801	0.0261036669722972	PSMB10	16	67970768
cg11452221	0.787186845197031	GEFT	12	58004830
cg11452360	0.0257403957400206	NA	NA	0
cg11453347	0.125521657484011	UROS;BCCIP	10	127512288
cg11454415	0.0288974479417745	TOMM34	20	43588633
cg11455040	0.0155116492221054	SLC45A3	1	205649941
cg11456838	0.803692773483325	OSTCL	6	159278754
cg11458642	0.0245921162297095	ATR	3	142297295
cg11458974	0.926693788853995	HMOX1	22	35776686
cg11459714	0.0207509347418625	KLK10	19	51520658
cg11459822	0.0742866822573971	NA	NA	0
cg11460029	0.0202859700167178	EFNB3	17	7608747
cg11460364	0.878118837501537	DPP4	2	162931397
cg11462533	0.0787253412522028	HPCAL4	1	40156840
cg11462865	0.00895503642041155	KRT19	17	39684124
cg11465163	NA	DIRAS3	1	68516093
cg11465372	0.93060462673076	KRT76	12	53171191
cg11465971	0.0725382400048326	NA	NA	0
cg11466485	NA	SARDH	9	136605868
cg11466837	0.927881318627393	TRIM29	11	120009682
cg11466908	0.126862763139759	AUH	9	94123704
cg11467738	0.0174826411001253	ARPC1B	7	98972733
cg11468462	0.0162040823795314	NXPH4	12	57610686
cg11468711	0.0176425943369157	ZNF710	15	90545745
cg11469137	NA	PLOD1	1	11994385
cg11469321	NA	BDH2	4	104021294
cg11469778	0.897181759665092	ARHGEF4	2	131674201
cg11471401	0.063946285314837	KRT6A	12	52888480
cg11471666	0.00869837940815796	EIF4B	12	53400335
cg11472424	0.480378985756209	PFKFB1	X	55020450
cg11473104	0.584719869973682	NUDT15	13	48611615
cg11474075	0.0229294140071479	TTC5	14	20773935
cg11474811	0.884110728545254	TRPM5	11	2443869
cg11475332	0.0065034464553452	SDC1	2	20425343
cg11476211	0.00712903508577375	PRKCE	2	45879284
cg11476254	0.939654776686981	ACSF3	16	89159666
cg11479591	0.563555616373999	MECP2	X	153362176
cg11479877	NA	B3GALT5	21	41029500
cg11480873	0.0157120185070515	RAB7L1	1	205744417
cg11481351	0.929703384938624	FNDC7	1	109265387
cg11481490	0.0162441823149595	C19orf54;SNRPA	19	41256723
cg11481720	0.0263260709750287	ZNF791;ZNF490	19	12721423
cg11481793	0.0720116859647635	ZNF362	1	33722720
cg11483915	0.0145217612723499	SLC40A1	2	190446080
cg11484288	0.0140813073839114	NA	NA	0
cg11484576	0.304931851326683	LGALS12	11	63272554
cg11484872	0.390337221439608	TNF	6	31543169
cg11485602	0.0110576272185244	PDHB	3	58419482
cg11487705	0.0150493695879023	OXCT1	5	41870746
cg11487967	NA		2	242968692
cg11489580	0.016957135166537	G3BP2	4	76598793
cg11490446	0.0146643739538267	PSEN1	14	73602923
cg11492040	0.297338704324514	H19	11	2016513
