Hybridization REF	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05	TCGA-A8-A07G-01A-11D-A032-05
cg14031452	0.051078581223175	NEDD1	12	97301535
cg14034870	0.665692578717052	SFTA2	6	30900197
cg14035045	0.169036412214292	HEMK1;C3orf18	3	50606289
cg14036856	0.423212854676085	C1orf210	1	43751563
cg14037413	0.0134486352785039	ZNF143	11	9482594
cg14037665	0.0252889457432897	PXDN	2	1748617
cg14039952	0.0276305520778869	NPM1	5	170815461
cg14042128	0.0362940909776365	CHMP2A	19	59066234
cg14043411	0.00748581907434071	SIVA1	14	105219857
cg14043602	0.297059270096435	OR1E1	17	3301340
cg14044580	0.0795805380463059	CDK16	X	47077815
cg14045072	NA	GPR116	6	46884362
cg14045283	0.0226941661069909	MADCAM1	19	495737
cg14046365	0.0284748185657047	NMI	2	152146318
cg14046757	0.0145432680037676	ZC3H14	14	89029605
cg14046986	0.0112855729615066	RCSD1	1	167599371
cg14047008	0.83035546568461	SERPINC1	1	173887011
cg14047244	0.0179491404625596	LMNB2	19	2457194
cg14047656	0.016062773855851	FAM126B;NDUFB3	2	201936671
cg14047667	0.0116251216390869	F13A1	6	6320889
cg14048487	NA	BRCA1	17	41273439
cg14049461	0.0188185127739817	GRID2	4	93224987
cg14055374	0.0147993036136939	MAF	16	79634410
cg14056306	0.976001812561107	CDK3	17	73997820
cg14056644	0.676502788589764	PITX2	4	111559105
cg14056942	0.0628945736003105	TSC22D2	3	150127151
cg14058345	0.0219109999970934	TXNDC6	3	138048746
cg14058432	0.0160463388940564	PELI2	14	56584702
cg14058998	0.0153159865253281	SEPW1	19	48281859
cg14059475	0.0186118238962838	PREPL;C2orf34	2	44588633
cg14059729	NA	KLRAQ1	2	48667654
cg14059963	0.923779835946353	GPR19	12	12815026
cg14060060	0.0164680245478425	NA	NA	0
cg14060828	0.224191410370149	PTH2	19	49926276
cg14060836	0.0109789395535869	ISCA1	9	88897456
cg14061619	0.0285842869834524	SH3BP4	2	235860118
cg14062083	0.79976945658127	KRTAP13-4	21	31802829
cg14063008	0.0159757286518197	DAB2IP	9	124461599
cg14063673	0.8056255431956	NA	NA	0
cg14066280	0.0162960829760676	ZNF613	19	52430533
cg14069619	0.783737645622787	KRBA2	17	8275273
cg14070162	0.176336237318631	PTRF	17	40575582
cg14070647	0.0491934695692182	RSPO2	8	109095264
cg14072120	0.035005127829882	RAC2	22	37640402
cg14074117	0.364424751144315	C16orf73	16	1909714
cg14074431	0.0173972343071331	MAP3K10	19	40697804
cg14074641	NA	ABCC12	16	48181753
cg14076161	0.434939171470675	PRB4	12	11463379
cg14076411	0.0288079011788332	RNGTT	6	89673710
cg14078309	NA	MCAT	22	43539574
cg14078518	0.92981417785847	GK2	4	80329284
cg14079785	0.68600462196004	SFTPC	8	22018896
cg14080001	0.0255175705010102	SNX33	15	75940555
cg14081015	0.0334672238504875	RIOK2	5	96519003
cg14083376	NA	C14orf2	14	104388097
cg14084176	0.0582318923271944	FUNDC1	X	44401762
cg14085328	0.0214360528951447	DDX59	1	200639502
cg14086033	0.0225484253585872	C11orf10;FEN1	11	61559821
cg14086122	NA	RILPL2	12	123921793
cg14086647	0.0129196711661172	LIMK2	22	31608022
cg14087150	0.770839911532285	NA	NA	0
cg14088161	0.506271532544624	ACTL6B	7	100255043
cg14088811	0.836569856306802	SPI1	11	47399994
cg14089692	0.0273996261124242	ADAM33	20	3662546
cg14091223	0.0139202118677665	DNAJB2	2	220144326
cg14091657	NA	LHX3	9	139097876
cg14093125	0.0176567333618931	C19orf48	19	51308034
cg14093368	0.0394663845751023	BAZ1B	7	72936880
cg14093936	0.604672990738246	SEMA7A	15	74726614
cg14094063	0.010602769291412	BRAF	7	140624470
cg14094960	0.0224817955321402	EGFR	7	55086890
cg14095850	0.0162117112932219	CSTB	21	45196584
cg14098132	0.0297192283502109	CGRRF1	14	54976507
cg14099017	0.040795267501039	MAP2K4	17	11923960
cg14100184	0.108813224394312	GNG13	16	851298
cg14100578	0.110450329283133	SLC25A11;RNF167	17	4842919
cg14101501	0.0138808760727386	EHBP1	2	62932430
cg14102807	0.760112409654422	CD19	16	28943677
cg14104257	0.0136285401555535	SLC36A1	5	150827447
cg14105047	0.023220846680097	PDLIM5	4	95372810
cg14105781	0.167581593932571	TBL1X	X	9433597
cg14106085	NA	FOXD2	1	47902269
cg14106263	0.473352921188979	RBMX2	X	129535683
cg14106308	0.100137676228976	VEPH1	3	157217286
cg14106632	0.0753549003674313	EVI5L	19	7895393
cg14107638	0.549675286070469	MAGEA5	X	151286380
cg14108384	0.0216046545294271	NA	NA	0
cg14108394	0.0376532289067813	MIRLET7I;C12orf61	12	62997291
cg14112945	0.111278241379326	NA	NA	0
cg14114267	0.756093407975526	SP3	2	174831503
cg14115004	0.0454232394164353	STARD3	17	37793212
cg14115346	NA	BPHL	6	3118207
cg14116122	0.186083060760112	ALX1	12	85673884
cg14116596	0.759871939881611	TBXAS1	7	139528673
cg14117297	0.530844522111236	TMIGD2	19	4301870
cg14118546	0.0162436605739818	KIAA1012	18	29523417
cg14119236	0.511397468675236	FGF23	12	4489075
cg14119774	0.0225965637103475	WDR41	5	76788060
cg14120336	0.0349497898162731	DYNC2LI1	2	44001158
cg14120436	0.810263609956062	GNB5	15	52483498
cg14120784	0.040405461825564	GTF2IRD1	7	73867457
cg14120879	0.886450616462542	NA	NA	0
cg14121103	0.0401615901002404	ABHD5	3	43731973
cg14123992	0.34970440956606	APOE	19	45407868
cg14125250	0.0205022073613849	PIK3R2	19	18263590
cg14126210	0.0130229753633383	MCFD2	2	47142867
cg14127336	0.891726317396891	TCL1A	14	96180319
cg14127659	0.51654198544286	C22orf23;POLR2F	22	38350784
cg14127958	0.0117599791601571	APPL2	12	105630059
cg14129103	NA	SNX29	16	12609068
cg14129786	NA	MGMT	10	131321947
cg14131445	NA	C16orf58	16	31519964
cg14132995	0.499116618113293	SLC35A2	X	48769370
cg14133708	0.0387485813420454	EMILIN2	18	2846834
cg14134005	0.250687575127951	NA	NA	0
cg14134153	0.0502552191218817	RPL26L1;LOC100268168	5	172386668
cg14135551	0.0224985913263653	DAAM2	6	39760416
cg14137939	0.324119029161924	CCDC89	11	85397109
cg14138171	NA	CIR1;SCRN3	2	175261646
cg14139633	0.0121350653311473	SLC27A4	9	131103210
cg14141399	0.336500995452987	HAS1	19	52228048
cg14142521	0.0290088383078483	TAF11	6	34855408
cg14143055	0.847849778247835	ADAMDEC1	8	24240597
cg14144305	0.569943679055355	ALX4	11	44325960
cg14145194	0.787206150456035	ICAM3	19	10450022
cg14145762	NA	C11orf57;PIH1D2	11	111945650
cg14147105	0.0435044448425933	FAM125A	19	17531148
cg14149007	0.0150474035880777	PRKD2	19	47219555
cg14150666	NA	CXCR2	2	218991310
cg14153740	0.595663712913691	TRYX3	7	141957702
cg14154330	0.334130965037378	ARHGAP27	17	43503401
cg14155397	0.0663538132046043	MAP2K1	15	66678782
cg14155416	0.129613496150513	L3MBTL4	18	6414330
cg14155482	0.0208887011419349	PIP5K1A	1	151171082
cg14156381	0.376754873100185	FBN3	19	8212675
cg14159672	0.697437354447989	PM20D1	1	205819179
cg14159818	0.0132925805541668	C20orf27	20	3749519
cg14159894	0.0328363138714507	BTBD3	20	11872261
cg14161241	0.359876801463663	PLAGL1;HYMAI	6	144329909
cg14161426	0.0106017209944991	ERAP1	5	96143592
cg14161730	NA	SYN1;TIMP1	X	47441290
cg14161885	0.322417603431613	NBPF15	1	148560976
cg14162076	NA	CLEC4D	12	8665092
cg14163776	0.0484071993709308	ACAP2	3	195164580
cg14165663	NA	GALR2	17	74070269
cg14166009	0.145648456272922	HKR1	19	37825309
cg14167017	0.0172345494588855	UBAP1	9	34178925
cg14167596	0.405257828670246	MSX1	4	4862910
cg14168975	0.621003256780387	ALAS2	X	55057838
cg14170423	0.502530633061937	RASGRP2	11	64513809
cg14171478	0.0172922643839527	C14orf118	14	76618642
cg14171523	0.00987219880133991	SLC25A44	1	156163644
cg14171882	NA	HUS1	7	48019441
cg14172532	0.0180165260502761	STK25	2	242447907
cg14173523	NA	FUT5	19	5871035
cg14173613	0.0201169520908229	TMEM33	4	41937393
cg14173969	0.661757588700012	CD300C	17	72541932
cg14174099	0.0157660066267676	SLC8A3	14	70655862
cg14175438	0.0622745968947909	FAM3C	7	121036729
cg14175580	0.0162706614963865	CAMSAP1L1	1	200709051
cg14175593	0.057314029484906	UBTD1;MMS19	10	99257444
cg14176475	0.0316089257680701	TTF1	9	135282081
cg14176836	0.708910571503651	ITGAL	16	30484218
cg14178895	0.757066894444277	C6orf105	6	11778902
cg14178991	0.706951734212928	NA	NA	0
cg14179628	NA	TCEAL7	X	102584953
cg14181391	0.0130312111610659	PIGU	20	33265182
cg14181459	0.0164978285579544	SMAD5;SMAD5OS	5	135468353
cg14182690	0.585764407127821	RUNX3	1	25290947
cg14183455	0.955711853953425	MATN1	1	31196733
cg14184817	0.761898867809583	EXOC3L2	19	45737483
cg14186071	0.876223867931166		X	30993102
cg14186992	0.796304485983549	ZBTB48;TAS1R1	1	6639570
cg14187678	0.135278514950564	TBR1	2	162272687
cg14188111	NA	C1orf77;S100A13	1	153608034
cg14188232	0.0170843745402361	ITGA11	15	68724065
cg14189571	0.642587814635566	ZFP42	4	188916943
cg14189614	0.860409631153749	SLC45A2	5	33984660
cg14191109	0.029054962157589	SLC25A16	10	70287438
cg14191360	0.0395595733107445	MET	7	116311773
cg14195915	0.0192871903441049	SFRS4	1	29507864
cg14196211	0.0125098355224799	MRPL12	17	79670206
cg14196790	0.0522655653912397	SLC22A5	5	131705035
cg14197923	0.0134619326115137	FGF5	4	81187906
cg14198172	0.11504918317177	HBXIP	1	110950618
cg14201417	0.0335789271688491	ADAMTSL2	9	136400057
cg14201617	0.926799882265443	C2orf61	2	47382452
cg14203179	0.335198136711858	GNAS	20	57430663
cg14203758	0.0155408288735393	ASF1B	19	14247374
cg14204735	0.0179795249047772	CYB561	17	61524304
cg14204791	0.0604257977253566	PKNOX1	21	44394797
cg14204992	0.0145282177468249	NA	NA	0
cg14205126	0.0414078828065184	TMEM9B	11	8985648
cg14206730	0.0339008138521107	SLC35D1	1	67519677
cg14209518	0.545385700083563	NNMT	11	114166636
cg14209569	0.0168443666127627	COMMD4	15	75628553
cg14209870	NA	TAS2R5	7	141489394
cg14211646	0.0663140538546668	DHDDS	1	26758996
cg14212314	0.0213079984965907	HSPE1;HSPD1	2	198364789
cg14213620	0.038042768277763	DFFB;KIAA0562	1	3773909
cg14213992	0.0263584718016808	ZNF546	19	40503358
cg14217102	0.0118224802760785	RAB1A	2	65357592
cg14217157	0.0754351789165828	NA	NA	0
cg14217534	0.0435791617328381	TUBA1B	12	49525474
cg14218343	0.0188989448330482	ZNF32	10	44144641
cg14221171	0.201671356973897	TAC1	7	97361759
cg14221831	0.862636539242511	CDH16	16	66952714
cg14222233	0.013182185864799	PFKFB3	10	6245271
cg14223017	0.329779467641866	AP3D1	19	2151266
cg14223444	NA	TSTD2;NCBP1	9	100394496
cg14223995	0.212981101786849	UCP1	4	141489799
cg14225485	0.0299116298703698	FAM84A	2	14772568
cg14225544	0.0335906147000475	PLK2	5	57755798
cg14226064	0.910005951640208	SYS1-DBNDD2;TP53TG5	20	44006560
cg14228238	0.0336592212538356	MECOM	3	168864123
cg14228840	0.0151844443250949	MICA	6	31371488
cg14230133	NA	IDS	X	148587055
cg14230685	0.0283599486996608	SPIN1	9	91004214
cg14234680	0.00885521556232756	IMPAD1	8	57905925
cg14236389	0.682120508665156	C20orf197	20	58631038
cg14236602	0.0233379547524277	PFKL	21	45720651
cg14237152	0.82011345769321	NA	NA	0
cg14238120	0.744169135661526	CELA3A	1	22328026
cg14242042	0.0113771235117828	SOX5	12	24715250
cg14242091	0.0224875511143225	TOP3B	22	22337171
cg14243026	0.0146007278516846	NA	NA	0
cg14244577	0.203889206969898	DDX19B	16	70332878
cg14246617	0.0459031640823122	MITF	3	69788840
cg14249872	0.0256801943521082	KCNK1	1	233749672
cg14251536	0.0478230359222981	C20orf7;ESF1	20	13765341
cg14252059	0.404307800864478	TECTA	11	120973274
cg14252569	0.0313783244250727	DACT1	14	59104316
cg14254380	0.0197724904614042	WDR63	1	85527879
cg14254419	NA	AMPD2	1	110162217
cg14255089	0.0618461809079797	ZMYND11	10	180755
cg14256699	0.766424751451146	SOST	17	41836026
cg14256814	0.0311309139808276	POGK	1	166808417
cg14258236	0.686701161478778	OR5V1	6	29323330
cg14260458	0.554315825127688	OCM2	7	97620123
cg14260643	0.169642383084214	CYP3A5	7	99277394
cg14260918	0.513143308696376	ZNF673	X	46306533
cg14261309	NA	C1orf163	1	53164287
cg14261863	0.035785958047554	ELMO2	20	45035638
cg14262937	0.420425738962066	OPRM1	6	154360351
cg14264994	0.958024055297104	CTCFL	20	56099548
cg14265075	0.0766568010298654	ARHGEF11	1	157016521
cg14265670	0.019899412495557	UPP1	7	48128300
cg14267151	NA	MUTED	6	8066098
cg14269477	0.822430035877403	TRPV5	7	142630597
cg14269514	0.015769028694416	OAZ3;MRPL9	1	151736130
cg14271400	0.0146476870414419	EPHB2	1	23036980
cg14271499	NA	THOP1	19	2785891
cg14271690	0.863520672700112	ADIG	20	37209999
cg14271908	0.0189894785334655	TFAM	10	60144732
cg14272175	0.0148716770337048	PXK	3	58318960
cg14272706	0.944713340661661	ALS2CR12	2	202216039
cg14275779	0.0175126337047034	PLEKHH3	17	40830236
cg14277764	0.767922653351042	PMCHL2	5	70671764
cg14277848	0.0324057766188746	GPATCH4	1	156570825
cg14279899	0.0916413798734842	IFNGR1	6	137540774
cg14281160	0.0360626863907376	LLPH	12	66524943
cg14281165	0.0253056963763588	PIGO	9	35096257
cg14282941	0.0244872479271221	C14orf104	14	50100316
cg14283939	0.940094290611952	THSD4	15	72020908
cg14284171	0.888489076053721	NA	NA	0
cg14284643	0.0381537096018996	PRR3;GNL1	6	30524853
cg14285013	0.0230821577840443	MYBL1	8	67526270
cg14287603	0.029124285886328	EPB41L5	2	120771169
cg14287742	0.968368909521302	BLZF1;NME7	1	169335773
cg14288464	0.865586221680003	WFDC5	20	43743301
cg14289461	0.300759236059962	LAMA4	6	112575929
cg14289511	0.128593041860652		16	24682446
cg14289985	0.250514204743905	ZNF471	19	57018848
cg14290291	NA	SMPD4;FAM128B	2	130940680
cg14290451	0.0117015836905488	RPL10A	6	35436136
cg14292823	0.495308857805851	EEF1D;TIGD5	8	144681097
cg14294758	0.131047171733234	LSAMP	3	116163694
cg14296129	NA	RAB5B	12	56367904
cg14296147	0.0124222288626815	PET117	20	18118706
cg14296374	0.889309667806446	NA	NA	0
cg14297029	0.963741645588275	SSTR3	22	37607676
cg14297700	0.0120971333177671	NA	NA	0
cg14297876	0.0295181684908891	MAGOH	1	53704016
cg14298379	0.0331152240812362	MYLIP	6	16128926
cg14298726	0.0570358598853748	GTPBP10	7	89976216
cg14298780	0.0124943561029158	ZNF230	19	44506864
cg14298951	0.0174144087053657	RPS24	10	79793653
cg14299177	0.00973673550239824	MTFR1	8	66557547
cg14299800	NA	TOR1B	9	132564053
cg14301635	0.498509349657476	C2	6	31895203
cg14303330	0.037394973420947	RPL22	1	6259905
cg14303674	NA	MAPRE1	20	31407348
cg14304761	0.0206128124468755	SYK	9	93564149
cg14306534	NA	ZBTB2	6	151712952
cg14307212	0.0738855729453256	SLC12A6	15	34611009
cg14308291	0.0353227767155893	EIF2C3	1	36396265
cg14308452	0.830914921682967	PRR22	19	5784184
cg14309281	0.00776237819258973	NA	NA	0
cg14310034	0.0236536930383296	BMP4	14	54423433
cg14310890	0.0336924461181916	FOXO3	6	108881016
cg14311811	0.0210671527974675	DSG2	18	29077863
cg14312526	0.0597966364614254	NA	NA	0
cg14313310	0.128641670747835	GLT25D2	1	184006816
cg14314795	0.0116018176296473	NA	NA	0
cg14314889	0.281899152462316	OR1E2	17	3336771
cg14315198	0.497621544753694	UNC119	17	26879866
cg14317651	0.0226439096697781	GALK2;COPS2	15	49448126
cg14318370	0.0217715476964771	CHCHD5	2	113342262
cg14319409	0.0323313347783843	GLRA1	5	151304409
cg14320796	0.0103211350698687	MND1	4	154265537
cg14321399	0.410222339812515	RRAGB	X	55744191
cg14321743	0.839475373534094	PLA2G2D	1	20445662
cg14322224	0.133026356481766	DDAH1	1	85931226
cg14323109	0.0600903112446754	KDR	4	55991943
cg14323928	0.746618888681113	TRPM1	15	31393845
cg14324200	0.0796933922997059	SAMD11	1	861317
cg14324675	NA	LST1	6	31554848
cg14324838	NA	EPB41L1	20	34700675
cg14325649	0.048137337831863	RBMS1	2	161350625
cg14329157	0.551411769014116	WDR69	2	228736135
cg14329976	0.0289532606241265	NEIL2	8	11627812
cg14331163	0.0850247210191544	RORB	9	77111663
cg14332079	0.0143508770312646	KCTD9;CDCA2	8	25316196
cg14333454	0.566388996497092	SFN	1	27189298
cg14333565	0.540005238369753	NRTN	19	5824065
cg14334099	0.0321841497427739	PTPN12	7	77166091
cg14336578	0.0155649062286522	LETM2	8	38243683
cg14337900	0.0288719845663377	MYH9	22	36783947
cg14338062	0.84510086183074	MARS	12	57883279
cg14338548	0.95713958201797	LALBA	12	48963631
cg14338887	0.125653744203286	GNMT	6	42928500
cg14341030	0.0213063071483725	WBP11;C12orf60	12	14956580
cg14341418	0.927456384228523	APOM	6	31624284
cg14341579	0.0284473687472256	IRS2	13	110438906
cg14343062	0.0213791396048767	ERCC6	10	50746568
cg14343107	NA	BUB1B	15	40453695
cg14343711	0.0271554240309863	NA	NA	0
cg14345281	0.490097402259786	NHS	X	17393584
cg14345676	NA	HRH2	5	175109098
cg14345882	0.308106872454416	BTN3A2	6	26364793
cg14346035	0.0161005447315647	PDP1	8	94928406
cg14346048	0.590598628524455	TMEM47	X	34675036
cg14348532	0.161630175620013	CALCA	11	14993562
cg14349467	0.438487363146789	NA	NA	0
cg14350002	0.0182172546525947	GAS1	9	89562473
cg14353162	0.0181555316187349	TMEM55B	14	20929766
cg14353201	NA	ALDH3B2	11	67448395
cg14353516	0.129442053257034	SEPT2;HDLBP	2	242256053
cg14354749	0.0327729711050442	EIF1AX	X	20160069
cg14356114	NA	PAGE4	X	49592934
cg14356550	0.706728531203936	KLHDC7A	1	18808102
cg14356946	0.0966758484262904	EIF2S2	20	32700496
cg14358502	0.0323106751438157	HYAL3;NAT6	3	50337045
cg14358709	0.0146176745886397	RNF19A	8	101321928
cg14358743	0.958183860280822	NA	NA	0
cg14360897	0.0592144619882932	RNF167;SLC25A11	17	4843676
cg14360917	0.410583527220885	SP2	17	45992122
cg14363494	0.0232616846232524	RING1	6	33176234
cg14364739	0.0122585999009516	PRRG2;NOSIP	19	50083632
cg14365123	0.967244248202776	ACTRT2	1	2938246
cg14366490	0.725099030777342	NXNL1	19	17571825
cg14366598	0.47053006486734	IL25	14	23841754
cg14367014	0.398768785071892	ICA1L	2	203735128
cg14367344	0.0109804621219028	PRKAB2	1	146644336
cg14368286	0.518579543286749	PRAF2	X	48931953
cg14370448	0.23050411069529	YPEL3;TBX6	16	30103978
cg14371329	0.926154051363709	GNAL	18	11688011
cg14371590	0.59894614074617	SLC26A10	12	58013915
cg14372394	0.0472383161632624	CHST10	2	101033546
cg14372520	0.819835956287199	EDA2R	X	65835804
cg14374842	0.0397172339292956	ACTR5	20	37376497
cg14375111	0.766720415886534	TMEM43;CHCHD4	3	14165186
cg14376424	0.980055181630333	FAM71B	5	156592780
cg14377370	0.00671305170002489	NCAPG;DCAF16	4	17812264
cg14377593	0.0150113518687784	TFPI2	7	93520183
cg14377791	0.0759522832216324	LOC400696	19	40169912
cg14378057	0.452055994222968	KIAA0240	6	42788563
cg14378480	0.933812256561229	DNASE2B;UOX	1	84864188
cg14379865	0.879330856508416	GRM5	11	88781109
cg14380517	0.342529305308185	BTG3	21	18985761
cg14383135	0.0319751493691175	NPAS2	2	101436923
cg14384532	0.0326793107490028	NTRK3	15	88800624
cg14384940	NA	C21orf81	21	15352790
cg14385738	0.625263602838152	PTPN22	1	114414340
cg14386061	0.680096617661096	DOK2	8	21771446
cg14386312	0.358962234396234	ZNF544	19	58740861
cg14386548	NA	SLC25A20	3	48937622
cg14386691	0.055982527063329	C14orf93	14	23479657
cg14387505	0.357226964863085	AHSP	16	31538946
cg14391622	0.398009259362321	SLC12A8	3	124931956
cg14391855	0.0509560916995725	RIN1	11	66104174
cg14396117	0.517988621518478	MYO16	13	109248047
cg14399060	0.546435044048352	HOXD4;MIR10B	2	177015070
cg14399078	0.0101284687280004	ADPRH	3	119298802
cg14399447	0.0188266572447702	PLA2G4C	19	48613950
cg14399656	0.743414255735453	NA	NA	0
cg14400118	0.0829800624213445	MMP2	16	55513191
cg14400631	0.015573449918711	PDE3B;PSMA1	11	14666512
cg14401454	NA	TPPP2	14	21497485
cg14401592	NA	ACCN5	4	156787800
cg14401837	0.58494876287115	NPSR1	7	34697493
cg14401897	0.961687191823489	SBNO2	19	1174667
cg14402472	0.016367728207371	HLA-F	6	29691165
cg14404298	0.476672079799933	CYP8B1	3	42919025
cg14405589	0.0126122293879674	TUBGCP3	13	113242289
cg14407437	0.0714043228027876	FABP3	1	31845923
cg14407667	0.0303063019650431	EPS15	1	51985209
cg14408969	0.0159324013144967	C8orf40;SLC20A2	8	42396118
cg14409083	0.0253589114505886	EMP1	12	13349724
cg14409941	0.0190980611698142	ADAMTS2	5	178771781
cg14409958	0.275444117872249	ENPP2	8	120651652
cg14414534	0.976173101995565	TMOD1	9	100286483
cg14414819	0.0303680066962545	TMEM217;TBC1D22B	6	37225644
cg14415034	0.110504962321496	SACM1L	3	45730717
cg14415214	0.0149163643359047	PHLDA2	11	2950403
cg14415300	0.0129469575284307	NA	NA	0
cg14417329	0.779855296264295	SLC16A3	17	80186273
cg14419187	0.458040459149913	UNC80	2	210637094
cg14423778	0.671867514162132	MBNL1;LOC401093	3	151985433
cg14424111	0.0167308145415459	KIAA0406;RPRD1B	20	36662310
cg14424530	0.0165403929291201	SLC7A1	13	30170129
cg14424579	0.0186983880776632	AGBL5	2	27274309
cg14425294	0.415254860113089	GUCY2D	17	7905636
cg14426525	0.0240485122029582	SMPDL3A	6	123110598
cg14426682	NA	MORF4L1	15	79164100
cg14427173	0.0480767240578374	RINT1	7	105172403
cg14430111	0.0113082584072537	TM7SF2	11	64879374
cg14430151	NA	ACOX3	4	8440600
cg14433673	0.00931641708234034	NA	NA	0
cg14434255	0.0340627504536034	ENTPD7	10	101419627
cg14435640	0.0156226743646351	AGPAT6	8	41436176
cg14435807	0.429220347088644	LOXL1	15	74218780
cg14436426	0.926215136275141	OPRL1;RGS19	20	62712394
cg14436761	0.0244816634350841	NA	NA	0
cg14437986	0.703541952672323	C6orf25	6	31691035
cg14438174	0.0339513091299323	DVL2	17	7137923
cg14439353	0.0105334665928958	EEF1E1	6	8102781
cg14440664	NA	PDCD1LG2	9	5509642
cg14440934	0.15091659187634	ZDHHC1	16	67450691
cg14443380	0.0160325174004934	SEMA7A	15	74725882
cg14444244	0.913253393659646	METTL8	2	172270326
cg14444710	NA	PDPK1	16	2587080
cg14445076	0.139757549030205	DHH	12	49488709
cg14445437	0.0139262155666641	PIGS	17	26898124
cg14446712	0.0395765940532066	SDPR	2	192712158
cg14446808	0.116117149350717	SQSTM1;MGAT4B	5	179233589
cg14448104	0.959063891257754	MATN4	20	43933556
cg14448116	0.373727783688831	NDUFS2;ADAMTS4	1	161170110
cg14448145	0.340631138016349	DNAJC5	20	62525650
cg14448864	0.0190919692407737	HYAL3;NAT6	3	50336673
cg14449051	0.0154425383243265	SLC6A15	12	85306474
cg14449575	NA	HAPLN4	19	19373743
cg14450506	NA	DDX56	7	44614519
cg14450605	0.468754298667821	NCOA4	10	51572496
cg14451276	0.467612877598449	AOAH	7	36764019
cg14452140	0.0146756675978118	SEC14L2	22	30793438
cg14452392	0.0162755081363561	CCNH	5	86708659
cg14452789	0.0113268617563755	GMCL1	2	70056602
cg14452875	0.0168728368963002	NR1D2	3	23987206
cg14453641	0.0215685460507128	AGL	1	100315326
cg14454278	0.0290864023579346	TDP1	14	90422626
cg14455307	0.011615762631741	BCL2	18	60987429
cg14455487	0.115828388620307	FOXJ3	1	42800860
cg14455991	0.11820423714597	CASK;GPR82	X	41582245
cg14456683	0.708341917076171	ZIC1	3	147127010
cg14457691	0.528554669126059	ARMCX4	X	100740937
cg14458615	0.876036151175733	C3orf30;IGSF11	3	118864952
cg14458731	NA	COQ4;TRUB2	9	131083555
cg14458834	0.0376411683301915	HOXB4	17	46655394
cg14460735	0.0935279389339922	CNST;TFB2M	1	246728727
cg14461963	0.0286010929401186	DHTKD1	10	12111049
cg14462626	0.0177961083464861	MYL12B	18	3261712
cg14462830	0.820327290602527	TRDN	6	123959184
cg14463304	NA	DDX47	12	12965884
cg14464791	0.0551484783033553	DDX6	11	118661599
cg14465910	0.0251247930993205	GTPBP2;MAD2L1BP	6	43596764
cg14467840	0.70458607455544	S100A13;S100A1	1	153600972
cg14469290	NA	ALAD	9	116164446
cg14470209	0.0117457174802963	ACAD9	3	128598183
cg14471560	NA	C2orf64;UNC50	2	99225332
cg14471615	0.018934575613253	TSKU	11	76494102
cg14472601	0.619414592779024	NA	NA	0
cg14472778	0.316194252721258	CLCN6;MTHFR	1	11867308
cg14473016	0.0318545592802576	RASD2	22	35937495
cg14473123	0.0480679521011068	UBE2V2	8	48921407
cg14473145	0.668569306680227	CLEC14A	14	38725656
cg14473924	0.184647623625342	PDZRN3	3	73674170
cg14474880	0.0604253656729839	MTF2	1	93544497
cg14477619	0.871096479703272	NPC1L1	7	44580881
cg14479329	0.154575603889963	RNASET2	6	167370587
cg14480463	NA	INTS1	7	1543435
cg14481222	0.0441029269000705	BIRC3	11	102187974
cg14481339	0.681018482509516	KCNJ1	11	128737319
cg14482322	0.0267667192570766	TARSL2	15	102264062
cg14483391	0.684685115369417	HTR3D	3	183749227
cg14489649	0.115651064982071	KLHL11	17	40021376
cg14489884	0.0183583247032696	MRFAP1L1	4	6711592
cg14490250	0.0231443021701331	FAM96A	15	64386181
cg14492347	0.025897807126794	ZNF592	15	85292323
cg14493899	0.949789125192074	TAP2	6	32807374
cg14494313	0.809071015818909	NAT2	8	18248453
cg14494596	NA	SHISA5	3	48542040
cg14494812	0.393555028087942	TOB1	17	48941039
cg14495243	0.0284062248493403	CCDC59;C12orf26	12	82752005
cg14496375	0.792055105225635	CLDND2	19	51872365
cg14498423	0.449589762914619	CLSTN2	3	139653328
cg14499797	0.0877827153985818	SOX4	6	21594038
cg14500718	0.169827293869747	TMEM79;SMG5	1	156251456
cg14501253	0.0492042328658928	C8orf79	8	12809014
cg14502651	0.953918475045811	PRH2;PRR4;PRH1	12	11081604
cg14506552	0.292550280739276	NPPB	1	11918954
cg14506668	NA	FHL1	X	135228853
cg14507042	0.0259787000852942	TRAF2	9	139781209
cg14509125	0.0133508135712376	TMEM160	19	47551842
cg14511156	0.620054878435917	OSCAR	19	54604124
cg14512008	0.0289512598615153	PPP2R5C	14	102276078
cg14513226	0.0173039748522688	LPGAT1	1	212003502
cg14514226	0.0162329421582731	TMCC2	1	205197651
cg14515483	0.0127219881792208	SOD2	6	160113813
cg14517922	0.909099472383926	NA	NA	0
cg14519000	NA	GATA5	20	61041765
cg14519036	0.014883586290989	TNKS2	10	93558457
cg14519134	NA	H1FOO	3	129261830
cg14519350	0.760635656281805	OSM	22	30661949
cg14519515	0.053700721645267	ADRBK1	11	67033594
cg14519525	0.020650362088742	GANAB	11	62414275
cg14520448	0.442782676009683	PQBP1;TIMM17B	X	48755206
cg14520511	0.0258030122408509	KRIT1;ANKIB1	7	91875046
cg14520892	0.544366082479395	POLA1	X	24711633
