Hybridization REF	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05	TCGA-AN-A0FJ-01A-11D-A00Y-05
cg11035216	0.0111061025676444	RASSF1	3	50374929
cg11037148	0.0118516690509655	NA	NA	0
cg11037424	0.0140584762214963	PRPF6	20	62612592
cg11037772	0.175558529795037	NA	NA	0
cg11037787	NA	PLA2G2A	1	20307002
cg11037818	0.0264556491375531		1	208041879
cg11038081	NA	ZNF235	19	44810637
cg11038843	0.0877396989117038	B3GAT1	11	134281391
cg11039072	0.0168591088021319	ZNF770	15	35280907
cg11041457	0.114759702781852	GNL3;PBRM1	3	52719354
cg11041966	0.0120079632483959	RBM28	7	127983966
cg11042320	0.1291346067171	PDGFRB	5	149534497
cg11042454	NA	TUBB2C	9	140135729
cg11043092	NA	MCPH1	8	6287904
cg11044163	0.029668158462482	CPVL	7	29186153
cg11044263	0.00797552695442061	TMEM65	8	125385130
cg11044823	0.0200448034821524	CENPK;PPWD1	5	64858848
cg11047295	0.0149096749543549	HMGB1	13	31039916
cg11049298	0.0376548091254328	HNRNPA0	5	137089619
cg11049305	0.072703368225721	ZC4H2	X	64196751
cg11050116	0.00885495146417711	PCM1	8	17780536
cg11050527	0.0312002501745685	ATP6V1H	8	54755511
cg11051139	0.661420105291908	KRT80	12	52580428
cg11051158	0.0281678358442482	C2orf3	2	75938223
cg11051843	0.0236488328658039	SEMA3C	7	80548695
cg11052068	0.0496549006344386	WASF1;CDC40	6	110501899
cg11052143	0.297357481962583	ALS2CR11	2	202484020
cg11053574	0.0148245916310033	NT5C3L	17	39992149
cg11053740	0.0438715226286274	RAB2B;TOX4	14	21945175
cg11054882	0.0721583927427516	TRAPPC4;RPS25	11	118889578
cg11054936	0.20543301594232	GJB2	13	20766170
cg11056832	0.018246889363952	PKN3	9	131465146
cg11057497	0.0162353514039621	HMGCS1	5	43313384
cg11058696	0.0156656695283345	SNRPB2	20	16711094
cg11058932	0.509050979397178	TSGA13	7	130372167
cg11059341	NA	MYL1	2	211179560
cg11059483	0.0290542222047258	ESR2	14	64760864
cg11061603	0.0215746912914046	RPS10	6	34393330
cg11061975	NA	SIRPG	20	1639325
cg11062095	0.0603730904644714	C5orf15	5	133304652
cg11063110	0.119252310453621	CPA5	7	129985205
cg11063988	0.00856990979843337	SIX5	19	46272660
cg11064206	0.0194059861180185	OGFOD2;ABCB9	12	123459532
cg11064558	0.0100595434544964	ZNF295	21	43430383
cg11064797	0.0227314833429056	RELL2;HDAC3	5	141016628
cg11065385	0.0130770986907768	B4GALNT3	12	568798
cg11065518	0.0174755374322588	MDH1B;FASTKD2	2	207630263
cg11065693	NA	IRF9	14	24630380
cg11068096	0.273516261489017	NA	NA	0
cg11070419	0.0653226524463648	C4BPA	1	207277210
cg11070941	0.0178271915657353	STX11	6	144471985
cg11072113	0.323037502251866	VWCE	11	61063124
cg11074362	0.795514517211185	DENND4C	9	19297575
cg11074746	0.00939000439057733	MEMO1	2	32236343
cg11075556	0.322434171981389	ANKRD7	7	117865112
cg11075745	0.35477970037859	CLDN19	1	43205976
cg11077161	0.688927475116649	SIPA1L1	14	71996050
cg11078738	0.0139378028348573	ANTXR1	2	69240453
cg11079619	0.656028369074568	INHBA;LOC285954	7	41742630
cg11080718	0.0248608524646242	NA	NA	0
cg11081833	0.0717212400845191	LGALS2	22	37975941
cg11082575	0.0158805243914722	FAM60A	12	31479096
cg11084020	0.0133188343877077	TAX1BP1	7	27779567
cg11084035	0.00981122687888701	GANAB	11	62414045
cg11084611	0.8814364625633	C2orf27A	2	132480958
cg11086066	0.373327911946158	NFATC2	20	50159508
cg11086568	0.0109022903432663	WDR53;FBXO45	3	196296032
cg11091262	0.192567988373103	GALNTL5	7	151653454
cg11093356	0.0157796257390222	DDX19A	16	70380593
cg11094938	0.73770035335743	ATP2A1	16	28888844
cg11095315	0.467921721339545	PABPN1	14	23789003
cg11096640	0.013141385588457	ACTR3B	7	152457432
cg11096837	0.0152262190463105	NA	NA	0
cg11096993	0.114917363434172	ACY3	11	67417958
cg11098259	0.0871289555506064	AQP9	15	58430391
cg11099291	0.0230982317863875	C17orf91;WDR81	17	1620044
cg11099899	0.246900756579567	CLDN14	21	37852334
cg11100802	0.0108924967130121	TRIM52	5	180688063
cg11102782	0.0729165039735825	ISYNA1	19	18549136
cg11102794	0.0339087108234455	LMO1	11	8285587
cg11104347	0.0202978481622233	DUSP23	1	159750836
cg11105610	0.251969073130341	LGALS3BP	17	76976352
cg11107205	0.0177568132227721	RCL1	9	4793458
cg11108432	0.0118900005525101	PINX1	8	10697698
cg11108890	0.785352913417313	VAMP5	2	85811471
cg11109684	0.01128816007726	RAB10	2	26257047
cg11110686	0.824555190166905	MAGEC1	X	140991714
cg11113534	0.671998340860114	C20orf70	20	31756024
cg11114344	NA	NCRNA00188;SNORD49B;SNORD49A	17	16341984
cg11115427	NA	PHYH	10	13342610
cg11115702	0.0343541654137385	SPNS1	16	28986698
cg11116142	0.0133925535659202	CRBN	3	3221344
cg11116440	NA	URM1	9	131133274
cg11117707	0.0133502107993668	SLC16A6;ARSG	17	66288529
cg11118665	0.0180227873273438	TCFL5	20	61493341
cg11119131	0.0387481177815801	CCDC99	5	169010837
cg11119596	0.0298612496683216	CD96	3	111261010
cg11119884	0.26494502568867	NA	NA	0
cg11120551	NA	CHD1L	1	146713996
cg11122968	NA	CD33	19	51727295
cg11126134	0.0416061022385864	C13orf33	13	31480304
cg11126313	0.192785457222927	CCR3	3	46284262
cg11128808	0.671884732247522	CACNG6	19	54495970
cg11129291	0.0217669884906319	DARS	2	136742688
cg11130441	0.082309508571875	C2orf58	2	38358147
cg11132751	0.812307848115557	CXorf67	X	51149970
cg11134443	0.289239118849275	NA	NA	0
cg11136251	0.0188913818536726	ZWILCH;RPL4	15	66797427
cg11136562	0.259199101182574	ARAP3	5	141061285
cg11139878	0.0370668122922588	CD5L	1	157811790
cg11140307	0.0127410390950546	CMTM4	16	66730384
cg11140785	0.0176244701268688	ZNF264	19	57703301
cg11141013	0.0115627133954812	ZNF688	16	30583056
cg11141561	0.00909956609511992	CAMLG	5	134074404
cg11142466	0.0120681470008293	KRCC1	2	88355481
cg11147193	0.109641474692	HPCAL1	2	10442040
cg11147886	0.609356808733262	NFAT5	16	69598170
cg11148307	0.860760814822915		10	134671663
cg11149033	NA	TFAM	10	60145204
cg11151665	NA	PSG6	19	43421584
cg11151811	0.0108410256406364	PRKAG1	12	49412422
cg11151820	0.0136894794877581	CCT5;FAM173B	5	10250162
cg11152574	NA	ACSL5	10	114134550
cg11154542	0.0470973954221307	CTSL1	9	90340652
cg11154798	0.0160625625628344	RAI14	5	34656563
cg11154879	0.294768446822981	C20orf151	20	61001775
cg11155265	NA	ASAP3	1	23811445
cg11157872	0.0180536590283321	RSRC2;KNTC1	12	123011310
cg11158374	0.218662132768487	TFF2	21	43771664
cg11158430	0.886678799150655	UTS2D	3	191001413
cg11158440	0.0292040713942443	IER2;STX10	19	13261480
cg11158729	0.0141545655518018	CNNM4	2	97427027
cg11158760	0.0266239047281867	FHIT	3	61237270
cg11159299	NA	GZMM	19	543432
cg11159727	0.070565238693524	NA	NA	0
cg11160386	0.0136587544877612	MDM1	12	68725932
cg11160820	0.018881500741655	CD58	1	117113618
cg11161417	0.158866226231482	SPACA3	17	31319454
cg11161873	0.38970588257073	NA	NA	0
cg11164347	0.0651746170893099	NA	NA	0
cg11164400	0.0950748051873953	PPP1R9A	7	94536787
cg11166252	0.0143238054456604	AHR	7	17338258
cg11166823	0.00978945657913799	AGPAT3	21	45284425
cg11166999	0.465481267520801	PAR-SN;SNORD107	15	25226929
cg11170179	0.0528096774486604	KLK10	19	51522767
cg11170796	0.836773097730262	TCF3	19	1650224
cg11171719	0.134466024275952	CTDSPL	3	37903684
cg11172196	0.0109270256320276	TMEM65	8	125384789
cg11172299	0.00805949914361855	C14orf142;UBR7	14	93673792
cg11172423	0.180128640691768	CLDN19	1	43205623
cg11173246	0.0841531449235467	TSPAN4;POLR2L	11	841376
cg11174654	0.126416271807829	NA	NA	0
cg11175310	0.123327322048718	RSU1	10	16859107
cg11175476	0.0349904399953909	LRP6	12	12419201
cg11175477	0.0123173484621806	VPS29;RAD9B	12	110939919
cg11176095	NA	GPR126	6	142622515
cg11177404	0.127489588056978	CGB2;SNAR-G2	19	49535079
cg11177450	0.0152209287389516	SENP5	3	196594476
cg11177693	0.170095704440517	ZNF513;PPM1G	2	27604063
cg11177955	0.0123538205236132	C1orf58;AIDA	1	222886490
cg11178136	0.0960279765578116	KIAA0652;HARBI1	11	46637717
cg11178443	0.011275070429972	RANGRF;SLC25A35	17	8192024
cg11179184	NA	C8orf76	8	124254358
cg11181795	NA	NEURL4;GPS2	17	7219971
cg11184091	0.0127831050993362	DOLPP1	9	131843633
cg11185452	0.0358540634530347	SLC39A9;ERH	14	69865072
cg11185569	0.0154848081397693	CHN2	7	29234470
cg11187508	0.0208132811619692	CWF19L1	10	102027336
cg11189434	0.0188257359783984	RPL5	1	93297822
cg11189837	0.0266620074815438	ADAMTS1	21	28218596
cg11191210	0.0563826664656324	VGLL2	6	117585815
cg11191337	0.261250728026256	PLTP	20	44541804
cg11192270	NA	ATP13A2	1	17338644
cg11193041	0.0189515493395467	GSTZ1;POMT2	14	77787952
cg11194725	0.0273919336220084	CBX1	17	46178360
cg11195002	0.0124012991076224	ICAM5	19	10399805
cg11195662	0.0379524955356553	PRUNE2	9	79520720
cg11196870	0.0656503468476821	GINS4	8	41386826
cg11197066	0.0145517843011755	PGAP1	2	197791305
cg11199399	0.0675835055940584	LTBP1	2	33172442
cg11200929	0.0193949965577822	CRABP1	15	78632670
cg11201229	0.934344191460211	PIK3C2A	11	17191235
cg11201288	0.870163937806525	LRRC40;SFRS11	1	70669885
cg11201532	0.156854483243841	MFNG	22	37882078
cg11203041	0.0480223077602969	MGST1	12	16500185
cg11204562	0.171437854057309	C10orf81	10	115511153
cg11206634	0.154511103868612	SFT2D3	2	128458399
cg11206667	0.0137320828490858	FBXO36;TRIP12	2	230786584
cg11206763	0.0144749186522092	ESYT1	12	56521692
cg11207379	0.015116527763937	TDG	12	104359415
cg11207564	0.0328217183692178	NA	NA	0
cg11208235	0.0147004287379068	BCAR3	1	94147468
cg11208483	0.482891914075971	NA	NA	0
cg11208880	0.0124517863639668	LRRC8D	1	90287278
cg11212312	0.218865195098234	IL3	5	131395683
cg11212609	0.0224634584750477	C17orf81;DULLARD	17	7155399
cg11213150	0.146524258562934	ANGPTL2;RALGPS1	9	129884457
cg11214889	0.0178961126643436	CLUL1	18	597111
cg11216616	0.0544419354292444	RAB35	12	120555510
cg11219178	NA	OSBPL5	11	3120949
cg11220060	0.0886483375770077	KLF1	19	12997418
cg11220635	0.0393566956037989	RDH11	14	68162577
cg11221132	0.606187784101141	CYP2D7P1	22	42540342
cg11221265	0.0178354936481257	SDHC;LOC642502	1	161284279
cg11221508	0.0220498764604564	ZNF830;CCT6B	17	33288337
cg11221513	NA	C22orf9	22	45636109
cg11222041	0.0267294382229132	TOR1A	9	132586346
cg11223252	0.0172397268276709	RNF103	2	86851318
cg11223864	0.0197174465328873	GNB2	7	100271323
cg11225410	0.0136029448254069	SOCS2	12	93966317
cg11225935	0.0111355668558522	KDM5A;CCDC77	12	498478
cg11226328	0.0185331743101111	EPB41	1	29213367
cg11227541	0.0225578757921144	GNG5;SPATA1	1	84972317
cg11228872	0.0166762172091953	CALR	19	13049259
cg11231018	0.946438392956635	LIPF	10	90423408
cg11233153	0.444659585490083	SLC10A3	X	153718691
cg11233228	0.0353197246727245	PRPF4;CDC26	9	116037401
cg11233384	0.0168838117822092	AKR7A3	1	19615702
cg11234457	0.977076779356095	FTMT	5	121187547
cg11235426	0.556957237249927	DUSP22	6	292522
cg11235871	0.00935657253201959	QARS	3	49142143
cg11236244	0.197179332300813	CSAG1;MAGEA12	X	151904510
cg11237115	0.015055910719246	KLHL24	3	183353422
cg11237738	0.511915925044919	C4orf6	4	5527295
cg11237817	0.302418129860241	NA	NA	0
cg11237883	0.01279497987382	STYXL1;MDH2	7	75677249
cg11238505	0.0126574580814043	CYHR1;KIFC2	8	145691776
cg11241627	0.804115276518513	FERD3L	7	19185165
cg11243196	0.0146237383781602	ADAMTS3	4	73434856
cg11245384	0.168811498506545	PDYN	20	1974646
cg11246695	0.00961311550701304	PIAS3	1	145576023
cg11248413	0.022777109100026	NEUROG1	5	134871658
cg11248491	0.0149628643810662	CYTH3	7	6312525
cg11249120	NA	SAMD3	6	130543838
cg11249173	NA	LOC221710;HERV-FRD	6	11112209
cg11250058	0.0462147059213149	NA	NA	0
cg11250247	0.0342640150847031	TBP	6	170864036
cg11251086	0.0155290353285608	DUSP11	2	74007147
cg11251498	0.32217988521164	IDO2	8	39792769
cg11251858	0.0125532050448942	ESR1	6	152129036
cg11251877	0.163172363871147		6	168398981
cg11254522	0.367960910466077	FGR	1	27950343
cg11255163	0.00936243573762777	CDH1	16	68771200
cg11255230	0.0131641181518748	BCL2	18	60987808
cg11256279	NA	C7orf23	7	86849303
cg11256445	0.962920062901319	HCLS1	3	121380233
cg11258532	NA	CA7	16	66877873
cg11260422	0.0188155190615154	FOXA1	14	38064112
cg11260848	0.112175724409525	ALX4	11	44326260
cg11261264	0.271837162822847	PTPRH	19	55720737
cg11262815	0.0177310889576881	CACNA1G	17	48638703
cg11262874	0.37843592080682	ZNF681	19	23941711
cg11263296	0.0486075075005776	CCDC64	12	120428313
cg11263497	0.0190668228887259	WDR35	2	20190220
cg11263584	0.0124337616141587	ICT1	17	73008587
cg11264817	0.0108748495764004	INCA1;KIF1C	17	4901584
cg11265916	0.0126282597904671	MAPK1	22	22221056
cg11265941	0.672212651455667	SNRPN	15	25068738
cg11266874	0.0212310998985218	ARL13B	3	93699352
cg11267879	NA	CYP2F1	19	41619952
cg11269533	0.0418487329403329	FEV	2	219850301
cg11270633	NA	IL28B	19	39736956
cg11271605	0.020060138835372	STEAP4	7	87936282
cg11272332	0.113961508369	ZDHHC15	X	74742810
cg11274211	0.0197490857694836	PIP5K1B;FAM122A	9	71395330
cg11275139	0.0208130383942512	NA	NA	0
cg11276198	0.00835236141096573	KRAS	12	25404189
cg11276280	0.0200306386913569	TBCC	6	42713551
cg11277126	0.0151988056419869	TRPC4AP	20	33680945
cg11277230	0.0287755748062234	C4orf36	4	87813935
cg11278262	0.020192763731766	KRTCAP2;TRIM46	1	155146720
cg11279021	0.400116559345824	ETV1	7	14028690
cg11283860	NA		1	8273352
cg11285003	0.0169086134653657	HCN1	5	45696592
cg11285843	0.0482957810320163	TMEM41A	3	185217130
cg11286122	0.141376995236221	PHLDB1	11	118477406
cg11286163	0.0122087897839902	PSMA5	1	109969161
cg11286618	0.0185324153047274	WBP1	2	74685465
cg11289251	0.00678531092917689	DDX28;DUS2L	16	68056774
cg11290225	0.0674959894382697	KIFC2	8	145692591
cg11291009	0.268672384585922	ARHGEF9	X	62975067
cg11291200	0.797018290665747	MAGEB2	X	30233490
cg11295113	0.100921402956355	FOLR2	11	71927938
cg11295902	0.016272507237592	SF1	11	64546368
cg11296363	0.026528124191851	FTSJ3;PSMC5	17	61905004
cg11296937	0.149304145855137	PRDX5;TRMT112	11	64084966
cg11297236	0.0800852610503817	PDILT	16	20416475
cg11298412	0.0147010596632171	PARM1	4	75858589
cg11298616	0.0173225008640588	CKAP2	13	53029954
cg11299964	0.0299689600482815	MAPKAP1	9	128469783
cg11300809	0.150067391573154	SGPP2	2	223288637
cg11301598	NA	OASL	12	121476792
cg11303670	0.0244399198209747	TSPAN33	7	128784442
cg11303749	0.0144822853101852	HIST1H4B	6	26027410
cg11304234	0.0589626926326787	IL18	11	112034801
cg11304524	0.95508705811068	TSSK4	14	24674887
cg11304734	NA	POLR1E	9	37485592
cg11308639	0.108949372981473	BMP10	2	69098272
cg11308840	0.523086691224813	TMEM215	9	32783516
cg11310496	0.529509389533801	PNLIPRP2	10	118380175
cg11310692	0.0221679269286356	PEX7	6	137143636
cg11311499	0.0210862807965281	MSH2	2	47630845
cg11312566	0.0164379841540565	SLC2A8	9	130159344
cg11313124	0.0200104919485265	ZMAT3	3	178789226
cg11313997	0.0122048051072531	B4GALT7	5	177027589
cg11314271	0.19585545143442	NA	NA	0
cg11314292	0.0338477020650023	RNF125	18	29598433
cg11314684	0.506758907317856	AKT3	1	244006288
cg11316784	0.0150342636956304	NSD1	5	176560594
cg11318251	0.206345706215773	BAALC;C8orf56	8	104152588
cg11319389	0.206159872470823	TOX2	20	42544648
cg11320084	0.0632756841272539	RNF2	1	185014181
cg11320143	0.0265802567455275	GDAP2;WDR3	1	118472483
cg11321895	0.0219224319307673	PLAG1;CHCHD7	8	57123832
cg11323198	0.654172572387867	CDH8	16	62069806
cg11323230	0.0097876697641711	AMFR	16	56459217
cg11323731	0.0317068015723449	AKR1A1	1	46016768
cg11324740	0.0380638948296205	NUSAP1;OIP5	15	41624793
cg11325578	0.156718561894443	GPR143	X	9733287
cg11326613	0.0511021717489976	CCDC107	9	35657478
cg11326640	0.0257651957365075	NA	NA	0
cg11328149	0.655818667720777	LY6G6C	6	31689459
cg11328541	0.0497720846959323	OR7C1	19	14910889
cg11328875	0.0146037041828451	PPIL5	14	50066018
cg11329235	0.00855688172646998	SRRM1	1	24969260
cg11330108	0.0258062325460645	BCL2	18	60986115
cg11331769	NA	TAZ;DNASE1L1	X	153639287
cg11332950	0.0210934888850445	AHSA2	2	61404256
cg11332994	0.405995065972093	NA	NA	0
cg11334469	0.0291721863145766	NA	NA	0
cg11336428	0.0282351351591115	TEX2	17	62340505
cg11337525	0.0119939517513559	APOC1	19	45418417
cg11337780	NA	ZNF439	19	11977718
cg11340260	0.277887193610107	GP1BA	17	4835476
cg11341028	0.460980296135589	KBTBD4;NDUFS3	11	47601881
cg11341528	0.0125433026832273	CASD1	7	94139401
cg11344614	NA	JAM2	21	27010160
cg11345438	NA	KIAA2013	1	11986397
cg11346450	0.671961025605029	NA	NA	0
cg11353032	0.0113660934032155	ZRSR2	X	15808390
cg11354906	0.0287153785732696	SFRP2	4	154710371
cg11356290	0.0239051441817869	AZI2	3	28390998
cg11356705	0.0099120537735126	NUP54	4	77069568
cg11360149	NA	OR2V2	5	180581315
cg11360718	0.751329259056362	TM9SF4	20	30720375
cg11360768	0.0113153907690889	WHSC1L1	8	38239777
cg11366015	0.00813007174351182	C20orf27	20	3748106
cg11368509	0.0318059303019034	SUV420H2	19	55851365
cg11368578	0.0290704086983251	CDK5	7	150754936
cg11368643	0.758558847843282	PCDHB15	5	140625059
cg11368791	0.0182648669863558	WDR46;PFDN6	6	33257095
cg11368946	NA	GCAT	22	38204391
cg11371160	0.323104251085182	UBL4A	X	153714615
cg11371394	0.0531873652526402	TGFBRAP1	2	105946583
cg11371791	0.0152808031766374	NA	NA	0
cg11372696	0.00996863004588415	POLR2G	11	62528990
cg11372831	NA	PAICS;PPAT	4	57303157
cg11373429	0.0331727977581789	ICAM5	19	10400751
cg11373746	0.0371258724158504	ALDH9A1	1	165668181
cg11375079	0.0390454552279752	GLRX5;SNHG10;SCARNA13	14	96001246
cg11375102	0.0585358781035392	IFT140;TMEM204	16	1583810
cg11375475	0.0145324429317989	BBC3	19	47734362
cg11375622	0.0239681619194325	HSF1;BOP1	8	145516294
cg11376198	0.17763489666756	AKR7L	1	19600730
cg11377136	0.127102317222772	PKDREJ	22	46658960
cg11378044	0.764859067358403	NA	NA	0
cg11378052	0.151534192155783	HEATR4	14	74027058
cg11378484	0.220883677084261	THOC7	3	63848695
cg11378686	0.0236977511540412	ZNF318	6	43336278
cg11378840	0.0107831843020397	HHEX	10	94449797
cg11380128	0.208131053462517	PRLH	2	238473800
cg11380624	0.0440058749062876	DNAJC14	12	56222881
cg11384427	NA	CD27;LOC678655	12	6553585
cg11385473	0.0292856363109343	IMMP1L;ELP4	11	31530943
cg11386709	NA	EPB41L2	6	131278559
cg11386746	NA	CDH15	16	89237370
cg11387131	0.0309222620624494	KCNJ5	11	128761211
cg11387519	0.0278206526264111	CCDC142;MRPL53	2	74699973
cg11388238	NA	KCTD18	2	201375098
cg11389172	0.0560496952337961	SLC18A3;CHAT	10	50818299
cg11390468	0.0432660199838522	IFT57	3	107940784
cg11391732	0.165916493564171	HSPB3	5	53751919
cg11392765	0.0309342354287703	NKX3-2	4	13546673
cg11393453	0.00914690267557888	FAM59A	18	30050326
cg11393848	0.0886944974252446	C1QC	1	22969340
cg11394644	0.0445390668517255	FAM104A;C17orf80	17	71229370
cg11394785	0.103971946103262	LTC4S	5	179221090
cg11395610	NA	RAB28	4	13485238
cg11395917	0.014573427673889	PLEKHB2	2	131862942
cg11395975	NA	MLST8	16	2255950
cg11396509	0.0109269093875706	SIRT2;NFKBIB	19	39389915
cg11397854	0.0215329365637559	IQSEC1	3	13008878
cg11398517	0.0995026982109141	GTSF1L	20	42355625
cg11398680	0.0277681499790243	PTK2	8	142011853
cg11399100	0.0252021910406196	TMEM59L	19	18722368
cg11399527	0.0139240085562628	PDP2	16	66914446
cg11399590	NA	PCIF1	20	44564022
cg11399891	0.0308499983703265	ZNF444	19	56652352
cg11400333	0.0144751921013402	TMEM151A	11	66059695
cg11402505	0.0507858544218522	FBXO27	19	39523436
cg11403598	NA	NIP7;COG8	16	69374664
cg11405695	0.0669891604858568	ATAD3C	1	1384091
cg11406340	0.930570000254156	C10orf110;IDI2	10	1071573
cg11406695	0.0213453927183323	NA	NA	0
cg11407345	0.120514738362242	C21orf58;PCNT	21	47745057
cg11408517	0.0244674115175897	LATS1	6	150039536
cg11411707	0.0143865162541927	GABPB2	1	151043197
cg11412582	0.457371424661118	HERC2	15	28567519
cg11414046	0.0114330877323635	BRAF	7	140624194
cg11414151	0.0576857348249781	NA	NA	0
cg11415932	0.0183517625920037	POLB	8	42196139
cg11416386	0.0135548803419891	DPY19L3	19	32897202
cg11418559	0.225251734732172	GRRP1	1	26487928
cg11419863	0.0218529656950163	FAU;MRPL49	11	64890006
cg11422541	0.0147808231282499	ADCY6	12	49182586
cg11423990	NA	TXN2	22	36877559
cg11426590	0.00995797004627775	TRIM62	1	33647854
cg11428724	0.360766247569222	PAX7	1	18957632
cg11429632	0.0260679901483512	RAB14	9	123964581
cg11429658	0.446745468825527	ABCC13	21	15646635
cg11431126	0.0307613615732734	RHOU	1	228870709
cg11432797	0.301093588280321	SPN	16	29674487
cg11434468	0.0131133858469066	XKR6	8	11059277
cg11435943	0.484134126804895	SERPINB12	18	61222687
cg11438428	0.56295881251729	PTF1A	10	23481594
cg11438755	0.0172566553013386	TMEM20	10	95653570
cg11442050	0.0179730010539145	EIF4ENIF1	22	31886454
cg11442717	0.0203686204425674	PHF10	6	170125241
cg11443787	0.0328787543798344	MLLT10	10	21822403
cg11449935	0.0183891701374816	TGIF2	20	35202477
cg11450001	0.00812178495567369	GABARAPL1	12	10365596
cg11450827	0.0820265420710393	CLDN5	22	19513006
cg11451801	0.0122359114715303	PSMB10	16	67970768
cg11452221	0.0731507024269551	GEFT	12	58004830
cg11452360	0.0267287861154169	NA	NA	0
cg11453347	0.0149029470145128	UROS;BCCIP	10	127512288
cg11454415	0.0204301395651033	TOMM34	20	43588633
cg11455040	0.0188381853306437	SLC45A3	1	205649941
cg11456838	0.183610264594258	OSTCL	6	159278754
cg11458642	0.0138421698993092	ATR	3	142297295
cg11458974	0.195410199836462	HMOX1	22	35776686
cg11459714	0.0306529257944727	KLK10	19	51520658
cg11459822	0.0246667840068699	NA	NA	0
cg11460029	0.015239428236564	EFNB3	17	7608747
cg11460364	0.138143584159619	DPP4	2	162931397
cg11462533	0.0293523980350851	HPCAL4	1	40156840
cg11462865	0.00904046245945159	KRT19	17	39684124
cg11465163	NA	DIRAS3	1	68516093
cg11465372	0.315056619231732	KRT76	12	53171191
cg11465971	0.0458424350467962	NA	NA	0
cg11466485	NA	SARDH	9	136605868
cg11466837	0.177390033943052	TRIM29	11	120009682
cg11466908	0.0199233140126263	AUH	9	94123704
cg11467738	0.0160764703487076	ARPC1B	7	98972733
cg11468462	0.0115612020523905	NXPH4	12	57610686
cg11468711	0.0115760385512591	ZNF710	15	90545745
cg11469137	NA	PLOD1	1	11994385
cg11469321	NA	BDH2	4	104021294
cg11469778	0.389518567081528	ARHGEF4	2	131674201
cg11471401	0.108341787398572	KRT6A	12	52888480
cg11471666	0.00881500588992793	EIF4B	12	53400335
cg11472424	0.542872946061137	PFKFB1	X	55020450
cg11473104	0.342894010027941	NUDT15	13	48611615
cg11474075	0.0230015414097979	TTC5	14	20773935
cg11474811	0.272283798689802	TRPM5	11	2443869
cg11475332	0.0107334617974351	SDC1	2	20425343
cg11476211	0.0115569854761701	PRKCE	2	45879284
cg11476254	0.359587163906391	ACSF3	16	89159666
cg11479591	0.0852149781826033	MECP2	X	153362176
cg11479877	NA	B3GALT5	21	41029500
cg11480873	0.0141255651706537	RAB7L1	1	205744417
cg11481351	0.712071182926873	FNDC7	1	109265387
cg11481490	0.0219257123934667	C19orf54;SNRPA	19	41256723
cg11481720	0.0246978557128572	ZNF791;ZNF490	19	12721423
cg11481793	0.036428714479857	ZNF362	1	33722720
cg11483915	0.0234594872696593	SLC40A1	2	190446080
cg11484288	0.00943819346249161	NA	NA	0
cg11484576	0.086035098910367	LGALS12	11	63272554
cg11484872	0.129650870358352	TNF	6	31543169
cg11485602	0.0104099009450472	PDHB	3	58419482
cg11487705	0.00945370195048905	OXCT1	5	41870746
cg11487967	NA		2	242968692
cg11489580	0.029186752212672	G3BP2	4	76598793
cg11490446	0.01742094468267	PSEN1	14	73602923
cg11492040	0.198466496980922	H19	11	2016513
cg11492403	0.258487619724871	RUNDC1;AARSD1	17	41131552
cg11492856	NA	DVWA;CAPN7	3	15246587
cg11494656	0.905238567830001	ARR3	X	69487197
cg11494699	0.677954706908439	RAG1	11	36588217
cg11498156	0.0493077080381366	TLX1;TLX1NB	10	102890145
cg11498188	0.025611919887518	HECA	6	139456038
cg11498740	0.0151357200088578	MOAP1;C14orf109	14	93650664
cg11500727	0.0540248446237205	CNFN	19	42894425
cg11500797	0.0385487662730005	DLX5	7	96652123
cg11502800	0.0183556768561612	ZNF146;ZNF565	19	36705772
cg11503011	0.0840201642414126	NA	NA	0
cg11503744	0.0405219526627533	RUSC1;C1orf104	1	155294042
cg11504646	0.353629007113797	RTP1	3	186913950
cg11504739	NA	SCGB1A1	11	62186060
cg11504740	0.297880426611642	GPR152	11	67220043
cg11504897	0.568187781030045	NRN1	6	6007412
cg11505048	0.883859369789154	RGL1;APOBEC4	1	183622726
cg11505080	0.193047256006676	NA	NA	0
cg11505565	NA	TUBD1;RPS6KB1	17	57969198
cg11507178	0.138657841442674	BCL9L	11	118781515
cg11510269	0.0254581889762112	RSRC2;KNTC1	12	123011761
cg11510839	0.0216198039354242	OCA2	15	28344488
cg11511443	0.917003791648568	LMO3	12	16761406
cg11512771	0.961924150764311	ECM1;TARS2	1	150479487
cg11513856	0.0925099471397752	RABL5	7	100965680
cg11516377	0.0288933108535279	DPH1	17	1933153
cg11516606	0.0206588437901978	TDRD7	9	100175029
cg11518240	0.286111572110175	FKBP4	12	2902790
cg11519508	0.0210496570200848	NA	NA	0
cg11520395	NA	JMJD4;SNAP47	1	227924115
cg11521325	0.0746842336911105	CCDC114	19	48808268
cg11521965	0.397238476913041	PTN	7	137028604
cg11523020	0.182662556337391	UPK3A	22	45681036
cg11524446	NA	C1orf94	1	34642184
cg11525285	0.232422015654937	VSX2	14	74706336
cg11526405	0.0337905258366989	SH3GLB2	9	131790894
cg11527279	0.0375359289212325	TTLL11	9	124854846
cg11528101	0.00976966368287196	MRPS24	7	43909044
