Hybridization REF	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05	TCGA-A7-A0CG-01A-11D-A00Y-05
cg12400881	0.0171752082619093	PPL	16	4987052
cg12402251	0.0756641861318824	CALB1	8	91094811
cg12402495	0.00863870535370616	C1orf43;UBAP2L	1	154192844
cg12403575	0.0212613506742882	TRADD;FBXL8	16	67194943
cg12405833	0.0305788571816199	RUNDC2A	16	12070719
cg12406417	0.0275934717077019	BCR	22	23522551
cg12406460	0.0174361458205915	ATP5L	11	118271996
cg12406559	0.415994495692005	ZNF532	18	56530302
cg12408911	0.655097004596983	SLC7A5	16	87903671
cg12411068	0.0113348155616394	SMARCA4	19	11072235
cg12412075	0.0239517888838345	LIN7B	19	49618425
cg12413566	0.855568095790119	XIRP1	3	39235366
cg12417299	0.0129216365311839	NEK4	3	52804560
cg12417466	0.881377107556063	ARPP-21	3	35683819
cg12419067	0.0299266518877935	IL17RC;CRELD1	3	9975156
cg12420104	0.136297306263148	DMRT3	9	977109
cg12421458	0.0142202949351491	HDGF	1	156722064
cg12422450	0.151214290210198	CHGA	14	93389891
cg12422683	0.0195283616070831	MICAL2	11	12132611
cg12422968	0.014114099583733	GCH1	14	55369088
cg12424817	0.0150552959728727	LAPTM4B	8	98787961
cg12424907	0.959207836572869	PRR4;TAS2R20;PRH1	12	11151522
cg12425673	0.0161804375726868	WNK1	12	862975
cg12426141	0.0589929493350157	TCF12;LOC145783	15	57210872
cg12428416	0.777871689770689	GJA3	13	20717597
cg12428447	0.828786166790638	SLC22A6	11	62753072
cg12428604	0.0122091729893118	PHTF2;TMEM60	7	77427426
cg12430845	0.020535480082481	NIPBL	5	36876537
cg12431196	0.504138692150733	MAGEE1	X	75648216
cg12431401	0.607113501488046	SIRT2;RINL	19	39369277
cg12431699	0.0172247007086368	CDK5RAP1	20	31989412
cg12432709	NA	CCDC68	18	52627333
cg12433691	0.0218294584521442	GCC2	2	109065314
cg12434258	0.0123740641841758	ZNF490;ZNF791	19	12721799
cg12434587	0.0111024611880073	MGMT	10	131265209
cg12434779	0.331598944719171	ARHGAP6	X	11684104
cg12435359	0.0115749619671809	BTBD1	15	83735668
cg12435611	0.021396751065064	BRIP1	17	59941052
cg12435758	0.0195366747697755	LGI2	4	25032141
cg12435792	0.642061304366049	PDE6B	4	619375
cg12437239	0.0648461287613565	GOLIM4	3	167814123
cg12437481	0.0914902257066074	MRPL28	16	420112
cg12438034	NA	MAGEF1	3	184430477
cg12438037	0.457342051983457	MRPS2	9	138393570
cg12438666	0.0526645643757453	C2orf15;TSGA10	2	99757242
cg12439773	0.742727690461424	SLC22A6	11	62752119
cg12439899	0.0323752647526149	TFAP2A	6	10415232
cg12441928	0.260846058732371	CCR1	3	46249985
cg12441964	0.980537966990319	CCDC79	16	66835860
cg12444340	0.0190239253366831	RBM5	3	50126434
cg12445208	0.600695224342341	ZNF583	19	56916205
cg12446644	0.0280634861579535	LASP1	17	37026641
cg12447832	0.212622029799638	TTC15	2	3383257
cg12448933	0.202330245998232	RAB37	17	72667378
cg12448934	0.0135035464971552	CLSTN3	12	7283049
cg12449183	0.938268759745786	ERAS	X	48687283
cg12452010	0.0307497469308267	ADO	10	64564444
cg12452675	0.0125818091359317	ACOX1;C17orf106	17	73975215
cg12452946	0.0468517798443241	MFSD8;C4orf29	4	128886867
cg12453288	0.0249061392182616	C2orf50	2	11273229
cg12453778	0.0194274254488925	COMMD1	2	62132763
cg12454167	0.120887209174961	KNG1	3	186435060
cg12454725	0.0126867408519819	SYT17	16	19179231
cg12455187	0.87775690658671	CCL5	17	34208503
cg12455562	NA	BTN2A3	6	26422779
cg12456510	0.420962403549186	TFF2	21	43771355
cg12457773	0.436715831439238	NRSN1	6	24126497
cg12459502	0.591929875713523	BCL2	18	60904237
cg12460105	0.0187118486914458	RAD17;TAF9	5	68665773
cg12460359	0.641637584808984	NA	NA	0
cg12460541	0.130558043982261	ITPKA	15	41785560
cg12461141	0.68270390517788	TRIM22	11	5710654
cg12463550	0.0127782254804949	CRCP	7	65579703
cg12465398	0.0362130042784788	PPIL3;NIF3L1	2	201753874
cg12466095	0.742676210978686	NA	NA	0
cg12467090	0.825975412398577	PIK3C2B	1	204459139
cg12467191	NA	CSK	15	75074068
cg12467864	0.0112332500353603	PRC1	15	91537971
cg12468056	0.0159086935089381	MYST3	8	41909961
cg12468189	0.502851376952296	SRPK3	X	153046767
cg12471156	NA	RBM16	6	155054259
cg12473775	0.460069707869744	RHOD	11	66824650
cg12476968	0.0834793528418157	SLC12A6	15	34610829
cg12477012	0.0169332888808486	NASP	1	46049214
cg12477119	0.0624745734719652	CDK12	17	37617470
cg12478185	0.183598137657159	C17orf48;SCO1	17	10602001
cg12478809	0.0204360393350729	COX5A	15	75230753
cg12478978	0.044840918081587	FLOT1	6	30710766
cg12480658	0.073283168035736	ATF2;MIR933	2	176033148
cg12483860	0.0207075278685264	TNIP1	5	150460615
cg12484193	0.0181307946140407	DUSP19	2	183943469
cg12485020	0.416424935235185	CHRDL1	X	110039269
cg12485992	NA	SPATA22	17	3374971
cg12489819	0.0252765956756454	FDPS	1	155278858
cg12489960	0.729664425756758	SGCB	4	52905025
cg12491368	NA	EEF1DP3	13	32523340
cg12491659	0.732648579142707	GAPT	5	57786356
cg12491710	0.979292935415066	LIM2	19	51891526
cg12493160	0.9404410579654	NA	NA	0
cg12493906	0.529559506871274	MMP26	11	5009311
cg12497298	0.0156487764926384	MUL1	1	20834501
cg12497564	0.0719104044753639	RBP1	3	139258295
cg12497692	0.872444103969911	ZBTB32	19	36203089
cg12497851	NA	TBC1D14	4	6910926
cg12499211	0.379914556197702	NTRK1;SH2D2A	1	156786643
cg12501949	0.769723088006737	CCDC141	2	179750458
cg12503243	0.098837879320313	PRPF39	14	45553114
cg12504957	0.0138429220428949	MDM2	12	69202060
cg12506373	0.0180723856209602	CAD	2	27440548
cg12506971	0.0344893183147456	AADAT	4	171011264
cg12507125	NA	WWTR1	3	149375528
cg12508214	0.0124546270497973	FBXO32	8	124553600
cg12508624	0.139680322927898	THY1	11	119293780
cg12510502	0.977033443159507	SLC22A18	11	2942176
cg12510755	0.553116075422445	NA	NA	0
cg12513308	0.0245854801970551	CKLF	16	66586534
cg12513379	0.210070725040186	OR10H2	19	15838397
cg12513481	0.174440794930504	SKAP1	17	46507830
cg12514506	0.835158596449794	OSBPL5	11	3121286
cg12514620	0.0230459511808778	SSBP3	1	54871858
cg12515371	0.551826091665568	PPP1R16A	8	145721996
cg12515638	0.455732173639705	SFRP4	7	37956018
cg12517167	0.578468234767265	RBMX;SNORD61	X	135962887
cg12517944	0.979853063020126	NA	NA	0
cg12520111	0.0133129698784428	PPIA	7	44835727
cg12526025	0.0321114058649247	LARGE	22	34317552
cg12529228	0.900973678323557	NHLH1	1	160336994
cg12529801	0.0119072615651731	C16orf72	16	9184705
cg12530021	0.387890601229975	SIGLEC12	19	52004630
cg12530080	0.494699113155584	CDH12;PMCHL1	5	22141639
cg12530270	0.949096258022579	DCST1;DCST2	1	155005172
cg12531003	0.0206474517974168	ZNF580	19	56152621
cg12531542	0.485536855559724	MOGAT2	11	75429059
cg12532169	0.609278057619021	NDN	15	23932370
cg12532477	0.522119991472205	CHST6	16	75529504
cg12532500	0.0495403987545985	STARD13	13	33859636
cg12532667	NA	EMCN	4	101440020
cg12533010	0.0315098237447341	PSMA3	14	58711667
cg12533335	0.0264908580927238	TAF1C	16	84220778
cg12534466	0.0203450356968853	SLC25A38	3	39424767
cg12535715	0.624288233650311	HTRA4	8	38831693
cg12536534	0.474803340340531	IKBKG;G6PD	X	153774863
cg12537796	0.509690482076224		X	106515818
cg12539975	0.274051666102812	PRDM12	9	133539583
cg12541591	0.0261527673689678	TGFBR2	3	30648096
cg12542281	0.0437255569003407	N4BP2L2	13	33113069
cg12542604	0.0483904178054542	ANKS1A;TAF11	6	34856704
cg12543649	0.0152933410254983	THBS3	1	155176868
cg12547930	0.462586996109363	WFDC6	20	44168753
cg12548064	0.0197116255189915	ANKRD46	8	101571911
cg12548454	0.0344177041374613	PSAT1	9	80911457
cg12549513	0.539707208795018	BEX2	X	102565951
cg12552392	0.481192834107147	NA	NA	0
cg12554476	0.520315576117384	GP2	16	20338808
cg12554573	0.350883834944082	PARP3;RRP9	3	51976667
cg12554819	0.0136658311759825	REV1	2	100106981
cg12554857	0.854294761815703	HPGDS	4	95264019
cg12555334	0.258406179848931	CCT6A;PSPH	7	56120290
cg12555907	0.800329026565045	MBP	18	74845422
cg12556134	0.61438213575206	TGIF2	20	35201610
cg12556325	0.780723902486392	C7orf29;LRRC61	7	150026731
cg12556991	0.02445475206217	RPL27	17	41150487
cg12558519	0.0318683812485667	KLHL26	19	18748017
cg12558957	0.0181862315717098	NA	NA	0
cg12559031	0.0560321294764278	DLX4	17	48046365
cg12561748	0.0175971404284223	ZKSCAN4	6	28220091
cg12562500	0.0127154131110734	CLPP	19	6361639
cg12563178	0.0285363776490437	PLXDC2	10	20105641
cg12563480	0.0211320012553451	SNX11	17	46184629
cg12564453	0.851659061292877	CETP	16	56995840
cg12564962	0.925399550289434	DSCR6	21	38377938
cg12566415	0.930824314352199	LHB	19	49519613
cg12567315	0.0156466153883357	TSPAN13	7	16793634
cg12568776	0.0110701172195914	EPB41L4B	9	112083456
cg12569173	NA	FAM104A;C17orf80	17	71227752
cg12569516	0.0152691416937541	TRPS1	8	116681193
cg12570787	0.0267058066699703	SDHA;CCDC127	5	219185
cg12571423	0.520916233638291	CCNA1	13	37006748
cg12572011	0.0122154155015362	UBE3A	15	25684085
cg12572278	0.18346381007942	OAF	11	120081259
cg12572545	0.0170044737082594	SC4MOL	4	166248219
cg12572827	0.948622637542142	PDE6H	12	15125509
cg12572939	0.629380552921269	NA	NA	0
cg12573766	0.0179979012275596	SNORD15A;RPS3	11	75110826
cg12575181	0.865591548810429	PIGH	14	68067658
cg12575751	0.0132360385363576	NUCB2	11	17297984
cg12576145	0.48770203276131	AMMECR1	X	109560751
cg12576700	0.0172193611349982	CDK5RAP2	9	123342680
cg12576844	0.892198096035548		5	132207512
cg12577610	0.0151873098294366	SMARCD2	17	61920423
cg12578166	0.562905866316503	KCNQ1	11	2466909
cg12578480	0.0372425579690442	MSRB2	10	23384902
cg12581035	0.0121549402236758	PHC1	12	9067477
cg12582008	0.827989024335868	OLFM4	13	53603286
cg12582366	0.0936051589989434	NA	NA	0
cg12582959	0.324828181952255	CCDC106	19	56159199
cg12582965	0.979240258152952	ATP10A	15	25972328
cg12583908	0.0394087343548016	RFC4	3	186524777
cg12584034	0.0378154453031524	NA	NA	0
cg12584718	0.229423794295207	MEPCE	7	100028402
cg12584889	0.579009582279799	NXF3	X	102347925
cg12585282	NA	PABPC4	1	40042727
cg12585943	0.257219181450317	PPT2	6	32121368
cg12586262	0.0323354587993042	ZNF160	19	53606654
cg12588299	0.893860407999882	GPR31	6	167571803
cg12588301	0.707776053570778	CRCT1	1	152487335
cg12588476	0.019240746861675	ZSCAN21	7	99647494
cg12589433	0.333385482475174	AR	X	66765978
cg12591323	0.946210661636608	SMARCAL1	2	217278609
cg12592463	0.0178743058178836	C1orf63	1	25574236
cg12592716	0.0301945825449646	CUL1	7	148395181
cg12592779	NA	ZNF12	7	6745725
cg12593411	NA	ANGPTL6	19	10213722
cg12594641	0.141468201634735	NA	NA	0
cg12598178	0.978145649807715	UTS2R	17	80332278
cg12598198	0.800538062708592	HSPB2	11	111784386
cg12598364	0.0191909872997293	GCAT	22	38203677
cg12598575	0.010019701227644	BOD1	5	173043653
cg12599000	0.902313823052773	NA	NA	0
cg12600197	NA	NEIL1	15	75639339
cg12601757	0.390344084716871	ST6GALNAC3	1	76540465
cg12601987	0.0242478096599272	RASD1	17	17399718
cg12603043	0.0143846337490098	EHD2	19	48216450
cg12603560	0.336886981604445	TNKS1BP1	11	57090070
cg12604192	NA	KCNA10	1	111062127
cg12605747	NA	RPL4;ZWILCH	15	66798443
cg12609467	0.0292818373145872	DAG1	3	49508289
cg12610070	0.118863050329392	TSPAN15	10	71211762
cg12610744	0.51812820188167	KRT4	12	53208762
cg12611860	0.651671046798594	PIK3C2A	11	17191617
cg12612336	0.0149217367985396	PRPSAP1	17	74350433
cg12613344	NA	NR1H3	11	47280305
cg12613383	0.490161998739069	PLD5	1	242688681
cg12614105	0.356720033180481	NPY	7	24324435
cg12616277	0.0574747218523987	ESYT3	3	138153763
cg12616487	0.642099694213907	ROM1;EML3	11	62379063
cg12618251	0.0444231632004962	FZD7	2	202899058
cg12619162	0.755941124262895	FXYD4	10	43867155
cg12619509	0.63618478080251	DNASE1L2	16	2286601
cg12620111	0.0193122927876353	ZNF70	22	24093496
cg12620499	0.0195845868610797	MREG	2	216877984
cg12621514	0.435295823981869	DKK1	10	54073047
cg12622273	0.848282453845841	LGI4	19	35625496
cg12622986	0.284440758807796	BARHL1	9	135458173
cg12623088	0.0228906456096723	DIS3L	15	66585521
cg12624523	0.938504049746201	GPLD1	6	24489770
cg12624641	0.136718403887033	C14orf143	14	90420569
cg12626085	0.0144482406342267	UEVLD	11	18610074
cg12626411	0.435014747431301	PRG4;MIR548F1	1	186265765
cg12627583	0.0248329376693677	AOX1	2	201450731
cg12628062	0.0162474814295638	PSMC3IP	17	40729398
cg12628956	0.0185107523587101	RFESD	5	94982685
cg12629083	0.0145244576852738	SENP1;PFKM	12	48499284
cg12629244	0.803734209608504	FAM20B	1	178994355
cg12629325	0.427773832333319	PCDHAC1;PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA1;PCDHA2;PCDHA9;PCDHA13;PCDHA5;PCDHA3	5	140306458
cg12629515	NA	HIST1H3J;HIST1H2BO	6	27859811
cg12631737	0.0793112720616523	FUT4	11	94277190
cg12635664	0.037665839332284	SAR1A	10	71930586
cg12638745	0.475496647025342	SH3BGR;LCA5L	21	40816464
cg12639234	NA	NAT2	8	18248964
cg12640109	0.301895391044704	ASRGL1	11	62104720
cg12641660	0.021388058038075	TTF2	1	117602129
cg12643449	0.598749501719217	IFRD1	7	112062338
cg12643877	NA	ARHGAP27	17	43502145
cg12644353	0.0434775249173106	ACTR3	2	114647787
cg12645220	0.279688206171335	PAK7	20	9819272
cg12645567	0.0125064944520177	NA	NA	0
cg12645742	NA	SMAD6	15	66994830
cg12646585	0.0337516784794812	WDYHV1	8	124429417
cg12647320	0.952989662205955	POGZ	1	151433222
cg12647587	0.883189235167643	C10orf129	10	96954252
cg12647643	0.0873921790817232	PTPN13	4	87515184
cg12648263	0.0116209625393773	PIGH	14	68067090
cg12648583	0.0201774298692492	KIAA1712;FBXO8	4	175205248
cg12650011	0.0212051552783838	TSPAN12	7	120498280
cg12650635	0.73427627435783	AQP2	12	50344463
cg12650780	0.424073815004127	SH3BGRL;HMGN5	X	80458049
cg12650926	0.0192360654874189	ITPR3	6	33589118
cg12651014	0.0290291839438538	CCDC7	10	32735292
cg12653105	0.630927206667127	PLP2	X	49028299
cg12654845	0.676437384268171	CLDN2	X	106163009
cg12657853	0.0147382809905634	HSF2	6	122720929
cg12658552	NA	SFRS2IP	12	46323656
cg12658982	0.0162660485059103	PRR15	7	29603541
cg12661229	0.0133799702044685	C3orf54	3	49840147
cg12661964	0.958351573234049	IFI35	17	41157777
cg12662162	0.0459205226040761	C6orf106	6	34664887
cg12663253	0.923683662640088	PIK3R1	5	67522532
cg12667808	0.013998646099031	NA	NA	0
cg12671744	0.450475840851843	FAAH	1	46859774
cg12674192	0.0139647285168678	MAK16	8	33342777
cg12675800	0.0203199286722322	TRAPPC6B	14	39639447
cg12676081	0.040655741192478	RIOK2	5	96518721
cg12680071	0.0292466200096706	COX6B1	19	36139062
cg12680609	0.581344611551419	NA	NA	0
cg12681402	0.0589640608555157	RPH3A	12	113229989
cg12682367	0.453744440569832		13	24523698
cg12683641	0.948271870064122	KLK14	19	51587102
cg12683929	0.474975825304286	BLOC1S1	12	56109593
cg12684360	0.0239329541372925	KPNA3	13	50367057
cg12685200	0.0111918680736497	LGMN	14	93214923
cg12685753	0.300456230602317	TEKT1	17	6735539
cg12686016	0.0272441142518354	HOXA1	7	27135477
cg12686915	0.0426999966248594	EIF3H	8	117768332
cg12687215	0.566573156327015	FAM50A	X	153672898
cg12687463	NA	CFHR1	1	196787850
cg12687922	0.0212792206611553	PPM1J	1	113257872
cg12687990	0.0793676112834034	PTENP1	9	33677449
cg12688043	0.0283189432575352	MAP4	3	48129944
cg12688215	0.00879527871267387	TXNDC12;KTI12	1	52499228
cg12688670	0.0429669052936978	KIF22	16	29801602
cg12689375	0.0215110464316334	DDX3X	X	41192164
cg12689475	0.033333404577297	RPUSD1;CHTF18	16	837842
cg12691219	0.3809189563665	ARMCX3	X	100878134
cg12691366	0.00883634298950133	HSPC159	2	64681733
cg12693135	0.0119790824811377	ARL16;HGS	17	79651124
cg12693634	0.0710059743156853	SGMS1	10	52384065
cg12694555	0.917674415002581	NA	NA	0
cg12694870	0.841842395022175	HPD	12	122296680
cg12696750	0.0373399576459477	DNALI1	1	38022466
cg12697789	0.0394147622703598	TLR3	4	186990425
cg12699145	NA	TMC7	16	18995637
cg12699371	0.0632223846989409	GALR1	18	74961424
cg12701101	0.0154479259065304	NA	NA	0
cg12701576	0.0180323866206031	PEX19	1	160254608
cg12703269	0.804625399934014	PSTPIP1	15	77286232
cg12706983	0.0394499836070975	ZSCAN16	6	28092239
cg12707233	0.717532345398452	WNK3	X	54384964
cg12707353	NA	ACOX3	4	8440629
cg12709412	NA	C18orf8	18	21083001
cg12711530	NA	BMP10	2	69099285
cg12711814	0.0581247257206496	ENO1	1	8939529
cg12712746	0.015952840122325	SAMM50	22	44351370
cg12716838	0.0185696092506146	B3GALNT1	3	160823255
cg12717203	0.022647806857851	ZNF718	4	124342
cg12717594	0.462113383642933	RECK	9	36037454
cg12717668	0.0351577299522147	ZNF655	7	99156195
cg12718440	0.204201810363676	MORN4	10	99393576
cg12718562	0.644496494133336	NA	NA	0
cg12719235	0.0799004585401906	POLR2E	19	1095626
cg12721546	0.011677897340354	BCLAF1	6	136611096
cg12722998	0.0189022198369596	CUL4A;PCID2	13	113862943
cg12723191	0.923886422687538	PDC;MIR548F1	1	186429967
cg12723809	0.0201010672001431	C4orf36	4	87813066
cg12724357	0.0599021948304642	SYT12	11	66790285
cg12724466	0.698955958157427	ASB11	X	15333584
cg12724827	0.940360221003743	CENPI	X	100355703
cg12726576	0.72008080904424	NA	NA	0
cg12727374	0.0119681117777717	MAP6D1	3	183542914
cg12727795	0.560117351590352	PDGFRB	5	149535695
cg12728032	0.213049922414324	ELF5	11	34535357
cg12728629	0.824827886043671	NA	NA	0
cg12729048	0.0160988684778014	TUFT1	1	151513198
cg12729059	0.0137659477717238	NA	NA	0
cg12730381	0.165090003726519	YWHAG	7	75988212
cg12730424	0.0261605714117448	BTBD7;KIAA1409	14	93799109
cg12731488	0.677219272635368	SYTL5	X	37893211
cg12732155	0.56809506180541	LAPTM5	1	31230601
cg12732953	0.698094537111353	FMR1NB	X	147062547
cg12733079	0.0206887049308979	DOCK4;ZNF277	7	111845182
cg12733430	0.0223454486467263	KLHL8	4	88141939
cg12736438	0.0191016229725058	RAB20	13	111214457
cg12737574	0.0318790539994853	CATSPER2P1;PDIA3	15	44038332
cg12737801	0.0242707691649039	TCEA1	8	54934346
cg12738007	0.0100217136752581	MRPL16	11	59578167
cg12738197	0.0226965429591404	ZNF572	8	125985883
cg12739034	0.0188499531188564	PTGER3	1	71513626
cg12739647	0.0120620513539194	SFT2D2	1	168195558
cg12741420	0.259908191170766	IRF4	6	392131
cg12741488	0.0333429599755974	FLYWCH2	16	2933841
cg12743398	0.527614211013754	SULT1A2	16	28609531
cg12743894	0.00740551679371657	C11orf46	11	30344937
cg12744185	0.0228751201913452	PCTP	17	53828387
cg12745769	0.0131142178280633	ZNF493	19	21579993
cg12748258	0.0176122277142182	HR	8	21988173
cg12748926	NA	PLD3;C19orf47	19	40854020
cg12753358	0.150111647054442	EFNB1	X	68047716
cg12753858	0.650843129484244	C15orf55	15	34637869
cg12754733	0.0190705380207068	C19orf39	19	11485436
cg12754854	0.875803298178239	PHYHD1	9	131682859
cg12757143	NA	WDR85	9	140473704
cg12757684	0.647369817671056	PLAGL1;HYMAI	6	144329485
cg12758687	0.481982017880282	DRD2	11	113346327
cg12759554	0.591861493599007	NAP1L5;HERC3	4	89618637
cg12762680	0.0409558572595307	PSMB9;TAP1	6	32822346
cg12762799	0.740457522251469	CLEC4E	12	8693542
cg12763546	0.542857378313325	ZNF232	17	5027051
cg12766348	0.0151532107835759	CLK4	5	178054039
cg12768605	0.301827616861857	LYPD5	19	44324951
cg12770741	0.772032263617332	NXN	17	883776
cg12771281	0.00944311792435881	SLC38A6;TRMT5	14	61447816
cg12774845	0.0464828514526111	C14orf45;ENTPD5	14	74486312
cg12775479	0.943824351641196	IGSF10	3	151176684
cg12775613	0.923198776814682	HTR1F	3	88040034
cg12776163	0.0201971472835503	SEPT7	7	35840706
cg12780286	0.0201779371872213	IQCB1;EAF2	3	121553586
cg12780322	0.0268280154933838	SRP72	4	57334163
cg12781218	0.0297257375750091	C7orf31	7	25219610
cg12781395	0.0239443846868636	C14orf178;SNW1	14	78227701
cg12781568	0.916507067145974	WT1	11	32452038
cg12782180	0.683813444912606	LEP	7	127880932
cg12783573	0.0191369630722238	ZUFSP	6	116989975
cg12783640	0.0120266768620486	ABCC5	3	183735660
cg12783776	0.226867885837185	SERPING1	11	57365948
cg12784172	0.908051022725898	TUBGCP4;ZSCAN29	15	43661957
cg12785087	0.0156297246372517	NAA40	11	63705946
cg12785675	0.0456825731501624	ARMC2	6	109169698
cg12785689	0.0309043043722793	EIF6	20	33872408
cg12787624	0.0113913966844646	LIMA1	12	50677281
cg12788061	0.0129564315914206	TIGD3	11	65122441
cg12788313	0.845666664854818	NA	NA	0
cg12788467	0.41803263184857	HNF1B	17	36105335
cg12788471	0.00892307452639235	ARPC5L	9	127630977
cg12789833	NA	FBXO22	15	76195876
cg12790134	0.0144684026545271	VCPIP1	8	67578787
cg12791465	0.6924420332689	NA	NA	0
cg12791554	0.9323238678427	PRR4;TAS2R20;PRH1	12	11151622
cg12792011	0.0130276101251875	ZNF329	19	58661915
cg12792157	0.0107113834810233	MYCBP	1	39339004
cg12792366	0.0150906327758013	LRRFIP2	3	37217087
cg12792367	0.394004367244294	TFR2	7	100238750
cg12793610	0.859742184290846	TRIM2	4	154125637
cg12795208	0.8450961984346	KRT6B	12	52845938
cg12796229	0.0185107104016454	SLMO1	18	12408045
cg12797788	0.0124334677873404	CENPT;NUTF2	16	67881270
cg12799265	NA	LEPRE1;C1orf50	1	43231483
cg12799835	0.196573829601344	FAAH2	X	57313034
cg12799895	0.61531366923678	NA	NA	0
cg12800028	0.182235564050029	GPR6	6	110300146
cg12800145	NA	GPRC5D	12	13103655
cg12802819	0.0246096114267653	DDX25;PUS3	11	125773242
cg12803724	0.0200691204167784	FAM164A	8	79578360
cg12804976	0.034890788146264	NA	NA	0
cg12806381	0.0213989790465478	PIGV	1	27114177
cg12806521	0.0176973357588984	NOP2	12	6677729
cg12808992	0.0215277990722688	ULBP2	6	150263354
cg12809314	0.0402345295614335	ZNF445	3	44518785
cg12810190	0.0116144952837714	ZNF740;CSAD	12	53574537
cg12810837	0.671535829176161	CLEC2D	12	9822287
cg12811135	0.951116290929584	C2orf51	2	88824472
cg12813792	NA	C20orf85	20	56725695
cg12813797	0.906118506128844	TAAR6	6	132891505
cg12813922	0.0243448460141817	RAB3GAP1	2	135809940
cg12814525	0.0120927115264688	MDC1	6	30685250
cg12815142	0.624384127070512	CAMTA2;SPAG7	17	4872603
cg12815841	NA	LHPP	10	126150822
cg12815916	0.982631039035108	PTPN18	2	131114432
cg12818699	0.872987067705753	FAM65B	6	24877582
cg12819826	0.635741330361324	PPAN;PPAN-P2RY11	19	10216676
cg12820481	0.0260520417497764	NEK2	1	211848760
cg12820608	0.0202861271277686	RARG	12	53626390
cg12821045	0.0123835071396868	ZNF573	19	38270280
cg12821724	0.831885500314051	SLC23A2	20	4990320
cg12823748	0.0342606890171326	USP15	12	62654080
cg12825252	0.00899864041959495	CCDC142;TTC31	2	74710227
cg12827188	0.573793846060751	FGA	4	155511987
cg12827555	0.542617338407394	VSX2	14	74706031
cg12830694	NA	PPP1R14A	19	38747796
cg12830829	0.0149394879980257	TMX1	14	51707081
cg12832565	0.756452650161354	CD160	1	145715672
cg12832649	0.247431334463711	SPOCK1	5	136834863
cg12833011	0.54150091735689	KCNIP1	5	169930535
cg12833508	NA	AP1S3	2	224701802
cg12833720	NA	BCL3	19	45251551
cg12835684	0.0515900000739801	MFSD5	12	53645647
cg12836610	0.0419802807127699	MTCH2	11	47663538
cg12836863	0.796421174451799	BRCA2	13	32889023
cg12838902	NA	SLC29A4	7	5322586
cg12839593	0.0234145049986876	SIX1	14	61116227
cg12840719	0.335965601161678	CDKN2A	9	21968233
cg12841020	0.297385309596212	PGF	14	75422604
cg12842316	0.439981612493591	SLITRK4	X	142723457
cg12844497	0.021949056621514	AURKB	17	8114032
cg12845249	0.0176726643868842	CENPT;THAP11	16	67876451
cg12845808	0.598983018793853	PCDH12	5	141338604
cg12846567	0.940217900497189	ZNF556	19	2866619
cg12846938	0.0278326306785938	MIR639;TECR	19	14640140
cg12847373	0.157088293773601	EDNRB	13	78493349
cg12848131	0.0088841883205485	KLF5	13	73633312
cg12850636	NA	TJP3	19	3727602
cg12853521	0.0330976664850347	MC5R	18	13824359
cg12854483	0.418781288383345	CNN1	19	11649671
cg12855851	0.607361985703642	PGC	6	41715185
cg12855988	0.270053979839904	RPS12;SNORD101	6	133135904
cg12856392	0.247989208196499	ZNF107	7	64126140
cg12857957	0.0140897006090764	LZTFL1	3	45883621
cg12858075	0.0189626126358651	E2F6	2	11606497
cg12858460	0.264063247515692	EOMES	3	27763737
cg12858514	0.920603338760596	PADI3	1	17575607
cg12862537	0.955943064973914	BLCAP;NNAT	20	36148679
cg12864235	0.398080348057605	CDH9	5	27038782
cg12864581	0.845406819680669	NKAIN1	1	31660916
cg12864853	0.0286555244564499	TPBG	6	83073156
cg12864903	NA	EFCAB5	17	28267374
cg12865837	0.436286237377577	SIM1	6	100911526
cg12866859	NA	HEXIM1	17	43224332
cg12867068	0.0176521728255135	CDKL1	14	50863241
cg12867448	0.637969018159502	ODF2	9	131217480
cg12869058	NA	ABCA4	1	94587872
cg12869240	NA	DHX32	10	127569973
cg12870705	0.0464213176980365	NRP1	10	33624623
cg12871124	0.0102947328797946	STARD4	5	110848106
cg12872238	0.43264885349047	TRPC5;ZCCHC16	X	111327092
cg12873941	0.0216759311016431	C14orf109;MOAP1	14	93651794
cg12874092	0.279028379918474	VIM	10	17271519
cg12875426	0.373221177425572	DYM	18	46987532
cg12876594	0.617821731782179	NPR2	9	35791798
cg12878228	0.600086298974683	PRSS1	7	142456124
cg12879297	0.0129403710221481	C16orf46	16	81110754
cg12879425	0.666987447278039	STAP1	4	68424495
cg12880200	NA	LSM10	1	36863738
cg12880658	0.414328249628767	CDO1	5	115152386
cg12883767	0.82897267894679	SLC26A10	12	58013109
cg12884406	0.225763095756052	COL11A1	1	103573989
cg12885244	NA	KRCC1	2	88355058
cg12888039	0.0115781992621251	ADIPOR1	1	202927266
cg12888113	0.987598062996276	MASP2	1	11107048
cg12888961	0.015651318539821	CDK17	12	96794220
cg12891678	0.608092139838588		1	153015281
cg12893143	0.0331434655874293	UNC5A	5	176237996
cg12894126	0.324448866742454	UCK1	9	134405925
cg12894629	NA	OSTalpha	3	195942717
cg12894984	0.612671605616058	PNMT	17	37823631
