Hybridization REF	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05	TCGA-A8-A09G-01A-21D-A00Y-05
cg16345880	0.0317531567222826	SARS	1	109756737
cg16348491	0.036089568238732	MYL12B	18	3262664
cg16351002	0.795247953905949	FAM24B	10	124610101
cg16351184	0.00856755190908789	WDR85	9	140473184
cg16352283	0.179843457125799	FAM46B	1	27338978
cg16353413	0.0203034737550672	CENPB	20	3767628
cg16353836	0.0118356386899075	SAFB2;SAFB	19	5623459
cg16354207	0.0829385254277918	UBE2F	2	238874908
cg16356516	0.948004282514997	AARS;EXOSC6	16	70286390
cg16356956	0.88521266295239	CSF2RB	22	37317934
cg16357381	0.0302878305118605	COL7A1	3	48632892
cg16357921	0.035830272296741	CDK20	9	90589634
cg16358738	0.749657241940392	AGXT	2	241808595
cg16358826	0.502293835909391	GABRA4	4	46996264
cg16359129	NA	C1orf226;C1orf111	1	162347752
cg16360372	NA	SPINK1	5	147212728
cg16360444	0.0239142653858561	ITGA7	12	56102181
cg16361890	0.633767289873013	LTC4S	5	179220545
cg16362133	0.0202991038496935	SLC11A2	12	51420474
cg16363586	0.587929033798222	BST2	19	17516329
cg16366323	0.0290149546675041	C17orf105;DUSP3	17	41856855
cg16367027	NA	C9orf43;POLE3	9	116174442
cg16367232	0.119365015062335	UTP14A	X	129040481
cg16370389	0.944988286327966	PTTG2;TBC1D1	4	37962041
cg16370737	0.244044258521307	NA	NA	0
cg16371833	0.394182318839338	NA	NA	0
cg16372520	0.568050491302567	NRXN3	14	78869751
cg16375728	0.015668465182429	LRRC45;STRA13	17	79980611
cg16376234	0.0566487827401396	TOP1	20	39657506
cg16377872	0.550493804209375	SLC1A6	19	15084823
cg16377880	0.414621098642018	CYP4F3	19	15751167
cg16378421	0.0273753602631617	ABCC5	3	183736171
cg16379513	0.642297053446898	LOC100128071;TSSK3	1	32827150
cg16381688	NA	ACOT13;TTRAP	6	24665947
cg16381752	0.032329630367344	TOR1AIP2	1	179847085
cg16382256	0.0172796468136918	EPHB3	3	184279657
cg16382322	0.0241233906820268	ARAP3	5	141061902
cg16382382	0.0135169026666323	TGFBR3	1	92351047
cg16384137	0.798176762037787	C13orf16	13	111972997
cg16385933	0.0140006089034883	LOC282997;PDCD4	10	112631792
cg16386080	0.191914550521869	CDK20	9	90589146
cg16386158	NA	IL1RL1	2	102927397
cg16387606	0.01956309536007	NA	NA	0
cg16388829	0.0546456800348077	ARID5A	2	97202323
cg16390856	0.621472185965298	NA	NA	0
cg16391151	0.0115067206222062	NOD1	7	30518197
cg16391792	0.846559944668457	LIPC	15	58723657
cg16393207	0.524755386914355	GDPD5	11	75237739
cg16394138	0.00772418089206543	XPR1	1	180601363
cg16396417	0.112463947805419	MZF1;LOC100131691	19	59085259
cg16396488	NA	PLA2G1B	12	120766223
cg16396948	0.884316174462035	PHLDB2	3	111603394
cg16398289	NA	WDR49	3	167372745
cg16399745	0.178652846303895	NCAPD2	12	6604039
cg16400825	0.0141300537860013	ITPR3	6	33589418
cg16404106	0.545221165032521	CCDC81	11	86085623
cg16404689	0.0112526546292961	C1orf156;C1orf112	1	169764273
cg16405575	0.0149812894477538	TSPAN9	12	3186173
cg16405957	0.947790307865556	KRT2	12	53045793
cg16406212	0.0171726814277586	UBXN2A	2	24163862
cg16408394	0.0140050684659127	RXRA	9	137219075
cg16408565	NA	ORM2	9	117090924
cg16408970	0.126346618661308	BAMBI	10	28965584
cg16409869	0.0136090553447231	NDUFC2	11	77790796
cg16411152	0.676610637542944	ADAM29	4	175839604
cg16413535	0.729593450296923	TKTL2	4	164395149
cg16413777	NA	RSAD1	17	48555933
cg16414852	0.61566157570897	SULT1B1	4	70626128
cg16414945	0.0513327312519771	DUSP12	1	161719333
cg16415058	0.224544251501195	SORCS1	10	108923781
cg16415646	0.886163345988728	LOC285954;INHBA	7	41743001
cg16417437	0.0369181437866449	TMEM126A	11	85358767
cg16417937	0.00913116677263202	NUDC	1	27248012
cg16418163	0.0119635212471125	ACPL2	3	140950828
cg16418329	0.797543669654915	C4orf35	4	71200751
cg16418684	0.0242203504650093	VWCE	11	61062205
cg16419345	0.0269719338462096	ACOX1;C17orf106	17	73976089
cg16420530	0.0213577092741528	ING2	4	184426759
cg16420888	0.0180040890129337	C11orf68;DRAP1	11	65687479
cg16421285	NA	SAE1	19	47633827
cg16421589	0.026103567708179	PANK3	5	168006761
cg16422907	NA	CCNA1	13	37006734
cg16425577	0.165709717118201	DENND3	8	142139654
cg16426459	0.2100803634619	MLPH	2	238396155
cg16427670	0.0518069665389975	ARHGEF7	13	111766902
cg16428251	0.608800249443178	SOX14	3	137483479
cg16429439	0.489243312424957	MAGT1	X	77150966
cg16431978	0.328026030742597	KRTAP13-3	21	31797932
cg16433922	NA	SFRP4	7	37956704
cg16434306	0.924082003171233	C5orf23	5	32788128
cg16434546	NA	SFRS12IP1;SDCCAG10	5	64063849
cg16435601	0.0163429921384061	BPTF	17	65822392
cg16438432	0.0307515039296038	HNRNPD	4	83294858
cg16440909	0.227852901124823	MAMLD1	X	149613745
cg16442715	NA	MAP3K7IP1	22	39796206
cg16443152	0.0172252047129794	CAMSAP1L1	1	200708104
cg16443939	0.0195834497364464	ERLIN1	10	101945124
cg16444968	NA	CPNE7	16	89641723
cg16446783	0.438044307774618	MRGPRX4	11	18193360
cg16449464	0.10148303256211	MAP1D	2	172864337
cg16449972	NA	ZNF423	16	49861382
cg16452396	0.554509276332629	PHF6	X	133507394
cg16454349	0.726579315563401	SEPT12;LOC440335	16	4837889
cg16456919	0.858490620706841	LRRN2	1	204655378
cg16462075	0.784963194599056		7	100544220
cg16463460	0.605070705610682	WT1	11	32454718
cg16464322	NA	HNRNPL	19	39343574
cg16465769	0.798384743493248	SLC22A7	6	43266151
cg16465939	0.550569888692923	KCNQ1	11	2554410
cg16466334	0.430765467177671	MMP3	11	102714358
cg16467694	NA	POLR2G	11	62529198
cg16468729	0.143735391121896	IL8	4	74606465
cg16468910	NA	SNX4	3	125238791
cg16469386	0.00825539974017775	SLC38A1	12	46662743
cg16470760	NA	CD4	12	6898217
cg16470957	0.015585847611225	TUSC4;CYB561D2	3	50388565
cg16473288	0.862436578639089	OR1N1	9	125290120
cg16474684	0.0247164087952574	RNF4	4	2470049
cg16474696	0.0973258271847251	MRI1	19	13875014
cg16475089	0.0107723576233348	NA	NA	0
cg16477324	0.0221097970661107	ITPKC;ADCK4	19	41223331
cg16478145	0.79348697866201	TFPI	2	188419830
cg16478792	0.734933955801367	RGSL1	1	182458262
cg16479674	NA	ZNF672	1	249131947
cg16480145	0.0104350727388257	RUSC2	9	35489718
cg16480209	0.931920345110616	CNGB1	16	58004460
cg16481024	0.0105552013624045	KLF10	8	103668053
cg16481281	0.0194931423336379	IL11	19	55880843
cg16482226	0.0148874714924797	CNOT2	12	70637792
cg16483466	0.512823248711397	C20orf186	20	31671234
cg16483916	0.171560982031881	PLAC2	19	5567758
cg16484842	0.0200992238145848	TH1L	20	57556086
cg16486059	0.0196265616381757	C1orf135	1	26186256
cg16488098	0.327275189885233	PODXL	7	131240440
cg16488522	0.818012449157469	KRT27	17	38940132
cg16490390	0.022447868335587	MBOAT7;TSEN34	19	54694229
cg16491909	0.0152593495868808	C1orf43;UBAP2L	1	154193730
cg16492735	0.40679665481449	SGCE;PEG10	7	94286208
cg16494477	0.030409916119629	FGF18	5	170847251
cg16494590	0.0293008449646952	BTN2A3	6	26421791
cg16495265	0.0368067847346012	LOC404266;HOXB5	17	46671010
cg16499669	0.888273207789804	NA	NA	0
cg16500334	0.0263459657854682	NA	NA	0
cg16501028	0.733418246447064	WT1	11	32450000
cg16501235	NA	C1orf54	1	150245988
cg16504670	0.542946532020461	DEF8	16	90014253
cg16504798	0.310588415858588	MYO1F	19	8643540
cg16505204	NA	THRSP	11	77774337
cg16505550	0.539383885162548	PPAP2B	1	57045708
cg16505687	0.0138252506165562	GPR137B	1	236305169
cg16506346	0.799492934649775	NA	NA	0
cg16507522	NA	SERPINA3	14	95077557
cg16508857	NA	WWOX	16	78133117
cg16509045	0.577689322724662	TRPM6	9	77502963
cg16509569	0.664726768054113	NCKAP1L	12	54891634
cg16509658	0.0243723320613172	GABRB2	5	160975347
cg16510010	0.105872034234966	FAM122C	X	133941163
cg16510657	0.672293586569667	TMEM35	X	100333950
cg16511708	0.0163191085658711	SS18	18	23671264
cg16512727	NA	RAD51AP1;C12orf4	12	4649136
cg16514843	0.348917842223926	PAX4	7	127255483
cg16514995	NA	SASS6;CCDC76	1	100597460
cg16515820	0.0333345948048916	ZBTB20	3	114866447
cg16516400	0.680714123513329	FAM89A	1	231177201
cg16517394	0.383923464165525	TNFSF4	1	173176362
cg16518291	0.013679867215772	ZNF460	19	57792257
cg16519321	0.15437816136458	MYOD1	11	17741243
cg16519742	0.928109060015185	ZIM2	19	57306847
cg16521028	0.0943297811096153	NA	NA	0
cg16521836	0.0161833600159277	QTRTD1;KIAA1407	3	113775302
cg16522484	0.680023738664429	C14orf49	14	95942049
cg16523424	0.0240780863980717	SYN1;TIMP1	X	47441779
cg16523471	0.0334899343882899	SPRYD4	12	56862146
cg16523653	0.0143741958732886	DNMT3B	20	31350394
cg16524139	NA	TCF3	19	1651573
cg16525692	0.0270672278499603	CHD1L	1	146715099
cg16525761	0.059701511792744	LOC285456;RPL34	4	109541525
cg16527805	0.0192864168678509	MDH1;C2orf86	2	63816164
cg16529592	0.75474280868602	RUNX3	1	25292215
cg16530429	0.738404906166351	LIN28	1	26737470
cg16534233	0.0284304556779341	RIMKLA	1	42846477
cg16534499	0.0472145724989298	ZNF223	19	44555960
cg16535180	0.0247214104971219	C22orf25	22	20008367
cg16536450	0.653811626070264	LCN15	9	139658896
cg16536918	0.699088543005644	AVP	20	3065403
cg16537367	0.8166111181991	OTOR	20	16729319
cg16538604	0.0133539434961889	WHSC2	4	2010703
cg16539629	0.049608698435255	C14orf132	14	96505722
cg16539981	0.0455736357153345	TEAD2	19	49865373
cg16540259	0.612680139349039	NDST2	10	75572220
cg16540704	0.91742008387463	ASZ1	7	117067416
cg16540768	0.0382999571748063	TMEM56	1	95582647
cg16541031	0.0150568611625447	IRF7	11	615519
cg16542081	0.865139781366233	NA	NA	0
cg16543027	0.410413306202519	PLCB2	15	40599680
cg16543294	0.0149390243696195	ASB6	9	132404763
cg16544272	0.0203499954456164	MYO19;PIGW	17	34891014
cg16545079	0.462781975224225	PER1	17	8055888
cg16545105	0.912600523477084	CRHBP	5	76248749
cg16546489	NA	HSD17B1	17	40703702
cg16547341	0.394273722519572	USP29	19	57630691
cg16547450	0.0216197944307611	IFT88	13	21141711
cg16547529	0.754573281195163	KLHL35	11	75140681
cg16550324	0.0163452235252128	GMDS	6	2245327
cg16551261	0.0270303968931616	LRRC6	8	133687929
cg16551326	0.0332812508571795	ERF	19	42759518
cg16555388	0.0249861111845864	TNFSF10	3	172241216
cg16557944	0.00786847421014963	GPX7	1	53068197
cg16558203	0.835412294244898	SLC22A14	3	38347392
cg16558348	0.0104574258949705	UBQLN1	9	86322296
cg16561743	0.405167624675315	CXorf23	X	19984992
cg16564824	0.0232497632984656	SNAP25	20	10199536
cg16567044	0.682104906598885	MEG3	14	101291136
cg16570917	0.717573639274636	PTPRF	1	43996062
cg16571399	0.733598545575731	TLN2	15	62939540
cg16574065	0.0203423593164135	RDM1	17	34257726
cg16575408	0.943997037736225	MMP1	11	102669291
cg16579101	0.0174953584240308	NOP2	12	6677158
cg16579354	0.0193120521783822	XRCC5	2	216974337
cg16579646	NA	HSD3B1	1	120048352
cg16580737	0.0233332750525606	MME	3	154797589
cg16581199	0.821624087763253	TSSK1B;MCC	5	112770721
cg16582174	NA	CLINT1	5	157286420
cg16582344	0.0124896875221323	ARF1	1	228270207
cg16584172	0.0353177756995491	ZIC2	13	100633446
cg16584573	0.0220650188768665	FGF8	10	103535637
cg16584911	0.114465642509564	AHCYL2	7	128864557
cg16585619	0.435239963828925	KRT19	17	39685250
cg16585682	0.0255648373604048	SCGB3A1	5	180017623
cg16588061	0.0118326949515795	CTSC	11	88070780
cg16590151	0.494763526414513	SYNCRIP	6	86352636
cg16592658	0.274353354913561	EBI3	19	4229887
cg16593081	0.969036842032312	DYX1C1	15	55799927
cg16597172	0.0116540299091684	MYCN;MYCNOS	2	16080669
cg16598810	0.130720698043185	DEPDC1	1	68962176
cg16601385	NA	CFD	19	858846
cg16601861	0.0684468799202352	NA	NA	0
cg16604136	0.0151967568109663	NUF2	1	163291493
cg16604218	0.0914723184079635	EIF2B3	1	45452605
cg16604516	0.576978942691611	FBLN2	3	13590419
cg16605590	0.0266081759099762	MKI67IP	2	122494233
cg16606185	0.0130085509217837	C21orf33	21	45553535
cg16606638	0.0348617690358414	WDR51B;GALNT4	12	89918221
cg16607065	0.594903676138067	TP73	1	3607222
cg16608348	0.0258478203431287	PTPN14	1	214724481
cg16608652	0.156286391925476	B3GALT2;CDC73	1	193155390
cg16609872	0.422181609216138	KCNQ1	11	2828364
cg16609957	0.766761169749402	SHROOM1	5	132161867
cg16612562	NA	RASL10A	22	29712045
cg16612699	0.625560691101919	OR8B8	11	124311218
cg16613192	0.026854349832946	UROD;HECTD3	1	45477977
cg16614332	0.0223058594208309	SF3B3;COG4	16	70557707
cg16614500	NA	TMEM80;DEAF1	11	694704
cg16615211	0.104386301636625	MIR564;TMEM42	3	44902933
cg16616325	0.0139916613179643	TSNAX-DISC1;TSNAX	1	231664276
cg16616734	0.0102000193041643	ANKRD13A	12	110437259
cg16616769	0.812446356167065	IQCK;C16orf88	16	19727142
cg16617137	0.53127846502515	NA	NA	0
cg16619240	0.0114494494666464	LIMA1	12	50677228
cg16620032	0.0392563244042918	GPR4	19	46097075
cg16620731	NA	ZNF583	19	56915079
cg16621987	0.0516896103899469	DGCR2	22	19110328
cg16625125	0.0261449192363905	NA	NA	0
cg16625216	0.0157047672758448	TMEM175;GAK	4	926338
cg16625901	0.668711084601724	NA	NA	0
cg16626670	0.744058370765292	CLEC4G	19	7797031
cg16627949	0.587631624794873	RNASE8	14	21526351
cg16628119	0.0204868785592512	ITPK1	14	93582398
cg16628918	0.492761320696773	FBXL6;GPR172A	8	145580818
cg16632280	0.0217124420727238	LTBP3	11	65325623
cg16632715	0.197911245565805	HOXD11	2	176972113
cg16632891	0.0112977363025616	SSBP3	1	54872978
cg16636110	0.356622883094769	ZNF264	19	57702479
cg16636571	0.866792608465616	GYPB	4	144939574
cg16638540	0.254175416354177	ZNF135	19	58570468
cg16639185	0.203695663965946	LGTN	1	206786178
cg16639595	NA	SRI	7	87856984
cg16639637	0.013091280451322	TUBGCP5	15	22833308
cg16640096	0.0385760828542169	COL4A3;COL4A4	2	228029790
cg16641915	0.0167029764980167	CAPN5	11	76778247
cg16645539	0.0133313513613364	SNAPC3	9	15422589
cg16648297	0.00924526871893868	ZNF576;IRGQ	19	44100438
cg16648841	0.915352206676088	C8A	1	57320685
cg16650125	0.735625404700559	NA	NA	0
cg16652063	0.593858104082827	SLC13A5	17	6616653
cg16652241	0.0334438201027295	MMP15	16	58059321
cg16652259	0.100057517136976	DLX1	2	172949501
cg16652639	0.0164699280258889	TM2D2;ADAM9	8	38853854
cg16653538	0.020081522021665	GAS2L3	12	100967609
cg16657615	NA	TNFRSF12A	16	3070630
cg16658719	0.0195973266613856	TGFB2	1	218518963
cg16659043	0.0167960742822554	SAMD12	8	119634612
cg16660041	0.757431031673401	IQCF1	3	51938430
cg16660717	0.0129383133321937	SARNP;ORMDL2	12	56211781
cg16664233	0.0198700322013081	ETHE1	19	44031589
cg16665103	0.0267196718515698	COQ3	6	99841605
cg16666115	0.0137494919064973	MRPS18A	6	43655680
cg16666160	0.98641075722024	NR5A1	9	127269631
cg16666456	0.014373290614138	SFRS11;LRRC40	1	70671441
cg16668394	0.0261639615027804	MEN1	11	64578521
cg16670497	NA	GSTM2	1	110210913
cg16672449	0.0150943604504227	RUVBL1	3	127842622
cg16673198	0.852683035845297	CPNE4	3	131754273
cg16677885	0.0175255382880946	FASTK	7	150778122
cg16678925	0.290694313270639	OR1A2	17	3100972
cg16679837	0.58112168223364	AR	X	66764000
cg16682903	0.699731983558461	ACVR1	2	158694670
cg16685388	0.147191389094855	HIVEP3	1	42384056
cg16685860	0.0112384689526986	PLD2	17	4710619
cg16687447	0.0102370000089116	PTEN;KILLIN	10	89623336
cg16688376	0.0321976899367248	AKAP9	7	91570673
cg16688911	0.013068379438219	VASP	19	46010011
cg16689634	0.0378441876027934	CYP4X1	1	47489539
cg16691616	0.0231895169294893	INPP1	2	191209057
cg16691888	NA	LRP2	2	170219230
cg16692277	0.0730236105089912	GUCY1B2	13	51640948
cg16692761	NA	TAF1B	2	9983859
cg16695354	0.0269091071178531	LYSMD2	15	52030164
cg16698623	0.802001783042167	MGMT	10	131412968
cg16698781	0.0113125275121238	UBE2G2	21	46221955
cg16701105	0.0180030918145727	DENND4A	15	66084815
cg16703647	0.0389751437269071	CRABP1	15	78632592
cg16705481	0.0220298395125627	TRAPPC3	1	36615026
cg16706631	0.0328552259626308	HIST1H4E	6	26204823
cg16708012	0.752721272954507	TMEM119	12	108992114
cg16708281	0.589879464453222	FOXD4L1	2	114256673
cg16708623	0.279103882956921	TRIM2	4	154125208
cg16708981	0.506657384863157	ZNF677	19	53758609
cg16711185	0.0260298391206217	SHC4	15	49255875
cg16713727	0.904271959254323	SLC25A34	1	16062720
cg16713808	NA	CRNN	1	152388040
cg16714091	0.180591846453769	ADAMTSL1	9	18473902
cg16715722	0.933865222255689	TLX1;TLX1NB	10	102890296
cg16716983	0.560230053353293	DRP2	X	100474247
cg16717225	0.674416903332186	GLT1D1	12	129337768
cg16718094	0.0125176502001921	SAP30	4	174291993
cg16718678	0.0191389058693856	NRXN2	11	64490633
cg16718891	0.0220244133148892	ITGA5	12	54813155
cg16719404	0.333833030738452	CD2	1	117296242
cg16720880	0.0404153398887978	SUGT1P1;BAG1;CHMP5	9	33265144
cg16721202	0.0289147765737751	SP4	7	21467390
cg16721845	0.01244925856181	MTL5	11	68518800
cg16722118	0.783869181802462	FAM115A	7	143599982
cg16722536	0.184292552693501	TBX1	22	19744067
cg16723180	0.884264225317536	HCCA2	11	1503195
cg16725097	0.0249527289984076	WDR65;EBNA1BP2	1	43637592
cg16725130	0.646403792671021	NA	NA	0
cg16725865	0.0159626426186809	BTBD8	1	92546135
cg16728114	NA	C1orf66;ISG20L2	1	156697793
cg16729690	0.0257545851588746	FZD3	8	28351217
cg16729794	0.794087236222963	MOBP	3	39509195
cg16731016	0.941656668465632	LGALS4	19	39303506
cg16731240	0.135665696967648	ZNF577	19	52391250
cg16732880	0.0107108328312127	NARFL	16	791244
cg16732901	NA	C19orf45	19	7562351
cg16738336	0.011505566631172	DHX29;SKIV2L2	5	54603429
cg16739396	0.0539637406059301	ATG4C	1	63249836
cg16739580	0.226411156923969	PYDC2	3	191179074
cg16740543	0.0117228170886405	PHF10	6	170123723
cg16741710	0.0942889425826668	TP73	1	3569386
cg16742703	0.669058332726127	KLK3	19	51357857
cg16743289	0.203781493565143	CACYBP	1	174968144
cg16743781	0.0114992439960726	RHOC	1	113249654
cg16744741	0.588150963804423	PRKG2	4	82126025
cg16745604	NA	CASP10	2	202047459
cg16745616	0.0456130473962116	ANGPTL4	19	8428856
cg16746462	0.0362702444159267	LNPEP	5	96270438
cg16746631	0.03976602094191	IMPA1	8	82598140
cg16746737	0.011237338992424	UBE2D3;CISD2	4	103790299
cg16747567	0.0309731647107759	PCNX	14	71373858
cg16749578	0.151204054103122	NR2F6	19	17357619
cg16749930	0.505597413809632	IL18BP	11	71709978
cg16750914	0.0173210631149903	CCDC88A	2	55646622
cg16752583	0.29956420114336	TRPV6	7	142583731
cg16752778	0.0343756857644601	PIGK	1	77685229
cg16753209	0.775684293668242	NA	NA	0
cg16753336	0.0320910865870212	NPAS1	19	47524466
cg16756620	0.0243728514528984	PPIG	2	170441054
cg16756998	0.0138865339253069	ZDHHC8	22	20118943
cg16757724	0.913856340560995	RBPJL;MATN4	20	43935528
cg16758041	0.0197047810444556	NDUFB6	9	32573371
cg16759954	NA	PITPNM3	17	6461153
cg16761041	0.0381754173632032	FAM120AOS;FAM120A	9	96215837
cg16761581	0.255725164618612	ADCY4	14	24803807
cg16762195	0.0151183759915645	DHX58	17	40264815
cg16762386	0.793468393742742	NR0B2	1	27240514
cg16763895	0.0189515444349019	ILVBL	19	15235973
cg16769376	0.014729278896388	MDP1	14	24685222
cg16769442	0.0123241862256692	MAGI3	1	113934059
cg16770799	0.112822973693125	ITGA5	12	54812606
cg16771596	0.0183935601930853	C9orf30	9	103188942
cg16772207	0.32525592665527	MYT1	20	62795807
cg16772514	0.625453974944597	C1QL1	17	43046872
cg16773028	0.838410952299737	KCNA2	1	111148339
cg16773899	0.10084777659	EDIL3	5	83680326
cg16774604	0.0277217035356291	OXA1L	14	23235738
cg16776350	0.297537586784707	CD84	1	160549158
cg16776717	0.15608452840884	JAKMIP2	5	147163101
cg16777510	0.511211864301295	STAT5A	17	40440022
cg16777782	NA	CDH13	16	82671333
cg16777839	0.018034561937015	PHPT1	9	139743802
cg16778148	0.911028848881945	KCNQ1	11	2817922
cg16778809	0.0259688064291382	ADAM23	2	207308375
cg16778903	0.0149796149867277	BRUNOL6	15	72612567
cg16779976	0.0868987813033046	BLNK	10	98031125
cg16785344	0.043017377697053	PXN	12	120703817
cg16786117	0.687980774957596	VSIG4	X	65260820
cg16786458	0.657127933119062	PPARGC1B	5	149108820
cg16786703	0.0157557154945912	ADAM8	10	135090255
cg16787352	0.301299466004389	ANKRD9	14	102975405
cg16787600	0.0982901197620522	SORCS3	10	106400880
cg16788436	0.968537962761045	GRLF1	19	47421960
cg16790239	0.0400201931580667	MC1R	16	89985254
cg16791508	0.792635597960149	KRT83	12	52715691
cg16791686	0.579675915890345	GLTSCR2	19	48249014
cg16792160	NA	ASAH2	10	52008593
cg16792632	0.0100314314899631	ESR2	14	64761208
cg16792800	0.121375179415934	GPC6	13	93879361
cg16793061	0.0178297713230425	EYA1	8	72273984
cg16793150	0.00969428124228256	PTCD2;MRPS27	5	71616026
cg16794633	0.0162444241203913	C3orf58	3	143690145
cg16794682	0.824185206544366	CCND1	11	69460951
cg16794882	NA	PMCHL2	5	70670374
cg16796590	0.0240390006136654	MFSD2A	1	40420668
cg16796951	NA	C20orf152	20	34555073
cg16797831	0.0536458363667541	KIAA1324;C1orf194	1	109657035
cg16799087	0.7136338579492	PRDM7	16	90128361
cg16799583	0.0129356211396346	EXOSC2	9	133569236
cg16799961	0.0200318756212132	EIF5B;TXNDC9	2	99953048
cg16802152	0.0226672905889153	CDKN2AIP	4	184365888
cg16802646	0.0216791530971021	WWC1	5	167718483
cg16803817	0.0367593635160947	TMEM50B	21	34851621
cg16806347	0.0143688755721711	FUK	16	70488291
cg16806597	0.562076278685232	NA	NA	0
cg16807911	0.0396777611289151	CDK4	12	58145918
cg16807989	NA	OR1F1	16	3253749
cg16812893	0.281901144864138	KRTAP15-1	21	31813075
cg16814399	0.24072321950815	HIBCH	2	191183994
cg16816226	0.0308227055634517	EDEM1	3	5228848
cg16817034	0.0269463650638044	GMEB1	1	28995195
cg16817891	0.0117250753166756	IGF2AS;INS-IGF2;IGF2	11	2165827
cg16821394	0.0156128471035781	NDFIP1	5	141488611
cg16822189	0.011748469739027	BACE1	11	117187018
cg16823105	0.0212118962439256	KLHL32	6	97372572
cg16823701	0.882724302281262	NA	NA	0
cg16823737	0.0168758827159016	CKAP5	11	46867918
cg16824731	NA	ILK;RRP8	11	6624409
cg16825000	0.778062028376077	PLA2G2E	1	20249430
cg16825643	0.983599272649151	FAM38A	16	88802743
cg16826286	0.576813824680541	LYZL6	17	34266290
cg16826718	NA	HRK	12	117318659
cg16829154	0.0238062104136447	NOTCH1	9	139440704
cg16829450	0.0143916198687001	NTN4	12	96184020
cg16831889	0.774994000863174	HDC	15	50558051
cg16832407	NA	TRPM3	9	73736539
cg16833230	0.0151283668010728	DNTTIP2	1	94344337
cg16833551	0.824405936148891	GNAS;GNASAS	20	57427237
cg16834187	0.898880399856651	BRD7	16	50404286
cg16834431	0.0323783812570648	ATPIF1	1	28562368
cg16837769	0.0238285034866741	NDUFA4	7	10979899
cg16842214	0.591110922116922	KBTBD5	3	42727160
cg16842485	0.0123052202119839	C6orf47	6	31628639
cg16847051	NA	CALCOCO1	12	54121714
cg16848873	0.113663803408753	LOC404266;HOXB6	17	46682308
cg16852884	0.0193431146936636	NA	NA	0
cg16852892	0.0241854775670153	MMP16	8	89339473
cg16853860	NA	PSMB9;TAP1	6	32823116
cg16853982	0.302917228193691	ACTN2	1	236849389
cg16854524	0.0257869546730238	LIN54	4	83931902
cg16854606	0.344394384672004	DAND5	19	13080743
cg16855440	NA	KLC3	19	45842723
cg16855929	0.906225645370696	EGLN1	1	231561414
cg16858125	0.658974055787234	ELOVL1	1	43834757
cg16860587	0.0197168441451236	ELAVL1	19	8069925
cg16860694	0.0238981247194064	FXYD5	19	35645689
cg16861508	0.0143224432162617	TNFRSF10B	8	22926909
cg16862361	0.266313946882969	XDH	2	31637622
cg16862838	0.0240735207781495	RCN2	15	77224587
cg16863382	0.960491156556017	CTRB1	16	75252695
cg16863447	0.0353620951413499	TMEM117	12	44229512
cg16864658	0.0693193688879319	CCK	3	42306150
cg16864895	0.0550445027176948	INTS7;DTL	1	212208516
cg16866038	0.0138066918181132	ARCN1	11	118443240
cg16869108	0.180602470795533	VHL	3	10184319
cg16870320	0.0153188846831846	GALNT4;WDR51B	12	89919900
cg16872071	NA	RALGDS	9	135997155
cg16872560	0.0616869142329239	PPP1R9A	7	94536986
cg16873684	0.0216542538067831	ORC2L	2	201828587
cg16873863	0.644066947208744	SLC22A18AS;SLC22A18	11	2921176
cg16878021	0.982449694976047	NA	NA	0
cg16878652	0.0130147499964159	GPS1;RFNG	17	80009856
cg16879115	0.859931992242851	APOBEC1	12	7819180
cg16879596	NA	CYP3A5	7	99277978
cg16880396	0.617942928970383	SH2B2	7	101928206
cg16882703	0.0948242390808677	NA	NA	0
cg16883145	0.972484611194471	B9D2;TGFB1	19	41860619
cg16883533	0.0124655315789393	PHB2;EMG1	12	7079667
cg16884042	0.0463740307667024	SGPP2	2	223289683
cg16884539	0.960507803226906	RBMXL3;LRCH2	X	114425148
cg16884569	0.0182346579366483	RASSF2	20	4803636
cg16886188	0.0135175303850603	ADRA2A	10	112835859
cg16886259	0.708553548647815	CYSLTR2	13	49281222
cg16889368	0.020823088282697	MRPL15	8	55047599
cg16890093	0.51635387653327	PSMB8;TAP1	6	32813084
cg16890267	0.120881780827055	NA	NA	0
cg16891895	0.0197309375573794	RGS16	1	182573455
cg16893574	0.356159460893125	CALB2	16	71392095
cg16893614	0.940045331995887	ALX3	1	110614450
cg16894211	NA	SYN3	22	33403542
cg16896371	0.0319130957127908	CAND1	12	67662589
cg16896647	0.0450578049898904	SYK	9	93563776
cg16898150	0.0101592755573704	NA	NA	0
cg16898420	0.0904175738132747	LPPR1	9	103791078
cg16899036	0.666590280704865	HOMER3	19	19052705
cg16899306	NA	HLA-DQB2	6	32732585
cg16899442	0.142963230543314	CCDC78;HAGHL	16	776458
cg16900022	0.0133577357584473	MDN1	6	90529294
cg16902509	0.124506691279984	ITGA8	10	15761312
cg16904306	0.0166049306327315	PCSK5	9	78506294
cg16904599	0.015549133185845	C17orf71	17	57287367
cg16905311	0.0179720122167825	ARL5B	10	18948399
cg16907024	0.678476253298688	NA	NA	0
cg16907075	0.0377890886062026	UBQLN4	1	156022875
cg16907167	0.0197334611321396	TGOLN2	2	85554779
cg16907488	0.910832103817343	CCDC17	1	46090169
