Hybridization REF	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05	TCGA-A8-A09K-01A-11D-A00Y-05
cg13393195	0.0169236328091875	TPCN1;IQCD	12	113659153
cg13396068	NA	DCD	12	55041379
cg13396213	0.0195971856947963	ZNF575	19	44037225
cg13397365	0.0233183026343495	MEA1;KLHDC3	6	42981894
cg13397379	NA	OR2C3	1	247696628
cg13398291	0.0795945250179139	SFRP1	8	41166169
cg13398993	0.0222370954863983	ARMC1	8	66546079
cg13401339	0.0453017321931457	FKBP1B	2	24272928
cg13401681	0.0252150989524971	GRPR	X	16141609
cg13401831	0.0262000100002987	TUBA8	22	18593307
cg13401987	0.0124244540130449	APH1B	15	63569418
cg13404558	0.0268450295953519	PANK3	5	168006306
cg13405161	0.0181651568127019	EIF2C2	8	141646303
cg13406768	0.905199911043179	MFF	2	228192416
cg13406950	0.598616922426864	NA	NA	0
cg13407883	0.278341821725612	SIGLEC9	19	51627843
cg13409216	0.0172439575581015	SUPV3L1	10	70939987
cg13410437	0.118034413313439	OR5P2	11	7818165
cg13412063	0.0144726873183754	SOS1	2	39347277
cg13412615	0.786879786834976	KCNK4	11	64057807
cg13414044	0.010685425666098	RNF170;HOOK3	8	42751637
cg13415207	0.0110719060575937	PMAIP1	18	57567271
cg13415434	0.0235766566808609	P4HTM;WDR6	3	49044522
cg13415850	NA	C2orf7	2	73459842
cg13417824	0.0180546794140575	RPP38;C10orf111	10	15139785
cg13420923	0.0186009760142477	DCLRE1A;NHLRC2	10	115614712
cg13421924	0.0600853823046661	SC5DL	11	121163141
cg13423076	0.0181880725242751	CXXC1	18	47814178
cg13423394	NA	ABHD6	3	58223060
cg13424229	0.83127990411568	CPA3	3	148581837
cg13424446	0.544359863375298	GGTLC1	20	23969432
cg13425637	0.023964551024938	PRKCH	14	61788328
cg13426503	0.0196780398923163	RBL2	16	53468712
cg13427055	0.0154969734795915	HERC5	4	89378005
cg13430425	0.0170308259732411	ADSL	22	40742577
cg13430851	NA	CDC123;NUDT5	10	12237037
cg13431205	0.924299316646791	RB1	13	48893174
cg13433272	0.0188882434852733	CDK8	13	26828068
cg13434203	0.301628316208276	NA	NA	0
cg13434842	0.788190993471117	GATA4	8	11567896
cg13434852	0.908294911389725	DOCK1	10	128768181
cg13435189	NA	CWF19L2	11	107324751
cg13435381	0.104782919407838	LGR5	12	71833017
cg13435792	NA	ERP27	12	15092434
cg13436343	0.0125116487084638	PUM1	1	31538432
cg13436799	0.0359460336311666	LRP2	2	170218997
cg13436996	0.842650075069112	NA	NA	0
cg13437593	0.0408731841970922	MED24	17	38210697
cg13438543	0.0286369019247258	TBCA	5	77071525
cg13438673	0.0135285181992513	ZNF526	19	42724717
cg13438834	0.174506791196914	FAM118A	22	45706530
cg13438944	0.0169037433006628	C14orf179	14	76452183
cg13439299	0.56624785144786	DNAJC5G	2	27498173
cg13439730	0.242480958045799	PRSS8	16	31146999
cg13442811	0.730317627156762	FAM190B	10	86131100
cg13445249	0.870727891368224	DSG4	18	28957111
cg13445358	0.084637597016593	ESPL1	12	53661749
cg13446199	0.310927861141037	PSCA	8	143762866
cg13446235	0.0236068989052876	AFG3L1;CENPBD1	16	90039146
cg13446622	0.491313506525901	SDR9C7	12	57328406
cg13446852	0.0154947383812799	LEPR;LEPROT	1	65886635
cg13447818	0.187058306515552	FLG	1	152298884
cg13448401	0.0117992849270279	ORC6L;VPS35	16	46723048
cg13448625	0.872101744069062	COL17A1	10	105845238
cg13449372	0.912231581059327	C10orf2;MRPL43	10	102748693
cg13449778	0.698804000679164	FAM163A	1	179712298
cg13450057	0.944735462546799	HAUS3;POLN	4	2231660
cg13451483	0.0168229576521232	TMEM146;LONP1	19	5720795
cg13453139	0.366400086401124	PIK3R5	17	8815262
cg13454184	0.025753817665832	TARS2	1	150459676
cg13455369	0.0188325676423929	BOD1L	4	13629759
cg13456653	0.033619367725375	DNAJB6	7	157130065
cg13459560	0.709732886623417	NA	NA	0
cg13460409	0.357406357498691	DSCR6	21	38379570
cg13461509	NA	ECHDC2	1	53387576
cg13461600	0.0288811573610639	ABCF3	3	183903550
cg13461622	0.0774734803644675	RUNX3	1	25291385
cg13462129	0.0787521380508748	DLX5	7	96651281
cg13462160	0.414458434830197	ATF4	22	39916704
cg13463167	0.922603767028996	DENND1B	1	197523608
cg13463367	0.0659545340621244	PSMC2	7	102987991
cg13464062	NA	RP9	7	33148868
cg13466487	0.961440579124877	CMBL	5	10309051
cg13467649	NA	CCDC25	8	27630342
cg13467814	0.032859048162089	LOC100302652;ASB3;ERLEC1	2	54013395
cg13468685	0.503987157176404	PLEK	2	68592737
cg13469311	0.0165968712151949	PGRMC2	4	129209602
cg13470920	0.465033144291347	VAV1	19	6772831
cg13471990	0.0756749294866751	ENTPD1	10	97515222
cg13473336	0.650140771042595	SLC5A2	16	31494571
cg13473383	0.0501916148002444	ZDHHC5	11	57434378
cg13474734	0.590381630700081	C15orf52	15	40630791
cg13474750	0.941731283149169	SH3BP1	22	38037408
cg13477510	0.964032714731849	SEPT5	22	19700797
cg13479669	0.0229327483607388	NA	NA	0
cg13481359	0.667336502079071	EGR4	2	73520043
cg13482233	0.518008482877983	HEPH	X	65382529
cg13482485	0.0376825716940732	SNX7	1	99127787
cg13486556	0.31920549188174	NA	NA	0
cg13488201	0.320314323786919	ADAM12	10	128077323
cg13488557	0.0431294958870081	C1orf63	1	25574588
cg13490635	0.0284659237936468	RBPMS	8	30242021
cg13490971	0.0439138118614074	NDFIP1	5	141488121
cg13492227	0.330681077932315	FGF11	17	7341436
cg13492340	0.0186231646288758	ITGA8	10	15762222
cg13493001	0.62809125167101	LCN12	9	139846100
cg13493559	0.0149076709668523	PLCB3	11	64019243
cg13494498	0.550080221492717	TUBB3	16	89990214
cg13496066	0.841740676214472	TMEM231	16	75580831
cg13496736	0.0191656118849574	NA	NA	0
cg13496838	0.034766844660084	PAX3;CCDC140	2	223164747
cg13500388	NA	CBFB	16	67062135
cg13500819	0.787758335742427	MGC29506	5	138725400
cg13501117	0.0353792518004006	WDR8	1	3566577
cg13501507	0.0166035074706403	DMXL2	15	51915413
cg13501999	0.0251138061834106	CACNB1	17	37353838
cg13502356	0.0140833626135881	ZMPSTE24	1	40723396
cg13504059	0.801434760868226	CCR7	17	38721942
cg13506226	0.770399453632542	NA	NA	0
cg13507326	0.625296883389402	SNW1;C14orf178	14	78225589
cg13507429	0.295441436837613	KLHDC7A	1	18807550
cg13507893	0.67895931954706	SLC5A4	22	32650997
cg13509147	0.120595144722954	CREB3L3	19	4153603
cg13510262	0.108155707161111	SP1	12	53774037
cg13510327	0.026486110539602	NEU1	6	31830729
cg13510363	0.0273798641236398	TAF11;ANKS1A	6	34857281
cg13514050	0.021372234471795	GGT7	20	33460585
cg13514129	0.067281967325899	MACF1	1	39547527
cg13515605	NA	CMTM6	3	32544567
cg13515674	0.0130721493294774	HMGB2	4	174255654
cg13516796	0.0172936202820135	ALG1	16	5122251
cg13517305	0.0151252862265744	CHCHD6	3	126423553
cg13517968	NA	UPK1A	19	36156284
cg13518195	0.00977407301731725	NUDT16	3	131100364
cg13518327	0.0410127911849089	THRB	3	24535774
cg13519373	NA	CXCR1	2	219030898
cg13520327	0.402386623881117	KCNH6	17	61600957
cg13520715	0.841523444952347	C21orf129;NCRNA00112	21	43135854
cg13521229	0.489568998799684	JOSD2	19	51013630
cg13523386	0.859574476389593	AMBN	4	71457838
cg13523557	0.108084941323462	ADCY1	7	45613725
cg13525683	0.919635878376439	TIAF1;MYO18A	17	27401991
cg13526007	0.301695379051121	LRFN5	14	42076710
cg13526689	0.0303201049540357	DLST	14	75349155
cg13530039	0.322127993535662	CHRM1	11	62689557
cg13530946	NA	IARS2	1	220266799
cg13531460	0.30162955289578	GPR55	2	231790813
cg13531842	0.0114459691521457	ZNF37A	10	38383804
cg13535217	0.684763356063562	NA	NA	0
cg13536448	0.0238898702465854	NA	NA	0
cg13539030	0.0139725995663905	ARL4C	2	235405968
cg13540795	0.10190784731781	ZNF432	19	52551618
cg13543096	0.98603768153558	LOC100271831;GDPD3	16	30125400
cg13546796	0.522296761611179	NA	NA	0
cg13547237	0.124233188898276	C11orf68;DRAP1	11	65687877
cg13547299	0.0173598527892896	TOLLIP;LOC255512	11	1330611
cg13547644	0.5843630106766	ACTA1	1	229569608
cg13548361	0.635909833411279	PSD;FBXL15	10	104178949
cg13549845	0.74852996412071	GRID2	4	93225960
cg13550608	0.953988270252323		3	50314654
cg13550877	0.921265133067418	C14orf148	14	77889982
cg13551243	0.0211781033923529	ZNF7	8	146052742
cg13552650	0.146950916309586	MORC3	21	37692233
cg13552869	0.544086837835586	SEZ6L2	16	29909924
cg13553204	NA	CNKSR1	1	26504548
cg13553455	0.817533477480056	COL17A1	10	105846002
cg13553498	0.856128990795418	CLEC2D	12	9821986
cg13554114	0.0185116871592734	TERF1	8	73921144
cg13555543	0.0151883989035988	MAX	14	65568995
cg13555884	NA	AGAP4	10	46344329
cg13557178	0.0102936271873153	EFHA1	13	22178108
cg13559495	0.0168863425608434	ALG14	1	95538467
cg13560436	0.0895764527573356	MIER3	5	56248587
cg13560548	0.783159052138028	C3orf24	3	10150139
cg13562542	0.0226678868805439	GPR27;EIF4E3	3	71803339
cg13562911	0.047789008667309	ELOVL2	6	11044106
cg13563405	0.0280349808761121	ASAH1	8	17942526
cg13564075	0.0157801677123205	PHF12	17	27278810
cg13564468	0.0763830139396249	C6orf192	6	133120000
cg13564595	0.0128504899165231	GRPEL1	4	7069733
cg13565157	0.121681517592498	PDE1B	12	54943009
cg13565215	0.415376614899151	DSCAML1	11	117668336
cg13565723	0.0470887102326064	PEX13;PUS10	2	61245319
cg13571802	NA	TGM4	3	44916473
cg13572545	0.0975263568375026	FBXO30	6	146135272
cg13573276	0.183339369829695	SDR16C5	8	57232898
cg13574590	0.109660445736651	NA	NA	0
cg13575604	0.0197997629195868	TCP11L1	11	33061007
cg13576061	0.0226335091453727	IL6ST	5	55291172
cg13576290	0.308024586933884	FAM179A	2	29256737
cg13576739	0.0231500705599501	PFDN6;WDR46	6	33257501
cg13577076	0.747369103515989	PRKAR1B	7	752456
cg13577407	0.0150117296674299	FLNB	3	57994372
cg13578400	0.0224207635376065	EDC4	16	67907301
cg13578652	0.0685298715338987	UBASH3A	21	43823863
cg13580728	0.751072476595231	NA	NA	0
cg13581475	0.0156686324934365	MTHFD1	14	64854533
cg13581941	0.0102466911121924	CDC23	5	137548929
cg13585240	0.903409291875998	ARIH2	3	48959375
cg13587552	0.803925858415662	SCNN1D	1	1216441
cg13587740	0.0256701727692232	HEXA;C15orf34	15	72668269
cg13588354	0.0433427496016833	MC3R	20	54823303
cg13588645	0.0119816590647809	R3HDM1;ZRANB3	2	136289118
cg13588835	0.759568457227992	NA	NA	0
cg13589108	0.0417054141923706	FAM5B	1	177140680
cg13590277	NA	SYNPO	5	150019496
cg13591701	0.452421176817656	FAM20A	17	66597007
cg13592003	0.0104162467194406	ZNF250	8	146126815
cg13592155	0.115262970746873	MRPL51;NCAPD2	12	6602187
cg13593287	0.0405920199707139	SPTB	14	65289994
cg13594711	0.591752438896464	SRCRB4D;ZP3	7	76038785
cg13597949	0.012049654504143	POLR2I;TBCB	19	36605252
cg13599007	0.840571752840919	FABP6	5	159655703
cg13599025	0.02812024410377	CDC7	1	91966361
cg13599477	0.0887247773962372	NET1	10	5488485
cg13601079	0.298807989136269	SSX3	X	48216275
cg13603099	0.0167649925951997	RASSF4	10	45454574
cg13603171	0.155894545665097	MOXD1	6	132723164
cg13603551	0.295697085250851	ABP1	7	150549406
cg13604223	0.0160640028681373	XPC;LSM3	3	14220055
cg13605579	0.426490101491759	ALPP	2	233242330
cg13605690	0.539846172784262	SPC25	2	169746671
cg13608094	0.684726421390668	CCND1	11	69461236
cg13612524	0.0426492777149578	ERLIN2	8	37593879
cg13613532	0.0239915158103901	C11orf65	11	108338397
cg13613682	0.58998680617848	ZIC3	X	136648553
cg13613748	0.0248028368311143	VPS4B	18	61090281
cg13614083	NA	KCNAB2	1	6085872
cg13614181	0.44177544740902	C13orf15	13	42031103
cg13615396	0.0399117986115298	NA	NA	0
cg13615963	0.0996098540873551	CCR6	6	167536521
cg13616221	0.0148295911296723	WIPI1	17	66453394
cg13617705	0.0298666166851101	SMEK2	2	55845095
cg13617782	0.0265971285740559	GART;SON	21	34915953
cg13618372	0.887173049745415	SPTBN1	2	54753625
cg13619408	0.191609376089675	SARS	1	109756118
cg13619768	0.0132288191587524	PIAS4	19	4008209
cg13619915	0.7885402669194	SLITRK3	3	164914437
cg13619990	0.234202738517297	NA	NA	0
cg13620770	0.215194975926902	GPR137;BAD	11	64051738
cg13620808	0.0169929650007017	UBE2S	19	55918708
cg13621440	0.216892545734831	NA	NA	0
cg13623690	0.0242204251784363	COTL1	16	84651800
cg13625113	0.0414505511166172	ZBTB6	9	125675579
cg13625205	0.0126777245780755	SNX27	1	151584902
cg13625403	0.666666752946483	TRIM29	11	120008510
cg13626881	0.328203088631286		1	203059178
cg13628514	0.775329250512683	TRPV4	12	110271439
cg13629753	0.102138167493446	GBP2	1	89591719
cg13631259	0.0735423878503629	NUDT8	11	67396845
cg13631913	0.0261438887438958	SLC25A33	1	9600345
cg13633026	0.599197138773149	MS4A8B	11	60466573
cg13633560	0.35033102868573	LRRC32	11	76380921
cg13634319	0.243950841076228	DGKA	12	56323727
cg13634678	0.019469507061054	TM2D3	15	102192134
cg13634864	0.968617302837234	ADAP1	7	994696
cg13636404	0.0137139741631359	ZNF655	7	99155673
cg13637733	0.0255882014763701	TLE3	15	70390233
cg13640200	0.018443405436962	AMIGO2	12	47474202
cg13641903	0.82997281545512	WT1	11	32452608
cg13643585	0.0847261811274767	HOXB9	17	46704004
cg13643796	0.0293809230744851	ADAMTS3	4	73434209
cg13644052	NA		16	3010410
cg13645078	0.0349049833685122	PHLDA3	1	201438647
cg13645811	0.086326143459595	SYNJ2	6	158403520
cg13649728	0.69708023376948	SLC25A31	4	128651707
cg13650137	0.0187478931733567	ASPM	1	197115405
cg13650156	0.719444001239476	PILRA	7	99970502
cg13650689	0.00944294865369547	PRPF31;TFPT	19	54618596
cg13652336	0.16510321620105	PREX2	8	68864012
cg13652556	0.0252737358476947	SEPX1	16	1993336
cg13652653	0.0348850407544611	TMEM33	4	41937034
cg13653456	0.0330163784542234	VARS	6	31763819
cg13654195	0.0213678033878431	CAGE1;RIOK1	6	7390091
cg13656062	0.818204574267586	CYP4F2	19	16008723
cg13656360	0.0377249664753626	MLL	11	118307782
cg13658777	0.232688232842691	PDHA1	X	19361740
cg13662243	0.305828225288087	NA	NA	0
cg13663218	0.0714361398768312	LOC283392;TRHDE	12	72666976
cg13665184	0.0182778323594924	DUS2L;DDX28	16	68057062
cg13665593	0.0212726666918197	ZSCAN16	6	28092420
cg13666340	0.047766928759852	C9orf68	9	4666266
cg13666729	0.405604063697116	ZBTB8B	1	32930473
cg13668129	0.0511284980236533	HNRNPUL1	19	41768075
cg13668397	0.0295491344568101	LIG1	19	48673955
cg13669465	0.0149035711515587	ZDHHC16;EXOSC1	10	99205343
cg13669583	0.335575542101407	NA	NA	0
cg13669740	0.379180549743201	TIGIT	3	114012833
cg13670595	0.0122024269627638	CDR2L	17	72983817
cg13671818	NA	RUNDC2A	16	12070223
cg13671831	0.021646300979494	NF2	22	30000107
cg13672342	0.0751944438349549	CIAO1;TMEM127	2	96930546
cg13672791	0.539683426574935	CACNG7	19	54416165
cg13673094	0.822389462278879	PTPRC	1	198608361
cg13673514	0.584724191116217	BEGAIN	14	101035818
cg13673779	0.0158340176212916	MEX3C	18	48723081
cg13674559	0.196414789471831	WDR44	X	117479752
cg13675849	NA	TRPV5	7	142631215
cg13676215	0.104458948445818	AHR	7	17337976
cg13678049	0.764801560766223	CUL9	6	43149356
cg13679077	0.0165658023653807	TOMM7	7	22862647
cg13681935	0.83120476842431	ASIP	20	32848452
cg13682722	0.0325490916545299	C14orf102	14	90798568
cg13683440	0.0219994562810883	FAM194A	3	150421878
cg13683864	0.0452494507817617	RPL14	3	40499215
cg13685294	0.929049539674195	GRM2	3	51743318
cg13686042	0.0188747556462891	SBF1	22	50913831
cg13686115	0.237932643295522	PHYHIPL	10	60936626
cg13687831	NA	MCM10	10	13204003
cg13688966	0.708737982389646	TM4SF4	3	149192377
cg13689073	0.260639463980476	LARP1	5	154093260
cg13692433	0.029402569816831	NCAM1	11	112832159
cg13693652	0.888138304063041	CLCA2	1	86888629
cg13694749	0.204155097999421	SCN4A	17	62050038
cg13694867	0.0221297463008184	SIM2	21	38072100
cg13696012	NA	BPIL1	20	31595360
cg13696887	0.293077240973965	KRT82	12	52800423
cg13697378	0.579885900206892	DIRAS3	1	68512845
cg13697387	0.0440049367363372	LCE2A	1	152670843
cg13699808	0.0663209022673412	ZMYND8	20	45985339
cg13700897	0.0462158478293612	RSPO2	8	109096064
cg13701109	0.524605040031949	ADAMTS19	5	128795472
cg13701273	0.0540981592726257	NA	NA	0
cg13702536	0.115646073042612	GPR81	12	123215553
cg13703437	0.607776150175017	FYB	5	39219698
cg13703941	0.785840395241179	NA	NA	0
cg13704271	0.0231421424636438	CCDC28B	1	32666264
cg13704403	0.0258631840084021	DGKQ	4	967460
cg13704548	0.081688016533724	IGDCC4	15	65714817
cg13705284	0.307291015606391	ACOX2	3	58523313
cg13705707	NA	PRKAR2B	7	106685427
cg13706352	0.0202424341552106	COX10	17	13972696
cg13707395	0.0196435784951798	ADAMTS15	11	130318316
cg13707560	0.188143331632317	NME5	5	137474700
cg13713381	0.0106507770708689	TMEM44	3	194354433
cg13714039	0.173880958770596	ZNF14	19	19843912
cg13718960	0.790881979172147	RNASE1	14	21271313
cg13719194	0.0846226349067621	NA	NA	0
cg13720744	0.0191628488754491	CRKL	22	21271392
cg13721560	0.0502503315852712	LRPPRC	2	44222568
cg13722123	0.0945469603778312	GRM1	6	146350346
cg13723482	0.14053015134127	NA	NA	0
cg13724288	0.017566496429038	VPS13A;LOC100286938	9	79791919
cg13724813	0.0235079835018788	SPSB1	1	9353314
cg13725272	0.0111383219738492	MAGI1	3	66024492
cg13726191	0.0519243491379335	FGFBP1	4	15940033
cg13726463	0.267761007587787	COX6A2	16	31439681
cg13726507	NA	CTAG2	X	153883318
cg13727946	0.0356100921517413	MBD3L1	19	8953473
cg13728650	NA	TPRA1	3	127300268
cg13729392	0.052142154411711	COX16	14	70826495
cg13730534	0.0516313901571558	NFYC;LOC100130557	1	41157553
cg13733733	0.182463270435844	NA	NA	0
cg13735697	NA	MYOG	1	203055296
cg13735974	0.66327077756176	NFYC;LOC100130557	1	41156980
cg13736875	0.012884432646556	UBE2C	20	44441064
cg13739345	0.0296029768184802	HAUS6	9	19102782
cg13739417	0.411122647709383	CXCR2	2	218990627
cg13741249	0.0245692614235866	FIZ1;ZNF524	19	56112088
cg13741326	NA	CROT;TP53TG1	7	86975244
cg13741802	0.0514586514090043	RIBC1;SMC1A	X	53449423
cg13742532	NA	CCBP2	3	42850848
cg13743031	0.0268021011439288	NEIL3	4	178231244
cg13744070	0.0313315325990252	SDHAF2;CPSF7	11	61197882
cg13744194	0.170495406481844	OCLN	5	68788087
cg13744304	0.0150710100013602	UNC50;C2orf64	2	99224764
cg13745346	0.254488310214605	CBFA2T3	16	89044523
cg13745870	0.271281900356731	SPATA12;ARHGEF3	3	57094763
cg13749822	0.744171994835169	HHIP	4	145566663
cg13750354	0.0215257918099854	OCIAD1	4	48833095
cg13752005	0.0388224880013232	CCDC64	12	120426784
cg13752043	0.0200478873770428	LRRC8A;CCBL1	9	131644109
cg13752949	0.0322834233443595	CP110	16	19535313
cg13754949	0.0433252093305629	REV1	2	100105657
cg13755023	0.0248438870782143	LRRC6	8	133687491
cg13755070	0.044436308335454	FLI1	11	128563714
cg13755535	0.0157972855518985	LMAN2	5	176778859
cg13756879	0.0167230699188248	INS-IGF2;IGF2AS;IGF2	11	2161473
cg13757640	0.0157745467034947	ARHGAP8;PRR5-ARHGAP8	22	45148888
cg13758659	0.0323067814054222	SDC1	2	20424975
cg13758677	0.298782265170747	NA	NA	0
cg13759143	0.0217754412697076	EXPH5	11	108464102
cg13759328	NA	CDH13	16	82661521
cg13759778	0.88813392703815	NF1;OMG	17	29624439
cg13760253	0.574531237250893	DNAJC5B	8	66932700
cg13760546	0.0142400171960079	RNF125	18	29598697
cg13763232	NA	SLC6A6	3	14443428
cg13765303	0.0284259362789675	BOC	3	112931390
cg13765621	0.0737580837684219	CD1D	1	158149228
cg13765785	0.425284506220516	SCN3B	11	123524938
cg13765961	0.758146390152317	MS4A1	11	60223238
cg13766096	0.0332490179169372	ING1	13	111365492
cg13769204	0.0178369275661447	GALNT2	1	230203611
cg13770446	0.748817159171015	CLCNKA	1	16349792
cg13771579	0.828195824022171	TCL1B	14	96152766
cg13771629	0.29735345077163	EBP	X	48379927
cg13775495	0.0153331133917972	IL12A	3	159706543
cg13777411	0.0334364647983785	HPS5;GTF2H1	11	18343973
cg13778073	0.0210815735175287	HSPA4	5	132387814
cg13781408	0.973822069219953	AATK	17	79095700
cg13782134	NA	NRN1L	16	67919362
cg13782957	0.030005534219003	PSMA4	15	78832906
cg13784557	0.0232907517522445	HCP5	6	31430916
cg13784792	0.0309130431977012	JUP	17	39942930
cg13784855	0.0197218034174466	MIR1204;PVT1	8	128806938
cg13785207	0.0176998407853068	RPS19BP1	22	39928927
cg13788062	0.0325456809666299	LARP7;C4orf21	4	113558189
cg13788301	0.0156553929620064	TOM1	22	35695944
cg13789236	0.0639269793902577	RFK	9	79009433
cg13789523	0.0106585964317214	DYNLRB1	20	33104204
cg13790571	0.0166828849041193	HEATR6	17	58156411
cg13791131	0.348047900389112	IGF2AS;INS-IGF2;IGF2	11	2161892
cg13791589	0.0134102771108982	SLC45A3	1	205649091
cg13791658	0.0282759092621472	U2AF2	19	56165797
cg13791713	0.435075663647234	HMGN1	21	40720916
cg13792279	0.26972897069249	CLDN17	21	31538549
cg13792569	0.434922682873898	NA	NA	0
cg13793354	0.0402082643950652	MCCC2	5	70882903
cg13794642	0.614650303617823	ZNF157	X	47229789
cg13794888	0.0227412455129437	SNUPN	15	75917792
cg13795840	0.849787967950225	CIRBP;C19orf24	19	1274794
cg13796218	0.0311927158581421	MAD2L2;C1orf187	1	11750663
cg13797031	NA	NIPSNAP1	22	29977742
cg13797282	0.375694514728383	CARD10	22	37914859
cg13798289	0.230836221727927	THAP11;CENPT	16	67875619
cg13798376	0.542697706811062	NA	NA	0
cg13798579	0.0168828888839862	CEP63;ANAPC13	3	134204398
cg13799206	0.0133715461132369	ASRGL1	11	62105152
cg13800022	0.0294223501959115	ITGB1	10	33246313
cg13801381	0.283630506906039	CCND2	12	4384022
cg13801416	0.133931328577609	AKR1B1	7	134143919
cg13802364	0.0101679918231723	RCOR2	11	63684106
cg13802966	0.373220251496816	CASP1	11	104905834
cg13804316	0.0424856584843601	XKR8	1	28286884
cg13804457	NA	NARG2	15	60771615
cg13806135	0.0190744866925543	PCDH17	13	58205045
cg13806670	0.00881361013576453	MARCH8	10	46090241
cg13807496	0.040476282954145	ALX4	11	44332540
cg13808561	0.0208890619571647	API5	11	43333782
cg13809962	0.239882441113163	ZNF711	X	84498932
cg13810225	0.024764097746296	MYH9	22	36784323
cg13812587	0.016419127038972	NUP188;DOLK	9	131709471
cg13813391	0.900542837563874	CMTM2	16	66613407
cg13814950	0.0972715285850687	DAPK1	9	90112515
cg13815872	0.664349006800758	RBM10;NDUFB11	X	47004890
cg13817266	0.562562416196547	NA	NA	0
cg13818368	0.0239587363699424	CAMTA2;SPAG7	17	4871354
cg13818573	0.113681516601949	C1QL1	17	43045372
cg13821008	0.273205848128383	WIPF1	2	175499113
cg13823136	0.375711977112317	ST6GALNAC5	1	77333138
cg13823701	0.218515871992384	TNXB	6	32078411
cg13823791	NA	COPS3	17	17184990
cg13824734	0.0179195909587901	PSMB3	17	36909238
cg13825058	0.0134258842659376	MND1	4	154266213
cg13828047	NA	MPI	15	75182130
cg13828758	0.314962766357403	NDN	15	23932373
cg13828839	0.0434043083486581	FXYD6	11	117747166
cg13828871	0.0229580800513402	MYST1	16	31128860
cg13830624	0.780163182608734	COL21A1	6	56112291
cg13833831	0.520421668735713	MATK	19	3802558
cg13834500	0.0197464120886063	TM9SF1	14	24665445
cg13834567	0.0591381386854951	TMEM145	19	42817981
cg13836627	0.0272128739649722	TJP1	15	30113723
cg13836770	0.0561332501367154	TNFRSF1B	1	12226913
cg13837202	0.636940318215693	PAGE5	X	55246977
cg13838528	0.0123240524284101	RPL27A;SNORA3	11	8704374
cg13839778	0.569546987014889	SYN1	X	47479048
cg13840968	0.401560833380913	LTB4R;LTB4R2;CIDEB	14	24780926
cg13841138	0.00987595474688467	NA	NA	0
cg13841804	0.0356484994858042	ANP32E	1	150207467
cg13842258	0.0242671058468881	APBB2	4	41216271
cg13842648	0.719526149575103	IL9	5	135231526
cg13843603	0.0176237721162793	PSMD11	17	30771994
cg13843613	0.0392102230136885	FAM5B	1	177140126
cg13843773	0.0409029482793457	C4orf22	4	81256811
cg13846555	0.0263291660052343	PSMB10	16	67970749
cg13846682	0.0687950174210086	C14orf147	14	34931391
cg13846796	0.0175791727522821	LSM14A	19	34663000
cg13846866	0.0323805034112859	MLH1;EPM2AIP1	3	37035399
cg13847070	0.0944887430074094	KLHL3	5	137071523
cg13847113	0.968377653003877	PRR22	19	5784809
cg13849691	0.493187735261658	ACSL5	10	114133304
cg13849825	0.970792286106872	CCNB1	5	68461940
cg13850625	0.0361818934529279	TMEM144	4	159131690
cg13851211	0.776978200544667	ADCY7	16	50321678
cg13853198	0.925056181301247	FCER1G	1	161185092
cg13853761	0.971259892713744	C11orf2	11	64863232
cg13854874	0.0512847155165016	CHAF1B	21	37757525
cg13856728	0.011743539283892	NA	NA	0
cg13857100	NA	SLC18A1	8	20041700
cg13857440	0.0806019724768908	NA	NA	0
cg13858139	0.213824270438641	ZNF43	19	22019044
cg13859216	0.0149744936660057	HSPA9	5	137910711
cg13859324	0.312034990771896	UNC45B	17	33474692
cg13859478	0.0510445854222478	CANX	5	179126433
cg13859541	0.0230499154202077	TGFBR2	3	30647802
cg13861644	NA	PIWIL1	12	130822286
cg13864877	0.0175850527814722	OPTN	10	13142132
cg13864937	0.0181996962546853	FAM111B	11	58874733
cg13870494	0.123352796606496	MAMDC2	9	72658358
cg13870866	0.422433044484258	TBX20	7	35293130
cg13873733	0.0413950817706034	ENOPH1;HNRPDL	4	83352560
cg13875807	0.0421607972777127	KDM4C	9	6758935
cg13876499	NA	TMEM27	X	15683696
cg13877465	0.0542044964280458	IGF2BP1	17	47074670
cg13877895	NA	GKN1	2	69201009
cg13877915	0.539400760534412	ZNF132	19	58951672
cg13878010	0.0246935258553212	ADCY5	3	123167276
cg13878093	0.0196460788883416	TBPL1	6	134274457
cg13878456	0.147504088037715	IKZF3	17	38020344
cg13878641	0.0231860491372379	GNAI3	1	110090951
cg13880228	0.0293284389355427	PRLR	5	35230343
cg13881341	0.631455005095291	FGF21;FUT1	19	49259215
cg13882267	0.0145720341240142	ITGA9	3	37493203
cg13882835	0.0469277253375546	TLK1	2	172017928
cg13882988	0.607074591638046	MBL2	10	54531345
cg13883681	0.457161711481016	GOT2	16	58768565
cg13884546	0.0244198897617051	MRS2	6	24403062
cg13885201	0.708542506583251	ZNF23	16	71496385
cg13887370	0.0142106133537825	DNAJC14	12	56224128
cg13888886	0.912412888698238	SPO11	20	55904640
cg13890487	0.0143747593032011	ISCA1	9	88897838
cg13891659	0.0390984725808719	C6orf122;C6orf208	6	170190454
cg13892015	0.0364511509597726	PPIL5	14	50065056
