Hybridization REF	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05	TCGA-AN-A046-01A-21D-A032-05
cg14930706	0.793272664049204	NLRP4	19	56363105
cg14931645	0.0152864123375717	ZNF672	1	249133278
cg14932645	0.913089121160872	SLC4A5	2	74569004
cg14932684	0.0250710830911924	YAF2	12	42632001
cg14934766	0.0149428624674127	CENPA	2	27009384
cg14934821	0.733023345726212	GPSM1	9	139228820
cg14939652	0.0311480668995113	NPAS3	14	33407765
cg14939691	0.0289921668927702	TKT	3	53289981
cg14940420	NA	IQCF2	3	51895692
cg14942312	0.600149433764865	GPR119	X	129519061
cg14944269	0.493701768209638	RAB15	14	65439602
cg14944362	0.25346313753805	PDYN	20	1974924
cg14946299	0.0333129473809569	ZNF273	7	64363590
cg14947494	0.0149219197487187	BRP44L	6	166796284
cg14948436	0.876989459580302	KCNK16	6	39290159
cg14948822	NA	MPV17	2	27545006
cg14949649	0.0366168616259086	UBE3B;KCTD10	12	109915082
cg14950072	0.370960763528264	LAMA1	18	7118122
cg14951292	0.251222379448622	HMOX2;NMRAL1	16	4525986
cg14951734	0.0106406933422247	CCNYL1	2	208576279
cg14957086	0.534181370087544	NA	NA	0
cg14958018	0.835104665222643	NKX6-3	8	41505042
cg14958635	0.616437463855382	NEUROG1	5	134870977
cg14958889	0.0169619237032255	GPR153	1	6320471
cg14959707	NA	ZC3H7A	16	11876391
cg14960043	0.0326651552478371	DEF6	6	35265624
cg14961385	NA	SPAG4	20	34204167
cg14961550	0.0586762868202309	MCM3	6	52149751
cg14962548	0.0130653301651425	EIF5B;TXNDC9	2	99952717
cg14962776	0.0297893438302196	TRAPPC2;OFD1	X	13753381
cg14963371	0.168960921083807	GPR3	1	27719463
cg14963897	NA	ROMO1;NFS1	20	34288750
cg14964658	0.0136186850159211	PEX19	1	160255030
cg14966252	0.0226825259822543	ZNF622	5	16466459
cg14967066	0.0861626111773992	IFITM1	11	314341
cg14967972	0.049399111119566	PANK1	10	91405265
cg14971781	0.0324484481435029	ACBD3	1	226374753
cg14972143	0.0258306576554146	EIF4E	4	99851003
cg14972271	NA	CAPN2	1	223899736
cg14973995	0.241074481470818	MFSD10	4	2935692
cg14974772	0.245026786473811	FBLN5	14	92414425
cg14975238	0.807907844594902	BHLHA15	7	97841591
cg14976276	0.0110688801142881	NEU1	6	31830630
cg14981132	0.029321423794546	HNRNPA1;HNRPA1L-2	12	54675468
cg14982472	0.60456897196862	ABCG1	21	43619651
cg14984307	0.0188270204699626	ACYP1	14	75530737
cg14984920	0.0319431120166408	CYCS	7	25164393
cg14986136	0.509592310895573	WBP5	X	102611253
cg14986420	0.230321213326485	YIPF6	X	67718299
cg14987922	0.0159436014269095	STRN	2	37194071
cg14988503	0.643071714395089	CDKL2	4	76555547
cg14989191	0.100670170522622	SEZ6L2;ASPHD1	16	29912071
cg14990333	0.0330913404772655	ZNF221	19	44455383
cg14991487	0.704904574342091	HOXD9	2	176987404
cg14992108	0.866918932963543	SNTB1	8	121825470
cg14992253	0.0347015941908048	EIF3I;C1orf91	1	32687567
cg14993293	0.0328947074871164	CETN3	5	89705579
cg14996805	0.0163077700941943	SUPT4H1	17	56430170
cg14998713	0.669867182432782	ETS1	11	128391908
cg15001372	NA	GCK	7	44229892
cg15001381	0.195304076928195	AXIN1	16	403314
cg15002187	0.026520889001583	SLC37A3	7	140098492
cg15002204	0.376365792205373	CENPQ;MUT	6	49429719
cg15002214	0.0134636905494771	NOG	17	54670370
cg15003158	0.0451071232757545		5	68628431
cg15003434	0.0422731453584695	SURF6	9	136202985
cg15005385	0.585355075776644	NA	NA	0
cg15006396	0.0375245601132053	FAM55C;NFKBIZ	3	101546859
cg15006973	NA	GJA4	1	35258933
cg15008991	0.272963118233256	ZNF673	X	46306863
cg15009698	0.0152500380454856	AP3B1	5	77590494
cg15009813	NA	TNFSF12;TNFSF12-TNFSF13	17	7451883
cg15010067	0.0188835640132506	MRPL54;APBA3	19	3762973
cg15010390	0.0359855385110606	NDUFC1	4	140216957
cg15013019	0.568383863373818	LYL1	19	13213451
cg15014034	0.681103304766998	MAOA	X	43515544
cg15014458	0.40117680126127	LYPD3	19	43969810
cg15014549	0.0831371336549515	SLC47A1	17	19437003
cg15016234	0.0147576454186728	TRIM62	1	33647028
cg15016628	0.231373805185659	BRS3	X	135570188
cg15018760	0.0145917792269245	TYMP;SCO2	22	50964374
cg15019617	0.0383645929141327	IFIT1	10	91152447
cg15020645	0.642975229283489	APC	5	112073769
cg15021292	0.904587581124072	PIK3R1	5	67521596
cg15021531	0.03181422829936	DDIT3	12	57913928
cg15025769	0.0132567996567198	MYO9A;SENP8	15	72410003
cg15028436	0.757112946579203	TXNDC3	7	37888078
cg15031780	0.0138831242585754	PEX14	1	10535585
cg15032239	0.0732630078939395	CYFIP1	15	22891954
cg15034135	0.018830438501042	ADAMTS19	5	128796168
cg15034763	0.0255233736857974	TMEM59;C1orf83	1	54519040
cg15035273	0.0210207668562064	PAN2	12	56727511
cg15035713	0.0179772885729435	TEP1	14	20881570
cg15037004	0.218576919855248	ZNF366	5	71803938
cg15039399	0.0117147796146423	CDK2AP2	11	67275985
cg15041659	0.0136960722967531	ZBTB40	1	22778527
cg15042080	0.0314738666934577	TMEM74	8	109799756
cg15042385	0.0336007416957072	URGCP;UBE2D4	7	43966260
cg15042806	0.0146009071998853	DCTN5;PALB2	16	23652268
cg15043057	0.530337123921174	CTPS	1	41444788
cg15043801	0.0279416256456895	DNMT1	19	10305911
cg15043975	0.146093512605808	RASSF1	3	50375252
cg15044041	0.746311862659839	WDR52	3	113160313
cg15044073	0.0241120171361951	SWAP70	11	9685299
cg15045441	0.0790352607688856	C6orf155	6	72130432
cg15046675	0.734600331352958	CD37	19	49838777
cg15046693	0.578752707296966	CEBPG	19	33863876
cg15046735	0.0109392730470983	ALKBH1;C14orf156	14	78174352
cg15047833	0.0347526320478318	POLR2C	16	57496411
cg15050111	0.0461925855929776	GRHL3	1	24645850
cg15051063	NA		3	142893947
cg15052335	0.746965117669666	LPIN2	18	3011810
cg15052901	0.273092642918277	NA	NA	0
cg15054260	0.0387765903321171	RIPK2	8	90769710
cg15055101	NA	SH2D3A	19	6766609
cg15056107	0.0201387755151642	NUP133	1	229644037
cg15056247	0.0189341653149096	DSE;TSPYL1	6	116601073
cg15056412	NA	NECAB3	20	32262523
cg15057581	0.382500862059064	SIRPA	20	1875084
cg15057726	0.0154420239863987	MCM2	3	127317466
cg15059511	0.0146541891957114	ZFYVE19;DNAJC17	15	41099719
cg15059932	0.190007799659699	ZNF236	18	74535233
cg15060177	0.0165567616518922	SACM1L	3	45731018
cg15060813	0.376415110132545	LRFN3	19	36428308
cg15061008	0.0260830534497629	CABIN1	22	24407907
cg15062535	NA	ZNF610	19	52847933
cg15062795	0.0181460375238233	ETV6	12	11802217
cg15065896	0.0294582664221657	GOLGA4	3	37285038
cg15068733	0.19105550234344	FGF11	17	7342846
cg15070798	0.0217931122119625	WDR24	16	740561
cg15071391	0.86693226064767	MTMR6	13	25862639
cg15075170	0.0487770228189425	TMEFF1	9	103236030
cg15075718	0.613221506277883	NA	NA	0
cg15076218	0.0215268743412151	PIK3R3	1	46599002
cg15076659	0.0847081322506953	SLC9A1	1	27481857
cg15077070	0.320053992261999	IL1RL2	2	102803290
cg15077637	0.03248106655799	EFTUD2;CCDC103	17	42977401
cg15078027	0.0110192794975195	NA	NA	0
cg15078479	0.0127354133944969	PARP2;RPPH1	14	20811808
cg15081561	0.859494780820787	CCDC102B	18	66504226
cg15082782	0.907427722449219	NA	NA	0
cg15083227	0.202341584219871	NA	NA	0
cg15083233	0.550400779582382	PALM2-AKAP2;AKAP2	9	112810402
cg15085805	0.0196127682918785	LSM4	19	18433592
cg15087147	0.0870647030414701	SND1;LRRC4	7	127672169
cg15089387	0.0955908699608602	TSLP	5	110406661
cg15089487	0.0237460016115179	LRRC49;THAP10	15	71185252
cg15091337	0.0300835889650323	POLE4	2	75185439
cg15091410	0.591373725881535	NA	NA	0
cg15092544	0.00824217321124632	NA	NA	0
cg15092802	0.639796534879754	NA	NA	0
cg15094912	0.0187247643380768	POFUT2;LOC642852	21	46707781
cg15095327	0.446365057332849	IL17RE	3	9944512
cg15096123	0.50113814881852	KLK4	19	51413937
cg15096140	0.69139600031777	MYO1B	2	192109731
cg15097876	0.0159747254621797	PPA1	10	71993604
cg15098690	0.0445513808865301	ZNF330	4	142141984
cg15100639	0.0116697310993267	BAT5	6	31671037
cg15101633	0.533315455044341	MEG3	14	101293726
cg15103426	0.0135592722461857	CCDC117	22	29168792
cg15103675	0.0106352363803293	UAP1	1	162531519
cg15104484	0.0166542785198846	PEX26	22	18560503
cg15105081	0.0510347286055344	C11orf67;RSF1	11	77532226
cg15105660	0.0756918492961857	CLDN1	3	190039935
cg15105703	0.475049880249294	DUOX1;DUOXA1	15	45421860
cg15105987	0.51598962303512	NA	NA	0
cg15107670	0.101249788059633	WT1;WIT1	11	32456759
cg15109207	NA	PLA2G4C	19	48614773
cg15109571	0.0330586030382834	SUFU	10	104264023
cg15111734	0.0335337122257063	FGFBP3	10	93668914
cg15113803	0.833714758921774	RHO	3	129247119
cg15118204	0.238695829020617	MAFG;SIRT7	17	79876231
cg15118503	0.035420325836969	AHSA2	2	61404861
cg15119375	0.0167736389148196	C16orf67	16	31712039
cg15120247	NA	C1orf54	1	150244045
cg15120497	NA	TRH	3	129692899
cg15120925	0.220551211789183	RASAL1	12	113573809
cg15120942	0.69355007517719	PLCD1	3	38071578
cg15121304	0.856827591453555		22	22380100
cg15125424	0.128439594263506	SOCS2	12	93963354
cg15125472	NA	HSPB6;C19orf55	19	36248077
cg15125634	0.0290085575007748	RAB11A	15	66161842
cg15127324	NA	ARAP2	4	36246442
cg15127733	0.759441667717311	HSPA12B	20	3713584
cg15127806	0.0232574971789152	MRPL42	12	93861418
cg15128849	0.0258952788358933	HHLA3;ANKRD13C	1	70820718
cg15128898	0.01735787096233	SPEF2	5	35618029
cg15129294	0.249887801456391	NA	NA	0
cg15133363	0.0253504456462048	C7orf68	7	128096265
cg15133917	0.743573338202523	TTN	2	179672637
cg15134628	0.0403807145531841	MAPK12	22	50699649
cg15134649	0.578340088052088	MT1E	16	56659336
cg15139737	0.0117653253452402	C8G;FBXW5	9	139839391
cg15140807	0.927360352882288	LOC388387	17	41051210
cg15142488	0.991653779654205	LYPD4;DMRTC2	19	42348947
cg15143643	NA	FBLN1	22	45897773
cg15144793	0.0115360399050998	SH3BP4	2	235861303
cg15146720	0.0304142020737877	GALNT11	7	151722621
cg15146752	0.586029450603563	EPHA2	1	16482767
cg15147435	0.0206599781213514	FKBP11	12	49319453
cg15147516	0.700681994030605	MIXL1	1	226411868
cg15147545	0.0118792904632177	ITGB1	10	33247604
cg15149098	NA	SULT2B1	19	49055027
cg15149645	0.343599275124296	NUPR1	16	28550619
cg15149938	0.541007117316985	C22orf34	22	50018392
cg15153383	0.0337490183021321	KATNB1	16	57770620
cg15154229	0.804337596228039	CPA1	7	130020011
cg15156078	0.0492137956609078	RASGRF1	15	79383413
cg15156367	0.832831097786306	EPHX4	1	92495004
cg15156836	0.0969960282728542	SEPN1	1	26126415
cg15156844	0.987630176148618	DLGAP1	18	3880020
cg15157837	0.0141303569329989	CNNM3	2	97482059
cg15158783	0.636755291980688	PF4	4	74847646
cg15160312	0.00807490012174574	DLG1	3	197025201
cg15160445	0.680173595671258	GNAS;GNASAS	20	57426749
cg15160742	0.0165909105694287	PPPDE1	1	244817222
cg15161055	0.0192061921607649	ECSIT	19	11639555
cg15161785	0.0119004985335767	ADI1	2	3523134
cg15164103	0.208299106634098	MEST	7	130126871
cg15164958	0.147097770851917	VSTM2A	7	54609587
cg15165084	0.0110367602018707	GRAMD3	5	125759291
cg15166050	0.975369672846505	LCTL	15	66857133
cg15166089	0.740623471313198	CD164L2	1	27710030
cg15167433	0.0258063518458115	XRCC1	19	44079985
cg15169162	0.950103210217933	PRPH2	6	42690308
cg15170424	0.475414311553059	TMEM55A	8	92052897
cg15170903	0.0236327952730622	NA	NA	0
cg15171237	0.949269324759306	CASP3;CCDC111	4	185571958
cg15173196	0.0268124661397515	UBE2T	1	202311278
cg15175266	0.680036407019283	CDH12	5	22854704
cg15175577	0.0163111233125622	C22orf28	22	32808177
cg15177359	0.174658232895648	UNC13D	17	73840750
cg15177917	0.23351952858656	DAND5	19	13080409
cg15178040	0.932443395114364	GSTA5	6	52711494
cg15182360	0.0437774734227908	PCDH20	13	61989737
cg15183083	0.519439910068487	KCNA4	11	30038310
cg15185001	0.028590386913214	LSR	19	35739448
cg15185286	0.0125703523453805	AIG1	6	143381675
cg15185794	0.0299467354948432	PADI2	1	17446087
cg15185804	0.0400886486010236	PGM3;RWDD2A	6	83902498
cg15186584	0.938567540424506	C9orf24	9	34397651
cg15186869	0.0244749501622662	UBR7;C14orf142	14	93673274
cg15187606	0.919701559965315	PDZK1IP1	1	47656853
cg15188491	0.0320152642010298	PRKAB2	1	146644106
cg15188688	NA	CDC45L	22	19468342
cg15191648	0.670629172490288	SALL3	18	76740262
cg15195276	0.028836577196507	LPAR1	9	113799936
cg15195353	0.857771444281847	GLIS2	16	4382775
cg15195412	0.66327970396807	CX3CL1	16	57406955
cg15198335	0.0128261547520083	DIS3L	15	66586003
cg15200096	NA	KCND1	X	48829104
cg15201291	NA	CYP2C8	10	96830102
cg15201599	0.018274881649347	COG3	13	46039584
cg15201635	0.012615193792646	SMPD3	16	68482637
cg15201877	0.139601133058319	PTGER3	1	71512973
cg15201909	0.392772228370551	IL2RG	X	70331961
cg15202954	0.135871952834948	NALCN	13	102068996
cg15205507	0.0704792080822389	ZNF331	19	54024323
cg15206330	0.0108075628592938	TP53;WRAP53	17	7591591
cg15206445	0.548972375345753	SPG7	16	89573312
cg15207619	0.0884000220261811	CAB39L	13	49975643
cg15207953	0.569312309035079		20	29522467
cg15209169	NA	RABGAP1	9	125702779
cg15210427	0.639721894540857	CST9L	20	23548991
cg15210596	0.0263556216113552	SCCPDH	1	246887325
cg15210999	0.735554742775411	DTNBP1	6	15663538
cg15211655	0.0192635731714096	OSBPL1A	18	21977340
cg15211677	0.66271637199167	WBP5	X	102611451
cg15212440	0.0198836717216981	SFXN2;ARL3	10	104474465
cg15213605	0.0392265511349172	COG4;SF3B3	16	70557485
cg15214092	0.0984833323537188	MRPL12	17	79670496
cg15214137	0.0204015452441659	PGM2L1	11	74109221
cg15215114	0.0225905893749731	C17orf61	17	7307419
cg15219393	0.0432800588064227	PPARGC1B	5	149109878
cg15222604	0.849703293529321	HCFC1	X	153230625
cg15223781	0.0318726411154351	FER	5	108083895
cg15225105	0.0144730341363925	SAC3D1	11	64808343
cg15226751	0.920675997167186	LZIC	1	10001911
cg15227610	0.792601067752851	HSPB2;CRYAB	11	111782016
cg15227982	0.311935806120838	C10orf26	10	104535854
cg15228639	0.326309146841333	PLA2G4E	15	42289939
cg15229026	NA	UBAC1	9	138853493
cg15230273	0.248003003978207	EFNA5	5	107006413
cg15231886	0.596172230970233	UTP14A	X	129039863
cg15232450	0.0138201869766914	SETMAR	3	4345438
cg15233681	0.927314104199739	IL1R1	2	102770602
cg15234096	NA	LIX1	5	96479253
cg15235185	0.01380534519928	TROVE2;UCHL5	1	193028809
cg15235832	0.0345801248749051	ACTR2	2	65455536
cg15236866	0.565871535131561	DLX1	2	172948825
cg15238200	NA	TRIM65	17	73893634
cg15238224	0.344882177531583	TRIM31	6	30081408
cg15239123	0.0326885657377568	SMOC1	14	70346413
cg15239579	0.17128448185844	TRAP1	16	3767978
cg15239703	0.0276587046413293	CBR4	4	169931051
cg15240064	0.0372134245479168	ZNF12	7	6746837
cg15241084	0.432009893308517	TLR7	X	12886121
cg15241708	0.545572283845933	CNOT6	5	179920582
cg15242570	0.0732519041630502	CTSL1	9	90341048
cg15243024	0.0291360816247764	NRBP1	2	27651571
cg15247031	0.372902344411612	C14orf126	14	31926564
cg15247144	0.0149185101661927	PYCARD	16	31213730
cg15248035	0.902488224647775	CCIN	9	36169949
cg15248979	0.0154788167351801	USP37;RQCD1	2	219434002
cg15249164	0.0116582722060872	ATP5O	21	35288186
cg15250507	0.221845788582208	C1orf106	1	200860365
cg15250797	NA	SCTR	2	120281526
cg15253243	0.0192714107109206	TMEM198;CHPF	2	220408791
cg15253672	0.0221214832696026	SPR	2	73114960
cg15256539	0.0177347957138686	BCKDHB	6	80816434
cg15257765	0.0249936189904247	MRPS11;MRPL46	15	89010459
cg15258980	0.664364032613163	ARHGAP25	2	68961597
cg15259973	0.0500749877448753	DSG2	18	29078565
cg15260250	0.00923034968466757	AP3S1;ATG12	5	115177504
cg15261665	0.329258980551707	LTF	3	46506374
cg15262516	0.284430849550028	COL4A1;COL4A2	13	110958418
cg15262928	0.0209175421063462	TIMM17A	1	201924572
cg15262984	0.0163122940000615	URGCP;UBE2D4	7	43965648
cg15264255	0.074313634161967	NIPAL2	8	99306718
cg15264273	0.953611576465269	ZNF169	9	97040460
cg15264303	0.0784746512209595	LRRC23	12	7013902
cg15264808	NA	CENPN;C16orf61	16	81041398
cg15269294	0.017996611833199	NUP155	5	37371053
cg15269863	0.0970317039665009	PRSS35	6	84222360
cg15269875	0.627434814751817	H19;MIR675	11	2018018
cg15270851	0.0358328448332838	CARS2	13	111358291
cg15270950	0.0500695440099589	TGFBR2	3	30648819
cg15271594	0.0216012103720155	RPL29	3	52029932
cg15271616	0.818989488673182	RUSC2	9	35490515
cg15272684	0.742990108773186	KIAA0319L;NCDN	1	36024473
cg15272690	0.0220578528820297	CCDC113	16	58284024
cg15275890	0.902964697230521	SLC25A17	22	41216316
cg15277108	NA	SDS	12	113842998
cg15278682	0.956576768197825	TACR2	10	71175852
cg15278948	0.0173739650524003	ZFAND2B	2	220071103
cg15279364	0.496721713613994	TMEM130	7	98466963
cg15280964	0.0303595439932181	RBM34	1	235324133
cg15284635	0.478201059288512	SLC6A11	3	10858504
cg15286372	0.0214014989552483	LRRC1	6	53659348
cg15286905	0.0257333188135974	ACBD5	10	27530250
cg15287183	0.105761616615865	NA	NA	0
cg15288179	0.0100496928877036	SUB1	5	32585739
cg15293750	0.0189896424698061	TRDMT1	10	17243266
cg15296858	0.794664566089743	PPM1G	2	27633235
cg15297650	0.857839541215932	TMEM163	2	135477056
cg15298323	0.468831935287243	ACAT2	6	160182438
cg15298545	0.914213678381505	ERI2;LOC81691	16	20816476
cg15298594	0.0147570220132789	NBAS	2	15701366
cg15299463	0.0192607722880297	TEAD2	19	49865398
cg15299721	0.0137103615490552	NHEDC2	4	103997510
cg15300989	0.0138940465458398	SIP1	14	39583430
cg15301525	0.0118246183435989	ATP6V0D1	16	67515344
cg15301694	NA	STRN3;AP4S1	14	31496854
cg15301700	0.0640517406332891	SCRT1	8	145560531
cg15302379	0.84372676869991	KAZALD1	10	102821848
cg15302567	0.0478031266991183	NA	NA	0
cg15303841	0.808549753358075	RFPL1S;RFPL1	22	29833804
cg15304928	0.0166850525777597	TMEM9	1	201123562
cg15305343	0.0118675777416336	NSUN4	1	46806357
cg15305511	NA	EVC2;EVC	4	5712676
cg15307169	0.0232985412009836	DOK7	4	3465064
cg15307268	0.0672632335972688	GPR176	15	40213409
cg15307449	0.733411255048807	NA	NA	0
cg15308737	0.95395196107598	ARSG	17	66303328
cg15309006	0.62381949491395	CHP2	16	23766116
cg15309066	0.0155433413535484	NA	NA	0
cg15309223	0.0179867956563424	TMEM59;C1orf83	1	54519091
cg15309236	0.751477697399917	BHLHB9	X	101975597
cg15309264	0.0775428847824521	VRK2	2	58274034
cg15309578	0.840825747158841	NA	NA	0
cg15310162	0.879878457103552	CLDN14	21	37852822
cg15310873	0.741098738324694	C20orf85	20	56726093
cg15311933	0.0126197101680426	PQLC2;AKR7A2	1	19638897
cg15312298	0.293959519963822	FAM84B	8	127570908
cg15312323	0.702266950649224	KRTAP4-4	17	39317694
cg15315630	0.0123424861626215	ZMYM6	1	35497506
cg15316289	0.97869516336192	ALG12;CRELD2	22	50310904
cg15316334	NA	CEACAM5	19	42211252
cg15317267	0.66552006310489	H19;MIR675	11	2018247
cg15318532	0.00980884613951011	RFXAP	13	37393521
cg15319076	0.0115935384740957	DCTN6	8	30013987
cg15319451	0.0814905724193001	TMEM51	1	15480748
cg15319457	0.020140550039144	HES6	2	239148132
cg15320474	NA	UBD	6	29528005
cg15321195	0.0327062811801995	AGPAT3	21	45285898
cg15321211	0.107762050700645	HNRNPF	10	43905515
cg15322932	0.152662900317951	ALDH3B1	11	67777682
cg15329467	NA	CYP19A1	15	51630696
cg15329483	0.474570818567988	SSX7	X	52683974
cg15329642	0.578519580786613	PTCH2	1	45308298
cg15329866	0.822387078174998	PLD1	3	171455826
cg15331039	0.0136530430505357	SH3BGRL2	6	80341283
cg15334028	0.0539127213746813	MIR638;DNM2	19	10829162
cg15337006	0.86848309553931	ITGAM	16	31271009
cg15337055	0.0163916596477583	FOS	14	75745358
cg15337897	0.0852982553371093	FGF3	11	69634400
cg15339605	0.0506555517982266	TFEC	7	115670795
cg15341340	0.0298827141260324	DNASE2	19	12992237
cg15341760	0.867933359096659		1	6297890
cg15342384	0.00869528327828063	HNRNPH3;PBLD	10	70091938
cg15343119	0.654781283056124	GALR1	18	74961785
cg15344028	0.797767571317581	ICOS	2	204801510
cg15344726	0.960877068291117	GJA3	13	20717346
cg15345126	0.0219800825867857	RAB27A	15	55582248
cg15348640	0.0151205607707652	ACAA1;MYD88	3	38179985
cg15348799	0.0153063787218151	SKIL	3	170075452
cg15350036	0.379789209693586	CROT;TP53TG1	7	86973677
cg15350194	0.0896456669470258	NA	NA	0
cg15350455	0.0385635975824112	C2orf44	2	24270357
cg15352315	NA	CD302	2	160655036
cg15352829	0.867210820819503	PLD4	14	105391018
cg15357518	0.033522941223661	RBM42	19	36120356
cg15357639	0.971079651673122	OGG1	3	9790443
cg15357945	NA	PRG2	11	57158361
cg15359413	NA	FIGNL1	7	50517931
cg15361231	0.629302039724039	GLRX2	1	193075191
cg15361590	0.471119037474984	PCDHGA4;PCDHGC3;PCDHGA12;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC4;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140864701
cg15361750	0.723521486180292	GPR77	19	47839132
cg15364303	NA	ROR1	1	64239391
cg15364537	0.119532928119833	MFSD4	1	205538310
cg15364618	0.477798400092299	LTB4R2;CIDEB;LTB4R	14	24780551
cg15365950	0.0117074084942135	KLHDC1	14	50160307
cg15368822	0.0314833234322886	TMEM63A	1	226070397
cg15371509	0.0217517273467194	INTS3	1	153700650
cg15372098	0.0190638992540222	C3orf26;MIR548G	3	99537053
cg15373285	0.674527789939051	MEG3	14	101293090
cg15373633	0.13168071131881	DACH2	X	85403474
cg15374234	0.661596317043698	CD300LF;RAB37	17	72709026
cg15375239	0.0117541329962606	SPINT2	19	38755287
cg15375586	0.208721102287282	TBX22	X	79277933
cg15376097	0.267574292736801	MPZL2	11	118135270
cg15377518	0.421216262286402	ZEB2	2	145278113
cg15377649	0.019828699809573	ACTN4	19	39138400
cg15378655	0.026053791184568	NA	NA	0
cg15379237	0.0276722439195951	B4GALT2	1	44445539
cg15379633	0.674363718807121	RAB36	22	23487586
cg15379858	0.496085241926768	CSGALNACT1	8	19540466
cg15379887	0.075415974500933	CGGBP1	3	88107415
cg15381313	0.851963156873709	NR1H4	12	100867509
cg15381769	0.0148222421800168	PTPRK	6	128841972
cg15383087	NA	ZFP82	19	36910144
cg15383120	0.607711238915425	DUSP22	6	291909
cg15383392	0.0409886808141772	CTTN	11	70244691
cg15383574	0.0220752131070282	ATP5S;L2HGDH	14	50779169
cg15384392	0.0135090024379787	ARHGAP1;ZNF408	11	46721921
cg15384599	0.140163837670884	SETMAR	3	4344887
cg15384717	0.0424742231405002	PRPF3	1	150294084
cg15385623	0.176148310283898	THRB	3	24536309
cg15387123	0.110782089359642	CLIC3	9	139891058
cg15389153	NA		3	42819341
cg15392792	0.0218583367164365	MIR638;DNM2	19	10829173
cg15394409	0.0119418202328591	TMEM111	3	10028474
cg15396310	0.0122204267134582	BCL7B	7	72971398
cg15396367	0.481581313781683	UAP1L1	9	139972779
cg15397506	0.0115352751982409	LOC93622	4	6675881
cg15398448	0.0105317926504458	PTOV1	19	50353971
cg15398520	0.298029276210434	LPAL2	6	160932709
cg15399561	0.0146117189466058	POP1;HRSP12	8	99129939
cg15401952	0.0500566444424614	KCNIP4	4	21305805
cg15403517	0.864331642471359	SRD5A2	2	31806275
cg15407570	0.70942326621765	STAB1	3	52529524
cg15408407	0.0101796035105493	RPS15	19	1438438
cg15408454	0.723491789082589	NA	NA	0
cg15409266	0.443101352869577	NA	NA	0
cg15410903	0.0165461581728972	GSTO2	10	106028780
cg15411984	0.0156199062190058	LRRC23	12	7014090
cg15413566	0.107818456069074	ICA1	7	8301971
cg15414833	0.0187619116133682	RUNDC3B;ABCB1	7	87257767
cg15415507	0.324888270672582	EPHA2	1	16482553
cg15415509	0.0554921663663538	ADRB2	5	148205614
cg15415545	0.0531943482537139	GIYD1;SULT1A3;GIYD2;BOLA2B;BOLA2;SULT1A4	16	30206046
cg15416233	0.00917361595623781	PAX2	10	102505266
cg15416577	0.0144991121316789	CCDC52	3	113234093
cg15417244	0.926279711588905	PDZRN4	12	41831558
cg15417900	0.0192573844386214	PAN2;CNPY2	12	56710096
cg15419274	NA	WFDC3;DNTTIP1	20	44421026
cg15422147	0.446735698503528	SERPINB5	18	61144339
cg15422784	0.922560488473047	LRRC8B	1	90023713
cg15423613	0.012088557884867	KCTD7	7	66093349
cg15423764	0.865629993778316	GLYAT	11	58499533
cg15423862	0.957179927101379	KCNAB1	3	155838109
cg15425280	0.425223485087635	GRIA2	4	158141492
cg15425811	0.679583117690565	C22orf27	22	31318181
cg15426734	0.118251338672725	PARD6A;ACD	16	67695272
cg15427448	0.0162127082037188	BACE1	11	117186896
cg15427567	0.0188604550706173	METT11D1	14	21458055
cg15427656	0.0430195194876508	FAM149B1;ECD	10	74928123
cg15427774	0.0339522447818504	GORASP1;TTC21A	3	39149258
cg15428653	0.0664538406450649	ABCA2;C9orf139	9	139923402
cg15430659	0.908065288765637	CNNM1	10	101090558
cg15431576	0.037781163512228	MORN4	10	99393007
cg15432938	0.0184597226047793	FRAT1	10	99078812
cg15433631	0.548707988276262	NA	NA	0
cg15434599	0.0332917094739726	MDM2	12	69201663
cg15435730	0.192617009852194	TFAP2D	6	50680222
cg15437432	NA	TMED9	5	177018986
cg15439078	0.89805034449883	MYL3	3	46904643
cg15439196	NA	CNNM2	10	104676907
cg15439862	0.543530696333758	DSC3	18	28622593
cg15441973	NA	HNMT	2	138721317
cg15442534	0.0105746695922826	PDCD10;SERPINI1	3	167452763
cg15442702	0.100214895710377	FGFR4	5	176514253
cg15443822	0.0920710681899607	ATP2A3	17	3867014
cg15444978	0.0174072517800314	MARK3	14	103851370
cg15445332	0.014984894272433	MKNK1	1	47069792
cg15446391	0.722347724866357	WT1	11	32452370
cg15447479	0.026927238493272	SMO	7	128828765
cg15447486	0.934902086791941	NA	NA	0
cg15448245	0.778894370666248	GGT5	22	24641654
cg15448599	0.944944203182604	C3orf45	3	50315748
cg15451100	0.0122975348836376	PSMB8	6	32812422
cg15452204	0.765672466582059	CDX1	5	149546471
cg15452426	0.0155268015656451	DFFA	1	10532230
cg15452573	0.57086929442056	SNCA	4	90758843
cg15453943	NA	RAB9P1	5	104434827
cg15454483	0.2826919940246	SNX12	X	70288604
