Hybridization REF	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05	TCGA-BH-A0H5-01A-21D-A112-05
cg12430845	0.0287669378926482	NIPBL	5	36876537
cg12431196	0.363683604313356	MAGEE1	X	75648216
cg12431401	0.258251769522628	SIRT2;RINL	19	39369277
cg12431699	0.0121162542180424	CDK5RAP1	20	31989412
cg12432709	NA	CCDC68	18	52627333
cg12433691	0.0272142844055982	GCC2	2	109065314
cg12434258	0.0392026245750895	ZNF490;ZNF791	19	12721799
cg12434587	0.00838982718278059	MGMT	10	131265209
cg12434779	0.363418172887961	ARHGAP6	X	11684104
cg12435359	0.0120558952814805	BTBD1	15	83735668
cg12435611	0.114210206165032	BRIP1	17	59941052
cg12435758	0.0135817700755797	LGI2	4	25032141
cg12435792	0.720244176100796	PDE6B	4	619375
cg12437239	0.0459249484040589	GOLIM4	3	167814123
cg12437481	0.416325551264517	MRPL28	16	420112
cg12438034	NA	MAGEF1	3	184430477
cg12438037	0.599348798254664	MRPS2	9	138393570
cg12438666	0.113610613565129	C2orf15;TSGA10	2	99757242
cg12439773	0.715502633864003	SLC22A6	11	62752119
cg12439899	0.057795166727641	TFAP2A	6	10415232
cg12441928	0.0402660701562411	CCR1	3	46249985
cg12441964	0.98918864370634	CCDC79	16	66835860
cg12444340	0.0495153137878577	RBM5	3	50126434
cg12445208	0.652757465574787	ZNF583	19	56916205
cg12446644	0.0281388404252426	LASP1	17	37026641
cg12447832	0.211005128743926	TTC15	2	3383257
cg12448933	0.240307343937205	RAB37	17	72667378
cg12448934	0.0109482692345735	CLSTN3	12	7283049
cg12449183	0.939915369283327	ERAS	X	48687283
cg12452010	0.0187046142115836	ADO	10	64564444
cg12452675	0.0333451178906142	ACOX1;C17orf106	17	73975215
cg12452946	0.0762116712575401	MFSD8;C4orf29	4	128886867
cg12453288	0.054536436945232	C2orf50	2	11273229
cg12453778	0.0226564198872528	COMMD1	2	62132763
cg12454167	0.255020850532408	KNG1	3	186435060
cg12454725	0.0108267748417065	SYT17	16	19179231
cg12455187	0.814020976650934	CCL5	17	34208503
cg12455562	NA	BTN2A3	6	26422779
cg12456510	0.65418751688014	TFF2	21	43771355
cg12457773	0.306922931050542	NRSN1	6	24126497
cg12459502	0.751739538848497	BCL2	18	60904237
cg12460105	0.0471982749222991	RAD17;TAF9	5	68665773
cg12460359	0.692921180027539	NA	NA	0
cg12460541	0.176649920735625	ITPKA	15	41785560
cg12461141	0.599497697620786	TRIM22	11	5710654
cg12463550	0.028259614427506	CRCP	7	65579703
cg12465398	0.060199717198916	PPIL3;NIF3L1	2	201753874
cg12466095	0.690731062953454	NA	NA	0
cg12467090	0.838182176087657	PIK3C2B	1	204459139
cg12467191	NA	CSK	15	75074068
cg12467864	0.0152333097690938	PRC1	15	91537971
cg12468056	0.0222575240261807	MYST3	8	41909961
cg12468189	0.574805935801456	SRPK3	X	153046767
cg12471156	NA	RBM16	6	155054259
cg12473775	0.611462915065959	RHOD	11	66824650
cg12476968	0.148348936161725	SLC12A6	15	34610829
cg12477012	0.0249367917701395	NASP	1	46049214
cg12477119	0.188773951216191	CDK12	17	37617470
cg12478185	0.19871905142642	C17orf48;SCO1	17	10602001
cg12478809	0.0263235855929703	COX5A	15	75230753
cg12478978	0.0370773535830441	FLOT1	6	30710766
cg12480658	0.0352795146234491	ATF2;MIR933	2	176033148
cg12483860	0.0138169772448478	TNIP1	5	150460615
cg12484193	0.0998884343690612	DUSP19	2	183943469
cg12485020	0.203624785423027	CHRDL1	X	110039269
cg12485992	NA	SPATA22	17	3374971
cg12489819	0.0312162728198495	FDPS	1	155278858
cg12489960	0.829476213430696	SGCB	4	52905025
cg12491368	NA	EEF1DP3	13	32523340
cg12491659	0.510432045365724	GAPT	5	57786356
cg12491710	0.946868920913759	LIM2	19	51891526
cg12493160	0.894879801601918	NA	NA	0
cg12493906	0.630303986693887	MMP26	11	5009311
cg12497298	0.0179366308892152	MUL1	1	20834501
cg12497564	0.0774102547088155	RBP1	3	139258295
cg12497692	0.968199399531858	ZBTB32	19	36203089
cg12497851	NA	TBC1D14	4	6910926
cg12499211	0.230685176906587	NTRK1;SH2D2A	1	156786643
cg12501949	0.417278167153799	CCDC141	2	179750458
cg12503243	0.115270496384983	PRPF39	14	45553114
cg12504957	0.014527357029306	MDM2	12	69202060
cg12506373	0.0346083764010017	CAD	2	27440548
cg12506971	0.0376275509426231	AADAT	4	171011264
cg12507125	NA	WWTR1	3	149375528
cg12508214	0.0172247991517733	FBXO32	8	124553600
cg12508624	0.0702088427999466	THY1	11	119293780
cg12510502	0.956072362297985	SLC22A18	11	2942176
cg12510755	0.556158547273155	NA	NA	0
cg12513308	0.0218462027838107	CKLF	16	66586534
cg12513379	0.306172562336156	OR10H2	19	15838397
cg12513481	0.0475070215770876	SKAP1	17	46507830
cg12514506	0.844576952387842	OSBPL5	11	3121286
cg12514620	0.0348441576209306	SSBP3	1	54871858
cg12515371	0.930843553730951	PPP1R16A	8	145721996
cg12515638	0.120652423908862	SFRP4	7	37956018
cg12517167	0.508884091492268	RBMX;SNORD61	X	135962887
cg12517944	0.985071541872511	NA	NA	0
cg12520111	0.0264270121873724	PPIA	7	44835727
cg12526025	0.0295746135005778	LARGE	22	34317552
cg12529228	0.943976493664438	NHLH1	1	160336994
cg12529801	0.0197761648518187	C16orf72	16	9184705
cg12530021	0.502882462603941	SIGLEC12	19	52004630
cg12530080	0.593869567419231	CDH12;PMCHL1	5	22141639
cg12530270	0.96217454491877	DCST1;DCST2	1	155005172
cg12531003	0.0161024867703289	ZNF580	19	56152621
cg12531542	0.805463377931798	MOGAT2	11	75429059
cg12532169	0.477492100916558	NDN	15	23932370
cg12532477	0.45474027921091	CHST6	16	75529504
cg12532500	0.12035168833484	STARD13	13	33859636
cg12532667	NA	EMCN	4	101440020
cg12533010	0.0593164198416746	PSMA3	14	58711667
cg12533335	0.0762898353305693	TAF1C	16	84220778
cg12534466	0.0367597221037078	SLC25A38	3	39424767
cg12535715	0.469684616637521	HTRA4	8	38831693
cg12536534	0.442824639695379	IKBKG;G6PD	X	153774863
cg12537796	0.391544787270624		X	106515818
cg12539975	0.0427491210030156	PRDM12	9	133539583
cg12541591	0.0264011872335062	TGFBR2	3	30648096
cg12542281	0.0840913251745421	N4BP2L2	13	33113069
cg12542604	0.0895953858023204	ANKS1A;TAF11	6	34856704
cg12543649	0.0218766700869021	THBS3	1	155176868
cg12547930	0.760389392409913	WFDC6	20	44168753
cg12548064	0.0227339054502348	ANKRD46	8	101571911
cg12548454	0.0264261809803964	PSAT1	9	80911457
cg12549513	0.493675472172505	BEX2	X	102565951
cg12552392	0.716873621449222	NA	NA	0
cg12554476	0.805425707875332	GP2	16	20338808
cg12554573	0.477996996309882	PARP3;RRP9	3	51976667
cg12554819	0.0128435273608478	REV1	2	100106981
cg12554857	0.618868994438367	HPGDS	4	95264019
cg12555334	0.35001610361637	CCT6A;PSPH	7	56120290
cg12555907	0.806520097630017	MBP	18	74845422
cg12556134	0.268072267015678	TGIF2	20	35201610
cg12556325	0.834133281729003	C7orf29;LRRC61	7	150026731
cg12556991	0.0193108571900986	RPL27	17	41150487
cg12558519	0.0235207178461436	KLHL26	19	18748017
cg12558957	0.0285036324262066	NA	NA	0
cg12559031	0.0436248199691652	DLX4	17	48046365
cg12561748	0.0257871496073796	ZKSCAN4	6	28220091
cg12562500	0.0307849652816675	CLPP	19	6361639
cg12563178	0.0782097323911024	PLXDC2	10	20105641
cg12563480	0.023927084224409	SNX11	17	46184629
cg12564453	0.917183531448036	CETP	16	56995840
cg12564962	0.960616045716488	DSCR6	21	38377938
cg12566415	0.93847984318006	LHB	19	49519613
cg12567315	0.0337750302377225	TSPAN13	7	16793634
cg12568776	0.013013892774735	EPB41L4B	9	112083456
cg12569173	NA	FAM104A;C17orf80	17	71227752
cg12569516	0.0223945372138523	TRPS1	8	116681193
cg12570787	0.052686090546131	SDHA;CCDC127	5	219185
cg12571423	0.22124264532871	CCNA1	13	37006748
cg12572011	0.00834013534244443	UBE3A	15	25684085
cg12572278	0.038696610227568	OAF	11	120081259
cg12572545	0.320073998310338	SC4MOL	4	166248219
cg12572827	0.942184100122569	PDE6H	12	15125509
cg12572939	0.601155933044301	NA	NA	0
cg12573766	0.0255948685997436	SNORD15A;RPS3	11	75110826
cg12575181	0.95300530786852	PIGH	14	68067658
cg12575751	0.0153328718028125	NUCB2	11	17297984
cg12576145	0.307411417483823	AMMECR1	X	109560751
cg12576700	0.0528877445455144	CDK5RAP2	9	123342680
cg12576844	0.8801917763058		5	132207512
cg12577610	0.0216636322978354	SMARCD2	17	61920423
cg12578166	0.254008314531739	KCNQ1	11	2466909
cg12578480	0.0344046052688737	MSRB2	10	23384902
cg12581035	0.0106951727385207	PHC1	12	9067477
cg12582008	0.810777269804851	OLFM4	13	53603286
cg12582366	0.612533109832936	NA	NA	0
cg12582959	0.381616514835168	CCDC106	19	56159199
cg12582965	0.94481614910001	ATP10A	15	25972328
cg12583908	0.113143185221061	RFC4	3	186524777
cg12584034	0.170515992588304	NA	NA	0
cg12584718	0.141753017693503	MEPCE	7	100028402
cg12584889	0.703538741624622	NXF3	X	102347925
cg12585282	NA	PABPC4	1	40042727
cg12585943	0.320522630853581	PPT2	6	32121368
cg12586262	0.0420103368274591	ZNF160	19	53606654
cg12588299	0.7208323759229	GPR31	6	167571803
cg12588301	0.744177065479253	CRCT1	1	152487335
cg12588476	0.0307190122834921	ZSCAN21	7	99647494
cg12589433	0.249288038417461	AR	X	66765978
cg12591323	0.915053744907246	SMARCAL1	2	217278609
cg12592463	0.0275942250922625	C1orf63	1	25574236
cg12592716	0.0445503204350748	CUL1	7	148395181
cg12592779	NA	ZNF12	7	6745725
cg12593411	NA	ANGPTL6	19	10213722
cg12594641	0.157712586874015	NA	NA	0
cg12598178	0.984693986152399	UTS2R	17	80332278
cg12598198	0.891918943672098	HSPB2	11	111784386
cg12598364	0.0150924722103319	GCAT	22	38203677
cg12598575	0.0179319456186043	BOD1	5	173043653
cg12599000	0.917501567390562	NA	NA	0
cg12600197	NA	NEIL1	15	75639339
cg12601757	0.0731154995219639	ST6GALNAC3	1	76540465
cg12601987	0.0198053498683942	RASD1	17	17399718
cg12603043	0.0121362532445194	EHD2	19	48216450
cg12603560	0.620829542087817	TNKS1BP1	11	57090070
cg12604192	NA	KCNA10	1	111062127
cg12605747	NA	RPL4;ZWILCH	15	66798443
cg12609467	0.0207492610802995	DAG1	3	49508289
cg12610070	0.156079747720702	TSPAN15	10	71211762
cg12610744	0.613840735809855	KRT4	12	53208762
cg12611860	0.816800054910695	PIK3C2A	11	17191617
cg12612336	0.0114282787236202	PRPSAP1	17	74350433
cg12613344	NA	NR1H3	11	47280305
cg12613383	0.314470567877261	PLD5	1	242688681
cg12614105	0.229395672849559	NPY	7	24324435
cg12616277	0.190365714060862	ESYT3	3	138153763
cg12616487	0.633166364607874	ROM1;EML3	11	62379063
cg12618251	0.0443466224113815	FZD7	2	202899058
cg12619162	0.770788205635683	FXYD4	10	43867155
cg12619509	0.642467353752286	DNASE1L2	16	2286601
cg12620111	0.0163476085544431	ZNF70	22	24093496
cg12620499	0.0169735573014124	MREG	2	216877984
cg12621514	0.112700317643562	DKK1	10	54073047
cg12622273	0.87453904212013	LGI4	19	35625496
cg12622986	0.145840752511084	BARHL1	9	135458173
cg12623088	0.0331664224023415	DIS3L	15	66585521
cg12624523	0.873131157169969	GPLD1	6	24489770
cg12624641	0.258659007817548	C14orf143	14	90420569
cg12626085	0.0185308862291368	UEVLD	11	18610074
cg12626411	0.531807287784991	PRG4;MIR548F1	1	186265765
cg12627583	0.0254429610879944	AOX1	2	201450731
cg12628062	0.0203026231078187	PSMC3IP	17	40729398
cg12628956	0.0204382015668152	RFESD	5	94982685
cg12629083	0.0264433220736551	SENP1;PFKM	12	48499284
cg12629244	0.88754068802309	FAM20B	1	178994355
cg12629325	0.0406481682975151	PCDHAC1;PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA1;PCDHA2;PCDHA9;PCDHA13;PCDHA5;PCDHA3	5	140306458
cg12629515	NA	HIST1H3J;HIST1H2BO	6	27859811
cg12631737	0.0338619637511237	FUT4	11	94277190
cg12635664	0.0428048445996695	SAR1A	10	71930586
cg12638745	0.432897856023626	SH3BGR;LCA5L	21	40816464
cg12639234	NA	NAT2	8	18248964
cg12640109	0.405378504267635	ASRGL1	11	62104720
cg12641660	0.0234600969408906	TTF2	1	117602129
cg12643449	0.242651714995838	IFRD1	7	112062338
cg12643877	NA	ARHGAP27	17	43502145
cg12644353	0.0478501742927377	ACTR3	2	114647787
cg12645220	0.199645659848125	PAK7	20	9819272
cg12645567	0.00905828122758015	NA	NA	0
cg12645742	NA	SMAD6	15	66994830
cg12646585	0.0548670623904357	WDYHV1	8	124429417
cg12647320	0.881614904991384	POGZ	1	151433222
cg12647587	0.898998630760387	C10orf129	10	96954252
cg12647643	0.0483125827479759	PTPN13	4	87515184
cg12648263	0.0206599918565529	PIGH	14	68067090
cg12648583	0.0449542981451164	KIAA1712;FBXO8	4	175205248
cg12650011	0.121135786441435	TSPAN12	7	120498280
cg12650635	0.70477065678932	AQP2	12	50344463
cg12650780	0.390784960625846	SH3BGRL;HMGN5	X	80458049
cg12650926	0.0688442793163277	ITPR3	6	33589118
cg12651014	0.0577269851736147	CCDC7	10	32735292
cg12653105	0.602397774744317	PLP2	X	49028299
cg12654845	0.792844248666484	CLDN2	X	106163009
cg12657853	0.0155317070450422	HSF2	6	122720929
cg12658552	NA	SFRS2IP	12	46323656
cg12658982	0.00950497033856607	PRR15	7	29603541
cg12661229	0.0168124821917958	C3orf54	3	49840147
cg12661964	0.948262302403898	IFI35	17	41157777
cg12662162	0.46149036371404	C6orf106	6	34664887
cg12663253	0.899591846640751	PIK3R1	5	67522532
cg12667808	0.00956831586101834	NA	NA	0
cg12671744	0.476124641827963	FAAH	1	46859774
cg12674192	0.0222273568936002	MAK16	8	33342777
cg12675800	0.0178243074255039	TRAPPC6B	14	39639447
cg12676081	0.067521802270758	RIOK2	5	96518721
cg12680071	0.0683733423609233	COX6B1	19	36139062
cg12680609	0.278195307051334	NA	NA	0
cg12681402	0.0943304752145801	RPH3A	12	113229989
cg12682367	0.476798624254185		13	24523698
cg12683641	0.878790550564525	KLK14	19	51587102
cg12683929	0.147481421839911	BLOC1S1	12	56109593
cg12684360	0.0331159392545499	KPNA3	13	50367057
cg12685200	0.00979062673570911	LGMN	14	93214923
cg12685753	0.055043037805205	TEKT1	17	6735539
cg12686016	0.0373552847400782	HOXA1	7	27135477
cg12686915	0.0679594512597591	EIF3H	8	117768332
cg12687215	0.448321505695864	FAM50A	X	153672898
cg12687463	NA	CFHR1	1	196787850
cg12687922	0.0251726229319789	PPM1J	1	113257872
cg12687990	0.0286932397410676	PTENP1	9	33677449
cg12688043	0.0535023188533636	MAP4	3	48129944
cg12688215	0.00724193465352242	TXNDC12;KTI12	1	52499228
cg12688670	0.10459202964974	KIF22	16	29801602
cg12689375	0.0249961421784001	DDX3X	X	41192164
cg12689475	0.0520085914965955	RPUSD1;CHTF18	16	837842
cg12691219	0.322756545302275	ARMCX3	X	100878134
cg12691366	0.00498876806673178	HSPC159	2	64681733
cg12693135	0.0124283791128863	ARL16;HGS	17	79651124
cg12693634	0.142118200244853	SGMS1	10	52384065
cg12694555	0.898664426261878	NA	NA	0
cg12694870	0.843402354575737	HPD	12	122296680
cg12696750	0.0354808976691024	DNALI1	1	38022466
cg12697789	0.0842275568043377	TLR3	4	186990425
cg12699145	NA	TMC7	16	18995637
cg12699371	0.130706404657856	GALR1	18	74961424
cg12701101	0.0171952893064722	NA	NA	0
cg12701576	0.0375952753670014	PEX19	1	160254608
cg12703269	0.619698748018282	PSTPIP1	15	77286232
cg12706983	0.0413317262997519	ZSCAN16	6	28092239
cg12707233	0.612456578279401	WNK3	X	54384964
cg12707353	NA	ACOX3	4	8440629
cg12709412	NA	C18orf8	18	21083001
cg12711530	NA	BMP10	2	69099285
cg12711814	0.013662433100863	ENO1	1	8939529
cg12712746	0.0159850044695916	SAMM50	22	44351370
cg12716838	0.0187830022153633	B3GALNT1	3	160823255
cg12717203	0.30418335245404	ZNF718	4	124342
cg12717594	0.0645957440038322	RECK	9	36037454
cg12717668	0.0364781762328017	ZNF655	7	99156195
cg12718440	0.332027541283811	MORN4	10	99393576
cg12718562	0.779427462723044	NA	NA	0
cg12719235	0.152608016386872	POLR2E	19	1095626
cg12721546	0.0159572152357144	BCLAF1	6	136611096
cg12722998	0.0356711607654186	CUL4A;PCID2	13	113862943
cg12723191	0.925322975717586	PDC;MIR548F1	1	186429967
cg12723809	0.0276315068770998	C4orf36	4	87813066
cg12724357	0.0927435400417023	SYT12	11	66790285
cg12724466	0.729842566964086	ASB11	X	15333584
cg12724827	0.812951835867685	CENPI	X	100355703
cg12726576	0.860285803911079	NA	NA	0
cg12727374	0.0120426121828579	MAP6D1	3	183542914
cg12727795	0.0602875441799406	PDGFRB	5	149535695
cg12728032	0.338072596690998	ELF5	11	34535357
cg12728629	0.837652969106663	NA	NA	0
cg12729048	0.0262840368972259	TUFT1	1	151513198
cg12729059	0.0159468784001678	NA	NA	0
cg12730381	0.140228734299402	YWHAG	7	75988212
cg12730424	0.0392236694906775	BTBD7;KIAA1409	14	93799109
cg12731488	0.615405961137419	SYTL5	X	37893211
cg12732155	0.218752562044071	LAPTM5	1	31230601
cg12732953	0.812797937851424	FMR1NB	X	147062547
cg12733079	0.0418412555722925	DOCK4;ZNF277	7	111845182
cg12733430	0.0314711587250594	KLHL8	4	88141939
cg12736438	0.0385335803066036	RAB20	13	111214457
cg12737574	0.0664753466145242	CATSPER2P1;PDIA3	15	44038332
cg12737801	0.0437727141855886	TCEA1	8	54934346
cg12738007	0.0102102422509213	MRPL16	11	59578167
cg12738197	0.031841000561511	ZNF572	8	125985883
cg12739034	0.0345106989970923	PTGER3	1	71513626
cg12739647	0.0168792469996078	SFT2D2	1	168195558
cg12741420	0.187897616422139	IRF4	6	392131
cg12741488	0.216674279324407	FLYWCH2	16	2933841
cg12743398	0.741911839600788	SULT1A2	16	28609531
cg12743894	0.00649740972408059	C11orf46	11	30344937
cg12744185	0.0213136263561816	PCTP	17	53828387
cg12745769	0.1203055478853	ZNF493	19	21579993
cg12748258	0.0164481429384404	HR	8	21988173
cg12748926	NA	PLD3;C19orf47	19	40854020
cg12753358	0.164379938883568	EFNB1	X	68047716
cg12753858	0.823650495614573	C15orf55	15	34637869
cg12754733	0.0163728520258524	C19orf39	19	11485436
cg12754854	0.867967953229566	PHYHD1	9	131682859
cg12757143	NA	WDR85	9	140473704
cg12757684	0.667892742363586	PLAGL1;HYMAI	6	144329485
cg12758687	0.309582170627995	DRD2	11	113346327
cg12759554	0.694317284060936	NAP1L5;HERC3	4	89618637
cg12762680	0.0729970683912101	PSMB9;TAP1	6	32822346
cg12762799	0.462213688000508	CLEC4E	12	8693542
cg12763546	0.658893842679036	ZNF232	17	5027051
cg12766348	0.0181814089754084	CLK4	5	178054039
cg12768605	0.16348903755089	LYPD5	19	44324951
cg12770741	0.680027418669326	NXN	17	883776
cg12771281	0.0343548383934687	SLC38A6;TRMT5	14	61447816
cg12774845	0.0636068303947762	C14orf45;ENTPD5	14	74486312
cg12775479	0.933728058116433	IGSF10	3	151176684
cg12775613	0.899414966819795	HTR1F	3	88040034
cg12776163	0.0223758427957228	SEPT7	7	35840706
cg12780286	0.0220229831284094	IQCB1;EAF2	3	121553586
cg12780322	0.0203479132849289	SRP72	4	57334163
cg12781218	0.0339441019537174	C7orf31	7	25219610
cg12781395	0.0368498641634498	C14orf178;SNW1	14	78227701
cg12781568	0.628512068703476	WT1	11	32452038
cg12782180	0.692083507035463	LEP	7	127880932
cg12783573	0.030132205133148	ZUFSP	6	116989975
cg12783640	0.0174347358867657	ABCC5	3	183735660
cg12783776	0.12779332088932	SERPING1	11	57365948
cg12784172	0.918214411277729	TUBGCP4;ZSCAN29	15	43661957
cg12785087	0.0160246445473638	NAA40	11	63705946
cg12785675	0.0221098856413148	ARMC2	6	109169698
cg12785689	0.0223655188933785	EIF6	20	33872408
cg12787624	0.0114602633972963	LIMA1	12	50677281
cg12788061	0.0190106201375016	TIGD3	11	65122441
cg12788313	0.75973709118016	NA	NA	0
cg12788467	0.126823721237393	HNF1B	17	36105335
cg12788471	0.0108527061757732	ARPC5L	9	127630977
cg12789833	NA	FBXO22	15	76195876
cg12790134	0.26008550879599	VCPIP1	8	67578787
cg12791465	0.691007336184597	NA	NA	0
cg12791554	0.886025309007252	PRR4;TAS2R20;PRH1	12	11151622
cg12792011	0.0239328149039191	ZNF329	19	58661915
cg12792157	0.0100087149981341	MYCBP	1	39339004
cg12792366	0.0193376492919975	LRRFIP2	3	37217087
cg12792367	0.363729551516812	TFR2	7	100238750
cg12793610	0.895962289324435	TRIM2	4	154125637
cg12795208	0.886353767120235	KRT6B	12	52845938
cg12796229	0.0210844807286567	SLMO1	18	12408045
cg12797788	0.0366872804101805	CENPT;NUTF2	16	67881270
cg12799265	NA	LEPRE1;C1orf50	1	43231483
cg12799835	0.159260655013309	FAAH2	X	57313034
cg12799895	0.517023937324291	NA	NA	0
cg12800028	0.264781006493836	GPR6	6	110300146
cg12800145	NA	GPRC5D	12	13103655
cg12802819	0.0327085635887945	DDX25;PUS3	11	125773242
cg12803724	0.0321531839217295	FAM164A	8	79578360
cg12804976	0.039916292125448	NA	NA	0
cg12806381	0.0473646062210286	PIGV	1	27114177
cg12806521	0.0243771825479841	NOP2	12	6677729
cg12808992	0.0205246652860415	ULBP2	6	150263354
cg12809314	0.0935883787100429	ZNF445	3	44518785
cg12810190	0.0681926982367174	ZNF740;CSAD	12	53574537
cg12810837	0.223161647400401	CLEC2D	12	9822287
cg12811135	0.958534939729465	C2orf51	2	88824472
cg12813792	NA	C20orf85	20	56725695
cg12813797	0.933306810025428	TAAR6	6	132891505
cg12813922	0.0354331208555244	RAB3GAP1	2	135809940
cg12814525	0.0155822436565855	MDC1	6	30685250
cg12815142	0.665314515480275	CAMTA2;SPAG7	17	4872603
cg12815841	NA	LHPP	10	126150822
cg12815916	0.972630020228026	PTPN18	2	131114432
cg12818699	0.794287149330307	FAM65B	6	24877582
cg12819826	0.410691615006488	PPAN;PPAN-P2RY11	19	10216676
cg12820481	0.0505085986634165	NEK2	1	211848760
cg12820608	0.0200939454291167	RARG	12	53626390
cg12821045	0.0108133637675099	ZNF573	19	38270280
cg12821724	0.838024434301156	SLC23A2	20	4990320
cg12823748	0.041925594097478	USP15	12	62654080
cg12825252	0.0283216436093502	CCDC142;TTC31	2	74710227
cg12827188	0.545153189598991	FGA	4	155511987
cg12827555	0.271386728610351	VSX2	14	74706031
cg12830694	NA	PPP1R14A	19	38747796
cg12830829	0.0197974790983058	TMX1	14	51707081
cg12832565	0.390062286930538	CD160	1	145715672
cg12832649	0.117759075199164	SPOCK1	5	136834863
cg12833011	0.712359689684359	KCNIP1	5	169930535
cg12833508	NA	AP1S3	2	224701802
cg12833720	NA	BCL3	19	45251551
cg12835684	0.192016482498873	MFSD5	12	53645647
cg12836610	0.0938294253067353	MTCH2	11	47663538
cg12836863	0.778065213319842	BRCA2	13	32889023
cg12838902	NA	SLC29A4	7	5322586
cg12839593	0.0302393684708684	SIX1	14	61116227
cg12840719	0.24993559806635	CDKN2A	9	21968233
cg12841020	0.278213413238615	PGF	14	75422604
cg12842316	0.628851276299748	SLITRK4	X	142723457
cg12844497	0.0486714630061564	AURKB	17	8114032
cg12845249	0.0161800666403473	CENPT;THAP11	16	67876451
cg12845808	0.669232846738131	PCDH12	5	141338604
cg12846567	0.917890620179639	ZNF556	19	2866619
cg12846938	0.0325825120194083	MIR639;TECR	19	14640140
cg12847373	0.0585071484698233	EDNRB	13	78493349
cg12848131	0.0135575579698652	KLF5	13	73633312
cg12850636	NA	TJP3	19	3727602
cg12853521	0.0740591302840906	MC5R	18	13824359
cg12854483	0.340755243689071	CNN1	19	11649671
cg12855851	0.748537401844078	PGC	6	41715185
cg12855988	0.663162538660803	RPS12;SNORD101	6	133135904
cg12856392	0.443772576377301	ZNF107	7	64126140
cg12857957	0.0143160769621296	LZTFL1	3	45883621
cg12858075	0.036875359841945	E2F6	2	11606497
cg12858460	0.0930165640253824	EOMES	3	27763737
cg12858514	0.915362796632486	PADI3	1	17575607
cg12862537	0.916388214855116	BLCAP;NNAT	20	36148679
cg12864235	0.731229253062659	CDH9	5	27038782
cg12864581	0.804718411395588	NKAIN1	1	31660916
cg12864853	0.0488325300992304	TPBG	6	83073156
cg12864903	NA	EFCAB5	17	28267374
cg12865837	0.421768418285824	SIM1	6	100911526
cg12866859	NA	HEXIM1	17	43224332
cg12867068	0.061607942001675	CDKL1	14	50863241
cg12867448	0.773140914786031	ODF2	9	131217480
cg12869058	NA	ABCA4	1	94587872
cg12869240	NA	DHX32	10	127569973
cg12870705	0.0371507769859002	NRP1	10	33624623
cg12871124	0.0159213161714535	STARD4	5	110848106
cg12872238	0.460886467916649	TRPC5;ZCCHC16	X	111327092
cg12873941	0.0428794252892424	C14orf109;MOAP1	14	93651794
cg12874092	0.00995923912905587	VIM	10	17271519
cg12875426	0.575763348843441	DYM	18	46987532
cg12876594	0.642109161903381	NPR2	9	35791798
cg12878228	0.556559285813064	PRSS1	7	142456124
cg12879297	0.030285480719659	C16orf46	16	81110754
cg12879425	0.188588961834842	STAP1	4	68424495
cg12880200	NA	LSM10	1	36863738
cg12880658	0.0807617059795473	CDO1	5	115152386
cg12883767	0.741887817245968	SLC26A10	12	58013109
cg12884406	0.15581641219375	COL11A1	1	103573989
cg12885244	NA	KRCC1	2	88355058
cg12888039	0.0124729313184042	ADIPOR1	1	202927266
cg12888113	0.985054359759954	MASP2	1	11107048
cg12888961	0.0196324501289969	CDK17	12	96794220
cg12891678	0.404690370667315		1	153015281
cg12893143	0.0372680357106667	UNC5A	5	176237996
cg12894126	0.421696557038139	UCK1	9	134405925
cg12894629	NA	OSTalpha	3	195942717
cg12894984	0.595793665333775	PNMT	17	37823631
cg12897370	0.0275043256788225	RBM16	6	155055079
cg12897458	NA	PDF;COG8	16	69365223
cg12900467	0.012494973618219	LATS2	13	21635665
cg12900739	0.259475676153432	RRAGB	X	55744069
cg12901064	0.368175851599639	CXorf26	X	75392571
cg12902039	0.291026944478676	OCA2	15	28344412
cg12902719	0.0188125129562508	LIMD1	3	45635223
cg12903171	0.296402810462286	GRB10	7	50850564
cg12906740	0.0116830951526972	NUDT15	13	48612050
cg12907644	0.664999167314924	SAA2	11	18270341
cg12909005	0.0147751199685624	ZNRD1;NCRNA00171	6	30028660
cg12910797	0.923893425201441	HOXB3	17	46651722
cg12911791	0.530217979979133	CSHL1	17	61988811
cg12914014	0.392036806877095	USP7	16	9058365
cg12914062	0.0202900463311443	EXOC1	4	56720202
cg12914362	0.0503886871375599	FZD8	10	35930479
cg12914657	0.0953571941819359	GIMAP1	7	150413680
cg12916723	0.758443857215044	NKG7	19	51876788
cg12917695	0.00805451621813402	NA	NA	0
cg12919379	0.348199925308664	NA	NA	0
cg12920798	0.0454414544065703	TMEM91;B9D2	19	41870331
cg12924262	0.0431639213931706	CHPT1	12	102091054
cg12924408	0.0825451410371937	RABL4	22	37172025
cg12925542	0.543785192081202	NA	NA	0
cg12927153	0.0101972028017004	PTGS1	9	125133318
cg12927617	0.667910805378619	ORM1	9	117084602
cg12927772	0.0956703975099573	C9orf64	9	86571585
cg12928668	0.0355162423884342	SEMA6A	5	115910729
cg12930602	0.0535490672194773	CCDC85B	11	65657895
