Hybridization REF	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05	TCGA-BH-A18N-11A-43D-A12E-05
cg15032239	0.0349354866708402	CYFIP1	15	22891954
cg15034135	0.0146183741737371	ADAMTS19	5	128796168
cg15034763	0.0259051858624646	TMEM59;C1orf83	1	54519040
cg15035273	0.0174933636782102	PAN2	12	56727511
cg15035713	0.0176592584415176	TEP1	14	20881570
cg15037004	0.380034840641127	ZNF366	5	71803938
cg15039399	0.0106965380164647	CDK2AP2	11	67275985
cg15041659	0.0158659772180043	ZBTB40	1	22778527
cg15042080	0.0254131972772407	TMEM74	8	109799756
cg15042385	0.0407022403962828	URGCP;UBE2D4	7	43966260
cg15042806	0.0318325246020543	DCTN5;PALB2	16	23652268
cg15043057	0.210516268205111	CTPS	1	41444788
cg15043801	0.0940199848053715	DNMT1	19	10305911
cg15043975	0.178822567421501	RASSF1	3	50375252
cg15044041	0.414638499879215	WDR52	3	113160313
cg15044073	0.0207775856629879	SWAP70	11	9685299
cg15045441	0.0116073741491084	C6orf155	6	72130432
cg15046675	0.887303499406539	CD37	19	49838777
cg15046693	0.698449388689509	CEBPG	19	33863876
cg15046735	0.0109271506233418	ALKBH1;C14orf156	14	78174352
cg15047833	0.0252356178911767	POLR2C	16	57496411
cg15050111	0.0379687930844075	GRHL3	1	24645850
cg15051063	NA		3	142893947
cg15052335	0.832277227015565	LPIN2	18	3011810
cg15052901	0.270649891494289	NA	NA	0
cg15054260	0.0117826844828993	RIPK2	8	90769710
cg15055101	NA	SH2D3A	19	6766609
cg15056107	0.0148482278299596	NUP133	1	229644037
cg15056247	0.017270663607932	DSE;TSPYL1	6	116601073
cg15056412	NA	NECAB3	20	32262523
cg15057581	0.0137714283001667	SIRPA	20	1875084
cg15057726	0.07084031465795	MCM2	3	127317466
cg15059511	0.0178929577654143	ZFYVE19;DNAJC17	15	41099719
cg15059932	0.0721263737132159	ZNF236	18	74535233
cg15060177	0.0203573980985443	SACM1L	3	45731018
cg15060813	0.311835854911413	LRFN3	19	36428308
cg15061008	0.0410517256854512	CABIN1	22	24407907
cg15062535	NA	ZNF610	19	52847933
cg15062795	0.0140075149010112	ETV6	12	11802217
cg15065896	0.0205029446372443	GOLGA4	3	37285038
cg15068733	0.0958494941704837	FGF11	17	7342846
cg15070798	0.0587942988062941	WDR24	16	740561
cg15071391	0.867558449765206	MTMR6	13	25862639
cg15075170	0.0171217903471017	TMEFF1	9	103236030
cg15075718	0.85953992026643	NA	NA	0
cg15076218	0.0231862043026876	PIK3R3	1	46599002
cg15076659	0.14230101161825	SLC9A1	1	27481857
cg15077070	0.149299484630767	IL1RL2	2	102803290
cg15077637	0.0282184991621969	EFTUD2;CCDC103	17	42977401
cg15078027	0.0164488163055549	NA	NA	0
cg15078479	0.0113839501125901	PARP2;RPPH1	14	20811808
cg15081561	0.899064881719358	CCDC102B	18	66504226
cg15082782	0.876569848841325	NA	NA	0
cg15083227	0.0308942166652273	NA	NA	0
cg15083233	0.249466638750408	PALM2-AKAP2;AKAP2	9	112810402
cg15085805	0.0224179235641134	LSM4	19	18433592
cg15087147	0.0172771778854883	SND1;LRRC4	7	127672169
cg15089387	0.433762735523685	TSLP	5	110406661
cg15089487	0.0685104020289144	LRRC49;THAP10	15	71185252
cg15091337	0.027367219423789	POLE4	2	75185439
cg15091410	0.491276804348721	NA	NA	0
cg15092544	0.0043359777456567	NA	NA	0
cg15092802	0.598130052004071	NA	NA	0
cg15094912	0.0256121407294954	POFUT2;LOC642852	21	46707781
cg15095327	0.303853502357964	IL17RE	3	9944512
cg15096123	0.919995173105762	KLK4	19	51413937
cg15096140	0.301574987713212	MYO1B	2	192109731
cg15097876	0.0187295871493241	PPA1	10	71993604
cg15098690	0.0343445479377219	ZNF330	4	142141984
cg15100639	0.0237118231142625	BAT5	6	31671037
cg15101633	0.520435674807633	MEG3	14	101293726
cg15103426	0.0130479245986731	CCDC117	22	29168792
cg15103675	0.006864692860373	UAP1	1	162531519
cg15104484	0.0565201511596754	PEX26	22	18560503
cg15105081	0.0372122182968302	C11orf67;RSF1	11	77532226
cg15105660	0.0324407471555445	CLDN1	3	190039935
cg15105703	0.0826429102441205	DUOX1;DUOXA1	15	45421860
cg15105987	0.268772784612589	NA	NA	0
cg15107670	0.0339879204438162	WT1;WIT1	11	32456759
cg15109207	NA	PLA2G4C	19	48614773
cg15109571	0.0649671349752851	SUFU	10	104264023
cg15111734	0.0901829691198588	FGFBP3	10	93668914
cg15113803	0.950123710984432	RHO	3	129247119
cg15118204	0.155456282542143	MAFG;SIRT7	17	79876231
cg15118503	0.0472576972941975	AHSA2	2	61404861
cg15119375	0.0129063810094403	C16orf67	16	31712039
cg15120247	NA	C1orf54	1	150244045
cg15120497	NA	TRH	3	129692899
cg15120925	0.0707130299733714	RASAL1	12	113573809
cg15120942	0.21674304605983	PLCD1	3	38071578
cg15121304	0.889407085266883		22	22380100
cg15125424	0.0492489109956394	SOCS2	12	93963354
cg15125472	NA	HSPB6;C19orf55	19	36248077
cg15125634	0.031663680211049	RAB11A	15	66161842
cg15127324	NA	ARAP2	4	36246442
cg15127733	0.415629612514616	HSPA12B	20	3713584
cg15127806	0.0326679820857965	MRPL42	12	93861418
cg15128849	0.0534963378680989	HHLA3;ANKRD13C	1	70820718
cg15128898	0.026068435116819	SPEF2	5	35618029
cg15129294	0.442763972672035	NA	NA	0
cg15133363	0.0234648139773016	C7orf68	7	128096265
cg15133917	0.835444886638275	TTN	2	179672637
cg15134628	0.0251934078571151	MAPK12	22	50699649
cg15134649	0.0214244894984904	MT1E	16	56659336
cg15139737	0.0224168063143266	C8G;FBXW5	9	139839391
cg15140807	0.951267253225211	LOC388387	17	41051210
cg15142488	0.989865353697056	LYPD4;DMRTC2	19	42348947
cg15143643	NA	FBLN1	22	45897773
cg15144793	0.00706884079624795	SH3BP4	2	235861303
cg15146720	0.0723905663043247	GALNT11	7	151722621
cg15146752	0.118480508477267	EPHA2	1	16482767
cg15147435	0.0158684826876322	FKBP11	12	49319453
cg15147516	0.122928215039378	MIXL1	1	226411868
cg15147545	0.0119717789749713	ITGB1	10	33247604
cg15149098	NA	SULT2B1	19	49055027
cg15149645	0.0569187871580727	NUPR1	16	28550619
cg15149938	0.847226888350186	C22orf34	22	50018392
cg15153383	0.0195470866779622	KATNB1	16	57770620
cg15154229	0.513222492442128	CPA1	7	130020011
cg15156078	0.156233593805785	RASGRF1	15	79383413
cg15156367	0.686663525949275	EPHX4	1	92495004
cg15156836	0.0231558497261593	SEPN1	1	26126415
cg15156844	0.981987067565747	DLGAP1	18	3880020
cg15157837	0.0132336466140553	CNNM3	2	97482059
cg15158783	0.270431080065782	PF4	4	74847646
cg15160312	0.011746304747497	DLG1	3	197025201
cg15160445	0.420886853343665	GNAS;GNASAS	20	57426749
cg15160742	0.0680686393824801	PPPDE1	1	244817222
cg15161055	0.0393889591275685	ECSIT	19	11639555
cg15161785	0.0125185159107981	ADI1	2	3523134
cg15164103	0.208331307792704	MEST	7	130126871
cg15164958	0.0621759229246935	VSTM2A	7	54609587
cg15165084	0.00963376286448749	GRAMD3	5	125759291
cg15166050	0.959098104492868	LCTL	15	66857133
cg15166089	0.590422545937773	CD164L2	1	27710030
cg15167433	0.0553417688192919	XRCC1	19	44079985
cg15169162	0.951538375750739	PRPH2	6	42690308
cg15170424	0.0164194959206249	TMEM55A	8	92052897
cg15170903	0.0208598832849977	NA	NA	0
cg15171237	0.949333176176033	CASP3;CCDC111	4	185571958
cg15173196	0.0417735525633731	UBE2T	1	202311278
cg15175266	0.871131419999825	CDH12	5	22854704
cg15175577	0.0164981350056588	C22orf28	22	32808177
cg15177359	0.279525073040527	UNC13D	17	73840750
cg15177917	0.138308768104289	DAND5	19	13080409
cg15178040	0.895304430843942	GSTA5	6	52711494
cg15182360	0.03424992931594	PCDH20	13	61989737
cg15183083	0.0895643304107982	KCNA4	11	30038310
cg15185001	0.0223936783539096	LSR	19	35739448
cg15185286	0.0136030014565857	AIG1	6	143381675
cg15185794	0.047682477778832	PADI2	1	17446087
cg15185804	0.0389922714988145	PGM3;RWDD2A	6	83902498
cg15186584	0.948613912522443	C9orf24	9	34397651
cg15186869	0.174785740165466	UBR7;C14orf142	14	93673274
cg15187606	0.92950651533804	PDZK1IP1	1	47656853
cg15188491	0.0564568370161132	PRKAB2	1	146644106
cg15188688	NA	CDC45L	22	19468342
cg15191648	0.0850899224898859	SALL3	18	76740262
cg15195276	0.0135590190171818	LPAR1	9	113799936
cg15195353	0.83369522183961	GLIS2	16	4382775
cg15195412	0.106133410589342	CX3CL1	16	57406955
cg15198335	0.0186946525078263	DIS3L	15	66586003
cg15200096	NA	KCND1	X	48829104
cg15201291	NA	CYP2C8	10	96830102
cg15201599	0.0181506628051656	COG3	13	46039584
cg15201635	0.0834782596158291	SMPD3	16	68482637
cg15201877	0.107785597692645	PTGER3	1	71512973
cg15201909	0.578990427553411	IL2RG	X	70331961
cg15202954	0.100802740317051	NALCN	13	102068996
cg15205507	0.0512357627415327	ZNF331	19	54024323
cg15206330	0.0114206258721369	TP53;WRAP53	17	7591591
cg15206445	0.532452972102901	SPG7	16	89573312
cg15207619	0.0818825716414326	CAB39L	13	49975643
cg15207953	0.658411158602651		20	29522467
cg15209169	NA	RABGAP1	9	125702779
cg15210427	0.651042058640221	CST9L	20	23548991
cg15210596	0.0193855709931406	SCCPDH	1	246887325
cg15210999	0.622925752054902	DTNBP1	6	15663538
cg15211655	0.0117608100464533	OSBPL1A	18	21977340
cg15211677	0.126278094995892	WBP5	X	102611451
cg15212440	0.0745919139390037	SFXN2;ARL3	10	104474465
cg15213605	0.0422572915153347	COG4;SF3B3	16	70557485
cg15214092	0.0612939101637522	MRPL12	17	79670496
cg15214137	0.0161515455325848	PGM2L1	11	74109221
cg15215114	0.0124728209156185	C17orf61	17	7307419
cg15219393	0.0250435761119521	PPARGC1B	5	149109878
cg15222604	0.863480557934486	HCFC1	X	153230625
cg15223781	0.0567652613234292	FER	5	108083895
cg15225105	0.0195436563203226	SAC3D1	11	64808343
cg15226751	0.954569939468637	LZIC	1	10001911
cg15227610	0.455238815132234	HSPB2;CRYAB	11	111782016
cg15227982	0.130560661248089	C10orf26	10	104535854
cg15228639	0.423696737785985	PLA2G4E	15	42289939
cg15229026	NA	UBAC1	9	138853493
cg15230273	0.0785487254238407	EFNA5	5	107006413
cg15231886	0.458998195276133	UTP14A	X	129039863
cg15232450	0.0327736872488488	SETMAR	3	4345438
cg15233681	0.930397883350343	IL1R1	2	102770602
cg15234096	NA	LIX1	5	96479253
cg15235185	0.0145320223782434	TROVE2;UCHL5	1	193028809
cg15235832	0.192028969270182	ACTR2	2	65455536
cg15236866	0.154675927918017	DLX1	2	172948825
cg15238200	NA	TRIM65	17	73893634
cg15238224	0.448476938736956	TRIM31	6	30081408
cg15239123	0.0236323411072037	SMOC1	14	70346413
cg15239579	0.186477880489294	TRAP1	16	3767978
cg15239703	0.023457458687521	CBR4	4	169931051
cg15240064	0.066698892576216	ZNF12	7	6746837
cg15241084	0.512843804172218	TLR7	X	12886121
cg15241708	0.649637740751941	CNOT6	5	179920582
cg15242570	0.278061031072705	CTSL1	9	90341048
cg15243024	0.0223394281294127	NRBP1	2	27651571
cg15247031	0.233895489949366	C14orf126	14	31926564
cg15247144	0.0139258507827354	PYCARD	16	31213730
cg15248035	0.937436724454398	CCIN	9	36169949
cg15248979	0.0214587060540803	USP37;RQCD1	2	219434002
cg15249164	0.0138878764989514	ATP5O	21	35288186
cg15250507	0.0759918938971296	C1orf106	1	200860365
cg15250797	NA	SCTR	2	120281526
cg15253243	0.0216924518075521	TMEM198;CHPF	2	220408791
cg15253672	0.0161074741626511	SPR	2	73114960
cg15256539	0.0123942371890129	BCKDHB	6	80816434
cg15257765	0.0543205418420646	MRPS11;MRPL46	15	89010459
cg15258980	0.683226367749111	ARHGAP25	2	68961597
cg15259973	0.0437763685595072	DSG2	18	29078565
cg15260250	0.0150961766585353	AP3S1;ATG12	5	115177504
cg15261665	0.223585748584327	LTF	3	46506374
cg15262516	0.11511251115047	COL4A1;COL4A2	13	110958418
cg15262928	0.0213010167847102	TIMM17A	1	201924572
cg15262984	0.0604241802469603	URGCP;UBE2D4	7	43965648
cg15264255	0.0950400321272321	NIPAL2	8	99306718
cg15264273	0.922491800962832	ZNF169	9	97040460
cg15264303	0.089095685093749	LRRC23	12	7013902
cg15264808	NA	CENPN;C16orf61	16	81041398
cg15269294	0.0346172600506711	NUP155	5	37371053
cg15269863	0.0592966970911056	PRSS35	6	84222360
cg15269875	0.636377257724637	H19;MIR675	11	2018018
cg15270851	0.0496288223907352	CARS2	13	111358291
cg15270950	0.0227527401265302	TGFBR2	3	30648819
cg15271594	0.0543924675726239	RPL29	3	52029932
cg15271616	0.0576307167866841	RUSC2	9	35490515
cg15272684	0.555858283485576	KIAA0319L;NCDN	1	36024473
cg15272690	0.0185219742015496	CCDC113	16	58284024
cg15275890	0.863021418650395	SLC25A17	22	41216316
cg15277108	NA	SDS	12	113842998
cg15278682	0.944534204824386	TACR2	10	71175852
cg15278948	0.0452854909058142	ZFAND2B	2	220071103
cg15279364	0.148878865022382	TMEM130	7	98466963
cg15280964	0.0587320501293699	RBM34	1	235324133
cg15284635	0.467698017613802	SLC6A11	3	10858504
cg15286372	0.0180363258015795	LRRC1	6	53659348
cg15286905	0.0215339390037595	ACBD5	10	27530250
cg15287183	0.0931847574786077	NA	NA	0
cg15288179	0.00826628257814621	SUB1	5	32585739
cg15293750	0.0137807560149813	TRDMT1	10	17243266
cg15296858	0.869726861253099	PPM1G	2	27633235
cg15297650	0.694769573025474	TMEM163	2	135477056
cg15298323	0.541962285379564	ACAT2	6	160182438
cg15298545	0.805005406658201	ERI2;LOC81691	16	20816476
cg15298594	0.0105004942691512	NBAS	2	15701366
cg15299463	0.0198751515052174	TEAD2	19	49865398
cg15299721	0.00906903442525412	NHEDC2	4	103997510
cg15300989	0.021282223813303	SIP1	14	39583430
cg15301525	0.00978641604361821	ATP6V0D1	16	67515344
cg15301694	NA	STRN3;AP4S1	14	31496854
cg15301700	0.0411790990200529	SCRT1	8	145560531
cg15302379	0.533172847980707	KAZALD1	10	102821848
cg15302567	0.069693700915802	NA	NA	0
cg15303841	0.849372125540672	RFPL1S;RFPL1	22	29833804
cg15304928	0.0213464605005692	TMEM9	1	201123562
cg15305343	0.00992264200583205	NSUN4	1	46806357
cg15305511	NA	EVC2;EVC	4	5712676
cg15307169	0.012320241257072	DOK7	4	3465064
cg15307268	0.0461116035184359	GPR176	15	40213409
cg15307449	0.721625412726454	NA	NA	0
cg15308737	0.859003279286791	ARSG	17	66303328
cg15309006	0.080080779280235	CHP2	16	23766116
cg15309066	0.010128205502258	NA	NA	0
cg15309223	0.0131693301553233	TMEM59;C1orf83	1	54519091
cg15309236	0.307801909356134	BHLHB9	X	101975597
cg15309264	0.0254123138344887	VRK2	2	58274034
cg15309578	0.54830083299184	NA	NA	0
cg15310162	0.779390333430584	CLDN14	21	37852822
cg15310873	0.755156117180822	C20orf85	20	56726093
cg15311933	0.00985722632309549	PQLC2;AKR7A2	1	19638897
cg15312298	0.184380645876009	FAM84B	8	127570908
cg15312323	0.628067404521094	KRTAP4-4	17	39317694
cg15315630	0.0214363023977388	ZMYM6	1	35497506
cg15316289	0.923648970634424	ALG12;CRELD2	22	50310904
cg15316334	NA	CEACAM5	19	42211252
cg15317267	0.658336416445893	H19;MIR675	11	2018247
cg15318532	0.00988780863196938	RFXAP	13	37393521
cg15319076	0.0138488275937495	DCTN6	8	30013987
cg15319451	0.0383763321958935	TMEM51	1	15480748
cg15319457	0.0320195293798881	HES6	2	239148132
cg15320474	NA	UBD	6	29528005
cg15321195	0.0407276044732198	AGPAT3	21	45285898
cg15321211	0.271061756500638	HNRNPF	10	43905515
cg15322932	0.0399635035092199	ALDH3B1	11	67777682
cg15329467	NA	CYP19A1	15	51630696
cg15329483	0.713545949273966	SSX7	X	52683974
cg15329642	0.577769914698694	PTCH2	1	45308298
cg15329866	0.675504010855874	PLD1	3	171455826
cg15331039	0.0104995894413675	SH3BGRL2	6	80341283
cg15334028	0.0388307000952244	MIR638;DNM2	19	10829162
cg15337006	0.844618438149903	ITGAM	16	31271009
cg15337055	0.01838788708862	FOS	14	75745358
cg15337897	0.0411194506649041	FGF3	11	69634400
cg15339605	0.161074473298708	TFEC	7	115670795
cg15341340	0.0220116744482005	DNASE2	19	12992237
cg15341760	0.875854890092498		1	6297890
cg15342384	0.0262899557681941	HNRNPH3;PBLD	10	70091938
cg15343119	0.113028417878363	GALR1	18	74961785
cg15344028	0.885070206569569	ICOS	2	204801510
cg15344726	0.984481444161938	GJA3	13	20717346
cg15345126	0.0519488298584389	RAB27A	15	55582248
cg15348640	0.0123955731253341	ACAA1;MYD88	3	38179985
cg15348799	0.0121127054686517	SKIL	3	170075452
cg15350036	0.520257214363347	CROT;TP53TG1	7	86973677
cg15350194	0.13005881013931	NA	NA	0
cg15350455	0.0395520753201359	C2orf44	2	24270357
cg15352315	NA	CD302	2	160655036
cg15352829	0.809490294433265	PLD4	14	105391018
cg15357518	0.0249496965482663	RBM42	19	36120356
cg15357639	0.919150091437826	OGG1	3	9790443
cg15357945	NA	PRG2	11	57158361
cg15359413	NA	FIGNL1	7	50517931
cg15361231	0.468961302210536	GLRX2	1	193075191
cg15361590	0.326278387785162	PCDHGA4;PCDHGC3;PCDHGA12;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC4;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140864701
cg15361750	0.432035403126105	GPR77	19	47839132
cg15364303	NA	ROR1	1	64239391
cg15364537	0.0197759716471328	MFSD4	1	205538310
cg15364618	0.0728109252999522	LTB4R2;CIDEB;LTB4R	14	24780551
cg15365950	0.0140396654235744	KLHDC1	14	50160307
cg15368822	0.0518170230579716	TMEM63A	1	226070397
cg15371509	0.0228704418176849	INTS3	1	153700650
cg15372098	0.0200714485879125	C3orf26;MIR548G	3	99537053
cg15373285	0.500882181022319	MEG3	14	101293090
cg15373633	0.144144030943535	DACH2	X	85403474
cg15374234	0.681244918518444	CD300LF;RAB37	17	72709026
cg15375239	0.00479889853876505	SPINT2	19	38755287
cg15375586	0.203136901341042	TBX22	X	79277933
cg15376097	0.155471683332853	MPZL2	11	118135270
cg15377518	0.0822118301186097	ZEB2	2	145278113
cg15377649	0.0190750649739167	ACTN4	19	39138400
cg15378655	0.0474256700248287	NA	NA	0
cg15379237	0.0397463292490325	B4GALT2	1	44445539
cg15379633	0.103392510497953	RAB36	22	23487586
cg15379858	0.673754788803313	CSGALNACT1	8	19540466
cg15379887	0.106925843424416	CGGBP1	3	88107415
cg15381313	0.625947745406392	NR1H4	12	100867509
cg15381769	0.0153386340486795	PTPRK	6	128841972
cg15383087	NA	ZFP82	19	36910144
cg15383120	0.385767921326479	DUSP22	6	291909
cg15383392	0.0257097596370766	CTTN	11	70244691
cg15383574	0.0605281478588216	ATP5S;L2HGDH	14	50779169
cg15384392	0.0190869570677739	ARHGAP1;ZNF408	11	46721921
cg15384599	0.0605462431333017	SETMAR	3	4344887
cg15384717	0.0321392186723536	PRPF3	1	150294084
cg15385623	0.243676989314945	THRB	3	24536309
cg15387123	0.343901735160525	CLIC3	9	139891058
cg15389153	NA		3	42819341
cg15392792	0.0156800004878662	MIR638;DNM2	19	10829173
cg15394409	0.0145000935405799	TMEM111	3	10028474
cg15396310	0.0139252364378173	BCL7B	7	72971398
cg15396367	0.254870267379507	UAP1L1	9	139972779
cg15397506	0.0110368200247039	LOC93622	4	6675881
cg15398448	0.00885438015092106	PTOV1	19	50353971
cg15398520	0.860025325573787	LPAL2	6	160932709
cg15399561	0.0194175085098153	POP1;HRSP12	8	99129939
cg15401952	0.0402448744662555	KCNIP4	4	21305805
cg15403517	0.136689877414491	SRD5A2	2	31806275
cg15407570	0.455217724165759	STAB1	3	52529524
cg15408407	0.150800425212071	RPS15	19	1438438
cg15408454	0.872170330948609	NA	NA	0
cg15409266	0.497758108856173	NA	NA	0
cg15410903	0.0533781601859661	GSTO2	10	106028780
cg15411984	NA	LRRC23	12	7014090
cg15413566	0.117661368656457	ICA1	7	8301971
cg15414833	0.0142057493131474	RUNDC3B;ABCB1	7	87257767
cg15415507	0.132369265435433	EPHA2	1	16482553
cg15415509	0.0586006417155346	ADRB2	5	148205614
cg15415545	0.0171431840702847	GIYD1;SULT1A3;GIYD2;BOLA2B;BOLA2;SULT1A4	16	30206046
cg15416233	0.00900976109644443	PAX2	10	102505266
cg15416577	0.0126748481624897	CCDC52	3	113234093
cg15417244	0.884270470394104	PDZRN4	12	41831558
cg15417900	0.0257566631955261	PAN2;CNPY2	12	56710096
cg15419274	NA	WFDC3;DNTTIP1	20	44421026
cg15422147	0.53504492642903	SERPINB5	18	61144339
cg15422784	0.927581802947649	LRRC8B	1	90023713
cg15423613	0.0177083229871905	KCTD7	7	66093349
cg15423764	0.565571562156486	GLYAT	11	58499533
cg15423862	0.865786468997599	KCNAB1	3	155838109
cg15425280	0.0393064221312261	GRIA2	4	158141492
cg15425811	0.343175008959126	C22orf27	22	31318181
cg15426734	0.02262617227839	PARD6A;ACD	16	67695272
cg15427448	0.0375186500003845	BACE1	11	117186896
cg15427567	0.0849892269772792	METT11D1	14	21458055
cg15427656	0.0461087716588715	FAM149B1;ECD	10	74928123
cg15427774	0.026591332102077	GORASP1;TTC21A	3	39149258
cg15428653	0.0415975116176807	ABCA2;C9orf139	9	139923402
cg15430659	0.664937840313922	CNNM1	10	101090558
cg15431576	0.0738181333344494	MORN4	10	99393007
cg15432938	0.0526532131215404	FRAT1	10	99078812
cg15433631	0.0199271629567352	NA	NA	0
cg15434599	0.0637131432496628	MDM2	12	69201663
cg15435730	0.0293486009686606	TFAP2D	6	50680222
cg15437432	NA	TMED9	5	177018986
cg15439078	0.924274089618323	MYL3	3	46904643
cg15439196	NA	CNNM2	10	104676907
cg15439862	0.0666655398775214	DSC3	18	28622593
cg15441973	NA	HNMT	2	138721317
cg15442534	0.0142044889194144	PDCD10;SERPINI1	3	167452763
cg15442702	0.0902502297253907	FGFR4	5	176514253
cg15443822	0.0268199876951736	ATP2A3	17	3867014
cg15444978	0.0170180080120338	MARK3	14	103851370
cg15445332	0.0128005056507322	MKNK1	1	47069792
cg15446391	0.379311220747181	WT1	11	32452370
cg15447479	0.0189861986818552	SMO	7	128828765
cg15447486	0.923852819268706	NA	NA	0
cg15448245	0.262485350470325	GGT5	22	24641654
cg15448599	0.947259569781392	C3orf45	3	50315748
cg15451100	0.0157792556204705	PSMB8	6	32812422
cg15452204	0.704503468987906	CDX1	5	149546471
cg15452426	0.175428021798543	DFFA	1	10532230
cg15452573	0.0210543433035114	SNCA	4	90758843
cg15453943	NA	RAB9P1	5	104434827
cg15454483	0.152198632234004	SNX12	X	70288604
cg15456206	0.0129675629304362	ZNF580	19	56152139
cg15457079	0.818435329763049	CPN1	10	101841816
cg15457899	0.0507117326496758	SCN3B	11	123525665
cg15459742	0.0166021846542126	CTNNAL1	9	111775564
cg15459773	0.834440636132795	C1orf124;EXOC8	1	231472445
cg15460516	0.0143001636995867	TNFRSF12A	16	3070249
cg15461516	0.015681250818526	CHST1	11	45686369
cg15462232	0.0703339366973588	FOXD3	1	63788184
cg15464148	0.573792672105933	LPAR5	12	6745057
cg15465321	0.778552424467563	NA	NA	0
cg15467148	0.0943371409781795	PCK2	14	24563578
cg15467759	NA	NDST1	5	149900327
cg15468095	0.055356997067067	PYCARD	16	31214401
cg15470298	NA	COL18A1	21	46825222
cg15470750	0.0314022083751073	FDPS	1	155278344
cg15473335	0.07041902585041	NOL12	22	38082170
cg15473868	0.0212718941653247	MT1X	16	56716621
cg15473904	0.054847350064002	MRPL41	9	140446993
cg15475323	0.095326894226894	MAMSTR	19	49220102
cg15477600	0.0164389875689739	SDF2L1	22	21996253
cg15479752	0.53653644570664	FFAR2	19	35940862
cg15480475	0.917176326189892	TUB	11	8060060
cg15480941	0.428638937607083	PIM2	X	48776125
cg15481539	0.936607121673237	DEFA5	8	6913441
cg15482690	0.0119299057619834	TARDBP	1	11072742
cg15484019	0.0192198487529191	TTC35	8	109455575
cg15484375	0.28762939106516	SAA1	11	18287647
cg15484384	0.647114153445465	ANAPC13;CEP63	3	134203672
cg15485859	0.41030819016474	C1orf116	1	207206447
cg15486645	0.014462213642983	LIN7C;BDNFOS	11	27528489
cg15488251	0.0175956880772236	MYH11	16	15951224
cg15488402	0.0631159900650376	SLC9A8	20	48429173
cg15489294	0.27551691384217	LVRN	5	115297853
cg15489301	0.115727806485276	AKR1B10	7	134213038
cg15489422	0.794337225056466	TMCC1	3	129599347
cg15491567	0.651948247766589	DYSF	2	71679675
cg15492003	0.014707916502568	ALG2;SEC61B	9	101984308
cg15492104	0.0375980086068634	COQ6;FAM161B	14	74417249
cg15494458	NA	BPI	20	36931512
cg15494980	0.0534535966634165	STX5	11	62599247
cg15495837	0.910401861625562	NA	NA	0
cg15498283	0.0096067168229134	TALDO1	11	747520
cg15500658	0.0320366236404397	SPEN;FLJ37453	1	16174610
cg15501381	0.420902012223397	NGB	14	77737800
cg15502446	0.0342189233966377	C11orf73	11	86013224
cg15502888	0.0180088525890679	SOCS3	17	76356228
cg15503752	0.601866456129263	ST6GALNAC1	17	74639731
cg15503799	0.0384304778235566	PRCC	1	156737481
cg15507817	0.0122125490280507	WNT7B	22	46372583
cg15508020	0.0268642082884276	CSNK2A2	16	58232206
cg15512851	0.779123982441642	FGD2	6	36973518
cg15512961	NA	ANXA6	5	150537567
cg15513137	0.233010908013621	NA	NA	0
cg15514848	0.789046564491499	FMO1	1	171217555
cg15516226	0.821335478280434	BTNL9	5	180467519
cg15517609	NA	RYR1	19	38924045
cg15517965	0.0308542982479604	TMUB2;C17orf65	17	42263946
cg15518883	0.840277764078521	SIT1	9	35650561
cg15518950	0.653631298910696	TMEM171	5	72415770
cg15519208	0.0752155291047862	HIST1H1E	6	26155791
cg15520279	0.0485392567724708	HOXD8	2	176995088
cg15521097	0.511059186498202	ITIH5L	X	54824559
cg15522719	0.0263863179769933	GLS	2	191745248
cg15522957	0.563971244616286	ALX4	11	44324925
cg15523238	0.0545640754124669	ATP10A	15	26108796
cg15525002	0.0200157207894393	GBA	1	155214303
cg15526708	0.0617222986618281	TGFBR1	9	101866433
cg15527554	0.891753635599144	YSK4	2	135782086
cg15528736	0.167813591547618	FCGRT	19	50015780
cg15530356	NA	ZNF414	19	8579985
cg15531099	NA	LCE1D	1	152770502
cg15532088	NA	C17orf66	17	34195134
cg15534084	0.0696635829108046	ZNF649	19	52408044
cg15534366	0.791725854823382	CDH4	20	59826207
cg15536230	0.874327139073506	HSF2BP	21	44985092
cg15536242	0.849669817922796	NA	NA	0
cg15536490	0.0826547297037481	TFAP2C	20	55203849
cg15536552	0.459093302581824	ACSL4	X	108976035
cg15537433	0.0143019204831316	NDUFA2;IK	5	140027092
cg15537850	0.312359257633309	NAPRT1	8	144661051
cg15538427	0.280018789188109	LRRN4CL	11	62457014
cg15538820	0.418045589303942	OBP2B	9	136084818
cg15538837	0.0128352462322247	H3F3A;LOC440926	1	226250361
cg15539420	0.352458413613605	HOXB8	17	46692248
cg15540054	0.0144654391763028	ZNF180	19	45004280
cg15540820	0.19619034801858	EOMES	3	27765283
cg15541230	0.0169027046310289	COG1	17	71188803
cg15541315	0.0233237021404021	REXO2	11	114309932
cg15542496	NA	PIP	7	142828356
