Hybridization REF	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05	TCGA-BH-A0E9-01B-11D-A112-05
cg11158729	0.00964572784272516	CNNM4	2	97427027
cg11158760	0.0402501500442691	FHIT	3	61237270
cg11159299	NA	GZMM	19	543432
cg11159727	0.0893171236364792	NA	NA	0
cg11160386	0.0191404107440458	MDM1	12	68725932
cg11160820	0.0337431011136086	CD58	1	117113618
cg11161417	0.482611312851685	SPACA3	17	31319454
cg11161873	0.448561952470159	NA	NA	0
cg11164347	0.221855681216454	NA	NA	0
cg11164400	0.303946806250876	PPP1R9A	7	94536787
cg11166252	0.0129213087385172	AHR	7	17338258
cg11166823	0.01037042553401	AGPAT3	21	45284425
cg11166999	0.81728939793048	PAR-SN;SNORD107	15	25226929
cg11170179	0.177957762770302	KLK10	19	51522767
cg11170796	0.831315234891383	TCF3	19	1650224
cg11171719	0.0148173864548415	CTDSPL	3	37903684
cg11172196	0.0115570030144014	TMEM65	8	125384789
cg11172299	0.00776111282692946	C14orf142;UBR7	14	93673792
cg11172423	0.49734684652834	CLDN19	1	43205623
cg11173246	0.260224371557191	TSPAN4;POLR2L	11	841376
cg11174654	0.254270449460301	NA	NA	0
cg11175310	0.0570600948513251	RSU1	10	16859107
cg11175476	0.122884040415644	LRP6	12	12419201
cg11175477	0.0197019026156466	VPS29;RAD9B	12	110939919
cg11176095	NA	GPR126	6	142622515
cg11177404	0.476020011384337	CGB2;SNAR-G2	19	49535079
cg11177450	0.0200237182842511	SENP5	3	196594476
cg11177693	0.607518233838357	ZNF513;PPM1G	2	27604063
cg11177955	0.0143928951950757	C1orf58;AIDA	1	222886490
cg11178136	0.798706730908699	KIAA0652;HARBI1	11	46637717
cg11178443	0.0250994467291258	RANGRF;SLC25A35	17	8192024
cg11179184	NA	C8orf76	8	124254358
cg11181795	NA	NEURL4;GPS2	17	7219971
cg11184091	0.0159573969896008	DOLPP1	9	131843633
cg11185452	0.055473546922894	SLC39A9;ERH	14	69865072
cg11185569	0.055517676663586	CHN2	7	29234470
cg11187508	0.033617789235448	CWF19L1	10	102027336
cg11189434	0.0310327519844486	RPL5	1	93297822
cg11189837	0.0993122405247057	ADAMTS1	21	28218596
cg11191210	0.0711455103362098	VGLL2	6	117585815
cg11191337	0.697189175446426	PLTP	20	44541804
cg11192270	NA	ATP13A2	1	17338644
cg11193041	0.0242318414693903	GSTZ1;POMT2	14	77787952
cg11194725	0.0321616383887047	CBX1	17	46178360
cg11195002	0.422680002958883	ICAM5	19	10399805
cg11195662	0.0671718324064677	PRUNE2	9	79520720
cg11196870	0.0448366053706258	GINS4	8	41386826
cg11197066	0.0355766973319307	PGAP1	2	197791305
cg11199399	0.102651222195243	LTBP1	2	33172442
cg11200929	0.362683863181231	CRABP1	15	78632670
cg11201229	0.892459321572427	PIK3C2A	11	17191235
cg11201288	0.868330730920965	LRRC40;SFRS11	1	70669885
cg11201532	0.598064469815017	MFNG	22	37882078
cg11203041	0.558666975948149	MGST1	12	16500185
cg11204562	0.458683959852144	C10orf81	10	115511153
cg11206634	0.402878728929174	SFT2D3	2	128458399
cg11206667	0.0212170159073299	FBXO36;TRIP12	2	230786584
cg11206763	0.0213600756784004	ESYT1	12	56521692
cg11207379	0.0414991000765965	TDG	12	104359415
cg11207564	0.439634271041112	NA	NA	0
cg11208235	0.026072562521236	BCAR3	1	94147468
cg11208483	0.365415511371533	NA	NA	0
cg11208880	0.00977761934047736	LRRC8D	1	90287278
cg11212312	0.931957834106942	IL3	5	131395683
cg11212609	0.065109377875643	C17orf81;DULLARD	17	7155399
cg11213150	0.599014332999485	ANGPTL2;RALGPS1	9	129884457
cg11214889	0.0358117176866465	CLUL1	18	597111
cg11216616	0.0846530884735784	RAB35	12	120555510
cg11219178	NA	OSBPL5	11	3120949
cg11220060	0.571106390034996	KLF1	19	12997418
cg11220635	0.0268401575138133	RDH11	14	68162577
cg11221132	0.78940248811564	CYP2D7P1	22	42540342
cg11221265	0.0644304074376994	SDHC;LOC642502	1	161284279
cg11221508	0.0319372883001324	ZNF830;CCT6B	17	33288337
cg11221513	NA	C22orf9	22	45636109
cg11222041	0.0190350590548102	TOR1A	9	132586346
cg11223252	0.0755637243479934	RNF103	2	86851318
cg11223864	0.016687296443768	GNB2	7	100271323
cg11225410	0.0283435518864714	SOCS2	12	93966317
cg11225935	0.0884669886472024	KDM5A;CCDC77	12	498478
cg11226328	0.0481445716310516	EPB41	1	29213367
cg11227541	0.0461816181092978	GNG5;SPATA1	1	84972317
cg11228872	0.013576776264387	CALR	19	13049259
cg11231018	0.915977355506161	LIPF	10	90423408
cg11233153	0.640058469791742	SLC10A3	X	153718691
cg11233228	0.0508722941093376	PRPF4;CDC26	9	116037401
cg11233384	0.116061584959295	AKR7A3	1	19615702
cg11234457	0.968851118648552	FTMT	5	121187547
cg11235426	0.0255397074809976	DUSP22	6	292522
cg11235871	0.0119277364218472	QARS	3	49142143
cg11236244	0.801629408083964	CSAG1;MAGEA12	X	151904510
cg11237115	0.0172627247853321	KLHL24	3	183353422
cg11237738	0.846371747863254	C4orf6	4	5527295
cg11237817	0.723306041700701	NA	NA	0
cg11237883	0.00980813350772798	STYXL1;MDH2	7	75677249
cg11238505	0.0186363476440797	CYHR1;KIFC2	8	145691776
cg11241627	0.221434986000874	FERD3L	7	19185165
cg11243196	0.0206993521662521	ADAMTS3	4	73434856
cg11245384	0.794058335099419	PDYN	20	1974646
cg11246695	0.0167258389375939	PIAS3	1	145576023
cg11248413	0.0888097240721447	NEUROG1	5	134871658
cg11248491	0.0467339650288755	CYTH3	7	6312525
cg11249120	NA	SAMD3	6	130543838
cg11249173	NA	LOC221710;HERV-FRD	6	11112209
cg11250058	0.568741560340601	NA	NA	0
cg11250247	0.125708544546807	TBP	6	170864036
cg11251086	0.0404514295385453	DUSP11	2	74007147
cg11251498	0.461596184855248	IDO2	8	39792769
cg11251858	0.019144167039062	ESR1	6	152129036
cg11251877	0.822216279682556		6	168398981
cg11254522	0.879853172227462	FGR	1	27950343
cg11255163	0.0193530713709654	CDH1	16	68771200
cg11255230	0.0274964515573143	BCL2	18	60987808
cg11256279	NA	C7orf23	7	86849303
cg11256445	0.945769756623838	HCLS1	3	121380233
cg11258532	NA	CA7	16	66877873
cg11260422	0.0649166962205769	FOXA1	14	38064112
cg11260848	0.451904217809136	ALX4	11	44326260
cg11261264	0.943441945994939	PTPRH	19	55720737
cg11262815	0.38174229831832	CACNA1G	17	48638703
cg11262874	0.228855894556365	ZNF681	19	23941711
cg11263296	0.14369689066719	CCDC64	12	120428313
cg11263497	0.0397707476425602	WDR35	2	20190220
cg11263584	0.0170464409737014	ICT1	17	73008587
cg11264817	0.0217879415360065	INCA1;KIF1C	17	4901584
cg11265916	0.0174521498688659	MAPK1	22	22221056
cg11265941	0.375557848230507	SNRPN	15	25068738
cg11266874	0.018648012358887	ARL13B	3	93699352
cg11267879	NA	CYP2F1	19	41619952
cg11269533	0.241444421110566	FEV	2	219850301
cg11270633	NA	IL28B	19	39736956
cg11271605	0.188078821381911	STEAP4	7	87936282
cg11272332	0.492673657926716	ZDHHC15	X	74742810
cg11274211	0.0161208632765549	PIP5K1B;FAM122A	9	71395330
cg11275139	0.272051054001323	NA	NA	0
cg11276198	0.00923402607404784	KRAS	12	25404189
cg11276280	0.0309767647986954	TBCC	6	42713551
cg11277126	0.0342382251454765	TRPC4AP	20	33680945
cg11277230	0.220801295115135	C4orf36	4	87813935
cg11278262	0.0275152427198625	KRTCAP2;TRIM46	1	155146720
cg11279021	0.286706341888827	ETV1	7	14028690
cg11283860	NA		1	8273352
cg11285003	0.104591476989032	HCN1	5	45696592
cg11285843	0.119733323510739	TMEM41A	3	185217130
cg11286122	0.726996459560069	PHLDB1	11	118477406
cg11286163	0.0442525804430875	PSMA5	1	109969161
cg11286618	0.0149886895350539	WBP1	2	74685465
cg11289251	0.00682781784527262	DDX28;DUS2L	16	68056774
cg11290225	0.0975317668559129	KIFC2	8	145692591
cg11291009	0.53034600425895	ARHGEF9	X	62975067
cg11291200	0.831320577169941	MAGEB2	X	30233490
cg11295113	0.754516768302318	FOLR2	11	71927938
cg11295902	0.0264589004258574	SF1	11	64546368
cg11296363	0.0317022080376471	FTSJ3;PSMC5	17	61905004
cg11296937	0.220632046171744	PRDX5;TRMT112	11	64084966
cg11297236	0.908920415218562	PDILT	16	20416475
cg11298412	0.020035273360488	PARM1	4	75858589
cg11298616	0.0262092612458777	CKAP2	13	53029954
cg11299964	0.0576890301687118	MAPKAP1	9	128469783
cg11300809	0.475801563162984	SGPP2	2	223288637
cg11301598	NA	OASL	12	121476792
cg11303670	0.0621550830982366	TSPAN33	7	128784442
cg11303749	0.0195975354771408	HIST1H4B	6	26027410
cg11304234	0.50335978037211	IL18	11	112034801
cg11304524	0.950351662352809	TSSK4	14	24674887
cg11304734	NA	POLR1E	9	37485592
cg11308639	0.742646280698951	BMP10	2	69098272
cg11308840	0.382467830783388	TMEM215	9	32783516
cg11310496	0.973561846536154	PNLIPRP2	10	118380175
cg11310692	0.018812274267006	PEX7	6	137143636
cg11311499	0.116170521210122	MSH2	2	47630845
cg11312566	0.0111159224195126	SLC2A8	9	130159344
cg11313124	0.0200606117422798	ZMAT3	3	178789226
cg11313997	0.015867544912139	B4GALT7	5	177027589
cg11314271	0.542801251669636	NA	NA	0
cg11314292	0.0347383479006855	RNF125	18	29598433
cg11314684	0.259571665026862	AKT3	1	244006288
cg11316784	0.0124474856672021	NSD1	5	176560594
cg11318251	0.745465192974949	BAALC;C8orf56	8	104152588
cg11319389	0.372684147991126	TOX2	20	42544648
cg11320084	0.0814436524826956	RNF2	1	185014181
cg11320143	0.0460349102801482	GDAP2;WDR3	1	118472483
cg11321895	0.0201286755666272	PLAG1;CHCHD7	8	57123832
cg11323198	0.253885321779548	CDH8	16	62069806
cg11323230	0.0177234995701583	AMFR	16	56459217
cg11323731	0.10377701332608	AKR1A1	1	46016768
cg11324740	0.0214639183853266	NUSAP1;OIP5	15	41624793
cg11325578	0.578252335413021	GPR143	X	9733287
cg11326613	0.0438287158402801	CCDC107	9	35657478
cg11326640	0.0273404620915063	NA	NA	0
cg11328149	0.865841101270308	LY6G6C	6	31689459
cg11328541	0.157876632202256	OR7C1	19	14910889
cg11328875	0.0355622056257394	PPIL5	14	50066018
cg11329235	0.0101113809234147	SRRM1	1	24969260
cg11330108	0.0463384258919298	BCL2	18	60986115
cg11331769	NA	TAZ;DNASE1L1	X	153639287
cg11332950	0.0169319119287008	AHSA2	2	61404256
cg11332994	0.518970944083704	NA	NA	0
cg11334469	0.609500613590062	NA	NA	0
cg11336428	0.0228473559488255	TEX2	17	62340505
cg11337525	0.150014336785871	APOC1	19	45418417
cg11337780	NA	ZNF439	19	11977718
cg11340260	0.673583981414279	GP1BA	17	4835476
cg11341028	0.378871322436604	KBTBD4;NDUFS3	11	47601881
cg11341528	0.0160869027125992	CASD1	7	94139401
cg11344614	NA	JAM2	21	27010160
cg11345438	NA	KIAA2013	1	11986397
cg11346450	0.906167044137351	NA	NA	0
cg11353032	0.0156313633278261	ZRSR2	X	15808390
cg11354906	0.17691454798417	SFRP2	4	154710371
cg11356290	0.0219332673682704	AZI2	3	28390998
cg11356705	0.0208088279496666	NUP54	4	77069568
cg11360149	NA	OR2V2	5	180581315
cg11360718	0.628711070337552	TM9SF4	20	30720375
cg11360768	0.00935390334025063	WHSC1L1	8	38239777
cg11366015	0.0114570923047662	C20orf27	20	3748106
cg11368509	0.0709329649299339	SUV420H2	19	55851365
cg11368578	0.331966025160957	CDK5	7	150754936
cg11368643	0.567008045992154	PCDHB15	5	140625059
cg11368791	0.0513920914680232	WDR46;PFDN6	6	33257095
cg11368946	NA	GCAT	22	38204391
cg11371160	0.500258528760558	UBL4A	X	153714615
cg11371394	0.227201151228151	TGFBRAP1	2	105946583
cg11371791	0.0207295843940823	NA	NA	0
cg11372696	0.0890420521340569	POLR2G	11	62528990
cg11372831	NA	PAICS;PPAT	4	57303157
cg11373429	0.0881005734409873	ICAM5	19	10400751
cg11373746	0.0552860675953914	ALDH9A1	1	165668181
cg11375079	0.0655034979866072	GLRX5;SNHG10;SCARNA13	14	96001246
cg11375102	0.474237320077708	IFT140;TMEM204	16	1583810
cg11375475	0.0124255344773637	BBC3	19	47734362
cg11375622	0.0404726055002705	HSF1;BOP1	8	145516294
cg11376198	0.495133731741473	AKR7L	1	19600730
cg11377136	0.44324605645983	PKDREJ	22	46658960
cg11378044	0.882123207957496	NA	NA	0
cg11378052	0.795965948640107	HEATR4	14	74027058
cg11378484	0.107521591272966	THOC7	3	63848695
cg11378686	0.104971883642848	ZNF318	6	43336278
cg11378840	0.00906598095780377	HHEX	10	94449797
cg11380128	0.725271430069452	PRLH	2	238473800
cg11380624	0.0820752666545129	DNAJC14	12	56222881
cg11384427	NA	CD27;LOC678655	12	6553585
cg11385473	0.0904227492400298	IMMP1L;ELP4	11	31530943
cg11386709	NA	EPB41L2	6	131278559
cg11386746	NA	CDH15	16	89237370
cg11387131	0.0323423279826267	KCNJ5	11	128761211
cg11387519	0.0403846722301342	CCDC142;MRPL53	2	74699973
cg11388238	NA	KCTD18	2	201375098
cg11389172	0.340848046170046	SLC18A3;CHAT	10	50818299
cg11390468	0.0430245118307812	IFT57	3	107940784
cg11391732	0.869095274148333	HSPB3	5	53751919
cg11392765	0.0307089607523188	NKX3-2	4	13546673
cg11393453	0.0104068220747599	FAM59A	18	30050326
cg11393848	0.197725340047222	C1QC	1	22969340
cg11394644	0.0653787084244579	FAM104A;C17orf80	17	71229370
cg11394785	0.453155814324312	LTC4S	5	179221090
cg11395610	NA	RAB28	4	13485238
cg11395917	0.0215485937358916	PLEKHB2	2	131862942
cg11395975	NA	MLST8	16	2255950
cg11396509	0.0223934125197097	SIRT2;NFKBIB	19	39389915
cg11397854	0.0197491730519217	IQSEC1	3	13008878
cg11398517	0.808180666748486	GTSF1L	20	42355625
cg11398680	0.0314006303289883	PTK2	8	142011853
cg11399100	0.313749847803822	TMEM59L	19	18722368
cg11399527	0.0200803772163403	PDP2	16	66914446
cg11399590	NA	PCIF1	20	44564022
cg11399891	0.0213914286134031	ZNF444	19	56652352
cg11400333	0.0443469187096113	TMEM151A	11	66059695
cg11402505	0.185689679066138	FBXO27	19	39523436
cg11403598	NA	NIP7;COG8	16	69374664
cg11405695	0.766121482006937	ATAD3C	1	1384091
cg11406340	0.957456482953433	C10orf110;IDI2	10	1071573
cg11406695	0.0348341973751799	NA	NA	0
cg11407345	0.131717074984765	C21orf58;PCNT	21	47745057
cg11408517	0.022867253316022	LATS1	6	150039536
cg11411707	0.0214605026096411	GABPB2	1	151043197
cg11412582	0.40027734581434	HERC2	15	28567519
cg11414046	0.0122703293547033	BRAF	7	140624194
cg11414151	0.0896217592908027	NA	NA	0
cg11415932	0.0151311842123706	POLB	8	42196139
cg11416386	0.0176640116520125	DPY19L3	19	32897202
cg11418559	0.297073197254536	GRRP1	1	26487928
cg11419863	0.0246245650743081	FAU;MRPL49	11	64890006
cg11422541	0.0318615672584468	ADCY6	12	49182586
cg11423990	NA	TXN2	22	36877559
cg11426590	0.0105497917415928	TRIM62	1	33647854
cg11428724	0.042182057695292	PAX7	1	18957632
cg11429632	0.164833812849023	RAB14	9	123964581
cg11429658	0.752962270773211	ABCC13	21	15646635
cg11431126	0.0492684277953117	RHOU	1	228870709
cg11432797	0.765494700012068	SPN	16	29674487
cg11434468	0.086054700715011	XKR6	8	11059277
cg11435943	0.704881392642244	SERPINB12	18	61222687
cg11438428	0.598714456216094	PTF1A	10	23481594
cg11438755	0.020940847561809	TMEM20	10	95653570
cg11442050	0.0188002697876374	EIF4ENIF1	22	31886454
cg11442717	0.0173360291236911	PHF10	6	170125241
cg11443787	0.122650515646075	MLLT10	10	21822403
cg11449935	0.0171793366823732	TGIF2	20	35202477
cg11450001	0.0446524625820174	GABARAPL1	12	10365596
cg11450827	0.730977953595964	CLDN5	22	19513006
cg11451801	0.0442006313462624	PSMB10	16	67970768
cg11452221	0.337229469433696	GEFT	12	58004830
cg11452360	0.0155129325215289	NA	NA	0
cg11453347	0.0728030764821279	UROS;BCCIP	10	127512288
cg11454415	0.0205313064131739	TOMM34	20	43588633
cg11455040	0.0366326267531239	SLC45A3	1	205649941
cg11456838	0.810480227204122	OSTCL	6	159278754
cg11458642	0.0275695903275172	ATR	3	142297295
cg11458974	0.918748487644842	HMOX1	22	35776686
cg11459714	0.0370102730763873	KLK10	19	51520658
cg11459822	0.0830146568151926	NA	NA	0
cg11460029	0.0272154811603277	EFNB3	17	7608747
cg11460364	0.778529124891566	DPP4	2	162931397
cg11462533	0.13914498312998	HPCAL4	1	40156840
cg11462865	0.0664674921608679	KRT19	17	39684124
cg11465163	NA	DIRAS3	1	68516093
cg11465372	0.941312854329683	KRT76	12	53171191
cg11465971	0.0617214593750386	NA	NA	0
cg11466485	NA	SARDH	9	136605868
cg11466837	0.845141945744648	TRIM29	11	120009682
cg11466908	0.0358371404885295	AUH	9	94123704
cg11467738	0.0199046061212186	ARPC1B	7	98972733
cg11468462	0.0252774218241226	NXPH4	12	57610686
cg11468711	0.0169219162859032	ZNF710	15	90545745
cg11469137	NA	PLOD1	1	11994385
cg11469321	NA	BDH2	4	104021294
cg11469778	0.814253818560838	ARHGEF4	2	131674201
cg11471401	0.425213071743707	KRT6A	12	52888480
cg11471666	0.0153211219490791	EIF4B	12	53400335
cg11472424	0.671260912619601	PFKFB1	X	55020450
cg11473104	0.527433780290392	NUDT15	13	48611615
cg11474075	0.0183304907586893	TTC5	14	20773935
cg11474811	0.84508111126058	TRPM5	11	2443869
cg11475332	0.00728012182367976	SDC1	2	20425343
cg11476211	0.0155219740392892	PRKCE	2	45879284
cg11476254	0.932640059027819	ACSF3	16	89159666
cg11479591	0.272154966865005	MECP2	X	153362176
cg11479877	NA	B3GALT5	21	41029500
cg11480873	0.0139836458839991	RAB7L1	1	205744417
cg11481351	0.933082549092686	FNDC7	1	109265387
cg11481490	0.0284730116758037	C19orf54;SNRPA	19	41256723
cg11481720	0.0207409750213291	ZNF791;ZNF490	19	12721423
cg11481793	0.0804828197298498	ZNF362	1	33722720
cg11483915	0.0276650254220913	SLC40A1	2	190446080
cg11484288	0.0142899558491698	NA	NA	0
cg11484576	0.0923976939802117	LGALS12	11	63272554
cg11484872	0.581432830439646	TNF	6	31543169
cg11485602	0.0120562854199669	PDHB	3	58419482
cg11487705	0.0171911320162311	OXCT1	5	41870746
cg11487967	NA		2	242968692
cg11489580	0.0238731021164234	G3BP2	4	76598793
cg11490446	0.0277811292716453	PSEN1	14	73602923
cg11492040	0.501980782987605	H19	11	2016513
cg11492403	0.835517411487692	RUNDC1;AARSD1	17	41131552
cg11492856	NA	DVWA;CAPN7	3	15246587
cg11494656	0.832758813153461	ARR3	X	69487197
cg11494699	0.908192230820865	RAG1	11	36588217
cg11498156	0.22648219785733	TLX1;TLX1NB	10	102890145
cg11498188	0.0223881743580692	HECA	6	139456038
cg11498740	0.0205594438656164	MOAP1;C14orf109	14	93650664
cg11500727	0.793662136835072	CNFN	19	42894425
cg11500797	0.506131785036211	DLX5	7	96652123
cg11502800	0.0263707099512095	ZNF146;ZNF565	19	36705772
cg11503011	0.133123210452782	NA	NA	0
cg11503744	0.0545790295161474	RUSC1;C1orf104	1	155294042
cg11504646	0.901785459366595	RTP1	3	186913950
cg11504739	NA	SCGB1A1	11	62186060
cg11504740	0.372067649085641	GPR152	11	67220043
cg11504897	0.167495617127792	NRN1	6	6007412
cg11505048	0.923578719333422	RGL1;APOBEC4	1	183622726
cg11505080	0.546043772730089	NA	NA	0
cg11505565	NA	TUBD1;RPS6KB1	17	57969198
cg11507178	0.0863159605565591	BCL9L	11	118781515
cg11510269	0.0432988493046729	RSRC2;KNTC1	12	123011761
cg11510839	0.0172724230080267	OCA2	15	28344488
cg11511443	0.509062521533097	LMO3	12	16761406
cg11512771	0.907677608303081	ECM1;TARS2	1	150479487
cg11513856	0.244434708809372	RABL5	7	100965680
cg11516377	0.214857380769959	DPH1	17	1933153
cg11516606	0.0544104044922885	TDRD7	9	100175029
cg11518240	0.960035614021236	FKBP4	12	2902790
cg11519508	0.0375485253564938	NA	NA	0
cg11520395	NA	JMJD4;SNAP47	1	227924115
cg11521325	0.754512811753472	CCDC114	19	48808268
cg11521965	0.336199691143584	PTN	7	137028604
cg11523020	0.525933644083762	UPK3A	22	45681036
cg11524446	NA	C1orf94	1	34642184
cg11525285	0.405990688123355	VSX2	14	74706336
cg11526405	0.0381293277790131	SH3GLB2	9	131790894
cg11527279	0.0407966312319466	TTLL11	9	124854846
cg11528101	0.00970506947083243	MRPS24	7	43909044
cg11528666	0.0291230624467367	C4orf29;MFSD8	4	128886049
cg11529128	0.0221071046892435	LHFPL5	6	35772890
cg11529250	NA	UPK3A	22	45680606
cg11530960	0.0643984432331839	DMRT2	9	1052239
cg11532513	0.949266387657396	LRTM1;CACNA2D3	3	54962242
cg11536940	0.267025255802974	PGCP	8	97658076
cg11538128	0.0178426714807933	ZNF354C	5	178487481
cg11539173	0.0126634644858719	GNB1L;C22orf29	22	19843009
cg11540692	0.35225858051993	SIM1	6	100912072
cg11540997	0.713842183259434	DUOX2;DUOXA2	15	45407818
cg11541187	0.0165004742281856	C6orf182;SESN1	6	109415607
cg11542231	0.0354485688761963	RPA2	1	28241192
cg11546621	0.666411297254435	PTGDS	9	139872161
cg11547724	0.5	HPX	11	6462452
cg11550426	0.0104658856144501	SDCBP	8	59465609
cg11552293	0.70262784593755	COL4A5;COL4A6	X	107682539
cg11553177	0.00880710540805598	SUPT6H;SDF2	17	26988816
cg11554507	0.931648307975449	NEUROD6	7	31380572
cg11554605	0.924323352031827	ASB4	7	95115354
cg11554937	0.936623986238276	HSD17B3	9	99064321
cg11558474	0.0901652669866122	TMEM2	9	74382743
cg11560403	0.984837285523271	TMEM81	1	205053460
cg11560645	0.832569979169804	NA	NA	0
cg11563860	0.307278830660891	CNTN4	3	2141937
cg11564268	NA	NOB1	16	69789107
cg11564670	0.844068975559289	MC2R	18	13915006
cg11565248	0.396864918753527	RPS6KA3	X	20284128
cg11566199	0.931635609607358	GALNT6	12	51773594
cg11566244	0.203725741733838	GSTP1	11	67351786
cg11566939	0.031438084119891	DULLARD;C17orf81	17	7155231
cg11572744	0.0281044088833116	DPYSL3	5	146832933
cg11574612	0.0305663262460849	CYP39A1;SLC25A27	6	46620502
cg11574758	0.0177194107789981	PLK1S1	20	21107113
cg11577097	0.267442135462467	AQP9	15	58430682
cg11579069	0.080013592327373	MYB	6	135502794
cg11582100	0.0322662554509736	GAD1	2	171673207
cg11584111	0.0119988301503804	C1orf105;PIGC	1	172412837
cg11584690	0.584281068532767		19	42574196
cg11584936	0.171608107114959	BNIPL	1	151009588
cg11585425	0.019333857238772	ACTR2	2	65454529
cg11590700	0.149877327940578	MECOM	3	169381241
cg11591325	0.0952693358094101	F2R	5	76012591
cg11592951	0.00491773472313915	SRRT	7	100472745
cg11593656	0.166077262154593	COMMD6	13	76112039
cg11594131	NA	XPO1	2	61765360
cg11594137	0.195944624308602	NA	NA	0
cg11594228	0.450627066492697	NA	NA	0
cg11594415	0.0134411801473134	BAT2L2	1	171454668
cg11595245	0.111729866172397	HELLS	10	96305461
cg11595749	0.0128908460789169	ATP5E	20	57607571
cg11595794	0.018936022355004	ANKRD37	4	186317094
cg11598929	0.197725569071025	FAAH2	X	57313075
cg11599505	0.923941789773301	VSTM2L	20	36532096
cg11600161	0.764815611717351	TBC1D10C	11	67171585
cg11601662	0.0336937498858024	FKBP14	7	30066256
cg11603096	0.0223285289845052	EIF3D	22	36925444
cg11608114	0.0293459308836136	LOC338799;SETD1B	12	122241139
cg11608424	NA	HEPACAM2	7	92849851
cg11609154	0.0231544030015115	C7orf55	7	139026010
cg11609344	0.034676102817807	YKT6	7	44240862
cg11609366	0.0361258217873374	RPL8	8	146018277
cg11609760	0.347750592284262	FGD1	X	54522363
cg11611600	0.195636959151162	ADAMTSL3	15	84323154
cg11611854	0.0145807906545148	NA	NA	0
cg11612291	0.024570771163026	ZNF35	3	44690338
cg11612345	0.0763264758718033	SMOC2	6	168842491
cg11613875	0.0316081419000971	C9orf72	9	27573889
cg11614809	0.573873192753198	NDP	X	43832280
cg11617144	0.668290431563809	GPT	8	145729772
cg11618577	0.363307387908649	KRTCAP3	2	27665543
cg11619390	0.242795475528733	ZBTB8B	1	32931179
cg11620807	0.0192072041739328	IRS1	2	227664353
cg11620873	0.0109260312723971	CD9	12	6309515
cg11625178	0.0125655880754642	TMPO;LOC100128191	12	98909434
cg11625451	0.0167251897070594	GAN	16	81349061
cg11625946	0.0562478697941526	LRIG3	12	59314263
cg11626656	0.0510919133746844	RND3	2	151343868
cg11626791	0.0395176338747555	TLK1	2	172016605
cg11628026	0.985575301846784	ACTL7A	9	111624939
cg11628034	0.175424338290296	RPS16	19	39926904
cg11628282	0.021113700723601	MFN1	3	179065624
cg11628487	0.0265766498087393	SET	9	131450973
cg11630242	0.068321953216126	AKAP10	17	19881632
cg11630392	0.877480153834249	GPR171;MED12L	3	150920964
cg11631275	0.940322201614113	SDAD1	4	76903515
cg11631518	0.22460250279265	KCNC2	12	75603585
cg11632617	0.047542127552623	PPCDC	15	75315747
cg11634198	0.348819666230578	NEUROD2	17	37764158
cg11635563	0.902860814121867	ENOX1	13	44241849
cg11638200	0.347950980559813	PRKCQ	10	6621965
cg11638880	0.0241077505350216	SFT2D1	6	166755991
cg11639397	0.0329927223553093	VASP	19	46010716
cg11639651	0.599337655129485	HKDC1	10	70979811
cg11640565	0.965465246981036	STS	X	7137913
cg11644586	0.435959267848851	CCDC87;CCS	11	66360200
cg11646704	0.0198948945737843	IPO4	14	24658292
cg11646757	0.0226585067072794	C7orf68	7	128095699
cg11646887	0.0377885092334425	SCRN2	17	45918805
cg11647681	0.420452708253669	PCDHGA4;PCDHGA11;PCDHGA12;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140810161
cg11648289	0.131552716219215	EN2	7	155249674
cg11648471	0.287563153512195	MOSPD2;FANCB	X	14891001
cg11648996	0.945934421301534	FAM47B	X	34960814
cg11649001	0.0373087891983135	FTSJD2	6	37400863
cg11649654	0.0455875136609068	NDUFAF2;ERCC8	5	60240952
cg11649825	0.0233461129707489	C20orf4	20	34824487
cg11649846	0.92276929833335	STRA8	7	134917144
cg11651717	0.00795336694755988	ABCA5	17	67323282
cg11653266	0.00938725950908967	MRPL38	17	73901339
cg11653271	0.0164826080452568	SNRNP25;POLR3K	16	103723
cg11653466	0.380647349433165	C8orf86	8	38386235
cg11653500	0.133548185325213	SPRY2	13	80915061
cg11653709	0.539434822198279	NA	NA	0
cg11653858	0.335875213165498	SLC13A2	17	26799289
cg11653864	0.584414111069636	ELK1	X	47509884
cg11654333	0.0286203460450138	DCK	4	71859710
cg11654620	0.0111083979168409	TYMP;ODF3B	22	50969039
cg11654737	0.0814213574355912	BCKDHB	6	80816077
cg11655418	0.0295431766552218	RPS10	6	34394031
cg11655691	0.0368709815155901	CBARA1	10	74385779
cg11656547	0.450314190207649	MAMDC2	9	72658747
cg11657615	NA	ZDHHC1	16	67449861
cg11657808	0.603263788716317	RYR2	1	237205950
cg11659747	0.140884573337114	SCARB2	4	77134585
cg11661234	0.479323399723881	RLIM	X	73834596
cg11662098	0.0126645442237412	GOPC	6	117923795
cg11664825	0.366559943942326	XKRX	X	100184343
