Hybridization REF	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05	TCGA-A2-A0CU-01A-12D-A032-05
cg15302567	0.020438667529577	NA	NA	0
cg15303841	0.703506566120826	RFPL1S;RFPL1	22	29833804
cg15304928	0.020972535336954	TMEM9	1	201123562
cg15305343	0.00968138371416437	NSUN4	1	46806357
cg15305511	NA	EVC2;EVC	4	5712676
cg15307169	0.0208116402750734	DOK7	4	3465064
cg15307268	0.0319819585095668	GPR176	15	40213409
cg15307449	0.740691493110756	NA	NA	0
cg15308737	0.93134537655421	ARSG	17	66303328
cg15309006	0.431602129588918	CHP2	16	23766116
cg15309066	0.0132483456875262	NA	NA	0
cg15309223	0.0200215843951031	TMEM59;C1orf83	1	54519091
cg15309236	0.76993641832826	BHLHB9	X	101975597
cg15309264	0.0688660819083924	VRK2	2	58274034
cg15309578	0.645073111835104	NA	NA	0
cg15310162	0.513772874174849	CLDN14	21	37852822
cg15310873	0.782226267436989	C20orf85	20	56726093
cg15311933	0.014996351498256	PQLC2;AKR7A2	1	19638897
cg15312298	0.347574849986337	FAM84B	8	127570908
cg15312323	0.702730656831708	KRTAP4-4	17	39317694
cg15315630	0.0110793758015281	ZMYM6	1	35497506
cg15316289	0.972202464066568	ALG12;CRELD2	22	50310904
cg15316334	NA	CEACAM5	19	42211252
cg15317267	0.521361070143014	H19;MIR675	11	2018247
cg15318532	0.0120943942009326	RFXAP	13	37393521
cg15319076	0.0116058053700694	DCTN6	8	30013987
cg15319451	0.0410547040347973	TMEM51	1	15480748
cg15319457	0.0190069369007042	HES6	2	239148132
cg15320474	NA	UBD	6	29528005
cg15321195	0.0320749229493788	AGPAT3	21	45285898
cg15321211	0.448563080901859	HNRNPF	10	43905515
cg15322932	0.0394408505611651	ALDH3B1	11	67777682
cg15329467	NA	CYP19A1	15	51630696
cg15329483	0.519170460018421	SSX7	X	52683974
cg15329642	0.377876145794555	PTCH2	1	45308298
cg15329866	0.838244393647412	PLD1	3	171455826
cg15331039	0.0119673259064114	SH3BGRL2	6	80341283
cg15334028	0.0852916426330012	MIR638;DNM2	19	10829162
cg15337006	0.90117001307876	ITGAM	16	31271009
cg15337055	0.0169480554997834	FOS	14	75745358
cg15337897	0.0558338208478184	FGF3	11	69634400
cg15339605	0.0920665538960389	TFEC	7	115670795
cg15341340	0.0262287357816566	DNASE2	19	12992237
cg15341760	0.871255587722201		1	6297890
cg15342384	0.00890639107588314	HNRNPH3;PBLD	10	70091938
cg15343119	0.511667081385533	GALR1	18	74961785
cg15344028	0.886581453094986	ICOS	2	204801510
cg15344726	0.932030802698152	GJA3	13	20717346
cg15345126	0.0209611380961801	RAB27A	15	55582248
cg15348640	0.0213485444155398	ACAA1;MYD88	3	38179985
cg15348799	0.0207312481816335	SKIL	3	170075452
cg15350036	0.383266737614913	CROT;TP53TG1	7	86973677
cg15350194	0.0695020660800886	NA	NA	0
cg15350455	0.0452446586944969	C2orf44	2	24270357
cg15352315	NA	CD302	2	160655036
cg15352829	0.886589407484019	PLD4	14	105391018
cg15357518	0.0417237202882899	RBM42	19	36120356
cg15357639	0.956627578649735	OGG1	3	9790443
cg15357945	NA	PRG2	11	57158361
cg15359413	NA	FIGNL1	7	50517931
cg15361231	0.381143502259221	GLRX2	1	193075191
cg15361590	0.16838118921568	PCDHGA4;PCDHGC3;PCDHGA12;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC4;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140864701
cg15361750	0.142889919242539	GPR77	19	47839132
cg15364303	NA	ROR1	1	64239391
cg15364537	0.0251553690123879	MFSD4	1	205538310
cg15364618	0.51889759390212	LTB4R2;CIDEB;LTB4R	14	24780551
cg15365950	0.0123335268497949	KLHDC1	14	50160307
cg15368822	0.0351991748852558	TMEM63A	1	226070397
cg15371509	0.023915225708107	INTS3	1	153700650
cg15372098	0.0230909848539952	C3orf26;MIR548G	3	99537053
cg15373285	0.709829764245007	MEG3	14	101293090
cg15373633	0.104062969235987	DACH2	X	85403474
cg15374234	0.621254133603501	CD300LF;RAB37	17	72709026
cg15375239	0.0114183068179987	SPINT2	19	38755287
cg15375586	0.21918472121331	TBX22	X	79277933
cg15376097	0.261289589480675	MPZL2	11	118135270
cg15377518	0.328012765325234	ZEB2	2	145278113
cg15377649	0.0245913946296702	ACTN4	19	39138400
cg15378655	0.0425096951620979	NA	NA	0
cg15379237	0.0375114169820779	B4GALT2	1	44445539
cg15379633	0.0888930700221587	RAB36	22	23487586
cg15379858	0.54251259771049	CSGALNACT1	8	19540466
cg15379887	0.0684679700757804	CGGBP1	3	88107415
cg15381313	0.825034895004513	NR1H4	12	100867509
cg15381769	0.0163690953499362	PTPRK	6	128841972
cg15383087	NA	ZFP82	19	36910144
cg15383120	0.567357200314398	DUSP22	6	291909
cg15383392	0.0407150080100255	CTTN	11	70244691
cg15383574	0.0373304119676536	ATP5S;L2HGDH	14	50779169
cg15384392	0.0112237356543685	ARHGAP1;ZNF408	11	46721921
cg15384599	0.0302583141629106	SETMAR	3	4344887
cg15384717	0.0350852656436509	PRPF3	1	150294084
cg15385623	0.127704857812411	THRB	3	24536309
cg15387123	0.219542845407928	CLIC3	9	139891058
cg15389153	NA		3	42819341
cg15392792	0.0336360777995283	MIR638;DNM2	19	10829173
cg15394409	0.0117637831621936	TMEM111	3	10028474
cg15396310	0.0119868588391799	BCL7B	7	72971398
cg15396367	0.144823109757879	UAP1L1	9	139972779
cg15397506	0.0118431608239934	LOC93622	4	6675881
cg15398448	0.0127682658155863	PTOV1	19	50353971
cg15398520	0.35812867279657	LPAL2	6	160932709
cg15399561	0.0194305172015379	POP1;HRSP12	8	99129939
cg15401952	0.0437401540838362	KCNIP4	4	21305805
cg15403517	0.162114737309489	SRD5A2	2	31806275
cg15407570	0.653399676889825	STAB1	3	52529524
cg15408407	0.0200667734304813	RPS15	19	1438438
cg15408454	0.543739200160527	NA	NA	0
cg15409266	0.590319418385777	NA	NA	0
cg15410903	0.0439581749850521	GSTO2	10	106028780
cg15411984	0.0128035802283989	LRRC23	12	7014090
cg15413566	0.122452812612601	ICA1	7	8301971
cg15414833	0.0231490411913407	RUNDC3B;ABCB1	7	87257767
cg15415507	0.201387240490297	EPHA2	1	16482553
cg15415509	0.109305561882139	ADRB2	5	148205614
cg15415545	0.0935808278298354	GIYD1;SULT1A3;GIYD2;BOLA2B;BOLA2;SULT1A4	16	30206046
cg15416233	0.00915564379227527	PAX2	10	102505266
cg15416577	0.0220436889055599	CCDC52	3	113234093
cg15417244	0.579565106199012	PDZRN4	12	41831558
cg15417900	0.0209733756992034	PAN2;CNPY2	12	56710096
cg15419274	NA	WFDC3;DNTTIP1	20	44421026
cg15422147	0.430172810511375	SERPINB5	18	61144339
cg15422784	0.952728051224194	LRRC8B	1	90023713
cg15423613	0.014308184463308	KCTD7	7	66093349
cg15423764	0.247096587811514	GLYAT	11	58499533
cg15423862	0.952335683682211	KCNAB1	3	155838109
cg15425280	0.0511399405385281	GRIA2	4	158141492
cg15425811	0.673647624050575	C22orf27	22	31318181
cg15426734	0.0347740383180413	PARD6A;ACD	16	67695272
cg15427448	0.0231329703834217	BACE1	11	117186896
cg15427567	0.0194410350773972	METT11D1	14	21458055
cg15427656	0.0700240045022475	FAM149B1;ECD	10	74928123
cg15427774	0.044220455155343	GORASP1;TTC21A	3	39149258
cg15428653	0.0823539094943792	ABCA2;C9orf139	9	139923402
cg15430659	0.774657692365126	CNNM1	10	101090558
cg15431576	0.0681241648165973	MORN4	10	99393007
cg15432938	0.0267672637029073	FRAT1	10	99078812
cg15433631	0.148655212496863	NA	NA	0
cg15434599	0.0311931012906909	MDM2	12	69201663
cg15435730	0.0655245691099696	TFAP2D	6	50680222
cg15437432	NA	TMED9	5	177018986
cg15439078	0.832890746095384	MYL3	3	46904643
cg15439196	NA	CNNM2	10	104676907
cg15439862	0.146471131920601	DSC3	18	28622593
cg15441973	NA	HNMT	2	138721317
cg15442534	0.0129094748383439	PDCD10;SERPINI1	3	167452763
cg15442702	0.0886314427420276	FGFR4	5	176514253
cg15443822	0.0700599810559851	ATP2A3	17	3867014
cg15444978	0.0164892810668503	MARK3	14	103851370
cg15445332	0.0128473813543616	MKNK1	1	47069792
cg15446391	0.679398675595696	WT1	11	32452370
cg15447479	0.0271225103114639	SMO	7	128828765
cg15447486	0.910501818294636	NA	NA	0
cg15448245	0.612054804165122	GGT5	22	24641654
cg15448599	0.94479768600216	C3orf45	3	50315748
cg15451100	0.0186222259927594	PSMB8	6	32812422
cg15452204	0.777239390304535	CDX1	5	149546471
cg15452426	0.0136534475371993	DFFA	1	10532230
cg15452573	0.220554174062289	SNCA	4	90758843
cg15453943	NA	RAB9P1	5	104434827
cg15454483	0.181239004522795	SNX12	X	70288604
cg15456206	0.0119205545982697	ZNF580	19	56152139
cg15457079	0.852729740889794	CPN1	10	101841816
cg15457899	0.525182170215343	SCN3B	11	123525665
cg15459742	0.0264391220961702	CTNNAL1	9	111775564
cg15459773	0.935242316786308	C1orf124;EXOC8	1	231472445
cg15460516	0.0131846056977207	TNFRSF12A	16	3070249
cg15461516	0.0627293428509746	CHST1	11	45686369
cg15462232	0.0299969876531105	FOXD3	1	63788184
cg15464148	0.313224218492331	LPAR5	12	6745057
cg15465321	0.825091123486836	NA	NA	0
cg15467148	0.0813127674457912	PCK2	14	24563578
cg15467759	NA	NDST1	5	149900327
cg15468095	0.151388022569931	PYCARD	16	31214401
cg15470298	NA	COL18A1	21	46825222
cg15470750	0.0255877637481929	FDPS	1	155278344
cg15473335	0.0272886160263601	NOL12	22	38082170
cg15473868	0.0171940990109058	MT1X	16	56716621
cg15473904	0.0459669968358172	MRPL41	9	140446993
cg15475323	0.101659369903908	MAMSTR	19	49220102
cg15477600	0.0223157935044395	SDF2L1	22	21996253
cg15479752	0.496520599202968	FFAR2	19	35940862
cg15480475	0.850588010132988	TUB	11	8060060
cg15480941	0.567097365335672	PIM2	X	48776125
cg15481539	0.600328996758593	DEFA5	8	6913441
cg15482690	0.0121636077881134	TARDBP	1	11072742
cg15484019	0.0196561370466681	TTC35	8	109455575
cg15484375	0.379363591411474	SAA1	11	18287647
cg15484384	0.4361157775186	ANAPC13;CEP63	3	134203672
cg15485859	0.404138025634073	C1orf116	1	207206447
cg15486645	0.014948317032813	LIN7C;BDNFOS	11	27528489
cg15488251	0.0195528341526126	MYH11	16	15951224
cg15488402	0.0525953693997812	SLC9A8	20	48429173
cg15489294	0.567511545608944	LVRN	5	115297853
cg15489301	0.161943468016083	AKR1B10	7	134213038
cg15489422	0.891299549956707	TMCC1	3	129599347
cg15491567	0.732268944561155	DYSF	2	71679675
cg15492003	0.0141848371145062	ALG2;SEC61B	9	101984308
cg15492104	0.0173965253383374	COQ6;FAM161B	14	74417249
cg15494458	NA	BPI	20	36931512
cg15494980	0.0368625619669438	STX5	11	62599247
cg15495837	0.706418203883946	NA	NA	0
cg15498283	0.0118435857076034	TALDO1	11	747520
cg15500658	0.0185911918379525	SPEN;FLJ37453	1	16174610
cg15501381	0.551562573828656	NGB	14	77737800
cg15502446	0.0365579261727415	C11orf73	11	86013224
cg15502888	0.0289106501473654	SOCS3	17	76356228
cg15503752	0.665797086842232	ST6GALNAC1	17	74639731
cg15503799	0.0360515095320368	PRCC	1	156737481
cg15507817	0.0257562320134828	WNT7B	22	46372583
cg15508020	0.0322950502667073	CSNK2A2	16	58232206
cg15512851	0.671605505886541	FGD2	6	36973518
cg15512961	NA	ANXA6	5	150537567
cg15513137	0.149724222765376	NA	NA	0
cg15514848	0.370423090860257	FMO1	1	171217555
cg15516226	0.671213794034462	BTNL9	5	180467519
cg15517609	NA	RYR1	19	38924045
cg15517965	0.0114824965544019	TMUB2;C17orf65	17	42263946
cg15518883	0.84559766334665	SIT1	9	35650561
cg15518950	0.794777655306143	TMEM171	5	72415770
cg15519208	0.0609347993916479	HIST1H1E	6	26155791
cg15520279	0.0211310193432144	HOXD8	2	176995088
cg15521097	0.393064221342742	ITIH5L	X	54824559
cg15522719	0.0198378217343269	GLS	2	191745248
cg15522957	0.819168237778944	ALX4	11	44324925
cg15523238	0.06800543865569	ATP10A	15	26108796
cg15525002	0.0130950673488369	GBA	1	155214303
cg15526708	0.408253541343206	TGFBR1	9	101866433
cg15527554	0.853878795563451	YSK4	2	135782086
cg15528736	0.483675540851528	FCGRT	19	50015780
cg15530356	NA	ZNF414	19	8579985
cg15531099	NA	LCE1D	1	152770502
cg15532088	NA	C17orf66	17	34195134
cg15534084	0.0591229368255299	ZNF649	19	52408044
cg15534366	0.143746066159485	CDH4	20	59826207
cg15536230	0.943525569707455	HSF2BP	21	44985092
cg15536242	0.888768398866266	NA	NA	0
cg15536490	0.0522638485420269	TFAP2C	20	55203849
cg15536552	0.572258473016861	ACSL4	X	108976035
cg15537433	0.0201103966547567	NDUFA2;IK	5	140027092
cg15537850	0.746992545959079	NAPRT1	8	144661051
cg15538427	0.291925294596459	LRRN4CL	11	62457014
cg15538820	0.818483771323342	OBP2B	9	136084818
cg15538837	0.0242414775850297	H3F3A;LOC440926	1	226250361
cg15539420	0.804932114806141	HOXB8	17	46692248
cg15540054	0.0144698788360814	ZNF180	19	45004280
cg15540820	0.418876925747581	EOMES	3	27765283
cg15541230	0.0219144368578147	COG1	17	71188803
cg15541315	0.0168416013387592	REXO2	11	114309932
cg15542496	NA	PIP	7	142828356
cg15543551	0.0493438264809594	FGF12	3	192445202
cg15544036	0.428671088787475	CLDN4	7	73245564
cg15544721	0.897074476142665	PPP1R9A	7	94536691
cg15547534	0.178738356017024	C7orf47	7	100034410
cg15547662	0.040639725477773	PAFAH2	1	26324823
cg15550350	NA	GRK7	3	141497168
cg15551881	0.89324049520551	TRAF1	9	123688715
cg15552238	0.263984150786884	EMR3	19	14785749
cg15553522	0.0303513775700122	TMEM132A	11	60692329
cg15554401	0.928657011647168	GJB4	1	35226891
cg15555014	0.310749175067807	SYNGR2	17	76164144
cg15555727	0.10356225087048	PYCRL	8	144692268
cg15556558	0.0137106139435568	STRN	2	37194356
cg15557833	0.203875475191752	NA	NA	0
cg15558658	0.0462837352493895	KIAA1279	10	70748649
cg15558971	0.017579765364826	ZFP36L1	14	69260307
cg15559560	0.0282243101071942	SMPD4;FAM128B	2	130939084
cg15559700	0.91219332408348	UGT1A9;UGT1A10;UGT1A8	2	234579873
cg15559737	NA	CRYBA4	22	27016806
cg15560112	0.0211297721896793	MYBPC2	19	50935305
cg15560337	NA	HYAL4	7	123484898
cg15561986	NA	GSTZ1;POMT2	14	77788381
cg15562197	0.0254240055864238	C3orf38	3	88198982
cg15563057	0.0266816336877489	PURA	5	139493612
cg15563382	0.0299946456802166	RNF141	11	10563039
cg15563952	0.0362358555385741	DHTKD1	10	12110679
cg15563993	0.0159038418088004	WDR61	15	78592154
cg15564267	0.206355779112434	OTUB1	11	63754708
cg15565533	0.0178433839662814	IP6K1;GMPPB	3	49761936
cg15565872	0.0885730436657496	VEPH1;PTX3	3	157155202
cg15566222	0.0140994645318468	ZC3H15	2	187350716
cg15566783	0.0191894799199224	NIPA2	15	23034186
cg15568167	0.0109723546200181	SAMD10	20	62610530
cg15569340	0.0220282529659202	CLSTN3;RBP5	12	7282490
cg15569512	0.0220129735435372	BAG5;C14orf153	14	104029667
cg15571154	0.904717193320123	FAM187B	19	35719126
cg15572745	0.33560177040571	NRXN3	14	78870232
cg15572787	0.0104625670631202	RTDR1	22	23484171
cg15573237	0.595291505959173	NA	NA	0
cg15576195	0.0269973548446893	HTATIP2	11	20385561
cg15576233	0.00946979284809804	HEY1	8	80679932
cg15579370	0.0366331858674256	SMOX	20	4129337
cg15580043	0.0172725363248176	PSMA7;SS18L1	20	60719730
cg15581500	0.0291285912439768	HSBP1	16	83841755
cg15582789	0.0800141789765461	SLC35D2	9	99145525
cg15582891	NA	TAAR1	6	132967028
cg15583058	0.0752957427603896	SDCCAG3;PMPCA	9	139305771
cg15583072	0.203982898497705	SLCO1A2;IAPP	12	21525662
cg15584630	0.0161488315320372	TSC22D2	3	150126560
cg15584813	0.774163767183359	SLC38A4	12	47219626
cg15585905	0.0146696627836123	NA	NA	0
cg15585987	0.150407059104484	SNTG1	8	50824749
cg15586352	0.694049141961152	NA	NA	0
cg15587603	0.0288010270913127	C2orf63;RPS27A	2	55460405
cg15589156	0.0224867134527975	RAB3IL1	11	61684592
cg15589354	0.100739039743783	URB2;TAF5L	1	229760606
cg15589427	0.524539460574633	MUC4	3	195539395
cg15590526	0.091001148644976	NA	NA	0
cg15590780	0.382078768377499	USH2A	1	216596639
cg15591678	0.0147617829452588	ZNF365	10	64134155
cg15591837	0.014240190036675	PPIL1	6	36842614
cg15594133	0.0385969130786597	TSPAN14	10	82214337
cg15595739	NA	RGS9	17	63183451
cg15597540	0.963152137591698	TUSC4;CYB561D2	3	50387202
cg15599064	0.440442730067694	NA	NA	0
cg15600342	0.0258238931911328	WBP4	13	41635509
cg15600835	NA	RPTOR	17	78518556
cg15601535	0.0330726992929537	SRD5A3	4	56212295
cg15602735	0.581591958459579	MAGEC2	X	141293333
cg15602809	0.526292090409082	NA	NA	0
cg15602950	0.0326633323957157	SACM1L	3	45731220
cg15602969	NA	RPL19	17	37356328
cg15603885	0.968090343931453	ABRA	8	107782373
cg15604008	0.0208588068521129	NA	NA	0
cg15604467	0.462478875392817	POU4F1	13	79177925
cg15605888	0.0217049407325258	CCDC138	2	109403293
cg15606663	NA	KRTAP15-1	21	31812603
cg15607672	0.677787753953878	OTX2	14	57277227
cg15609273	0.0277614848209614	RCBTB1	13	50159867
cg15609321	0.0483380230921981	ZNF512	2	27805893
cg15610233	0.468719662793307	NA	NA	0
cg15610792	0.0179608243589016	C9orf114	9	131592173
cg15611364	0.0292435112427429	OXSM;NGLY1	3	25831423
cg15611923	0.0253115263612927	RBM8A	1	145507416
cg15612063	0.0360493475943268	TMEM45A	3	100211622
cg15612436	0.307825742573254	MPPED1	22	43897902
cg15612546	0.016336722250918	RPS6KC1	1	213224612
cg15612847	0.930566695344161	MITD1;MRPL30	2	99796318
cg15612927	0.0284586748152675	RAD52	12	1058210
cg15613048	0.0124572652838087	KIF17	1	21044031
cg15613982	0.0245975646876992	SEC23B	20	18488017
cg15615135	0.0722740485413999	SNX5;C20orf72	20	17949655
cg15616083	NA	KCNQ2	20	62104607
cg15616400	0.969693648875206	SLC25A34	1	16062894
cg15619125	0.722194201274951	MAMDC4	9	139747228
cg15619794	0.875378755154537	IL5	5	131880649
cg15623573	0.067035003769001	APBA1	9	72288098
cg15625636	0.752448821073005	GPR65	14	88472437
cg15626350	0.305974868235007	ESR1	6	152130207
cg15627025	0.565920545023214	NA	NA	0
cg15627502	0.0263526682269626	RPN2;C20orf132	20	35806795
cg15627524	0.0916011773001925	DOPEY1	6	83777986
cg15628498	0.0131415064339284	ONECUT1	15	53082902
cg15629064	0.0475478413255134	TRIM27	6	28891718
cg15630759	NA	SF3A1;CCDC157	22	30752524
cg15631323	0.072334739420593	EGLN3	14	34420468
cg15633390	NA	EIF4E	4	99851211
cg15634735	0.0240201155569898	SAP130	2	128784622
cg15636365	0.0159186223781406	PNPLA7;MRPL41	9	140446240
cg15636587	0.48741249427679	NA	NA	0
cg15637528	0.968306201396441	C6orf146;C6orf201	6	4078959
cg15639045	0.0163565316369987	SLC16A11	17	6947200
cg15639951	0.884425155798159	MAP3K14	17	43367609
cg15640375	0.0625647800684287	LPPR3	19	821565
cg15641675	0.0142672443756286	DDX17	22	38902252
cg15641998	0.0274330234085798	HSD17B11	4	88312323
cg15642035	0.700921883651344	FAM135B	8	139165052
cg15642326	NA	MARK4	19	45754146
cg15643724	0.0542327407209297	GFER	16	2034532
cg15645309	0.160267659533601	BATF	14	75988747
cg15645605	0.0148881610053139	MRPL35	2	86426467
cg15645784	0.0120622409538017	ROGDI	16	4852962
cg15646782	0.0142121716177796	FAM55C	3	101498416
cg15647515	0.172266636349594	WNT2	7	116963802
cg15648315	NA	C13orf35	13	113301636
cg15648905	0.0159401968188726	RPL12;LRSAM1	9	130212957
cg15649193	0.0347708415881846	TECR;MIR639	19	14640403
cg15649452	0.0310549825166175	NA	NA	0
cg15652120	0.0247352364377678	ELK3	12	96588210
cg15652212	0.412840242613196	TMEM139	7	142981776
cg15652797	NA	CROT;TP53TG1	7	86974991
cg15654964	0.0370760186214908	BSDC1	1	32860685
cg15657607	0.0203255581121641	NA	NA	0
cg15657668	0.719231264354296	NA	NA	0
cg15658426	NA	CCDC112	5	114631545
cg15659828	0.134845849482818	CHID1	11	911673
cg15660077	0.845037949722947	NLGN2	17	7311620
cg15660498	NA	C19orf55	19	36249933
cg15661409	0.91637165408815	C14orf105	14	57960976
cg15662251	0.733119231242129	PAQR7	1	26197855
cg15663121	0.0146093546292712	GLYR1;UBN1	16	4898306
cg15664067	0.0292398487353505	RASA1	5	86564490
cg15664701	0.379270289417629	AKAP14	X	119030658
cg15664905	0.790830828826506	PHLDB3	19	44009429
cg15665653	0.0505094928769436	WDTC1	1	27561270
cg15669092	0.0215009283338301	TUBB3	16	89989024
cg15669228	0.331698764878491	IFNA8	9	21409505
cg15669273	0.0143592663769338	LYRM4;FARS2	6	5261406
cg15670863	0.755580311883487	SPACA4;FAM83E	19	49110292
cg15673110	0.0171651082316551	BIRC6	2	32581747
cg15674432	0.242136962557058	SLC26A8	6	35992082
cg15674997	0.619374300136192	GRM6	5	178421314
cg15676084	0.0257604729114721	ENAH	1	225841605
cg15676241	0.171699962230372	ITGA2	5	52285231
cg15676488	0.0432082063884402	SNRPC	6	34725116
cg15677132	0.0242100094962013	SRP54	14	35452110
cg15677294	0.771108529112109	TUBB4	19	6502938
cg15677344	0.889830746314103	NA	NA	0
cg15677355	0.747433377087691	OTUD6A	X	69282357
cg15679095	0.854716116798158	KIAA0240	6	42789053
cg15679098	0.921262069941179	RAPSN	11	47470674
cg15679651	0.639717226984683	MAP4K1;EIF3K	19	39108529
cg15680574	0.0326879107551811	NA	NA	0
cg15681351	0.0420950315942026	UPF3B	X	118987163
cg15683488	0.0343003551077906	ZFYVE9	1	52607471
cg15683743	0.0327484359381252	SPPL2A	15	51057417
cg15684563	0.571896272710689	TSPAN8	12	71552188
cg15686608	0.806427031057047	DAB2IP	9	124461008
cg15687659	0.0130709361404451	RAB7A	3	128445120
cg15688767	0.0719145653485878	ZNF148	3	125093330
cg15690721	0.035930701003326	ZNF85	19	21106016
cg15691199	0.824056160026203	CEBPE	14	23589419
cg15691649	0.963315233678084		6	25882328
cg15691841	0.0169723212766144	ZNF687	1	151255071
cg15692239	0.01266077320057	ALDOC	17	26903955
cg15693363	0.0138188406100136	GARS	7	30634239
cg15693736	0.978759523000211	GRTP1	13	114009512
cg15694180	0.0122993318352637	ADAM15	1	155023435
cg15696627	0.0172611271514805	MSX1	4	4861183
cg15696781	0.0174347097505093	NA	NA	0
cg15698196	0.518329521443412	CAPN12	19	39236354
cg15699524	0.753196841244214	FGF18	5	170845610
cg15700197	0.136886745387886	OR10J1	1	159409207
cg15700739	0.181338176748836	HOXC4;HOXC5	12	54427700
cg15701111	0.80429593786949	KRT81	12	52685334
cg15701622	0.0207159244313201	MCRS1	12	49962302
cg15702701	0.147179644357866	METTL7B	12	56075367
cg15703357	NA	NEURL3	2	97171449
cg15703512	0.0336622621814871	C16orf65	16	22012565
cg15703690	0.352094296191866	IL6	7	22766992
cg15705469	0.0211967125040364	ZNF71	19	57106714
cg15705999	0.0270080341384792	ZNF148	3	125093863
cg15707568	NA	ATP5J;GABPA	21	27108736
cg15711744	NA	ANP32D	12	48866138
cg15712267	0.711785669436362	DNAJB1	19	14629905
cg15713086	0.0491582594104501	C20orf108	20	54933689
cg15714041	0.0328640665851923	ACO1	9	32384344
cg15717808	0.0135042258849825	KCNQ5	6	73331652
cg15720064	0.620440272318592	FAM9C	X	13062833
cg15720535	0.85561184745346	AGPAT2	9	139582585
cg15721424	0.0370866544431257	ALG8	11	77850393
cg15722679	0.215715942690968	SIRPG	20	1638393
cg15725808	0.0335089614873636	TAF6L	11	62538738
cg15725933	0.0196998866603357	SLC19A1	21	46962202
cg15726245	0.927138533611535	GPR12	13	27333506
cg15727249	0.704327400463062	APOA4	11	116693415
cg15727320	0.914668100057486	P11	12	48118973
cg15729423	0.0174390312065671	PTGR2	14	74318413
cg15729869	0.0145875189483442	NA	NA	0
cg15731815	0.697652137920319	RNF207	1	6269260
cg15733266	NA		2	118775305
cg15733507	0.0188001433233021	C9orf140	9	139965275
cg15736165	0.462724807135548	BNC1	15	83951732
cg15736336	0.942241706596607	PLCZ1;CAPZA3	12	18891214
cg15736338	0.0202436801347756	FAM19A2	12	62586425
cg15737168	0.954192596577766	TECTA	11	120974095
cg15737319	0.0530096837390906	MTHFD2	2	74425763
cg15738916	0.0361394802259161	MAP4K4	2	102314495
cg15739437	0.167281876543277	TSLP	5	110407538
cg15739581	0.920520594517398	GALNT3	2	166626783
cg15739944	0.0284056038151613	HABP4	9	99212660
cg15740366	0.0553350271875168	IMPDH1	7	128049868
cg15740508	0.830608532974253	AMPD1	1	115238559
cg15741583	0.617952256546913	HPX	11	6461908
cg15741706	NA	CXorf48	X	134306406
cg15742700	0.916645510770882	BLK	8	11350853
cg15743985	0.838730756924085	CD22	19	35819809
cg15746187	0.612631010509014	FBXO2;FBXO44	1	11713123
cg15746445	0.265626885272548	TRPM8	2	234824933
cg15746620	0.458128396120192	EMR3	19	14785849
cg15746719	0.494010172642438	DAPK1	9	90113813
cg15747133	NA	THOC1	18	268601
cg15747595	0.172482573125947	TSPYL5	8	98289880
cg15747933	0.0625174721811103	NMI	2	152146478
cg15748507	0.619902706494419	PRLHR	10	120354627
cg15749322	0.0174660039863842	ANKRD42	11	82905199
cg15749748	0.0774871586942894	GATA5	20	61050560
cg15749858	0.130732815148721	MACC1	7	20256996
cg15750102	0.0140156275052757	AIMP1;TBCK	4	107237686
cg15750705	NA	GJB4	1	35226707
cg15751406	0.975120241912039	ZNF558	19	8934543
cg15752043	0.116423804206505	NANOS1	10	120789955
cg15753381	0.0452556614474015	TAF13	1	109618580
cg15753757	0.0183628197082295	NA	NA	0
cg15754084	0.136539397665529	PEX5	12	7343020
cg15754109	0.0222262933814444	COPS5	8	67974431
cg15755084	0.0134346373781867	MSX1	4	4861683
cg15755406	0.0223681309642724	CCDC130	19	13859137
cg15755548	0.031445536195487	ARHGDIG	16	331050
cg15756091	0.704534172016132	RGSL1	1	182419655
cg15757271	0.0169725095781882	WNT5A	3	55521789
cg15758700	NA	IFLTD1	12	25707667
cg15759055	0.0333861470582594	NA	NA	0
cg15759873	0.918422932350587	ATP6V1E2	2	46746934
cg15760840	0.376640834961333	HOXA11AS;HOXA11	7	27225222
cg15760943	0.069497135728014	ETV5	3	185827402
cg15761233	NA	C2orf60;C2orf47	2	200819070
cg15761405	0.255655376270761	FCRL2	1	157746405
cg15764655	0.941564304582495	SBF1	22	50914909
cg15765212	0.0310619290061161	BAT2	6	31589161
cg15765532	0.0241254788449489	C11orf30	11	76156397
cg15765694	0.268495341082687	PPP3R2;GRIN3A	9	104358101
cg15765896	0.0161751814100511	SPRYD3	12	53472985
cg15767406	0.0236390799522898	ZNF660	3	44626029
cg15768203	0.0662509750158948	PPIG	2	170440722
cg15768270	0.0234857027089857	NUDT22;TRPT1	11	63993915
cg15769409	0.050973387403762	KIAA0649	9	138372274
cg15770654	0.889887714406714	MIIP	1	12078821
cg15772361	0.8380781535472	SERPINB3	18	61328223
cg15772393	0.0118615023322641	SAP30	4	174292144
