Hybridization REF	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05	TCGA-E2-A14W-01A-11D-A12E-05
cg14934821	0.729378228504443	GPSM1	9	139228820
cg14939652	0.0158820469374181	NPAS3	14	33407765
cg14939691	0.0303326765212071	TKT	3	53289981
cg14940420	NA	IQCF2	3	51895692
cg14942312	0.458150536210008	GPR119	X	129519061
cg14944269	0.192381201903261	RAB15	14	65439602
cg14944362	0.116573243648609	PDYN	20	1974924
cg14946299	0.0522948789345873	ZNF273	7	64363590
cg14947494	0.0141065903621246	BRP44L	6	166796284
cg14948436	0.834209409478075	KCNK16	6	39290159
cg14948822	NA	MPV17	2	27545006
cg14949649	0.0321228466670681	UBE3B;KCTD10	12	109915082
cg14950072	0.274920214446786	LAMA1	18	7118122
cg14951292	0.318711623158546	HMOX2;NMRAL1	16	4525986
cg14951734	0.00748222284107736	CCNYL1	2	208576279
cg14957086	0.165371790327403	NA	NA	0
cg14958018	0.861609269986377	NKX6-3	8	41505042
cg14958635	0.667622011229822	NEUROG1	5	134870977
cg14958889	0.0231152174980817	GPR153	1	6320471
cg14959707	NA	ZC3H7A	16	11876391
cg14960043	0.0323052568279483	DEF6	6	35265624
cg14961385	NA	SPAG4	20	34204167
cg14961550	0.0237284983939188	MCM3	6	52149751
cg14962548	0.0108043185572527	EIF5B;TXNDC9	2	99952717
cg14962776	0.117808690923039	TRAPPC2;OFD1	X	13753381
cg14963371	0.0449274296255885	GPR3	1	27719463
cg14963897	NA	ROMO1;NFS1	20	34288750
cg14964658	0.0161500193793051	PEX19	1	160255030
cg14966252	0.0309525521907132	ZNF622	5	16466459
cg14967066	0.156695157245301	IFITM1	11	314341
cg14967972	0.0526263366475648	PANK1	10	91405265
cg14971781	0.0375281535047808	ACBD3	1	226374753
cg14972143	0.0198765031579901	EIF4E	4	99851003
cg14972271	NA	CAPN2	1	223899736
cg14973995	0.0410145494230432	MFSD10	4	2935692
cg14974772	0.0299826164421932	FBLN5	14	92414425
cg14975238	0.829821539879521	BHLHA15	7	97841591
cg14976276	0.0100692264121017	NEU1	6	31830630
cg14981132	0.0486660783257617	HNRNPA1;HNRPA1L-2	12	54675468
cg14982472	0.196180093279372	ABCG1	21	43619651
cg14984307	0.0391107147623104	ACYP1	14	75530737
cg14984920	0.039727571070503	CYCS	7	25164393
cg14986136	0.0683207711064666	WBP5	X	102611253
cg14986420	0.0769644275640701	YIPF6	X	67718299
cg14987922	0.0153403899075667	STRN	2	37194071
cg14988503	0.0136992517858383	CDKL2	4	76555547
cg14989191	0.0274299000472512	SEZ6L2;ASPHD1	16	29912071
cg14990333	0.0239592608331645	ZNF221	19	44455383
cg14991487	0.677166142016134	HOXD9	2	176987404
cg14992108	0.471057455082297	SNTB1	8	121825470
cg14992253	0.0200024642944318	EIF3I;C1orf91	1	32687567
cg14993293	0.0422960215884108	CETN3	5	89705579
cg14996805	0.0163305590908801	SUPT4H1	17	56430170
cg14998713	0.0269098948447252	ETS1	11	128391908
cg15001372	NA	GCK	7	44229892
cg15001381	0.0329986112975161	AXIN1	16	403314
cg15002187	0.0204937292530032	SLC37A3	7	140098492
cg15002204	0.0992148945763165	CENPQ;MUT	6	49429719
cg15002214	0.0119096142544259	NOG	17	54670370
cg15003158	0.0192523991591271		5	68628431
cg15003434	0.109724311823101	SURF6	9	136202985
cg15005385	0.236459716563192	NA	NA	0
cg15006396	0.0455233072864802	FAM55C;NFKBIZ	3	101546859
cg15006973	NA	GJA4	1	35258933
cg15008991	0.0201811594007591	ZNF673	X	46306863
cg15009698	0.0983005843471123	AP3B1	5	77590494
cg15009813	NA	TNFSF12;TNFSF12-TNFSF13	17	7451883
cg15010067	0.0212526609338344	MRPL54;APBA3	19	3762973
cg15010390	0.0355950777244763	NDUFC1	4	140216957
cg15013019	0.109684933830651	LYL1	19	13213451
cg15014034	0.0200253719152449	MAOA	X	43515544
cg15014458	0.039745477668673	LYPD3	19	43969810
cg15014549	0.0213540243023642	SLC47A1	17	19437003
cg15016234	0.0158829775120295	TRIM62	1	33647028
cg15016628	0.1682202744158	BRS3	X	135570188
cg15018760	0.0178903776247908	TYMP;SCO2	22	50964374
cg15019617	0.0531645019251272	IFIT1	10	91152447
cg15020645	0.0178239214195945	APC	5	112073769
cg15021292	0.792801161503864	PIK3R1	5	67521596
cg15021531	0.0770329425421197	DDIT3	12	57913928
cg15025769	0.0147472197696359	MYO9A;SENP8	15	72410003
cg15028436	0.534880733463186	TXNDC3	7	37888078
cg15031780	0.00918022782452922	PEX14	1	10535585
cg15032239	0.020022927492474	CYFIP1	15	22891954
cg15034135	0.0138991252456996	ADAMTS19	5	128796168
cg15034763	0.031891088532974	TMEM59;C1orf83	1	54519040
cg15035273	0.0170768475101944	PAN2	12	56727511
cg15035713	0.0129591234059617	TEP1	14	20881570
cg15037004	0.123216667805449	ZNF366	5	71803938
cg15039399	0.0110335699752254	CDK2AP2	11	67275985
cg15041659	0.0117848105508098	ZBTB40	1	22778527
cg15042080	0.0128239890361804	TMEM74	8	109799756
cg15042385	0.0287615609601798	URGCP;UBE2D4	7	43966260
cg15042806	0.018882822280186	DCTN5;PALB2	16	23652268
cg15043057	0.492904149290792	CTPS	1	41444788
cg15043801	0.0196022300175867	DNMT1	19	10305911
cg15043975	0.0940523621234437	RASSF1	3	50375252
cg15044041	0.696705226374956	WDR52	3	113160313
cg15044073	0.0240706696394231	SWAP70	11	9685299
cg15045441	0.0118761554548203	C6orf155	6	72130432
cg15046675	0.876118205781401	CD37	19	49838777
cg15046693	0.627679661233163	CEBPG	19	33863876
cg15046735	0.00990065848841233	ALKBH1;C14orf156	14	78174352
cg15047833	0.0377596357037208	POLR2C	16	57496411
cg15050111	0.020471851170669	GRHL3	1	24645850
cg15051063	NA		3	142893947
cg15052335	0.833780733671776	LPIN2	18	3011810
cg15052901	0.279470168431418	NA	NA	0
cg15054260	0.0149347986225226	RIPK2	8	90769710
cg15055101	NA	SH2D3A	19	6766609
cg15056107	0.01089164788541	NUP133	1	229644037
cg15056247	0.0166291536221518	DSE;TSPYL1	6	116601073
cg15056412	NA	NECAB3	20	32262523
cg15057581	0.0067022079741161	SIRPA	20	1875084
cg15057726	0.0373992736246769	MCM2	3	127317466
cg15059511	0.0173021217510934	ZFYVE19;DNAJC17	15	41099719
cg15059932	0.0372170092019265	ZNF236	18	74535233
cg15060177	0.0143892553095939	SACM1L	3	45731018
cg15060813	0.133594854337323	LRFN3	19	36428308
cg15061008	0.0246258049055972	CABIN1	22	24407907
cg15062535	NA	ZNF610	19	52847933
cg15062795	0.0169115974787026	ETV6	12	11802217
cg15065896	0.0187629904768001	GOLGA4	3	37285038
cg15068733	0.138634491867248	FGF11	17	7342846
cg15070798	0.0382905376146668	WDR24	16	740561
cg15071391	0.764726731501469	MTMR6	13	25862639
cg15075170	0.0142142594682556	TMEFF1	9	103236030
cg15075718	0.7035426283164	NA	NA	0
cg15076218	0.0175138666603837	PIK3R3	1	46599002
cg15076659	0.112490335851684	SLC9A1	1	27481857
cg15077070	0.250480343673729	IL1RL2	2	102803290
cg15077637	0.0346153490503613	EFTUD2;CCDC103	17	42977401
cg15078027	0.0193582066469907	NA	NA	0
cg15078479	0.0106754347706424	PARP2;RPPH1	14	20811808
cg15081561	0.748017607666531	CCDC102B	18	66504226
cg15082782	0.928184280458066	NA	NA	0
cg15083227	0.0334471065125691	NA	NA	0
cg15083233	0.305309974753213	PALM2-AKAP2;AKAP2	9	112810402
cg15085805	0.0192148871196338	LSM4	19	18433592
cg15087147	0.0158886859221494	SND1;LRRC4	7	127672169
cg15089387	0.0663823071475146	TSLP	5	110406661
cg15089487	0.0262376462925177	LRRC49;THAP10	15	71185252
cg15091337	0.0225439443445806	POLE4	2	75185439
cg15091410	0.390630431597289	NA	NA	0
cg15092544	0.00729013058872077	NA	NA	0
cg15092802	0.58644295572197	NA	NA	0
cg15094912	0.0144599649732643	POFUT2;LOC642852	21	46707781
cg15095327	0.291104973167981	IL17RE	3	9944512
cg15096123	0.82097535833171	KLK4	19	51413937
cg15096140	0.178585112123479	MYO1B	2	192109731
cg15097876	0.011592082384199	PPA1	10	71993604
cg15098690	0.0369208543853241	ZNF330	4	142141984
cg15100639	0.0315367909819777	BAT5	6	31671037
cg15101633	0.381123087170787	MEG3	14	101293726
cg15103426	0.0156415240762818	CCDC117	22	29168792
cg15103675	0.00653391386768184	UAP1	1	162531519
cg15104484	0.0138998330263622	PEX26	22	18560503
cg15105081	0.041152193758875	C11orf67;RSF1	11	77532226
cg15105660	0.0366166134177145	CLDN1	3	190039935
cg15105703	0.0559920750545422	DUOX1;DUOXA1	15	45421860
cg15105987	0.493303853299399	NA	NA	0
cg15107670	0.495309786258698	WT1;WIT1	11	32456759
cg15109207	NA	PLA2G4C	19	48614773
cg15109571	0.0664764355376712	SUFU	10	104264023
cg15111734	0.0335508884875615	FGFBP3	10	93668914
cg15113803	0.901243270503621	RHO	3	129247119
cg15118204	0.161236788476343	MAFG;SIRT7	17	79876231
cg15118503	0.0396123545998592	AHSA2	2	61404861
cg15119375	0.0112702971711201	C16orf67	16	31712039
cg15120247	NA	C1orf54	1	150244045
cg15120497	NA	TRH	3	129692899
cg15120925	0.199453845121379	RASAL1	12	113573809
cg15120942	0.490477662993515	PLCD1	3	38071578
cg15121304	0.867983343680385		22	22380100
cg15125424	0.0386142397236075	SOCS2	12	93963354
cg15125472	NA	HSPB6;C19orf55	19	36248077
cg15125634	0.0286270218149836	RAB11A	15	66161842
cg15127324	NA	ARAP2	4	36246442
cg15127733	0.757811390393326	HSPA12B	20	3713584
cg15127806	0.018322909581411	MRPL42	12	93861418
cg15128849	0.0235942648878619	HHLA3;ANKRD13C	1	70820718
cg15128898	0.0234074196243019	SPEF2	5	35618029
cg15129294	0.140940886590066	NA	NA	0
cg15133363	0.0158865203437783	C7orf68	7	128096265
cg15133917	0.270217678278104	TTN	2	179672637
cg15134628	0.0175315692011055	MAPK12	22	50699649
cg15134649	0.0156201086963388	MT1E	16	56659336
cg15139737	0.0265049032777499	C8G;FBXW5	9	139839391
cg15140807	0.926988998535299	LOC388387	17	41051210
cg15142488	0.968258508628363	LYPD4;DMRTC2	19	42348947
cg15143643	NA	FBLN1	22	45897773
cg15144793	0.00614057503977658	SH3BP4	2	235861303
cg15146720	0.0758587920973306	GALNT11	7	151722621
cg15146752	0.208664315935696	EPHA2	1	16482767
cg15147435	0.0135205954531518	FKBP11	12	49319453
cg15147516	0.25244157248915	MIXL1	1	226411868
cg15147545	0.0132079864615375	ITGB1	10	33247604
cg15149098	NA	SULT2B1	19	49055027
cg15149645	0.0185112646376657	NUPR1	16	28550619
cg15149938	0.23372840389382	C22orf34	22	50018392
cg15153383	0.0189522276883484	KATNB1	16	57770620
cg15154229	0.745279795107781	CPA1	7	130020011
cg15156078	0.214496786734713	RASGRF1	15	79383413
cg15156367	0.373135539434088	EPHX4	1	92495004
cg15156836	0.0679393467766058	SEPN1	1	26126415
cg15156844	0.984153518326085	DLGAP1	18	3880020
cg15157837	0.0105096275643444	CNNM3	2	97482059
cg15158783	0.0509237046155928	PF4	4	74847646
cg15160312	0.00764391397466262	DLG1	3	197025201
cg15160445	0.633596857073468	GNAS;GNASAS	20	57426749
cg15160742	0.0363541875252505	PPPDE1	1	244817222
cg15161055	0.0176121037239487	ECSIT	19	11639555
cg15161785	0.0102622791545528	ADI1	2	3523134
cg15164103	0.217754445633288	MEST	7	130126871
cg15164958	0.0442646088370684	VSTM2A	7	54609587
cg15165084	0.00809633141819846	GRAMD3	5	125759291
cg15166050	0.968346073974658	LCTL	15	66857133
cg15166089	0.745387647317374	CD164L2	1	27710030
cg15167433	0.0379944905769457	XRCC1	19	44079985
cg15169162	0.908221253692009	PRPH2	6	42690308
cg15170424	0.0099179042085887	TMEM55A	8	92052897
cg15170903	0.0134885439054522	NA	NA	0
cg15171237	0.947183315561373	CASP3;CCDC111	4	185571958
cg15173196	0.0180041357508777	UBE2T	1	202311278
cg15175266	0.355080728197881	CDH12	5	22854704
cg15175577	0.0240602762961839	C22orf28	22	32808177
cg15177359	0.144311499602929	UNC13D	17	73840750
cg15177917	0.213923994019025	DAND5	19	13080409
cg15178040	0.889667491622987	GSTA5	6	52711494
cg15182360	0.0569386111017325	PCDH20	13	61989737
cg15183083	0.0503528648758316	KCNA4	11	30038310
cg15185001	0.0282619739496131	LSR	19	35739448
cg15185286	0.0162066380329638	AIG1	6	143381675
cg15185794	0.0253686119882824	PADI2	1	17446087
cg15185804	0.0222195496492436	PGM3;RWDD2A	6	83902498
cg15186584	0.947260929871864	C9orf24	9	34397651
cg15186869	0.0865470287148878	UBR7;C14orf142	14	93673274
cg15187606	0.908588617466915	PDZK1IP1	1	47656853
cg15188491	0.0865393619332904	PRKAB2	1	146644106
cg15188688	NA	CDC45L	22	19468342
cg15191648	0.644017638187001	SALL3	18	76740262
cg15195276	0.0162346126415771	LPAR1	9	113799936
cg15195353	0.810427131431583	GLIS2	16	4382775
cg15195412	0.408006068240209	CX3CL1	16	57406955
cg15198335	0.016743434268569	DIS3L	15	66586003
cg15200096	NA	KCND1	X	48829104
cg15201291	NA	CYP2C8	10	96830102
cg15201599	0.0171040919192991	COG3	13	46039584
cg15201635	0.010752468761011	SMPD3	16	68482637
cg15201877	0.0310572294191246	PTGER3	1	71512973
cg15201909	0.831966873879229	IL2RG	X	70331961
cg15202954	0.113531844087177	NALCN	13	102068996
cg15205507	0.0506822042547953	ZNF331	19	54024323
cg15206330	0.013179841871757	TP53;WRAP53	17	7591591
cg15206445	0.398088167266364	SPG7	16	89573312
cg15207619	0.081336977313691	CAB39L	13	49975643
cg15207953	0.651142301696634		20	29522467
cg15209169	NA	RABGAP1	9	125702779
cg15210427	0.336078305693677	CST9L	20	23548991
cg15210596	0.0266639734930464	SCCPDH	1	246887325
cg15210999	0.39814100176728	DTNBP1	6	15663538
cg15211655	0.0097386847678909	OSBPL1A	18	21977340
cg15211677	0.0777048071559388	WBP5	X	102611451
cg15212440	0.0203736430215451	SFXN2;ARL3	10	104474465
cg15213605	0.0580690332225592	COG4;SF3B3	16	70557485
cg15214092	0.054527873179254	MRPL12	17	79670496
cg15214137	0.0196785433869108	PGM2L1	11	74109221
cg15215114	0.0232193348469321	C17orf61	17	7307419
cg15219393	0.0196529065465037	PPARGC1B	5	149109878
cg15222604	0.798203340263631	HCFC1	X	153230625
cg15223781	0.0576331008439537	FER	5	108083895
cg15225105	0.0126744681573462	SAC3D1	11	64808343
cg15226751	0.931416991226665	LZIC	1	10001911
cg15227610	0.788243475120732	HSPB2;CRYAB	11	111782016
cg15227982	0.02163288749041	C10orf26	10	104535854
cg15228639	0.308560211563643	PLA2G4E	15	42289939
cg15229026	NA	UBAC1	9	138853493
cg15230273	0.33986047022342	EFNA5	5	107006413
cg15231886	0.0114832285366879	UTP14A	X	129039863
cg15232450	0.0276551432533054	SETMAR	3	4345438
cg15233681	0.569866069640671	IL1R1	2	102770602
cg15234096	NA	LIX1	5	96479253
cg15235185	0.0128572174389616	TROVE2;UCHL5	1	193028809
cg15235832	0.108966926811704	ACTR2	2	65455536
cg15236866	0.11357818312256	DLX1	2	172948825
cg15238200	NA	TRIM65	17	73893634
cg15238224	0.102956305053426	TRIM31	6	30081408
cg15239123	0.489425243371295	SMOC1	14	70346413
cg15239579	0.0827726195769772	TRAP1	16	3767978
cg15239703	0.0237653254077591	CBR4	4	169931051
cg15240064	0.0462294072504379	ZNF12	7	6746837
cg15241084	0.227111125842649	TLR7	X	12886121
cg15241708	0.202914983107616	CNOT6	5	179920582
cg15242570	0.140049330784383	CTSL1	9	90341048
cg15243024	0.0221211858136257	NRBP1	2	27651571
cg15247031	0.248680412313347	C14orf126	14	31926564
cg15247144	0.0102480249758573	PYCARD	16	31213730
cg15248035	0.681097030650716	CCIN	9	36169949
cg15248979	0.017541157399485	USP37;RQCD1	2	219434002
cg15249164	0.0107168075152326	ATP5O	21	35288186
cg15250507	0.0614228257162659	C1orf106	1	200860365
cg15250797	NA	SCTR	2	120281526
cg15253243	0.0133251211304223	TMEM198;CHPF	2	220408791
cg15253672	0.0125293419891662	SPR	2	73114960
cg15256539	0.0099148884966046	BCKDHB	6	80816434
cg15257765	0.0407004269906677	MRPS11;MRPL46	15	89010459
cg15258980	0.706347666314434	ARHGAP25	2	68961597
cg15259973	0.031397929233831	DSG2	18	29078565
cg15260250	0.00861189560244729	AP3S1;ATG12	5	115177504
cg15261665	0.233580233973579	LTF	3	46506374
cg15262516	0.137152687016813	COL4A1;COL4A2	13	110958418
cg15262928	0.0393103916504146	TIMM17A	1	201924572
cg15262984	0.0253536562458973	URGCP;UBE2D4	7	43965648
cg15264255	0.0532127745574648	NIPAL2	8	99306718
cg15264273	0.852208563847409	ZNF169	9	97040460
cg15264303	0.0843736032225855	LRRC23	12	7013902
cg15264808	NA	CENPN;C16orf61	16	81041398
cg15269294	0.0209035956048285	NUP155	5	37371053
cg15269863	0.0486086554110777	PRSS35	6	84222360
cg15269875	0.396570738561665	H19;MIR675	11	2018018
cg15270851	0.0358964456534713	CARS2	13	111358291
cg15270950	0.0230897557065385	TGFBR2	3	30648819
cg15271594	0.0399018364526285	RPL29	3	52029932
cg15271616	0.049833262116285	RUSC2	9	35490515
cg15272684	0.556586355127786	KIAA0319L;NCDN	1	36024473
cg15272690	0.0195101365738506	CCDC113	16	58284024
cg15275890	0.89498183517661	SLC25A17	22	41216316
cg15277108	NA	SDS	12	113842998
cg15278682	0.913814521597791	TACR2	10	71175852
cg15278948	0.0128451014243923	ZFAND2B	2	220071103
cg15279364	0.479617469422637	TMEM130	7	98466963
cg15280964	0.0451825067177	RBM34	1	235324133
cg15284635	0.333638436709443	SLC6A11	3	10858504
cg15286372	0.0160678183062875	LRRC1	6	53659348
cg15286905	0.0793348809980258	ACBD5	10	27530250
cg15287183	0.102887067663229	NA	NA	0
cg15288179	0.00525802203042169	SUB1	5	32585739
cg15293750	0.0120258554652039	TRDMT1	10	17243266
cg15296858	0.893410230522418	PPM1G	2	27633235
cg15297650	0.814815583739903	TMEM163	2	135477056
cg15298323	0.344051968398188	ACAT2	6	160182438
cg15298545	0.757431128905286	ERI2;LOC81691	16	20816476
cg15298594	0.0153202638696957	NBAS	2	15701366
cg15299463	0.014243029403086	TEAD2	19	49865398
cg15299721	0.00974966258069883	NHEDC2	4	103997510
cg15300989	0.0196364876405662	SIP1	14	39583430
cg15301525	0.0106031406920485	ATP6V0D1	16	67515344
cg15301694	NA	STRN3;AP4S1	14	31496854
cg15301700	0.0261922127930563	SCRT1	8	145560531
cg15302379	0.329264660283651	KAZALD1	10	102821848
cg15302567	0.0316636673513888	NA	NA	0
cg15303841	0.561176744313045	RFPL1S;RFPL1	22	29833804
cg15304928	0.0121522391004075	TMEM9	1	201123562
cg15305343	0.00909648017077395	NSUN4	1	46806357
cg15305511	NA	EVC2;EVC	4	5712676
cg15307169	0.0124629108116929	DOK7	4	3465064
cg15307268	0.0314073463071192	GPR176	15	40213409
cg15307449	0.637624755280265	NA	NA	0
cg15308737	0.749564315535396	ARSG	17	66303328
cg15309006	0.512203600153827	CHP2	16	23766116
cg15309066	0.00757477141363161	NA	NA	0
cg15309223	0.019604054552129	TMEM59;C1orf83	1	54519091
cg15309236	0.679745079091888	BHLHB9	X	101975597
cg15309264	0.0256299571421498	VRK2	2	58274034
cg15309578	0.677350945773037	NA	NA	0
cg15310162	0.628819271510887	CLDN14	21	37852822
cg15310873	0.41364814341976	C20orf85	20	56726093
cg15311933	0.0132655744209952	PQLC2;AKR7A2	1	19638897
cg15312298	0.165983225799339	FAM84B	8	127570908
cg15312323	0.542779055186869	KRTAP4-4	17	39317694
cg15315630	0.0123393676899118	ZMYM6	1	35497506
cg15316289	0.762787200825345	ALG12;CRELD2	22	50310904
cg15316334	NA	CEACAM5	19	42211252
cg15317267	0.390899452660751	H19;MIR675	11	2018247
cg15318532	0.00967087361615971	RFXAP	13	37393521
cg15319076	0.0146726844626654	DCTN6	8	30013987
cg15319451	0.0391219762889736	TMEM51	1	15480748
cg15319457	0.00822016236206594	HES6	2	239148132
cg15320474	NA	UBD	6	29528005
cg15321195	0.0319366974160599	AGPAT3	21	45285898
cg15321211	0.100865877074852	HNRNPF	10	43905515
cg15322932	0.0317760792834613	ALDH3B1	11	67777682
cg15329467	NA	CYP19A1	15	51630696
cg15329483	0.336267807494626	SSX7	X	52683974
cg15329642	0.240263121234237	PTCH2	1	45308298
cg15329866	0.724147406605714	PLD1	3	171455826
cg15331039	0.0102025613758725	SH3BGRL2	6	80341283
cg15334028	0.0575889862754056	MIR638;DNM2	19	10829162
cg15337006	0.886891937751441	ITGAM	16	31271009
cg15337055	0.0133791931841466	FOS	14	75745358
cg15337897	0.0234021198101741	FGF3	11	69634400
cg15339605	0.1288378020927	TFEC	7	115670795
cg15341340	0.0315716944813403	DNASE2	19	12992237
cg15341760	0.867671620368332		1	6297890
cg15342384	0.0146347543908501	HNRNPH3;PBLD	10	70091938
cg15343119	0.610841571172589	GALR1	18	74961785
cg15344028	0.909075509715722	ICOS	2	204801510
cg15344726	0.665588070493582	GJA3	13	20717346
cg15345126	0.0238528266437965	RAB27A	15	55582248
cg15348640	0.0117484097632576	ACAA1;MYD88	3	38179985
cg15348799	0.0111486491896789	SKIL	3	170075452
cg15350036	0.178957115967361	CROT;TP53TG1	7	86973677
cg15350194	0.203603717232512	NA	NA	0
cg15350455	0.0568759257276813	C2orf44	2	24270357
cg15352315	NA	CD302	2	160655036
cg15352829	0.778588296096582	PLD4	14	105391018
cg15357518	0.0222136437010575	RBM42	19	36120356
cg15357639	0.929283626258321	OGG1	3	9790443
cg15357945	NA	PRG2	11	57158361
cg15359413	NA	FIGNL1	7	50517931
cg15361231	0.148423726441501	GLRX2	1	193075191
cg15361590	0.134319676244503	PCDHGA4;PCDHGC3;PCDHGA12;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC4;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140864701
cg15361750	0.628796911072207	GPR77	19	47839132
cg15364303	NA	ROR1	1	64239391
cg15364537	0.0191296182060388	MFSD4	1	205538310
cg15364618	0.0245729805729682	LTB4R2;CIDEB;LTB4R	14	24780551
cg15365950	0.0116146093335349	KLHDC1	14	50160307
cg15368822	0.0326940526483776	TMEM63A	1	226070397
cg15371509	0.0207804515629404	INTS3	1	153700650
cg15372098	0.0194611364634784	C3orf26;MIR548G	3	99537053
cg15373285	0.431967296217532	MEG3	14	101293090
cg15373633	0.0359002264797806	DACH2	X	85403474
cg15374234	0.307494483993766	CD300LF;RAB37	17	72709026
cg15375239	0.00617176060857611	SPINT2	19	38755287
cg15375586	0.0118555403408659	TBX22	X	79277933
cg15376097	0.108836588242547	MPZL2	11	118135270
cg15377518	0.0505579026297285	ZEB2	2	145278113
cg15377649	0.016715470523398	ACTN4	19	39138400
cg15378655	0.0587766862087497	NA	NA	0
cg15379237	0.0230467461209475	B4GALT2	1	44445539
cg15379633	0.519048406998816	RAB36	22	23487586
cg15379858	0.479207637440879	CSGALNACT1	8	19540466
cg15379887	0.0646649364594442	CGGBP1	3	88107415
cg15381313	0.525658630953658	NR1H4	12	100867509
cg15381769	0.0123000789794245	PTPRK	6	128841972
cg15383087	NA	ZFP82	19	36910144
cg15383120	0.0213428006352227	DUSP22	6	291909
cg15383392	0.0327755299780695	CTTN	11	70244691
cg15383574	0.0290418158496341	ATP5S;L2HGDH	14	50779169
cg15384392	0.0136255061022019	ARHGAP1;ZNF408	11	46721921
cg15384599	0.105022764932619	SETMAR	3	4344887
cg15384717	0.0529941139879009	PRPF3	1	150294084
cg15385623	0.218328428847676	THRB	3	24536309
cg15387123	0.109363128156462	CLIC3	9	139891058
cg15389153	NA		3	42819341
cg15392792	0.0194583232073103	MIR638;DNM2	19	10829173
cg15394409	0.0124171813422676	TMEM111	3	10028474
cg15396310	0.0134222797842189	BCL7B	7	72971398
cg15396367	0.0341988703607016	UAP1L1	9	139972779
cg15397506	0.0114461717032051	LOC93622	4	6675881
cg15398448	0.00865095599547262	PTOV1	19	50353971
cg15398520	0.151007122869752	LPAL2	6	160932709
cg15399561	0.0112815282316939	POP1;HRSP12	8	99129939
cg15401952	0.0354314032088093	KCNIP4	4	21305805
cg15403517	0.0955338528580231	SRD5A2	2	31806275
cg15407570	0.651840884602284	STAB1	3	52529524
cg15408407	0.103271805228953	RPS15	19	1438438
cg15408454	0.356463259508852	NA	NA	0
cg15409266	0.579225856546595	NA	NA	0
cg15410903	0.0137160951413024	GSTO2	10	106028780
cg15411984	0.0198609738694909	LRRC23	12	7014090
cg15413566	0.132269097247817	ICA1	7	8301971
cg15414833	0.0126862161463014	RUNDC3B;ABCB1	7	87257767
cg15415507	0.116017458839071	EPHA2	1	16482553
cg15415509	0.0450441991465863	ADRB2	5	148205614
cg15415545	0.0152410492416895	GIYD1;SULT1A3;GIYD2;BOLA2B;BOLA2;SULT1A4	16	30206046
cg15416233	0.00647644955807793	PAX2	10	102505266
cg15416577	0.0177736183853149	CCDC52	3	113234093
cg15417244	0.798753278621372	PDZRN4	12	41831558
cg15417900	0.0178041694344223	PAN2;CNPY2	12	56710096
cg15419274	NA	WFDC3;DNTTIP1	20	44421026
cg15422147	0.423400807836713	SERPINB5	18	61144339
cg15422784	0.818141529475765	LRRC8B	1	90023713
cg15423613	0.0240143843456729	KCTD7	7	66093349
cg15423764	0.727537303089029	GLYAT	11	58499533
cg15423862	0.945157108726952	KCNAB1	3	155838109
cg15425280	0.0489712354423045	GRIA2	4	158141492
cg15425811	0.236052183893847	C22orf27	22	31318181
cg15426734	0.0150317285621537	PARD6A;ACD	16	67695272
cg15427448	0.0254047770738822	BACE1	11	117186896
cg15427567	0.126946144248895	METT11D1	14	21458055
cg15427656	0.0676991155948793	FAM149B1;ECD	10	74928123
cg15427774	0.030061591977301	GORASP1;TTC21A	3	39149258
cg15428653	0.054400478995371	ABCA2;C9orf139	9	139923402
cg15430659	0.911659984776689	CNNM1	10	101090558
cg15431576	0.0831333432749981	MORN4	10	99393007
cg15432938	0.0380109267159597	FRAT1	10	99078812
cg15433631	0.0115829676411262	NA	NA	0
cg15434599	0.0561113091416443	MDM2	12	69201663
cg15435730	0.0222839185442861	TFAP2D	6	50680222
cg15437432	NA	TMED9	5	177018986
cg15439078	0.816159385207753	MYL3	3	46904643
cg15439196	NA	CNNM2	10	104676907
cg15439862	0.364956819239196	DSC3	18	28622593
cg15441973	NA	HNMT	2	138721317
cg15442534	0.0113621281723161	PDCD10;SERPINI1	3	167452763
cg15442702	0.0865674477690253	FGFR4	5	176514253
cg15443822	0.0202055355725256	ATP2A3	17	3867014
cg15444978	0.0262503762275134	MARK3	14	103851370
cg15445332	0.00955847223075973	MKNK1	1	47069792
cg15446391	0.625912564129703	WT1	11	32452370
cg15447479	0.0186009127853092	SMO	7	128828765
cg15447486	0.795776117846419	NA	NA	0
cg15448245	0.636784752429863	GGT5	22	24641654
cg15448599	0.932805038263797	C3orf45	3	50315748
cg15451100	0.0237634753282492	PSMB8	6	32812422
cg15452204	0.733470495286811	CDX1	5	149546471
cg15452426	0.0779372071058503	DFFA	1	10532230
cg15452573	0.0175596866861518	SNCA	4	90758843
cg15453943	NA	RAB9P1	5	104434827
cg15454483	0.0100806388251149	SNX12	X	70288604
cg15456206	0.0123528820968737	ZNF580	19	56152139
cg15457079	0.572961791542592	CPN1	10	101841816
cg15457899	0.586477091908374	SCN3B	11	123525665
