Hybridization REF	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05	TCGA-AR-A0U1-01A-11D-A112-05
cg12373771	0.0506888131549435	CECR6	22	17601381
cg12374431	0.0310269657248066	VAX2	2	71126953
cg12374577	0.796100576041696	NA	NA	0
cg12374721	0.131168260993292	C17orf93;PRAC	17	46799640
cg12376277	0.0296859749235938	TUG1	22	31365812
cg12376406	0.277270643332099	NA	NA	0
cg12377712	0.0160641824389206	ATP6V1G1	9	117349993
cg12378831	0.0643697953579504	ZC3H13	13	46626792
cg12379145	0.95285319169549	PRDM2	1	14030611
cg12379775	0.00734642629137863	NCRNA00176	20	62669791
cg12380764	0.697388933280483	IL19	1	206971195
cg12380854	0.629703532213478	LRRC46;MRPL10	17	45907760
cg12382902	0.009831830700105	CCND2	12	4383699
cg12382941	0.26956930590273	SYTL4	X	99986547
cg12384303	0.776024126717969	VGLL1	X	135613887
cg12385425	0.0584871852527066	TMEM17	2	62733576
cg12385643	0.801459951567019	UGT1A10;UGT1A9;UGT1A6;UGT1A7;UGT1A8	2	234600149
cg12387247	0.235219369333994	FCER2	19	7766974
cg12388309	0.0254715371510837	PAK7	20	9819805
cg12390946	NA	INPP5A	10	134351197
cg12391048	0.541021379422445	PRSS27	16	2770336
cg12391174	0.0316311350058588	SLC48A1	12	48167505
cg12391783	NA	NSMCE1	16	27269148
cg12391921	0.410674734573372	ITGB1BP2;BCYRN1	X	70521650
cg12392669	0.0312251428244226	NA	NA	0
cg12393697	0.0203793723909174	FAM171B	2	187558983
cg12397274	0.25302695282661	TINAG	6	54172183
cg12398332	0.0331009495074486	GPRC5B	16	19895651
cg12398397	0.0403695591613082	BPTF	17	65820969
cg12400041	NA	DST	6	56709328
cg12400881	0.0341607652195321	PPL	16	4987052
cg12402251	0.0230748715363853	CALB1	8	91094811
cg12402495	0.00648368497558809	C1orf43;UBAP2L	1	154192844
cg12403575	0.0221861563000698	TRADD;FBXL8	16	67194943
cg12405833	0.0247012891649389	RUNDC2A	16	12070719
cg12406417	0.0197220542642511	BCR	22	23522551
cg12406460	0.0199920417739997	ATP5L	11	118271996
cg12406559	0.0756861745373299	ZNF532	18	56530302
cg12408911	0.749958261636656	SLC7A5	16	87903671
cg12411068	0.012340896517025	SMARCA4	19	11072235
cg12412075	0.0153635595521646	LIN7B	19	49618425
cg12413566	0.871952839298588	XIRP1	3	39235366
cg12417299	0.0150036100062622	NEK4	3	52804560
cg12417466	0.565068862517871	ARPP-21	3	35683819
cg12419067	0.036795750362519	IL17RC;CRELD1	3	9975156
cg12420104	0.0700750720844499	DMRT3	9	977109
cg12421458	0.0178103163700919	HDGF	1	156722064
cg12422450	0.0529856093108418	CHGA	14	93389891
cg12422683	0.0264845024360007	MICAL2	11	12132611
cg12422968	0.0126209614000753	GCH1	14	55369088
cg12424817	0.0224637638252635	LAPTM4B	8	98787961
cg12424907	0.935837469589316	PRR4;TAS2R20;PRH1	12	11151522
cg12425673	0.0149143730549254	WNK1	12	862975
cg12426141	0.0730248262823622	TCF12;LOC145783	15	57210872
cg12428416	0.839902352083079	GJA3	13	20717597
cg12428447	0.808773006523892	SLC22A6	11	62753072
cg12428604	0.0197513840233091	PHTF2;TMEM60	7	77427426
cg12430845	0.0165867191653085	NIPBL	5	36876537
cg12431196	0.380274065176003	MAGEE1	X	75648216
cg12431401	0.535649988566036	SIRT2;RINL	19	39369277
cg12431699	0.0279314095498001	CDK5RAP1	20	31989412
cg12432709	NA	CCDC68	18	52627333
cg12433691	0.0194588304468655	GCC2	2	109065314
cg12434258	0.0594136225965079	ZNF490;ZNF791	19	12721799
cg12434587	0.0106035655277699	MGMT	10	131265209
cg12434779	0.307505307670335	ARHGAP6	X	11684104
cg12435359	0.0107638838310093	BTBD1	15	83735668
cg12435611	0.0981568216007173	BRIP1	17	59941052
cg12435758	0.0127126440707411	LGI2	4	25032141
cg12435792	0.641615346444927	PDE6B	4	619375
cg12437239	0.0494814408944658	GOLIM4	3	167814123
cg12437481	0.0425505341188745	MRPL28	16	420112
cg12438034	NA	MAGEF1	3	184430477
cg12438037	0.337966172808897	MRPS2	9	138393570
cg12438666	0.0864010476025618	C2orf15;TSGA10	2	99757242
cg12439773	0.797949065715584	SLC22A6	11	62752119
cg12439899	0.0325512397344533	TFAP2A	6	10415232
cg12441928	0.0284966073227867	CCR1	3	46249985
cg12441964	0.988781055840056	CCDC79	16	66835860
cg12444340	0.0305658209816186	RBM5	3	50126434
cg12445208	0.550422048064896	ZNF583	19	56916205
cg12446644	0.0238240495606071	LASP1	17	37026641
cg12447832	0.146458848342704	TTC15	2	3383257
cg12448933	0.229842751232226	RAB37	17	72667378
cg12448934	0.0116044526715915	CLSTN3	12	7283049
cg12449183	0.880032371145934	ERAS	X	48687283
cg12452010	0.0175443495847159	ADO	10	64564444
cg12452675	0.0546036649303106	ACOX1;C17orf106	17	73975215
cg12452946	0.0386323960651011	MFSD8;C4orf29	4	128886867
cg12453288	0.0212292032736041	C2orf50	2	11273229
cg12453778	0.0243792652340858	COMMD1	2	62132763
cg12454167	0.25771157480716	KNG1	3	186435060
cg12454725	0.011629438276576	SYT17	16	19179231
cg12455187	0.765556036726476	CCL5	17	34208503
cg12455562	NA	BTN2A3	6	26422779
cg12456510	0.638430838631505	TFF2	21	43771355
cg12457773	0.185537010045798	NRSN1	6	24126497
cg12459502	0.796043574499905	BCL2	18	60904237
cg12460105	0.0235147527490104	RAD17;TAF9	5	68665773
cg12460359	0.720061678437523	NA	NA	0
cg12460541	0.116822503380646	ITPKA	15	41785560
cg12461141	0.239890436168362	TRIM22	11	5710654
cg12463550	0.0185388845879537	CRCP	7	65579703
cg12465398	0.0663557532474752	PPIL3;NIF3L1	2	201753874
cg12466095	0.633017222667038	NA	NA	0
cg12467090	0.66336997808792	PIK3C2B	1	204459139
cg12467191	NA	CSK	15	75074068
cg12467864	0.00984175364005633	PRC1	15	91537971
cg12468056	0.02346790840657	MYST3	8	41909961
cg12468189	0.502044977741122	SRPK3	X	153046767
cg12471156	NA	RBM16	6	155054259
cg12473775	0.455281966419781	RHOD	11	66824650
cg12476968	0.168597261598567	SLC12A6	15	34610829
cg12477012	0.0168050230705352	NASP	1	46049214
cg12477119	0.268600504416196	CDK12	17	37617470
cg12478185	0.537444956540685	C17orf48;SCO1	17	10602001
cg12478809	0.0273454699075503	COX5A	15	75230753
cg12478978	0.0203168164555754	FLOT1	6	30710766
cg12480658	0.109698699829712	ATF2;MIR933	2	176033148
cg12483860	0.0113799173886336	TNIP1	5	150460615
cg12484193	0.0531069524299316	DUSP19	2	183943469
cg12485020	0.0884039732841633	CHRDL1	X	110039269
cg12485992	NA	SPATA22	17	3374971
cg12489819	0.029149178896879	FDPS	1	155278858
cg12489960	0.606662074509854	SGCB	4	52905025
cg12491368	NA	EEF1DP3	13	32523340
cg12491659	0.583035343257963	GAPT	5	57786356
cg12491710	0.962010932537417	LIM2	19	51891526
cg12493160	0.944372966205762	NA	NA	0
cg12493906	0.34343228857724	MMP26	11	5009311
cg12497298	0.0197745648517857	MUL1	1	20834501
cg12497564	0.0401584846283048	RBP1	3	139258295
cg12497692	0.978232176478476	ZBTB32	19	36203089
cg12497851	NA	TBC1D14	4	6910926
cg12499211	0.416643351405904	NTRK1;SH2D2A	1	156786643
cg12501949	0.592836442014686	CCDC141	2	179750458
cg12503243	0.100551289712753	PRPF39	14	45553114
cg12504957	0.0126157685764383	MDM2	12	69202060
cg12506373	0.0252700807007942	CAD	2	27440548
cg12506971	0.0343561176736799	AADAT	4	171011264
cg12507125	NA	WWTR1	3	149375528
cg12508214	0.0199834097537859	FBXO32	8	124553600
cg12508624	0.269873509590288	THY1	11	119293780
cg12510502	0.973621613380727	SLC22A18	11	2942176
cg12510755	0.566929853221882	NA	NA	0
cg12513308	0.0228468622519256	CKLF	16	66586534
cg12513379	0.12804917410655	OR10H2	19	15838397
cg12513481	0.0366872637239929	SKAP1	17	46507830
cg12514506	0.876344356340702	OSBPL5	11	3121286
cg12514620	0.0245350149241574	SSBP3	1	54871858
cg12515371	0.891156355344881	PPP1R16A	8	145721996
cg12515638	0.055328502369211	SFRP4	7	37956018
cg12517167	0.366675297292558	RBMX;SNORD61	X	135962887
cg12517944	0.9736773727295	NA	NA	0
cg12520111	0.0181339589768502	PPIA	7	44835727
cg12526025	0.0409763631998932	LARGE	22	34317552
cg12529228	0.899210656285469	NHLH1	1	160336994
cg12529801	0.0190320328100793	C16orf72	16	9184705
cg12530021	0.333116958005363	SIGLEC12	19	52004630
cg12530080	0.740747254147372	CDH12;PMCHL1	5	22141639
cg12530270	0.94865648961066	DCST1;DCST2	1	155005172
cg12531003	0.0170953087460252	ZNF580	19	56152621
cg12531542	0.606375513879432	MOGAT2	11	75429059
cg12532169	0.437728912961079	NDN	15	23932370
cg12532477	0.518687748876078	CHST6	16	75529504
cg12532500	0.0991468287285292	STARD13	13	33859636
cg12532667	NA	EMCN	4	101440020
cg12533010	0.0564025771442955	PSMA3	14	58711667
cg12533335	0.0406921886753586	TAF1C	16	84220778
cg12534466	0.0369916081659672	SLC25A38	3	39424767
cg12535715	0.263419862856508	HTRA4	8	38831693
cg12536534	0.302659635067488	IKBKG;G6PD	X	153774863
cg12537796	0.55020885091209		X	106515818
cg12539975	0.0458929507784566	PRDM12	9	133539583
cg12541591	0.0203893871852285	TGFBR2	3	30648096
cg12542281	0.0784676927139007	N4BP2L2	13	33113069
cg12542604	0.129318653156891	ANKS1A;TAF11	6	34856704
cg12543649	0.0117064311067736	THBS3	1	155176868
cg12547930	0.453829980529152	WFDC6	20	44168753
cg12548064	0.014020408428072	ANKRD46	8	101571911
cg12548454	0.0336535422712447	PSAT1	9	80911457
cg12549513	0.370737623031474	BEX2	X	102565951
cg12552392	0.476945651277291	NA	NA	0
cg12554476	0.407191721766173	GP2	16	20338808
cg12554573	0.381178900731446	PARP3;RRP9	3	51976667
cg12554819	0.0164844787286975	REV1	2	100106981
cg12554857	0.710119305897061	HPGDS	4	95264019
cg12555334	0.193830570262677	CCT6A;PSPH	7	56120290
cg12555907	0.763792078098704	MBP	18	74845422
cg12556134	0.452075718542194	TGIF2	20	35201610
cg12556325	0.414859716509615	C7orf29;LRRC61	7	150026731
cg12556991	0.0246878397351169	RPL27	17	41150487
cg12558519	0.039363749239423	KLHL26	19	18748017
cg12558957	0.0276188199696649	NA	NA	0
cg12559031	0.0545069590382803	DLX4	17	48046365
cg12561748	0.0236946733374	ZKSCAN4	6	28220091
cg12562500	0.0288132293949537	CLPP	19	6361639
cg12563178	0.0420445639298519	PLXDC2	10	20105641
cg12563480	0.0624629141219028	SNX11	17	46184629
cg12564453	0.88938519634561	CETP	16	56995840
cg12564962	0.959733442909635	DSCR6	21	38377938
cg12566415	0.857088965918562	LHB	19	49519613
cg12567315	0.0255494916471398	TSPAN13	7	16793634
cg12568776	0.0103381498115421	EPB41L4B	9	112083456
cg12569173	NA	FAM104A;C17orf80	17	71227752
cg12569516	0.0133299509480881	TRPS1	8	116681193
cg12570787	0.0304804995829525	SDHA;CCDC127	5	219185
cg12571423	0.409609786727819	CCNA1	13	37006748
cg12572011	0.00812624538766751	UBE3A	15	25684085
cg12572278	0.0316166042836365	OAF	11	120081259
cg12572545	0.115092291689074	SC4MOL	4	166248219
cg12572827	0.923175163872497	PDE6H	12	15125509
cg12572939	0.572517556879792	NA	NA	0
cg12573766	0.0206887493924438	SNORD15A;RPS3	11	75110826
cg12575181	0.919025900468023	PIGH	14	68067658
cg12575751	0.0119052484457405	NUCB2	11	17297984
cg12576145	0.348796506136583	AMMECR1	X	109560751
cg12576700	0.0311119798879208	CDK5RAP2	9	123342680
cg12576844	0.887655416364626		5	132207512
cg12577610	0.0168838589923906	SMARCD2	17	61920423
cg12578166	0.132631936232941	KCNQ1	11	2466909
cg12578480	0.0234814246163601	MSRB2	10	23384902
cg12581035	0.00832499857271269	PHC1	12	9067477
cg12582008	0.544503765052595	OLFM4	13	53603286
cg12582366	0.457341359191722	NA	NA	0
cg12582959	0.275940589816038	CCDC106	19	56159199
cg12582965	0.930671665928876	ATP10A	15	25972328
cg12583908	0.107862142605497	RFC4	3	186524777
cg12584034	0.160541331509301	NA	NA	0
cg12584718	0.141711756958699	MEPCE	7	100028402
cg12584889	0.34353130631729	NXF3	X	102347925
cg12585282	NA	PABPC4	1	40042727
cg12585943	0.331196104413632	PPT2	6	32121368
cg12586262	0.0491827610533087	ZNF160	19	53606654
cg12588299	0.728650712383082	GPR31	6	167571803
cg12588301	0.389056667669149	CRCT1	1	152487335
cg12588476	0.0287523214629966	ZSCAN21	7	99647494
cg12589433	0.217912255359479	AR	X	66765978
cg12591323	0.951869218074779	SMARCAL1	2	217278609
cg12592463	0.0130644553116397	C1orf63	1	25574236
cg12592716	0.0463912742050463	CUL1	7	148395181
cg12592779	NA	ZNF12	7	6745725
cg12593411	NA	ANGPTL6	19	10213722
cg12594641	0.1034874953656	NA	NA	0
cg12598178	0.981486247369663	UTS2R	17	80332278
cg12598198	0.842425554319015	HSPB2	11	111784386
cg12598364	0.014635963515904	GCAT	22	38203677
cg12598575	0.0132874993066449	BOD1	5	173043653
cg12599000	0.923576846872134	NA	NA	0
cg12600197	NA	NEIL1	15	75639339
cg12601757	0.0212184569130086	ST6GALNAC3	1	76540465
cg12601987	0.0216963768699683	RASD1	17	17399718
cg12603043	0.0128561397960519	EHD2	19	48216450
cg12603560	0.387992324943844	TNKS1BP1	11	57090070
cg12604192	NA	KCNA10	1	111062127
cg12605747	NA	RPL4;ZWILCH	15	66798443
cg12609467	0.0293761550408366	DAG1	3	49508289
cg12610070	0.081361135642957	TSPAN15	10	71211762
cg12610744	0.757362295838397	KRT4	12	53208762
cg12611860	0.890461291736455	PIK3C2A	11	17191617
cg12612336	0.014917715689348	PRPSAP1	17	74350433
cg12613344	NA	NR1H3	11	47280305
cg12613383	0.211902325699808	PLD5	1	242688681
cg12614105	0.371834380644928	NPY	7	24324435
cg12616277	0.176372749566101	ESYT3	3	138153763
cg12616487	0.551315960743956	ROM1;EML3	11	62379063
cg12618251	0.047725098678645	FZD7	2	202899058
cg12619162	0.851132543833537	FXYD4	10	43867155
cg12619509	0.585385991882753	DNASE1L2	16	2286601
cg12620111	0.0177132172814827	ZNF70	22	24093496
cg12620499	0.0232056317157632	MREG	2	216877984
cg12621514	0.0624773324617036	DKK1	10	54073047
cg12622273	0.816480792672854	LGI4	19	35625496
cg12622986	0.0815052053347507	BARHL1	9	135458173
cg12623088	0.0274453492146969	DIS3L	15	66585521
cg12624523	0.887364047506762	GPLD1	6	24489770
cg12624641	0.212505995059291	C14orf143	14	90420569
cg12626085	0.0165890035169198	UEVLD	11	18610074
cg12626411	0.685361786084348	PRG4;MIR548F1	1	186265765
cg12627583	0.024553801131425	AOX1	2	201450731
cg12628062	0.0314234913113501	PSMC3IP	17	40729398
cg12628956	0.0129558116743845	RFESD	5	94982685
cg12629083	0.0178039891853297	SENP1;PFKM	12	48499284
cg12629244	0.881561297854718	FAM20B	1	178994355
cg12629325	0.0601742700511032	PCDHAC1;PCDHA7;PCDHA12;PCDHA6;PCDHA10;PCDHA4;PCDHA11;PCDHA8;PCDHA1;PCDHA2;PCDHA9;PCDHA13;PCDHA5;PCDHA3	5	140306458
cg12629515	NA	HIST1H3J;HIST1H2BO	6	27859811
cg12631737	0.0298842958427414	FUT4	11	94277190
cg12635664	0.0199669066351907	SAR1A	10	71930586
cg12638745	0.161619310996356	SH3BGR;LCA5L	21	40816464
cg12639234	NA	NAT2	8	18248964
cg12640109	0.245627610292815	ASRGL1	11	62104720
cg12641660	0.0251621048620659	TTF2	1	117602129
cg12643449	0.654440044790841	IFRD1	7	112062338
cg12643877	NA	ARHGAP27	17	43502145
cg12644353	0.0545613469078674	ACTR3	2	114647787
cg12645220	0.0526288068290555	PAK7	20	9819272
cg12645567	0.0105610682858793	NA	NA	0
cg12645742	NA	SMAD6	15	66994830
cg12646585	0.0617404351717066	WDYHV1	8	124429417
cg12647320	0.881811735772909	POGZ	1	151433222
cg12647587	0.88727944247366	C10orf129	10	96954252
cg12647643	0.0391961943655329	PTPN13	4	87515184
cg12648263	0.0161866293985854	PIGH	14	68067090
cg12648583	0.0474377447064021	KIAA1712;FBXO8	4	175205248
cg12650011	0.0157319828967162	TSPAN12	7	120498280
cg12650635	0.760275960813171	AQP2	12	50344463
cg12650780	0.268311766303187	SH3BGRL;HMGN5	X	80458049
cg12650926	0.0253619826586575	ITPR3	6	33589118
cg12651014	0.0355487678888259	CCDC7	10	32735292
cg12653105	0.466899564534845	PLP2	X	49028299
cg12654845	0.647134875635815	CLDN2	X	106163009
cg12657853	0.0139095163836825	HSF2	6	122720929
cg12658552	NA	SFRS2IP	12	46323656
cg12658982	0.0149337173958642	PRR15	7	29603541
cg12661229	0.0116237637387305	C3orf54	3	49840147
cg12661964	0.944328849719903	IFI35	17	41157777
cg12662162	0.302465169235645	C6orf106	6	34664887
cg12663253	0.955629047010364	PIK3R1	5	67522532
cg12667808	0.0168117814500826	NA	NA	0
cg12671744	0.390610407836606	FAAH	1	46859774
cg12674192	0.0228834843374638	MAK16	8	33342777
cg12675800	0.017788167517847	TRAPPC6B	14	39639447
cg12676081	0.0481776345258211	RIOK2	5	96518721
cg12680071	0.0276550765060859	COX6B1	19	36139062
cg12680609	0.554186914207703	NA	NA	0
cg12681402	0.0945603846558402	RPH3A	12	113229989
cg12682367	0.338715967106613		13	24523698
cg12683641	0.88011663186231	KLK14	19	51587102
cg12683929	0.108089319800567	BLOC1S1	12	56109593
cg12684360	0.0237394649034789	KPNA3	13	50367057
cg12685200	0.0104070820198299	LGMN	14	93214923
cg12685753	0.0983897333650134	TEKT1	17	6735539
cg12686016	0.0311810807155681	HOXA1	7	27135477
cg12686915	0.0462653089711437	EIF3H	8	117768332
cg12687215	0.483916702947842	FAM50A	X	153672898
cg12687463	NA	CFHR1	1	196787850
cg12687922	0.0178176572807162	PPM1J	1	113257872
cg12687990	0.0496773396703986	PTENP1	9	33677449
cg12688043	0.0553242198948827	MAP4	3	48129944
cg12688215	0.0092113492588299	TXNDC12;KTI12	1	52499228
cg12688670	0.109141485654965	KIF22	16	29801602
cg12689375	0.011037532207626	DDX3X	X	41192164
cg12689475	0.0190634240106647	RPUSD1;CHTF18	16	837842
cg12691219	0.0549088305696979	ARMCX3	X	100878134
cg12691366	0.0060988532090129	HSPC159	2	64681733
cg12693135	0.0139054242499692	ARL16;HGS	17	79651124
cg12693634	0.0751220915999695	SGMS1	10	52384065
cg12694555	0.835909671736618	NA	NA	0
cg12694870	0.869356204151563	HPD	12	122296680
cg12696750	0.035901454419412	DNALI1	1	38022466
cg12697789	0.0920753142333488	TLR3	4	186990425
cg12699145	NA	TMC7	16	18995637
cg12699371	0.0811871368869477	GALR1	18	74961424
cg12701101	0.0179238045630092	NA	NA	0
cg12701576	0.0249000141863743	PEX19	1	160254608
cg12703269	0.777984199183523	PSTPIP1	15	77286232
cg12706983	0.0479345229462406	ZSCAN16	6	28092239
cg12707233	0.466959640592677	WNK3	X	54384964
cg12707353	NA	ACOX3	4	8440629
cg12709412	NA	C18orf8	18	21083001
cg12711530	NA	BMP10	2	69099285
cg12711814	0.0135529084757404	ENO1	1	8939529
cg12712746	0.0320157673074664	SAMM50	22	44351370
cg12716838	0.0172127932642238	B3GALNT1	3	160823255
cg12717203	0.0262831044679537	ZNF718	4	124342
cg12717594	0.0138293723684777	RECK	9	36037454
cg12717668	0.57118633132634	ZNF655	7	99156195
cg12718440	0.180310116222631	MORN4	10	99393576
cg12718562	0.850868140633737	NA	NA	0
cg12719235	0.0516672929255228	POLR2E	19	1095626
cg12721546	0.0195914658377935	BCLAF1	6	136611096
cg12722998	0.028078613789548	CUL4A;PCID2	13	113862943
cg12723191	0.937661908853948	PDC;MIR548F1	1	186429967
cg12723809	0.0423174449112968	C4orf36	4	87813066
cg12724357	0.0498388149790663	SYT12	11	66790285
cg12724466	0.439403616259817	ASB11	X	15333584
cg12724827	0.815397710129555	CENPI	X	100355703
cg12726576	0.838763132973286	NA	NA	0
cg12727374	0.010301627466579	MAP6D1	3	183542914
cg12727795	0.249195163896462	PDGFRB	5	149535695
cg12728032	0.164620174371508	ELF5	11	34535357
cg12728629	0.536534346133483	NA	NA	0
cg12729048	0.0157395639547167	TUFT1	1	151513198
cg12729059	0.0117284279365793	NA	NA	0
cg12730381	0.12296938543953	YWHAG	7	75988212
cg12730424	0.0242928006112273	BTBD7;KIAA1409	14	93799109
cg12731488	0.497765517354844	SYTL5	X	37893211
cg12732155	0.482712696182466	LAPTM5	1	31230601
cg12732953	0.505267466959558	FMR1NB	X	147062547
cg12733079	0.0273409456171554	DOCK4;ZNF277	7	111845182
cg12733430	0.0254494973570282	KLHL8	4	88141939
cg12736438	0.0248114154749726	RAB20	13	111214457
cg12737574	0.0327076144601372	CATSPER2P1;PDIA3	15	44038332
cg12737801	0.0404352275607778	TCEA1	8	54934346
cg12738007	0.0130834818796181	MRPL16	11	59578167
cg12738197	0.015666397351299	ZNF572	8	125985883
cg12739034	0.0428659197945774	PTGER3	1	71513626
cg12739647	0.0189128000719554	SFT2D2	1	168195558
cg12741420	0.0196868172764549	IRF4	6	392131
cg12741488	0.151941924516987	FLYWCH2	16	2933841
cg12743398	0.569716437300811	SULT1A2	16	28609531
cg12743894	0.00733492957316736	C11orf46	11	30344937
cg12744185	0.0148744372195289	PCTP	17	53828387
cg12745769	0.0796773156630606	ZNF493	19	21579993
cg12748258	0.0214777969778739	HR	8	21988173
cg12748926	NA	PLD3;C19orf47	19	40854020
cg12753358	0.0661276225371918	EFNB1	X	68047716
cg12753858	0.804549532063978	C15orf55	15	34637869
cg12754733	0.0281576297813051	C19orf39	19	11485436
cg12754854	0.854556452495237	PHYHD1	9	131682859
cg12757143	NA	WDR85	9	140473704
cg12757684	0.628520794388097	PLAGL1;HYMAI	6	144329485
cg12758687	0.311298568097276	DRD2	11	113346327
cg12759554	0.604016583686573	NAP1L5;HERC3	4	89618637
cg12762680	0.0717358518353543	PSMB9;TAP1	6	32822346
cg12762799	0.289270129885684	CLEC4E	12	8693542
cg12763546	0.813814174583091	ZNF232	17	5027051
cg12766348	0.0137386587779117	CLK4	5	178054039
cg12768605	0.184531352357398	LYPD5	19	44324951
cg12770741	0.403684899371189	NXN	17	883776
cg12771281	0.0265953781470275	SLC38A6;TRMT5	14	61447816
cg12774845	0.0757670563546257	C14orf45;ENTPD5	14	74486312
cg12775479	0.938550287706183	IGSF10	3	151176684
cg12775613	0.70188932591596	HTR1F	3	88040034
cg12776163	0.0167326485655226	SEPT7	7	35840706
cg12780286	0.0165128290525131	IQCB1;EAF2	3	121553586
cg12780322	0.0322224902167791	SRP72	4	57334163
cg12781218	0.0208740913117976	C7orf31	7	25219610
cg12781395	0.0349827548022743	C14orf178;SNW1	14	78227701
cg12781568	0.69361984049308	WT1	11	32452038
cg12782180	0.285102588688983	LEP	7	127880932
cg12783573	0.0234649094144644	ZUFSP	6	116989975
cg12783640	0.0152268073178225	ABCC5	3	183735660
cg12783776	0.0560209154451186	SERPING1	11	57365948
cg12784172	0.895718592673877	TUBGCP4;ZSCAN29	15	43661957
cg12785087	0.0119199461477703	NAA40	11	63705946
cg12785675	0.0220807280221842	ARMC2	6	109169698
cg12785689	0.0418284250282231	EIF6	20	33872408
cg12787624	0.0173358487392235	LIMA1	12	50677281
cg12788061	0.017037354360305	TIGD3	11	65122441
cg12788313	0.845741455568127	NA	NA	0
cg12788467	0.318631359534326	HNF1B	17	36105335
cg12788471	0.0100587675984018	ARPC5L	9	127630977
cg12789833	NA	FBXO22	15	76195876
cg12790134	0.187334348030202	VCPIP1	8	67578787
cg12791465	0.611730993903417	NA	NA	0
cg12791554	0.89260842756186	PRR4;TAS2R20;PRH1	12	11151622
cg12792011	0.0147997175030534	ZNF329	19	58661915
cg12792157	0.0160423970686396	MYCBP	1	39339004
cg12792366	0.0173699853128314	LRRFIP2	3	37217087
cg12792367	0.302810763885473	TFR2	7	100238750
cg12793610	0.270858693061881	TRIM2	4	154125637
cg12795208	0.725251318764394	KRT6B	12	52845938
cg12796229	0.0212574297459885	SLMO1	18	12408045
cg12797788	0.0248696745442252	CENPT;NUTF2	16	67881270
cg12799265	NA	LEPRE1;C1orf50	1	43231483
cg12799835	0.0541532777206882	FAAH2	X	57313034
cg12799895	0.523034943469739	NA	NA	0
cg12800028	0.127398302935768	GPR6	6	110300146
cg12800145	NA	GPRC5D	12	13103655
cg12802819	0.0381441325855156	DDX25;PUS3	11	125773242
cg12803724	0.0265494194947552	FAM164A	8	79578360
cg12804976	0.0433453115693003	NA	NA	0
cg12806381	0.0459416342819796	PIGV	1	27114177
cg12806521	0.0170470272091542	NOP2	12	6677729
cg12808992	0.019256935668005	ULBP2	6	150263354
cg12809314	0.0921264034031445	ZNF445	3	44518785
cg12810190	0.0234125194310949	ZNF740;CSAD	12	53574537
cg12810837	0.497307592468745	CLEC2D	12	9822287
cg12811135	0.921412882790368	C2orf51	2	88824472
cg12813792	NA	C20orf85	20	56725695
cg12813797	0.918094039696797	TAAR6	6	132891505
cg12813922	0.0146610178301672	RAB3GAP1	2	135809940
cg12814525	0.0110278404112616	MDC1	6	30685250
cg12815142	0.322702396577427	CAMTA2;SPAG7	17	4872603
cg12815841	NA	LHPP	10	126150822
cg12815916	0.640723491603312	PTPN18	2	131114432
cg12818699	0.911555473237925	FAM65B	6	24877582
cg12819826	0.435568300927791	PPAN;PPAN-P2RY11	19	10216676
cg12820481	0.0344533428929069	NEK2	1	211848760
cg12820608	0.0221820676180533	RARG	12	53626390
cg12821045	0.0819182408967781	ZNF573	19	38270280
cg12821724	0.525403581808551	SLC23A2	20	4990320
cg12823748	0.034729378784194	USP15	12	62654080
cg12825252	0.0120883515454618	CCDC142;TTC31	2	74710227
cg12827188	0.663018331627407	FGA	4	155511987
cg12827555	0.333846083086319	VSX2	14	74706031
cg12830694	NA	PPP1R14A	19	38747796
cg12830829	0.0246749153585656	TMX1	14	51707081
cg12832565	0.630408495463594	CD160	1	145715672
cg12832649	0.0715740342060378	SPOCK1	5	136834863
cg12833011	0.763304864602777	KCNIP1	5	169930535
cg12833508	NA	AP1S3	2	224701802
cg12833720	NA	BCL3	19	45251551
cg12835684	0.0863739114192798	MFSD5	12	53645647
cg12836610	0.0659433490168716	MTCH2	11	47663538
cg12836863	0.846127140704155	BRCA2	13	32889023
cg12838902	NA	SLC29A4	7	5322586
cg12839593	0.02431690974658	SIX1	14	61116227
cg12840719	0.270525092434899	CDKN2A	9	21968233
cg12841020	0.257957035064012	PGF	14	75422604
cg12842316	0.395679501917457	SLITRK4	X	142723457
cg12844497	0.0748461070448009	AURKB	17	8114032
cg12845249	0.0122299261945459	CENPT;THAP11	16	67876451
cg12845808	0.48463869069679	PCDH12	5	141338604
cg12846567	0.921525587123119	ZNF556	19	2866619
cg12846938	0.048306372190206	MIR639;TECR	19	14640140
cg12847373	0.0178321754161245	EDNRB	13	78493349
cg12848131	0.0101521025331684	KLF5	13	73633312
cg12850636	NA	TJP3	19	3727602
cg12853521	0.044533200873147	MC5R	18	13824359
cg12854483	0.36338308157879	CNN1	19	11649671
cg12855851	0.77703938092097	PGC	6	41715185
cg12855988	0.388060232945936	RPS12;SNORD101	6	133135904
cg12856392	0.64837898316458	ZNF107	7	64126140
cg12857957	0.0182262786703692	LZTFL1	3	45883621
cg12858075	0.0793727014716381	E2F6	2	11606497
cg12858460	0.021647414137555	EOMES	3	27763737
cg12858514	0.933539786440361	PADI3	1	17575607
cg12862537	0.926950802272415	BLCAP;NNAT	20	36148679
cg12864235	0.10375497151163	CDH9	5	27038782
