Hybridization REF	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05	TCGA-A2-A0EV-01A-11D-A032-05
cg14297700	0.0665685589667903	NA	NA	0
cg14297876	0.0357788728636574	MAGOH	1	53704016
cg14298379	0.0283036986099541	MYLIP	6	16128926
cg14298726	0.0507551764774804	GTPBP10	7	89976216
cg14298780	0.0118972225442023	ZNF230	19	44506864
cg14298951	0.0168881151102	RPS24	10	79793653
cg14299177	0.0103179993443576	MTFR1	8	66557547
cg14299800	NA	TOR1B	9	132564053
cg14301635	0.655739568563376	C2	6	31895203
cg14303330	0.0399643277540744	RPL22	1	6259905
cg14303674	NA	MAPRE1	20	31407348
cg14304761	0.0345087141755859	SYK	9	93564149
cg14306534	NA	ZBTB2	6	151712952
cg14307212	0.0510915899768499	SLC12A6	15	34611009
cg14308291	0.0462151611772468	EIF2C3	1	36396265
cg14308452	0.922378491527602	PRR22	19	5784184
cg14309281	0.0112892211254931	NA	NA	0
cg14310034	0.0285604918446136	BMP4	14	54423433
cg14310890	0.0265788411612971	FOXO3	6	108881016
cg14311811	0.0383272803311197	DSG2	18	29077863
cg14312526	0.556845987683709	NA	NA	0
cg14313310	0.0801312692786682	GLT25D2	1	184006816
cg14314795	0.00964972845803553	NA	NA	0
cg14314889	0.201074706368428	OR1E2	17	3336771
cg14315198	0.555106293340537	UNC119	17	26879866
cg14317651	0.0201759868355738	GALK2;COPS2	15	49448126
cg14318370	0.0234039092392019	CHCHD5	2	113342262
cg14319409	0.0514444984199034	GLRA1	5	151304409
cg14320796	0.0108997083378461	MND1	4	154265537
cg14321399	0.164070358257722	RRAGB	X	55744191
cg14321743	0.560169138037081	PLA2G2D	1	20445662
cg14322224	0.138864736651816	DDAH1	1	85931226
cg14323109	0.188432656812173	KDR	4	55991943
cg14323928	0.675382028021291	TRPM1	15	31393845
cg14324200	0.0725160007057227	SAMD11	1	861317
cg14324675	NA	LST1	6	31554848
cg14324838	NA	EPB41L1	20	34700675
cg14325649	0.0599682053833027	RBMS1	2	161350625
cg14329157	0.187374711733866	WDR69	2	228736135
cg14329976	0.0241568979105176	NEIL2	8	11627812
cg14331163	0.0622455907020984	RORB	9	77111663
cg14332079	0.153607712512572	KCTD9;CDCA2	8	25316196
cg14333454	0.284403169751309	SFN	1	27189298
cg14333565	0.484209583985476	NRTN	19	5824065
cg14334099	0.0339119830395797	PTPN12	7	77166091
cg14336578	0.0128685611608617	LETM2	8	38243683
cg14337900	0.0462599711196775	MYH9	22	36783947
cg14338062	0.870846772801054	MARS	12	57883279
cg14338548	0.409471370793192	LALBA	12	48963631
cg14338887	0.112907439156863	GNMT	6	42928500
cg14341030	0.0163351470217387	WBP11;C12orf60	12	14956580
cg14341418	0.906295681239913	APOM	6	31624284
cg14341579	0.0361099258749793	IRS2	13	110438906
cg14343062	0.0198240767286359	ERCC6	10	50746568
cg14343107	NA	BUB1B	15	40453695
cg14343711	0.0174066584783594	NA	NA	0
cg14345281	0.434202759049625	NHS	X	17393584
cg14345676	NA	HRH2	5	175109098
cg14345882	0.525448006172611	BTN3A2	6	26364793
cg14346035	0.0158845534363477	PDP1	8	94928406
cg14346048	0.472974244454511	TMEM47	X	34675036
cg14348532	0.12506196337062	CALCA	11	14993562
cg14349467	0.438255989227936	NA	NA	0
cg14350002	0.0205731225826339	GAS1	9	89562473
cg14353162	0.0213774069885928	TMEM55B	14	20929766
cg14353201	NA	ALDH3B2	11	67448395
cg14353516	0.124829992229042	SEPT2;HDLBP	2	242256053
cg14354749	0.0257539822033899	EIF1AX	X	20160069
cg14356114	NA	PAGE4	X	49592934
cg14356550	0.650124175577083	KLHDC7A	1	18808102
cg14356946	0.055546196988693	EIF2S2	20	32700496
cg14358502	0.0312075954117521	HYAL3;NAT6	3	50337045
cg14358709	0.0143111576269629	RNF19A	8	101321928
cg14358743	0.769672853205947	NA	NA	0
cg14360897	0.0598278838436197	RNF167;SLC25A11	17	4843676
cg14360917	0.361847486862743	SP2	17	45992122
cg14363494	0.0234669128118305	RING1	6	33176234
cg14364739	0.0104006698771147	PRRG2;NOSIP	19	50083632
cg14365123	0.522806046744315	ACTRT2	1	2938246
cg14366490	0.410257673121129	NXNL1	19	17571825
cg14366598	0.184189503146669	IL25	14	23841754
cg14367014	0.440198493580432	ICA1L	2	203735128
cg14367344	0.0154891805663452	PRKAB2	1	146644336
cg14368286	0.349425871080845	PRAF2	X	48931953
cg14370448	0.0936010397253266	YPEL3;TBX6	16	30103978
cg14371329	0.516074836184033	GNAL	18	11688011
cg14371590	0.320489102758737	SLC26A10	12	58013915
cg14372394	0.0609407013106936	CHST10	2	101033546
cg14372520	0.881494254210351	EDA2R	X	65835804
cg14374842	0.169601029031162	ACTR5	20	37376497
cg14375111	0.806708384391227	TMEM43;CHCHD4	3	14165186
cg14376424	0.425388311632994	FAM71B	5	156592780
cg14377370	0.00766748824218122	NCAPG;DCAF16	4	17812264
cg14377593	0.0907499306732399	TFPI2	7	93520183
cg14377791	0.0605394581613862	LOC400696	19	40169912
cg14378057	0.676057741514933	KIAA0240	6	42788563
cg14378480	0.859280043326705	DNASE2B;UOX	1	84864188
cg14379865	0.666637851374318	GRM5	11	88781109
cg14380517	0.526975735454527	BTG3	21	18985761
cg14383135	0.0449245801972231	NPAS2	2	101436923
cg14384532	0.326929032888393	NTRK3	15	88800624
cg14384940	NA	C21orf81	21	15352790
cg14385738	0.273321756545121	PTPN22	1	114414340
cg14386061	0.317898962466899	DOK2	8	21771446
cg14386312	0.384324535077287	ZNF544	19	58740861
cg14386548	NA	SLC25A20	3	48937622
cg14386691	0.0653366279130692	C14orf93	14	23479657
cg14387505	0.162978642125092	AHSP	16	31538946
cg14391622	0.660827686402165	SLC12A8	3	124931956
cg14391855	0.0353709315975345	RIN1	11	66104174
cg14396117	0.558647045153247	MYO16	13	109248047
cg14399060	0.307443850330003	HOXD4;MIR10B	2	177015070
cg14399078	0.0121632553194703	ADPRH	3	119298802
cg14399447	0.0138337623865074	PLA2G4C	19	48613950
cg14399656	0.617864992669474	NA	NA	0
cg14400118	0.383004555451388	MMP2	16	55513191
cg14400631	0.0205003172255675	PDE3B;PSMA1	11	14666512
cg14401454	NA	TPPP2	14	21497485
cg14401592	NA	ACCN5	4	156787800
cg14401837	0.453262894218653	NPSR1	7	34697493
cg14401897	0.967020045598747	SBNO2	19	1174667
cg14402472	0.0142602291075151	HLA-F	6	29691165
cg14404298	0.475808155172254	CYP8B1	3	42919025
cg14405589	0.0102756735137743	TUBGCP3	13	113242289
cg14407437	0.200546516909678	FABP3	1	31845923
cg14407667	0.0269091717156812	EPS15	1	51985209
cg14408969	0.0221399382961645	C8orf40;SLC20A2	8	42396118
cg14409083	0.037597917529028	EMP1	12	13349724
cg14409941	0.0109628869228327	ADAMTS2	5	178771781
cg14409958	0.205203004166232	ENPP2	8	120651652
cg14414534	0.801970327507315	TMOD1	9	100286483
cg14414819	0.0301665096299916	TMEM217;TBC1D22B	6	37225644
cg14415034	0.0917406988412068	SACM1L	3	45730717
cg14415214	0.0135746036064727	PHLDA2	11	2950403
cg14415300	0.0177549859618931	NA	NA	0
cg14417329	0.784900152734051	SLC16A3	17	80186273
cg14419187	0.444412993999774	UNC80	2	210637094
cg14423778	0.632460955916522	MBNL1;LOC401093	3	151985433
cg14424111	0.0187876055357005	KIAA0406;RPRD1B	20	36662310
cg14424530	0.0166565764556057	SLC7A1	13	30170129
cg14424579	0.0181220690223155	AGBL5	2	27274309
cg14425294	0.242983885008364	GUCY2D	17	7905636
cg14426525	0.0316523895281702	SMPDL3A	6	123110598
cg14426682	NA	MORF4L1	15	79164100
cg14427173	0.0383153653399864	RINT1	7	105172403
cg14430111	0.0156769691646129	TM7SF2	11	64879374
cg14430151	NA	ACOX3	4	8440600
cg14433673	0.00896913897389989	NA	NA	0
cg14434255	0.0312627332722524	ENTPD7	10	101419627
cg14435640	0.0147007967048119	AGPAT6	8	41436176
cg14435807	0.61629674320392	LOXL1	15	74218780
cg14436426	0.935000762101375	OPRL1;RGS19	20	62712394
cg14436761	0.13186428127694	NA	NA	0
cg14437986	0.430157266517287	C6orf25	6	31691035
cg14438174	0.0384441671528881	DVL2	17	7137923
cg14439353	0.0138539329957097	EEF1E1	6	8102781
cg14440664	NA	PDCD1LG2	9	5509642
cg14440934	0.127097114753827	ZDHHC1	16	67450691
cg14443380	0.0630348830993855	SEMA7A	15	74725882
cg14444244	0.94325639735585	METTL8	2	172270326
cg14444710	NA	PDPK1	16	2587080
cg14445076	0.147822995311763	DHH	12	49488709
cg14445437	0.0172072617908067	PIGS	17	26898124
cg14446712	0.0365099237423507	SDPR	2	192712158
cg14446808	0.102874953926106	SQSTM1;MGAT4B	5	179233589
cg14448104	0.636867873073254	MATN4	20	43933556
cg14448116	0.342309060813704	NDUFS2;ADAMTS4	1	161170110
cg14448145	0.396971849204197	DNAJC5	20	62525650
cg14448864	0.0157637764068529	HYAL3;NAT6	3	50336673
cg14449051	0.0195526984021215	SLC6A15	12	85306474
cg14449575	NA	HAPLN4	19	19373743
cg14450506	NA	DDX56	7	44614519
cg14450605	0.0459983101481292	NCOA4	10	51572496
cg14451276	0.0567119404823993	AOAH	7	36764019
cg14452140	0.0245300778202868	SEC14L2	22	30793438
cg14452392	0.018134944243815	CCNH	5	86708659
cg14452789	0.0112820895062826	GMCL1	2	70056602
cg14452875	0.0197223562420699	NR1D2	3	23987206
cg14453641	0.0189895502866405	AGL	1	100315326
cg14454278	0.0331644854311903	TDP1	14	90422626
cg14455307	0.0136051066877363	BCL2	18	60987429
cg14455487	0.127172446389149	FOXJ3	1	42800860
cg14455991	0.170407652388784	CASK;GPR82	X	41582245
cg14456683	0.714529145069304	ZIC1	3	147127010
cg14457691	0.384088559606006	ARMCX4	X	100740937
cg14458615	0.344629543404846	C3orf30;IGSF11	3	118864952
cg14458731	NA	COQ4;TRUB2	9	131083555
cg14458834	0.646557451249413	HOXB4	17	46655394
cg14460735	0.0966291509877931	CNST;TFB2M	1	246728727
cg14461963	0.0173680137624319	DHTKD1	10	12111049
cg14462626	0.011929468468318	MYL12B	18	3261712
cg14462830	0.512117441803907	TRDN	6	123959184
cg14463304	NA	DDX47	12	12965884
cg14464791	0.0710810970266254	DDX6	11	118661599
cg14465910	0.0175399379175795	GTPBP2;MAD2L1BP	6	43596764
cg14467840	0.736581892418943	S100A13;S100A1	1	153600972
cg14469290	NA	ALAD	9	116164446
cg14470209	0.0132948244041345	ACAD9	3	128598183
cg14471560	NA	C2orf64;UNC50	2	99225332
cg14471615	0.114938870932997	TSKU	11	76494102
cg14472601	0.407349433645931	NA	NA	0
cg14472778	0.321687241060371	CLCN6;MTHFR	1	11867308
cg14473016	0.142840860362008	RASD2	22	35937495
cg14473123	0.0372429750626851	UBE2V2	8	48921407
cg14473145	0.637992149438816	CLEC14A	14	38725656
cg14473924	0.1957717342438	PDZRN3	3	73674170
cg14474880	0.0546991297095559	MTF2	1	93544497
cg14477619	0.807204758456731	NPC1L1	7	44580881
cg14479329	0.128158751053278	RNASET2	6	167370587
cg14480463	NA	INTS1	7	1543435
cg14481222	0.0391110346688286	BIRC3	11	102187974
cg14481339	0.533615437293111	KCNJ1	11	128737319
cg14482322	0.0270761308860818	TARSL2	15	102264062
cg14483391	0.69228404752089	HTR3D	3	183749227
cg14489649	0.099383409608065	KLHL11	17	40021376
cg14489884	0.0128242230897972	MRFAP1L1	4	6711592
cg14490250	0.0261332445875539	FAM96A	15	64386181
cg14492347	0.0194330888628141	ZNF592	15	85292323
cg14493899	0.966671723787419	TAP2	6	32807374
cg14494313	0.737301218318985	NAT2	8	18248453
cg14494596	NA	SHISA5	3	48542040
cg14494812	0.249690757923396	TOB1	17	48941039
cg14495243	0.0220462334220496	CCDC59;C12orf26	12	82752005
cg14496375	0.768175751975297	CLDND2	19	51872365
cg14498423	0.531830045338201	CLSTN2	3	139653328
cg14499797	0.119464511074271	SOX4	6	21594038
cg14500718	0.209167808125854	TMEM79;SMG5	1	156251456
cg14501253	0.0333921508256903	C8orf79	8	12809014
cg14502651	0.819834906902399	PRH2;PRR4;PRH1	12	11081604
cg14506552	0.336288775959375	NPPB	1	11918954
cg14506668	NA	FHL1	X	135228853
cg14507042	0.0390158514770149	TRAF2	9	139781209
cg14509125	0.0155562727451583	TMEM160	19	47551842
cg14511156	0.613589066682096	OSCAR	19	54604124
cg14512008	0.0354796835562159	PPP2R5C	14	102276078
cg14513226	0.0194567087527804	LPGAT1	1	212003502
cg14514226	0.0714171835639277	TMCC2	1	205197651
cg14515483	0.0174949457192126	SOD2	6	160113813
cg14517922	0.869392741995403	NA	NA	0
cg14519000	NA	GATA5	20	61041765
cg14519036	0.0150840928945634	TNKS2	10	93558457
cg14519134	NA	H1FOO	3	129261830
cg14519350	0.726088939966175	OSM	22	30661949
cg14519515	0.0745950155792874	ADRBK1	11	67033594
cg14519525	0.0193031817372044	GANAB	11	62414275
cg14520448	0.234605123239505	PQBP1;TIMM17B	X	48755206
cg14520511	0.0222294486625309	KRIT1;ANKIB1	7	91875046
cg14520892	0.391536319123464	POLA1	X	24711633
cg14521746	0.0558897398018948	PAK1	11	77185492
cg14522549	0.026554079640327	PDXK	21	45139379
cg14523284	0.810817996987073	IL13	5	131993614
cg14526843	0.0365560778283732	KPNA1	3	122233584
cg14527441	0.0184828677935256	KHK	2	27309759
cg14527802	0.0362870325331658	TNFAIP3	6	138188823
cg14528319	0.501242968059268	GIPC1	19	14607713
cg14529146	0.0207627229149655	FKBP10;SC65	17	39968600
cg14530801	0.0238687124904047	STX18	4	4544016
cg14532417	0.540963792974911	NA	NA	0
cg14532519	0.850414943060067	TCF20	22	42612642
cg14532644	0.0372467767307278	FECH	18	55253643
cg14533138	0.572813646493585	NA	NA	0
cg14534464	0.0551069146243692	NFE2L3	7	26191633
cg14534967	0.0115339919576962	ABHD11	7	73153139
cg14535518	0.375762850188561	MAG	19	35782015
cg14538332	0.0747401387412189	SDC2	8	97506180
cg14539231	0.0139036426419316	EPSTI1	13	43566262
cg14540150	0.0152140231961069	CTBP2	10	126849760
cg14540297	0.0290367712370109	LOC339524	1	87597473
cg14541311	0.507452429094675	MYH6	14	23877130
cg14541939	0.403568076390627	NDUFA1;RNF113A	X	119005913
cg14541950	0.0116986417466012	HIST3H2A;HIST3H2BB	1	228645704
cg14542238	0.0161860102453186	TGOLN2	2	85555574
cg14542839	0.106994747008728	PAMR1	11	35547074
cg14543592	0.771927948577918	NA	NA	0
cg14544583	0.511563375366887	HBB	11	5248566
cg14545899	0.0117729156411762	FAM46C	1	118149019
cg14546153	0.0718031446368247	APCDD1L	20	57090315
cg14547335	0.496550555938044	ATP2B2	3	10491247
cg14550007	0.0110572832974072	SCMH1	1	41707370
cg14550066	0.319118828954128	NCR1	19	55417500
cg14550101	0.0125118735183551	HCN3	1	155247361
cg14550518	0.0286468627834548	ZNF385D	3	21792938
cg14550570	0.00976772838801248	LRRC47	1	3712988
cg14552982	0.679058675273207	EXOSC2	9	133568226
cg14556189	0.00958790066283429	SMAD3	15	67358639
cg14556618	0.0141950134035516	IGF2R	6	160390829
cg14558138	0.483663611372088	NA	NA	0
cg14560064	0.01889733761746	ZBTB6	9	125675653
cg14560895	0.030489551893663	KDM5B	1	202777719
cg14561282	0.798853479973309	ADAM29	4	175839468
cg14562990	0.307277373109866	LDOC1	X	140271626
cg14563260	0.440442580183918	LPAR1	9	113801320
cg14564494	0.0857792249728453	NA	NA	0
cg14566624	0.147142245754597	GPR153	1	6321582
cg14567401	0.484392907347825	NA	NA	0
cg14568338	0.0429026180569519	IGF1R	15	99191797
cg14569415	0.0112966210549813	GMPPA	2	220363584
cg14570389	NA	RAP2C	X	131351543
cg14571620	0.0177426320894389	C12orf65	12	123717888
cg14572111	0.0264550822032724	SYT7	11	61348901
cg14572485	NA	AMZ2	17	66244196
cg14576628	0.0265873586078174	PRMT1	19	50180360
cg14576681	0.0240875392398991	COX7A2L	2	42588304
cg14576824	0.496577333204254	RPS6KC1	1	213224402
cg14577211	0.0707583200225101	ZNF641	12	48744457
cg14578030	0.554852351991594	FGF4	11	69591383
cg14579051	0.398713858393593	COL9A1	6	71012852
cg14580567	0.0989080162191244	HHIP	4	145567271
cg14580737	NA	LOC729991;RFXANK;LOC729991-MEF2B	19	19301780
cg14580982	0.0424658057032202	ATP6V1C2	2	10861364
cg14585160	0.0144146566488115	ZNF408;ARHGAP1	11	46722671
cg14586939	0.022064276680546	NPY2R	4	156130206
cg14587868	0.46347676881877	NA	NA	0
cg14588638	0.019249678193056	EWSR1;RHBDD3	22	29665400
cg14590817	0.0203871083307743	ADARB2	10	1779730
cg14592065	0.302509255197082	MED24	17	38209993
cg14592099	0.0329281093165995	PCDHB13	5	140593663
cg14592406	0.357193350738094	CABP1	12	121078658
cg14594876	0.0371222472504961	SNTA1	20	32031951
cg14596431	0.0239678420734592	B3GNTL1	17	81009998
cg14597908	0.381421418422695	GNASAS;GNAS	20	57414960
cg14598387	0.221356751318191	OR1N1	9	125289357
cg14600040	0.334033616263586	GPC4	X	132549764
cg14600885	NA	MYOZ3	5	150040280
cg14601284	0.508467910896494	PLXDC1	17	37308278
cg14601560	NA	SCLY	2	238970191
cg14602164	0.0429391439056	KIAA1712;FBXO8	4	175205422
cg14602578	0.0187898676674998	NA	NA	0
cg14602658	0.0192843599395863	TMEM39A	3	119182282
cg14603345	0.384855776076338	BTBD3	20	11871375
cg14603406	0.0615040381750492	TRIM8	10	104404379
cg14605021	0.20695746620173	FGF20	8	16859754
cg14605134	0.0230949898734908	EFNA4	1	155036362
cg14606768	NA	C9	5	39365815
cg14607011	0.963551309790566	C10orf125	10	135171746
cg14607642	0.842569113041298	LBR	1	225617030
cg14607813	0.0315010109118868	SRP9	1	225965727
cg14609458	0.0150223622257924	PRRG4	11	32851177
cg14610746	0.0303873849037429	CLN6	15	68521218
cg14611112	0.301700399100368	LCN6	9	139643351
cg14611174	0.0469379612304965	SIX6	14	60975837
cg14613546	0.516596145101649	BNC2	9	16729103
cg14613832	0.0167856346271656	CYP26A1	10	94833615
cg14613972	0.0881137978991097	ATG10	5	81267578
cg14614211	0.65166266238033	MKX	10	28034247
cg14614901	0.0488869975607372	TMEM215	9	32783463
cg14615807	NA	BSND	1	55464173
cg14616651	0.589517421124595	NDUFA1;RNF113A	X	119004996
cg14617642	0.0114068866686759	H2AFY2	10	71812630
cg14618681	0.0143905672632617	E2F1	20	32273893
cg14620221	0.611208264887293	OR8B8	11	124310939
cg14623313	0.0500070335215018	APPBP2	17	58603785
cg14623518	0.0188189028360675	FLJ90757;BAIAP2	17	79009114
cg14623805	0.0227791700080696	CCAR1	10	70481056
cg14625604	0.517063419879747	UBE2A	X	118708625
cg14631703	0.0390087348415963	EIF3K;MAP4K1	19	39110062
cg14633527	0.0873045767404326	SHISA5	3	48541379
cg14633704	NA	HSD17B3	9	99065350
cg14634319	0.0261573860199871	BAZ2A	12	57030450
cg14634336	0.0617223450729761	REV3L	6	111804804
cg14634738	0.0432941986511121	RBM5	3	50126100
cg14636377	0.0150406043250513	RHEBL1	12	49463506
cg14640481	0.0138044667797486	BRI3	7	97910728
cg14640682	0.0121077472751408	GYS1;RUVBL2	19	49496473
cg14642338	0.698830506137154	PAMR1	11	35547903
cg14642832	0.267210847417076	RBMX	X	135963137
cg14643520	0.0178121081092598	ATP1B3	3	141595277
cg14643978	NA	TMC1	9	75136564
cg14645085	0.0437874040813083	RANBP9	6	13712693
cg14645481	0.0378482069628777	HINT1	5	130501199
cg14645650	0.814979389959239	RUNX3	1	25228801
cg14645972	0.0812773991610559	DKFZP686I15217	6	2988997
cg14646244	0.116791807244929	SLC26A4;LOC286002	7	107300287
cg14647515	0.951274671105773	C10orf12	10	98741349
cg14651992	0.0123863804149777	CROT;TP53TG1	7	86974674
cg14652095	0.805948357066845	HIST1H1A	6	26018185
cg14654385	0.894302476692272	FERMT3	11	63973006
cg14654731	0.399576225270727	TMEM155;LOC100192379	4	122685145
cg14654875	0.385287518035127	NAT15;ZNF597	16	3493997
cg14654926	0.379579954059054	FGF10	5	44388688
cg14657159	0.0176278139588006	ORMDL2;SARNP	12	56211136
cg14658285	0.0107011033676774	ADAT3;SCAMP4	19	1905417
cg14658362	0.0191782719930717	RBPMS	8	30241661
cg14658900	0.0156045921736795	ZNF174;ZNF434	16	3450923
cg14659404	0.117812226264879	ASTN1	1	177134019
cg14659547	0.360257654799068	RETNLB	3	108476126
cg14662172	0.487620936522894	CPB2	13	46679081
cg14662379	0.115947990057423	KIF1A	2	241759279
cg14662756	0.805825724254961	NPFF	12	53901405
cg14663065	0.0222766526669565	CTNNB1	3	41241630
cg14663792	0.0194767925937982	C6orf48;SNORD48	6	31802922
cg14665389	0.224854501797977	TCF7L2	10	114710815
cg14666892	0.0146810597311629	BAK1	6	33547980
cg14667033	0.0841578855512667	TMEM2	9	74384303
cg14667273	0.503927530904214	VWA1	1	1369934
cg14671453	0.0102051525815209	STX4	16	31044716
cg14671488	0.0743824755795207	YES1	18	811809
cg14672622	0.0248014554265027	C2orf28;SLC5A6	2	27434752
cg14672680	0.857504720531474	TNNI2	11	1859838
cg14672994	0.0856938801634394	ACSF2	17	48503057
cg14674582	0.16387868407684	PLAC1	X	133792282
cg14676817	0.0170980324517257	AKIRIN1	1	39457257
cg14679202	0.463407201530748	L3MBTL2	22	41600978
cg14679230	0.83795215794801	LIPE	19	42931679
cg14679587	0.0203976822580784	GLS2	12	56882324
cg14681055	0.042062621878532	PITX3	10	104001261
cg14681629	0.0351698020860993	C5orf39;LOC153684	5	43041808
cg14681767	0.0532613382907127	ARHGEF10	8	1772393
cg14683036	0.0378543617994355	MMAB;MVK	12	110011466
cg14685339	0.0253477221364321	POMT2;GSTZ1	14	77787351
cg14686321	0.227622338377929	NA	NA	0
cg14688272	NA	FN3KRP	17	80673958
cg14688956	0.170959348174238	PAK3	X	110339862
cg14689355	0.0201306316857083	ACVR2A	2	148602399
cg14693893	NA	DYNC1H1	14	102430593
cg14694011	NA	CYP19A1	15	51631024
cg14694232	0.0140121767795507	TRIM26	6	30181448
cg14694952	0.0199651086785007	HTT	4	3076907
cg14695751	0.159545978446733	CDK15	2	202671292
cg14696348	0.0152998049650566	MC1R	16	89984517
cg14696396	0.537204047202248	TM6SF1	15	83776446
cg14696820	0.252815352179083	LCE1A	1	152800168
cg14696870	0.253431536682075	FCER1A	1	159258877
cg14698961	NA	KLRAQ1	2	48667887
cg14700577	0.0144401646319818	SCAP	3	47517001
cg14700707	0.240407649772175	NOTCH4	6	32191840
cg14700821	0.0259585271351792	ADAMTS6	5	64777802
cg14701410	0.0259555884081949	SLC4A8	12	51818681
cg14701962	0.77837674910996	C1orf226;C1orf111	1	162348010
cg14702264	NA	C7orf42	7	66385829
cg14704941	0.947448712841934	CSRP3	11	19224659
cg14705927	0.0297203619068998	NA	NA	0
cg14706178	0.00903601227050784	LRGUK	7	133812217
cg14706739	0.783460540327704	EPB49	8	21916355
cg14707431	0.0228483381248327	TSTD2;NCBP1	9	100395413
cg14708847	0.0307543189036771	PAK3	X	110339313
cg14709481	0.449931446292057	HK3	5	176325836
cg14709524	0.0330373946153927	TCF25	16	89940631
cg14710524	0.0129730506937399	PRR14	16	30662724
cg14711016	0.0340216051541351	NARFL	16	790766
cg14711201	0.0114230028834598	SKP2;LMBRD2	5	36152436
cg14711709	NA	TMEM186;PMM2	16	8891291
cg14712964	0.0255865767599623	BRPF1	3	9773672
cg14714578	0.0110802474437053	B3GALTL	13	31774336
cg14717170	0.507221990775453	SLITRK3	3	164914471
cg14717946	0.0651623248592898	RBBP5	1	205090841
cg14718680	0.0221355808936749	PGD	1	10459268
cg14719055	0.295477425868511	RBBP7	X	16889683
cg14719352	0.593646466643875	FGF21;FUT1	19	49258131
cg14721213	0.207002228243603	FMO2	1	171154612
cg14722162	NA	C5orf20	5	134783186
cg14723014	0.0230142760238102	ZMYM5	13	20436987
cg14723032	0.857349302971527	PITPNM3	17	6460572
cg14723799	0.0159493860417124	C14orf104	14	50101089
cg14724265	0.448050232310538	PPEF2	4	76823661
cg14724364	0.0372640759576946	KCNJ11	11	17410554
cg14724613	0.0205989712588629	GRM3	7	86273429
cg14726525	0.0248029423699456	LSM1;BAG4	8	38035001
cg14726637	0.272882199295901	CR1	1	207669308
cg14727512	0.563800508803334	TSSK2;DGCR14	22	19118918
cg14727952	0.0337817005564833	BIRC2	11	102218358
cg14729071	0.0470982395123145	RAD21	8	117886537
cg14732136	0.0147756658089297	KPNA2	17	66031828
cg14732540	0.445557695391468	BRDT	1	92414722
cg14733672	0.0157551211457518	HMOX1	22	35777245
cg14736210	0.825651937740596	KCNB1	20	48098642
cg14736911	0.596360213284129	MYOZ2	4	120057818
cg14737613	0.0260698079315084	RANBP3	19	5978790
cg14737977	0.0446594675460254	ITGA3	17	48134226
cg14738823	0.845759997962265	ERP27	12	15090958
cg14740251	0.362558980288305		19	52140097
cg14741666	0.0191981592739197	ZNHIT3	17	34842576
cg14741922	0.907280942002913	SCGB2A2	11	62036934
cg14743462	0.0117908186912032	HIST3H2A	1	228646946
cg14743649	0.220618327043162	CENPI	X	100353353
cg14747072	0.817030387265766	STAC3	12	57645108
cg14747225	NA	SNRNP25;POLR3K	16	103024
cg14750190	0.0121778864707723	TACO1	17	61678092
cg14751914	0.0623921379036191	SMAD7	18	46477404
cg14753432	0.442337937410999	ALX4	11	44324833
cg14754581	0.0525424284436627	CCRL2	3	46448753
cg14755009	0.0114482432119902	TIRAP	11	126153305
cg14755341	0.307845462643888	CDKL5	X	18444361
cg14755852	0.0512894577980086	SLC25A37	8	23386014
cg14757296	0.661280232587509	NA	NA	0
cg14757492	NA	COPE;DDX49	19	19029194
cg14758413	0.0137903428263312	DHX30	3	47843865
cg14758526	0.941369452206868	CASP5	11	104879683
cg14759043	0.276670212074763	EFCAB4B	12	3862597
cg14760714	0.0205831433774805	NA	NA	0
cg14761227	0.414255078792733	CPA1	7	130021088
cg14764661	0.178053855884485	MRC2	17	60704382
cg14766198	0.0105580164281994	CDC14A	1	100818374
cg14766682	0.393512113744063	CCDC120	X	48916658
cg14767877	0.0115412899141244	PSAP	10	73611073
cg14769265	0.0630418277466526	PCYT1A	3	196014280
cg14772955	0.720348735141739	KIAA0319L;NCDN	1	36024404
cg14773259	0.0115266948752319	TSEN15	1	184021034
cg14773282	0.0136043891034171	GMIP	19	19754574
cg14774175	0.766287011250105	NA	NA	0
cg14775560	0.0512142614404513	FOLH1	11	49230168
cg14776416	0.0170538139084031	MELK	9	36573072
cg14776962	0.0523190868286782	HIST1H2BH;HIST1H3F	6	26251899
cg14777972	0.054430288381532	MUDENG;EXOC5	14	57735262
cg14780914	0.0460440014055635	C20orf12;POLR3F	20	18447767
cg14781919	0.0129454730213961	ITGAE;GSG2	17	3627394
cg14782678	0.484369642670029	TMEM102	17	7339721
cg14784348	0.898827761234526	HCFC1	X	153229933
cg14784653	0.286227485767923	BEND7	10	13545008
cg14784788	0.0122649889535432	CDC25C	5	137667435
cg14785449	0.0246602251214182	ASNS	7	97501736
cg14785479	0.734959744940253	SCARF2	22	20792535
cg14787704	0.404877728621491	SFRS12	5	65449380
cg14789259	0.177105470444432	FAM84A	2	14773457
cg14789590	0.6086892117607	BPIL2	22	32853844
cg14789804	0.0190177660485575	OS9	12	58087958
cg14789928	0.0336073186213959	RBX1	22	41347758
cg14791831	0.0110089160633106	CCDC101	16	28565295
cg14792155	NA	PLA2G4E	15	42289618
cg14792480	0.20270696316733	CDH16	16	66954257
cg14795305	0.0195500504886972	SMARCD3	7	150974453
cg14795968	0.548147151881483	ACADL	2	211089815
