Hybridization REF	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05	TCGA-BH-A0DO-01B-11D-A12E-05
cg14911395	0.584509531763945	SEMA3B	3	50311213
cg14911472	NA	MED23	6	131949010
cg14912034	0.399515951866887	LYZL2	10	30918851
cg14912575	0.494917659099459	C14orf162	14	70038236
cg14913610	0.849282727374881	KLRG1	12	9142341
cg14913925	0.229064368566023	C7orf38	7	99149239
cg14914852	0.827698371865047	NA	NA	0
cg14914982	0.0611089881748864	CCND2	12	4382985
cg14915165	0.0170494465890494	WDR3;GDAP2	1	118471929
cg14915263	0.0141972210139525	PTPN1	20	49127137
cg14916079	0.37855075764241	NANOS1	10	120788696
cg14916200	0.00877591544843124	NA	NA	0
cg14916213	0.0300753157158664	RBM4	11	66405818
cg14916288	0.574765626085354	CCL23	17	34345136
cg14917512	0.180740104979586	GNA11	19	3094685
cg14918082	0.747085118487355	KCNAB3	17	7833237
cg14919562	0.0104333536198979	RAD23B	9	110045901
cg14920334	0.291333729309633	GALNT8	12	4829827
cg14920426	0.055711856560615	PDLIM7	5	176924420
cg14920846	0.197925064117725	NAV1	1	201618209
cg14923435	NA	EPB41L5	2	120770279
cg14924091	0.0155240445353967	CHST14	15	40763073
cg14924278	NA	TACC2	10	123748922
cg14925024	0.765781689702449	C1orf35	1	228291705
cg14927277	0.0249514799878615	METT5D1;KIF18A	11	28129967
cg14930396	0.0398790227664535	SF3B14	2	24299176
cg14930674	0.897797856313875	SLC12A1	15	48500240
cg14930706	0.891897315959276	NLRP4	19	56363105
cg14931645	0.0187093030358696	ZNF672	1	249133278
cg14932645	0.920778018633939	SLC4A5	2	74569004
cg14932684	0.160348220308171	YAF2	12	42632001
cg14934766	0.017777417434025	CENPA	2	27009384
cg14934821	0.920571937252296	GPSM1	9	139228820
cg14939652	0.0199728656512157	NPAS3	14	33407765
cg14939691	0.0276629777062522	TKT	3	53289981
cg14940420	NA	IQCF2	3	51895692
cg14942312	0.527264655081586	GPR119	X	129519061
cg14944269	0.117725262764211	RAB15	14	65439602
cg14944362	0.122561624644725	PDYN	20	1974924
cg14946299	0.0489331085295388	ZNF273	7	64363590
cg14947494	0.0317388991570157	BRP44L	6	166796284
cg14948436	0.854169778430611	KCNK16	6	39290159
cg14948822	NA	MPV17	2	27545006
cg14949649	0.0394045580509913	UBE3B;KCTD10	12	109915082
cg14950072	0.0352372880217551	LAMA1	18	7118122
cg14951292	0.543872255483071	HMOX2;NMRAL1	16	4525986
cg14951734	0.0109047318457956	CCNYL1	2	208576279
cg14957086	0.0389160553067426	NA	NA	0
cg14958018	0.866727809102092	NKX6-3	8	41505042
cg14958635	0.609018889808774	NEUROG1	5	134870977
cg14958889	0.0175014701911212	GPR153	1	6320471
cg14959707	NA	ZC3H7A	16	11876391
cg14960043	0.0267127283132383	DEF6	6	35265624
cg14961385	NA	SPAG4	20	34204167
cg14961550	0.027458123059471	MCM3	6	52149751
cg14962548	0.00933374817759498	EIF5B;TXNDC9	2	99952717
cg14962776	0.0651861962701039	TRAPPC2;OFD1	X	13753381
cg14963371	0.0769369603313261	GPR3	1	27719463
cg14963897	NA	ROMO1;NFS1	20	34288750
cg14964658	0.0187971782908532	PEX19	1	160255030
cg14966252	0.0265977305329621	ZNF622	5	16466459
cg14967066	0.282032625785128	IFITM1	11	314341
cg14967972	0.0458846394263424	PANK1	10	91405265
cg14971781	0.0331163844283429	ACBD3	1	226374753
cg14972143	0.0282083911697889	EIF4E	4	99851003
cg14972271	NA	CAPN2	1	223899736
cg14973995	0.0774726376793355	MFSD10	4	2935692
cg14974772	0.0349034678476235	FBLN5	14	92414425
cg14975238	0.860351813876367	BHLHA15	7	97841591
cg14976276	0.0220813753523004	NEU1	6	31830630
cg14981132	0.0536740767592518	HNRNPA1;HNRPA1L-2	12	54675468
cg14982472	0.254035368331956	ABCG1	21	43619651
cg14984307	0.0328426087035073	ACYP1	14	75530737
cg14984920	0.0342992653919428	CYCS	7	25164393
cg14986136	0.125720447415727	WBP5	X	102611253
cg14986420	0.235985432082788	YIPF6	X	67718299
cg14987922	0.0161763214444698	STRN	2	37194071
cg14988503	0.014895159431418	CDKL2	4	76555547
cg14989191	0.0506010560976821	SEZ6L2;ASPHD1	16	29912071
cg14990333	0.0209866659496291	ZNF221	19	44455383
cg14991487	0.0487080260582724	HOXD9	2	176987404
cg14992108	0.687988595132861	SNTB1	8	121825470
cg14992253	0.0287312782789065	EIF3I;C1orf91	1	32687567
cg14993293	0.053812648204537	CETN3	5	89705579
cg14996805	0.0206424769141655	SUPT4H1	17	56430170
cg14998713	0.33588530713242	ETS1	11	128391908
cg15001372	NA	GCK	7	44229892
cg15001381	0.0667433371738004	AXIN1	16	403314
cg15002187	0.0198802100930149	SLC37A3	7	140098492
cg15002204	0.0943331792382456	CENPQ;MUT	6	49429719
cg15002214	0.0156194913452109	NOG	17	54670370
cg15003158	0.411452801672222		5	68628431
cg15003434	0.0835923418454283	SURF6	9	136202985
cg15005385	0.537065372502661	NA	NA	0
cg15006396	0.0665946538436608	FAM55C;NFKBIZ	3	101546859
cg15006973	NA	GJA4	1	35258933
cg15008991	0.206438749030892	ZNF673	X	46306863
cg15009698	0.0964932490755748	AP3B1	5	77590494
cg15009813	NA	TNFSF12;TNFSF12-TNFSF13	17	7451883
cg15010067	0.0257804303157041	MRPL54;APBA3	19	3762973
cg15010390	0.0412693026895189	NDUFC1	4	140216957
cg15013019	0.361610850249286	LYL1	19	13213451
cg15014034	0.477647006773533	MAOA	X	43515544
cg15014458	0.0941035711196121	LYPD3	19	43969810
cg15014549	0.0912943190077606	SLC47A1	17	19437003
cg15016234	0.016144169151381	TRIM62	1	33647028
cg15016628	0.512526297140779	BRS3	X	135570188
cg15018760	0.0134605755593489	TYMP;SCO2	22	50964374
cg15019617	0.0664547357237792	IFIT1	10	91152447
cg15020645	NA	APC	5	112073769
cg15021292	0.788454181747371	PIK3R1	5	67521596
cg15021531	0.0975159031214416	DDIT3	12	57913928
cg15025769	0.0103245603762289	MYO9A;SENP8	15	72410003
cg15028436	0.846865110499071	TXNDC3	7	37888078
cg15031780	0.0100759316571304	PEX14	1	10535585
cg15032239	0.0306035549031789	CYFIP1	15	22891954
cg15034135	0.0165258203562968	ADAMTS19	5	128796168
cg15034763	0.065451715927269	TMEM59;C1orf83	1	54519040
cg15035273	0.0202434119479273	PAN2	12	56727511
cg15035713	0.0136061477670835	TEP1	14	20881570
cg15037004	0.168392803006748	ZNF366	5	71803938
cg15039399	0.011534486724467	CDK2AP2	11	67275985
cg15041659	0.0140538573245427	ZBTB40	1	22778527
cg15042080	0.202220380730092	TMEM74	8	109799756
cg15042385	0.0415636963595209	URGCP;UBE2D4	7	43966260
cg15042806	0.0433863128833339	DCTN5;PALB2	16	23652268
cg15043057	0.57542153769164	CTPS	1	41444788
cg15043801	0.0772640709464111	DNMT1	19	10305911
cg15043975	0.122607069454848	RASSF1	3	50375252
cg15044041	0.726041055654493	WDR52	3	113160313
cg15044073	0.055068480982752	SWAP70	11	9685299
cg15045441	0.0174198557655447	C6orf155	6	72130432
cg15046675	0.891154458783162	CD37	19	49838777
cg15046693	0.737542613073885	CEBPG	19	33863876
cg15046735	0.0153292581362736	ALKBH1;C14orf156	14	78174352
cg15047833	0.0348790752766472	POLR2C	16	57496411
cg15050111	0.03494378945087	GRHL3	1	24645850
cg15051063	NA		3	142893947
cg15052335	0.871083537314021	LPIN2	18	3011810
cg15052901	0.262106779079541	NA	NA	0
cg15054260	0.0264502945973848	RIPK2	8	90769710
cg15055101	NA	SH2D3A	19	6766609
cg15056107	0.0156603907144171	NUP133	1	229644037
cg15056247	0.0173850937892863	DSE;TSPYL1	6	116601073
cg15056412	NA	NECAB3	20	32262523
cg15057581	0.119635153672884	SIRPA	20	1875084
cg15057726	0.0586345699254738	MCM2	3	127317466
cg15059511	0.0305106085739073	ZFYVE19;DNAJC17	15	41099719
cg15059932	0.0625183973804262	ZNF236	18	74535233
cg15060177	0.0176829932232614	SACM1L	3	45731018
cg15060813	0.491887575268677	LRFN3	19	36428308
cg15061008	0.0512544067935748	CABIN1	22	24407907
cg15062535	NA	ZNF610	19	52847933
cg15062795	0.0280162660428696	ETV6	12	11802217
cg15065896	0.021678138768932	GOLGA4	3	37285038
cg15068733	0.17767010045351	FGF11	17	7342846
cg15070798	0.0284446304914564	WDR24	16	740561
cg15071391	0.85745481542233	MTMR6	13	25862639
cg15075170	0.0430490921764729	TMEFF1	9	103236030
cg15075718	0.661273235110201	NA	NA	0
cg15076218	0.0210049258037581	PIK3R3	1	46599002
cg15076659	0.114973143980628	SLC9A1	1	27481857
cg15077070	0.091539370518102	IL1RL2	2	102803290
cg15077637	0.03489202859853	EFTUD2;CCDC103	17	42977401
cg15078027	0.0624978607164127	NA	NA	0
cg15078479	0.0113013389600908	PARP2;RPPH1	14	20811808
cg15081561	0.877727613887052	CCDC102B	18	66504226
cg15082782	0.861637233753985	NA	NA	0
cg15083227	0.0351165210607711	NA	NA	0
cg15083233	0.412239355762485	PALM2-AKAP2;AKAP2	9	112810402
cg15085805	0.023208037940347	LSM4	19	18433592
cg15087147	0.0110713679444336	SND1;LRRC4	7	127672169
cg15089387	0.359802156553872	TSLP	5	110406661
cg15089487	0.0531119312575115	LRRC49;THAP10	15	71185252
cg15091337	0.0201590539511013	POLE4	2	75185439
cg15091410	0.472866605402811	NA	NA	0
cg15092544	0.0053863309893373	NA	NA	0
cg15092802	0.581527726647639	NA	NA	0
cg15094912	0.0231760906612467	POFUT2;LOC642852	21	46707781
cg15095327	0.261583739746271	IL17RE	3	9944512
cg15096123	0.876325450564802	KLK4	19	51413937
cg15096140	0.478319461285899	MYO1B	2	192109731
cg15097876	0.0162161329602459	PPA1	10	71993604
cg15098690	0.0348778099643559	ZNF330	4	142141984
cg15100639	0.0255745202701556	BAT5	6	31671037
cg15101633	0.490107500618671	MEG3	14	101293726
cg15103426	0.0145305526632814	CCDC117	22	29168792
cg15103675	0.00814414475877061	UAP1	1	162531519
cg15104484	0.0237955369304459	PEX26	22	18560503
cg15105081	0.0374151467799915	C11orf67;RSF1	11	77532226
cg15105660	0.0346123957351481	CLDN1	3	190039935
cg15105703	0.13234469253469	DUOX1;DUOXA1	15	45421860
cg15105987	0.449202708318561	NA	NA	0
cg15107670	0.234048793410679	WT1;WIT1	11	32456759
cg15109207	NA	PLA2G4C	19	48614773
cg15109571	0.0480079148228998	SUFU	10	104264023
cg15111734	0.0987594951104555	FGFBP3	10	93668914
cg15113803	0.93382770012496	RHO	3	129247119
cg15118204	0.152643658113782	MAFG;SIRT7	17	79876231
cg15118503	0.0498549452243346	AHSA2	2	61404861
cg15119375	0.0182834152808848	C16orf67	16	31712039
cg15120247	NA	C1orf54	1	150244045
cg15120497	NA	TRH	3	129692899
cg15120925	0.156607670955007	RASAL1	12	113573809
cg15120942	0.366138381485897	PLCD1	3	38071578
cg15121304	0.88906161502127		22	22380100
cg15125424	0.0497001932297421	SOCS2	12	93963354
cg15125472	NA	HSPB6;C19orf55	19	36248077
cg15125634	0.0329485716242526	RAB11A	15	66161842
cg15127324	NA	ARAP2	4	36246442
cg15127733	0.537419884074916	HSPA12B	20	3713584
cg15127806	0.0244341625791866	MRPL42	12	93861418
cg15128849	0.0318083153559624	HHLA3;ANKRD13C	1	70820718
cg15128898	0.0527575097114461	SPEF2	5	35618029
cg15129294	0.22954708072028	NA	NA	0
cg15133363	0.0212825145968259	C7orf68	7	128096265
cg15133917	0.707355140509107	TTN	2	179672637
cg15134628	0.0183392872408643	MAPK12	22	50699649
cg15134649	0.0206367686960358	MT1E	16	56659336
cg15139737	0.0365090453496708	C8G;FBXW5	9	139839391
cg15140807	0.956151270692668	LOC388387	17	41051210
cg15142488	0.985086156451074	LYPD4;DMRTC2	19	42348947
cg15143643	NA	FBLN1	22	45897773
cg15144793	0.00864811410980673	SH3BP4	2	235861303
cg15146720	0.0917214068486883	GALNT11	7	151722621
cg15146752	0.179581026157669	EPHA2	1	16482767
cg15147435	0.0146582234351847	FKBP11	12	49319453
cg15147516	0.09771276236732	MIXL1	1	226411868
cg15147545	0.010093436361092	ITGB1	10	33247604
cg15149098	NA	SULT2B1	19	49055027
cg15149645	0.0564900507523454	NUPR1	16	28550619
cg15149938	0.383700477920471	C22orf34	22	50018392
cg15153383	0.0348841378572402	KATNB1	16	57770620
cg15154229	0.636791096894251	CPA1	7	130020011
cg15156078	0.183563459827262	RASGRF1	15	79383413
cg15156367	0.740179903310004	EPHX4	1	92495004
cg15156836	0.150608930942857	SEPN1	1	26126415
cg15156844	0.981788957675877	DLGAP1	18	3880020
cg15157837	0.0129950419305092	CNNM3	2	97482059
cg15158783	0.440680025295347	PF4	4	74847646
cg15160312	0.0104983287137182	DLG1	3	197025201
cg15160445	0.592537188699966	GNAS;GNASAS	20	57426749
cg15160742	0.0279696352812165	PPPDE1	1	244817222
cg15161055	0.0433648104645199	ECSIT	19	11639555
cg15161785	0.0111699089850672	ADI1	2	3523134
cg15164103	0.115466774846052	MEST	7	130126871
cg15164958	0.0676352008345471	VSTM2A	7	54609587
cg15165084	0.00949882636392421	GRAMD3	5	125759291
cg15166050	0.972134338603872	LCTL	15	66857133
cg15166089	0.688702578087911	CD164L2	1	27710030
cg15167433	0.0438473414877876	XRCC1	19	44079985
cg15169162	0.899722983861385	PRPH2	6	42690308
cg15170424	0.0203509954197517	TMEM55A	8	92052897
cg15170903	0.019771712459345	NA	NA	0
cg15171237	0.950966481612484	CASP3;CCDC111	4	185571958
cg15173196	0.0295066907093329	UBE2T	1	202311278
cg15175266	0.913356236746036	CDH12	5	22854704
cg15175577	0.0230203895848669	C22orf28	22	32808177
cg15177359	0.159005381066446	UNC13D	17	73840750
cg15177917	0.143690140668846	DAND5	19	13080409
cg15178040	0.910058102861944	GSTA5	6	52711494
cg15182360	0.0402409067714866	PCDH20	13	61989737
cg15183083	0.298718309715823	KCNA4	11	30038310
cg15185001	0.0260419226775178	LSR	19	35739448
cg15185286	0.0170135303213084	AIG1	6	143381675
cg15185794	0.0180934446682097	PADI2	1	17446087
cg15185804	0.0288850352524396	PGM3;RWDD2A	6	83902498
cg15186584	0.943737712547906	C9orf24	9	34397651
cg15186869	0.186001570614315	UBR7;C14orf142	14	93673274
cg15187606	0.926125447224723	PDZK1IP1	1	47656853
cg15188491	0.0736635748255642	PRKAB2	1	146644106
cg15188688	NA	CDC45L	22	19468342
cg15191648	0.539518038201538	SALL3	18	76740262
cg15195276	0.0132242760117592	LPAR1	9	113799936
cg15195353	0.879774259561202	GLIS2	16	4382775
cg15195412	0.326699575380401	CX3CL1	16	57406955
cg15198335	0.0260405371117557	DIS3L	15	66586003
cg15200096	NA	KCND1	X	48829104
cg15201291	NA	CYP2C8	10	96830102
cg15201599	0.0252767075186255	COG3	13	46039584
cg15201635	0.0166229062045568	SMPD3	16	68482637
cg15201877	0.0708700494844458	PTGER3	1	71512973
cg15201909	0.564296842807049	IL2RG	X	70331961
cg15202954	0.10031263805276	NALCN	13	102068996
cg15205507	0.0572123070790558	ZNF331	19	54024323
cg15206330	0.0151253474961256	TP53;WRAP53	17	7591591
cg15206445	0.665400843301352	SPG7	16	89573312
cg15207619	0.0725939531847234	CAB39L	13	49975643
cg15207953	0.580151158136613		20	29522467
cg15209169	NA	RABGAP1	9	125702779
cg15210427	0.721475831238272	CST9L	20	23548991
cg15210596	0.0127670669741651	SCCPDH	1	246887325
cg15210999	0.608626916212199	DTNBP1	6	15663538
cg15211655	0.0140711780794831	OSBPL1A	18	21977340
cg15211677	0.137844536837933	WBP5	X	102611451
cg15212440	0.0290869151153266	SFXN2;ARL3	10	104474465
cg15213605	0.0618993826511079	COG4;SF3B3	16	70557485
cg15214092	0.0512076081295628	MRPL12	17	79670496
cg15214137	0.0177774913076107	PGM2L1	11	74109221
cg15215114	0.0177703548259465	C17orf61	17	7307419
cg15219393	0.0403357166309578	PPARGC1B	5	149109878
cg15222604	0.854016870400142	HCFC1	X	153230625
cg15223781	0.0494669225973455	FER	5	108083895
cg15225105	0.013878457242598	SAC3D1	11	64808343
cg15226751	0.888491875667301	LZIC	1	10001911
cg15227610	0.668948003027599	HSPB2;CRYAB	11	111782016
cg15227982	0.161299159911989	C10orf26	10	104535854
cg15228639	0.221790425861505	PLA2G4E	15	42289939
cg15229026	NA	UBAC1	9	138853493
cg15230273	0.121700207355515	EFNA5	5	107006413
cg15231886	0.462897655920564	UTP14A	X	129039863
cg15232450	0.0168786888370915	SETMAR	3	4345438
cg15233681	0.963755443542875	IL1R1	2	102770602
cg15234096	NA	LIX1	5	96479253
cg15235185	0.0447792406710523	TROVE2;UCHL5	1	193028809
cg15235832	0.105108135694107	ACTR2	2	65455536
cg15236866	0.197313221297501	DLX1	2	172948825
cg15238200	NA	TRIM65	17	73893634
cg15238224	0.282968682342245	TRIM31	6	30081408
cg15239123	0.0513590299124914	SMOC1	14	70346413
cg15239579	0.303026132415271	TRAP1	16	3767978
cg15239703	0.0327569800201166	CBR4	4	169931051
cg15240064	0.0381928569897901	ZNF12	7	6746837
cg15241084	0.470247107464403	TLR7	X	12886121
cg15241708	0.677798658118366	CNOT6	5	179920582
cg15242570	0.205266329233643	CTSL1	9	90341048
cg15243024	0.0245361556476446	NRBP1	2	27651571
cg15247031	0.252207447282424	C14orf126	14	31926564
cg15247144	0.0201460378088879	PYCARD	16	31213730
cg15248035	0.86881998519016	CCIN	9	36169949
cg15248979	0.0183281591914746	USP37;RQCD1	2	219434002
cg15249164	0.0126007410083279	ATP5O	21	35288186
cg15250507	0.105020847594966	C1orf106	1	200860365
cg15250797	NA	SCTR	2	120281526
cg15253243	0.0261810590572363	TMEM198;CHPF	2	220408791
cg15253672	0.0225425201996456	SPR	2	73114960
cg15256539	0.0115020376379726	BCKDHB	6	80816434
cg15257765	0.0283193298172674	MRPS11;MRPL46	15	89010459
cg15258980	0.60183218026934	ARHGAP25	2	68961597
cg15259973	0.0449168980917014	DSG2	18	29078565
cg15260250	0.0283192823040417	AP3S1;ATG12	5	115177504
cg15261665	0.124093339820538	LTF	3	46506374
cg15262516	0.144412941967628	COL4A1;COL4A2	13	110958418
cg15262928	0.0711967032872197	TIMM17A	1	201924572
cg15262984	0.0365265431420384	URGCP;UBE2D4	7	43965648
cg15264255	0.0586749176972487	NIPAL2	8	99306718
cg15264273	0.941567163655188	ZNF169	9	97040460
cg15264303	0.094948894422215	LRRC23	12	7013902
cg15264808	NA	CENPN;C16orf61	16	81041398
cg15269294	0.0345353713118627	NUP155	5	37371053
cg15269863	0.0539778645857527	PRSS35	6	84222360
cg15269875	0.618464906794168	H19;MIR675	11	2018018
cg15270851	0.0443925469734418	CARS2	13	111358291
cg15270950	0.0314262308081783	TGFBR2	3	30648819
cg15271594	0.0460391526497787	RPL29	3	52029932
cg15271616	0.0396055000912018	RUSC2	9	35490515
cg15272684	0.58901155530645	KIAA0319L;NCDN	1	36024473
cg15272690	0.0239118454006987	CCDC113	16	58284024
cg15275890	0.869530088365239	SLC25A17	22	41216316
cg15277108	NA	SDS	12	113842998
cg15278682	0.948301686982656	TACR2	10	71175852
cg15278948	0.0181677859722399	ZFAND2B	2	220071103
cg15279364	0.195867707064895	TMEM130	7	98466963
cg15280964	0.064014221187467	RBM34	1	235324133
cg15284635	0.689118107745366	SLC6A11	3	10858504
cg15286372	0.0222132974285812	LRRC1	6	53659348
cg15286905	0.0217047927874591	ACBD5	10	27530250
cg15287183	0.0797775562043981	NA	NA	0
cg15288179	0.0076776546296626	SUB1	5	32585739
cg15293750	0.0113406301942304	TRDMT1	10	17243266
cg15296858	0.929957164402431	PPM1G	2	27633235
cg15297650	0.813718827523938	TMEM163	2	135477056
cg15298323	0.693267277457474	ACAT2	6	160182438
cg15298545	0.86066771695463	ERI2;LOC81691	16	20816476
cg15298594	0.0141498792176344	NBAS	2	15701366
cg15299463	0.0169247704363752	TEAD2	19	49865398
cg15299721	0.00974927326391928	NHEDC2	4	103997510
cg15300989	0.0197602227683669	SIP1	14	39583430
cg15301525	0.0137366511794462	ATP6V0D1	16	67515344
cg15301694	NA	STRN3;AP4S1	14	31496854
cg15301700	0.0368949969124067	SCRT1	8	145560531
cg15302379	0.690561051000945	KAZALD1	10	102821848
cg15302567	0.0482623382872654	NA	NA	0
cg15303841	0.517086806827139	RFPL1S;RFPL1	22	29833804
cg15304928	0.0205676549851617	TMEM9	1	201123562
cg15305343	0.00962251128290855	NSUN4	1	46806357
cg15305511	NA	EVC2;EVC	4	5712676
cg15307169	0.022051946422629	DOK7	4	3465064
cg15307268	0.031712737996083	GPR176	15	40213409
cg15307449	0.72354580978006	NA	NA	0
cg15308737	0.91214618312764	ARSG	17	66303328
cg15309006	0.518240888444407	CHP2	16	23766116
cg15309066	0.0113580356700181	NA	NA	0
cg15309223	0.0131097522682417	TMEM59;C1orf83	1	54519091
cg15309236	0.384198697970535	BHLHB9	X	101975597
cg15309264	0.0223662084697641	VRK2	2	58274034
cg15309578	0.62432773926776	NA	NA	0
cg15310162	0.859219751654412	CLDN14	21	37852822
cg15310873	0.77078963228876	C20orf85	20	56726093
cg15311933	0.0104909628533817	PQLC2;AKR7A2	1	19638897
cg15312298	0.162589519398711	FAM84B	8	127570908
cg15312323	0.669452085455896	KRTAP4-4	17	39317694
cg15315630	0.0233221852870415	ZMYM6	1	35497506
cg15316289	0.960819839085603	ALG12;CRELD2	22	50310904
cg15316334	NA	CEACAM5	19	42211252
cg15317267	0.527170709095659	H19;MIR675	11	2018247
cg15318532	0.0119096775379961	RFXAP	13	37393521
cg15319076	0.0162928160564022	DCTN6	8	30013987
cg15319451	0.0426946749383057	TMEM51	1	15480748
cg15319457	0.098622219001191	HES6	2	239148132
cg15320474	NA	UBD	6	29528005
cg15321195	0.0467824564642682	AGPAT3	21	45285898
cg15321211	0.0382332782544462	HNRNPF	10	43905515
cg15322932	0.0371116330146554	ALDH3B1	11	67777682
cg15329467	NA	CYP19A1	15	51630696
cg15329483	0.448664578562246	SSX7	X	52683974
cg15329642	0.416274822989505	PTCH2	1	45308298
cg15329866	0.754158540764976	PLD1	3	171455826
cg15331039	0.0123651057100112	SH3BGRL2	6	80341283
cg15334028	0.0865511802424492	MIR638;DNM2	19	10829162
cg15337006	0.917032154929101	ITGAM	16	31271009
cg15337055	0.0214245166769028	FOS	14	75745358
cg15337897	0.111357451052959	FGF3	11	69634400
cg15339605	0.0580118712250581	TFEC	7	115670795
cg15341340	0.0243378403820543	DNASE2	19	12992237
cg15341760	0.894554228027108		1	6297890
cg15342384	0.0202247450178464	HNRNPH3;PBLD	10	70091938
cg15343119	0.266760183970747	GALR1	18	74961785
cg15344028	0.884945912291678	ICOS	2	204801510
cg15344726	0.978847559758682	GJA3	13	20717346
cg15345126	0.0304839724273998	RAB27A	15	55582248
cg15348640	0.0145896675868565	ACAA1;MYD88	3	38179985
cg15348799	0.0140777993353459	SKIL	3	170075452
cg15350036	0.254809832339306	CROT;TP53TG1	7	86973677
cg15350194	0.169064650050258	NA	NA	0
cg15350455	0.0292300838156717	C2orf44	2	24270357
cg15352315	NA	CD302	2	160655036
cg15352829	0.882534757040885	PLD4	14	105391018
cg15357518	0.0222219324137026	RBM42	19	36120356
cg15357639	0.94901726875409	OGG1	3	9790443
cg15357945	NA	PRG2	11	57158361
cg15359413	NA	FIGNL1	7	50517931
cg15361231	0.42088824646248	GLRX2	1	193075191
cg15361590	0.266453554048638	PCDHGA4;PCDHGC3;PCDHGA12;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC4;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5	5	140864701
cg15361750	0.788821110706993	GPR77	19	47839132
cg15364303	NA	ROR1	1	64239391
cg15364537	0.280840926548356	MFSD4	1	205538310
cg15364618	0.172974889695406	LTB4R2;CIDEB;LTB4R	14	24780551
cg15365950	0.0159811463873904	KLHDC1	14	50160307
cg15368822	0.061635528669036	TMEM63A	1	226070397
cg15371509	0.0174676225886529	INTS3	1	153700650
cg15372098	0.0193706522145448	C3orf26;MIR548G	3	99537053
cg15373285	0.527683901813576	MEG3	14	101293090
cg15373633	0.112386186041018	DACH2	X	85403474
cg15374234	0.402785234252962	CD300LF;RAB37	17	72709026
cg15375239	0.00809372936098747	SPINT2	19	38755287
cg15375586	0.259455671280926	TBX22	X	79277933
cg15376097	0.12015175333938	MPZL2	11	118135270
cg15377518	0.0767177180390333	ZEB2	2	145278113
cg15377649	0.0187183003066108	ACTN4	19	39138400
cg15378655	0.0443126250971864	NA	NA	0
cg15379237	0.0248337145374584	B4GALT2	1	44445539
cg15379633	0.0929082839541619	RAB36	22	23487586
cg15379858	0.539603364264094	CSGALNACT1	8	19540466
cg15379887	0.0758195848679044	CGGBP1	3	88107415
cg15381313	0.404442170824331	NR1H4	12	100867509
cg15381769	0.0157698432800745	PTPRK	6	128841972
cg15383087	NA	ZFP82	19	36910144
cg15383120	0.0192434453316228	DUSP22	6	291909
cg15383392	0.0371207353890773	CTTN	11	70244691
cg15383574	0.0585926289479632	ATP5S;L2HGDH	14	50779169
cg15384392	0.0180255919930641	ARHGAP1;ZNF408	11	46721921
cg15384599	0.142895440042386	SETMAR	3	4344887
cg15384717	0.0437389052599522	PRPF3	1	150294084
cg15385623	0.232586369295931	THRB	3	24536309
cg15387123	0.164900521259797	CLIC3	9	139891058
cg15389153	NA		3	42819341
cg15392792	0.0204841778798616	MIR638;DNM2	19	10829173
cg15394409	0.0132635179711056	TMEM111	3	10028474
cg15396310	0.0134165947256687	BCL7B	7	72971398
cg15396367	0.258785937475835	UAP1L1	9	139972779
cg15397506	0.0177705063797997	LOC93622	4	6675881
cg15398448	0.0082586714084825	PTOV1	19	50353971
cg15398520	0.43573937609281	LPAL2	6	160932709
cg15399561	0.015049945286255	POP1;HRSP12	8	99129939
cg15401952	0.0607122687718595	KCNIP4	4	21305805
cg15403517	0.237337764622657	SRD5A2	2	31806275
cg15407570	0.656132779847974	STAB1	3	52529524
cg15408407	0.222003445216999	RPS15	19	1438438
cg15408454	0.673546551198811	NA	NA	0
cg15409266	0.225770012984017	NA	NA	0
cg15410903	0.0166813446555322	GSTO2	10	106028780
cg15411984	0.0219677013176695	LRRC23	12	7014090
cg15413566	0.151992226799175	ICA1	7	8301971
cg15414833	0.0111521679824452	RUNDC3B;ABCB1	7	87257767
cg15415507	0.120009275596098	EPHA2	1	16482553
cg15415509	0.0765711986220028	ADRB2	5	148205614
cg15415545	0.0479951627116309	GIYD1;SULT1A3;GIYD2;BOLA2B;BOLA2;SULT1A4	16	30206046
cg15416233	0.00790310480500332	PAX2	10	102505266
cg15416577	0.0183438213956211	CCDC52	3	113234093
cg15417244	0.870557469641489	PDZRN4	12	41831558
cg15417900	0.0275798648216105	PAN2;CNPY2	12	56710096
cg15419274	NA	WFDC3;DNTTIP1	20	44421026
cg15422147	0.454124920145234	SERPINB5	18	61144339
cg15422784	0.924688450239078	LRRC8B	1	90023713
cg15423613	0.0282349672345614	KCTD7	7	66093349
cg15423764	0.800292123170193	GLYAT	11	58499533
cg15423862	0.864347360619974	KCNAB1	3	155838109
cg15425280	0.0437744564426099	GRIA2	4	158141492
cg15425811	0.468330723590748	C22orf27	22	31318181
cg15426734	0.0312107511217146	PARD6A;ACD	16	67695272
cg15427448	0.0735212516982138	BACE1	11	117186896
cg15427567	0.119036845400303	METT11D1	14	21458055
cg15427656	0.0329273422051483	FAM149B1;ECD	10	74928123
cg15427774	0.0296381038864361	GORASP1;TTC21A	3	39149258
