Hybridization REF	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05	TCGA-A8-A0A7-01A-11D-A00Y-05
cg15946545	0.0275558462718557	MRPS31	13	41345183
cg15946807	NA	GADL1	3	30893229
cg15947959	0.0394524217528153	ERGIC1	5	172261155
cg15948326	0.0217390501840514	KCNJ5;C11orf45	11	128775691
cg15949277	0.0219235316448804	ZC3H12A	1	37939724
cg15951107	0.0189598613674131	BAX	19	49458367
cg15952487	0.318000655012078	CD1B	1	158300733
cg15952725	0.852966125255092	CELA2A	1	15783190
cg15954792	NA	CNGA3	2	98986971
cg15955341	0.0135996753837175	GSTM4	1	110198890
cg15957394	0.0909293282778244	AFAP1	4	7941823
cg15958424	NA	ACPP	3	132036067
cg15959756	0.0196374292820293	SPAST	2	32289083
cg15963417	0.0213446994888604	PAH	12	103311300
cg15963971	0.0233305334967138	NA	NA	0
cg15965055	0.0197563858475211	ILDR2	1	166945157
cg15965510	NA	BTAF1	10	93683985
cg15965913	0.0267751264913374	PPPDE1	1	244816200
cg15966253	0.0194307957103163	UBE2E1	3	23847480
cg15966757	0.866232054112412	SLC6A13	12	372259
cg15967525	0.603829404005351	RBM47	4	40517938
cg15970621	0.011892434236124	PHKG2	16	30760244
cg15971505	NA	C6orf203	6	107349930
cg15971836	0.0179785306421541	CCDC88A	2	55647419
cg15972294	0.0335852004791611	GNAI2	3	50273096
cg15972617	0.047154032509925	GM2A	5	150632662
cg15973234	0.105614226796769	KIAA1199	15	81072152
cg15974053	0.0446934924403047	HSD17B14	19	49339789
cg15974062	0.0216464566584419	COPS7A	12	6833012
cg15975283	NA	SLC9A11	1	173571345
cg15976539	0.710623518389994	C18orf16;AQP4	18	24445318
cg15977272	0.592912873536334	EFNB1	X	68048909
cg15977278	0.0100814520423931	NT5DC3	12	104234975
cg15977816	0.0570537447499499	KCNN4	19	44285297
cg15979098	0.0243695888563014	ZNF615	19	52511370
cg15979932	0.313090169168503	CUEDC1	17	55980107
cg15980408	0.137977304636987	NA	NA	0
cg15981265	0.0177155708101584	KLHL32	6	97372856
cg15981554	0.589683984260037	CGB2;SNAR-G2	19	49535338
cg15981753	0.471156640392943	NA	NA	0
cg15982308	0.0155558643672451	RNF5P1;RNF5;AGPAT1	6	32145830
cg15982419	0.437935556352867	RALBP1	18	9474707
cg15983005	0.777729828028647	KRT33A	17	39506938
cg15983520	0.736012214210402	GPT	8	145729106
cg15983538	0.6875964649322	SEMA4A	1	156123411
cg15984612	0.0210551740319807	BOP1;HSF1	8	145514624
cg15984661	0.282818555449069	CCDC8	19	46916520
cg15984822	0.0650285131873753	CCDC6	10	61665988
cg15988232	0.555393807027094	CSPG5	3	47621127
cg15988792	0.0592406402616798	ACSS1	20	25039314
cg15989091	0.51655726443288	LOXL3	2	74780172
cg15990015	0.0319467827794615	DMAP1	1	44679006
cg15991288	0.0112836445163567	WDR47	1	109584447
cg15992730	0.398047108511496	GDF3	12	7848093
cg15993402	0.0128488918001432	CHMP1A;C16orf55	16	89723979
cg15993674	0.0101502630176335	PRNP	20	4667405
cg15994159	0.0152564615439415	RAI1	17	17584505
cg15994781	0.0262888737599187	LNP1;TOMM70A	3	100120402
cg15995002	0.0285984024137079	NA	NA	0
cg15996947	NA	ATP5S;L2HGDH	14	50780115
cg15997411	0.970385744008247	JAK1	1	65352384
cg15998761	0.898681478311206	MFSD6	2	191300784
cg16000832	0.0102775746802187	RCBTB2	13	49106778
cg16000888	0.0208134653524456	RASSF7;C11orf35	11	560951
cg16001460	0.0386238712231392	PRIM2	6	57181802
cg16001913	0.760837826618057	HK1	10	71029644
cg16003238	0.691984937648565	IGDCC3	15	65670876
cg16003500	0.0301842939864927	ADNP	20	49547260
cg16003913	0.598136854811044	MPG	16	127072
cg16004226	0.0943646133306279	B4GALNT4	11	369875
cg16004800	0.0360215543487675	NDUFA9	12	4758496
cg16005224	0.585173054979533	SLC5A8	12	101603174
cg16005443	0.346176038828797	NA	NA	0
cg16007185	0.00959822305139818	TMX1	14	51706820
cg16007628	0.0490504136530304	ZNF207;MIR632	17	30677100
cg16007680	0.0110662342705589	GLI4	8	144349898
cg16008138	0.384269426176519	MARCH10	17	60885892
cg16009558	0.0874275869069625	GRIK2	6	101846707
cg16011258	0.0158619844474213	NECAP2	1	16767021
cg16013246	0.0179850470306621	SNHG3-RCC1;SNHG3	1	28832468
cg16014085	0.485798627530885	ZNF48	16	30406122
cg16016036	0.918497561641344	TPO	2	1417109
cg16016641	0.0445896488715551	C20orf4	20	34824197
cg16016951	0.0178567430340721	DUT	15	48624163
cg16017358	0.0175804847816273	HAT1	2	172779282
cg16017492	NA	EVPL	17	74022575
cg16019273	0.642702761116115	EIF2C4	1	36273185
cg16019620	0.512910460105035	MEP1A	6	46761090
cg16020904	NA	SPATA20	17	48624201
cg16022279	0.710265828887893	ZNF185	X	152086723
cg16022344	0.0124487003437153	COX5B	2	98262540
cg16025584	0.039390524377114	C9orf142	9	139887217
cg16026550	0.0136270671062168	SORL1	11	121323544
cg16028753	0.334731366794465	PODN	1	53527435
cg16028934	0.024287236190147	TP53BP2	1	224034222
cg16029636	0.0217240700941595	NA	NA	0
cg16029760	0.0188539529316734	OSTBETA	15	65341902
cg16029957	0.0282284544553721	NA	NA	0
cg16034046	NA	KIAA0182	16	85646474
cg16034652	0.432716134098904	BTBD7;KIAA1409	14	93798309
cg16035277	0.111278847586893	SLC22A18AS;SLC22A18	11	2923264
cg16035531	0.869687366840797		6	155644853
cg16036738	NA	TBPL2	14	55907007
cg16037142	0.0278932087144411	WDR34	9	131419157
cg16040953	0.01632802447224	KIAA1908;PSMG3	7	1609817
cg16041611	0.0142777997704073	SRF	6	43139680
cg16041660	0.0326031808798299	PRICKLE1	12	42983360
cg16042149	0.190969233234871	NEFH	22	29875947
cg16045696	0.523770637905486	NA	NA	0
cg16046376	0.824543893278889	PC	11	66721779
cg16046465	0.0635193609669665	FRMD5	15	44487192
cg16046951	0.070558606608348	C20orf94;MKKS	20	10414971
cg16047482	0.0119229417283961	WDHD1;SOCS4	14	55493763
cg16049587	0.0676760940872445	NA	NA	0
cg16050349	0.770051009220732	PIK3CB	3	138478129
cg16050784	0.00968241960794355	ASPH	8	62626992
cg16050957	0.00709245407645101	RBBP6	16	24550743
cg16051027	0.0116394900740158	ZNF341	20	32320358
cg16051685	0.84684048858702	TRIM63	1	26394083
cg16052901	0.101953941196928	VPS52;RPS18	6	33240864
cg16054422	NA	SART3	12	108954439
cg16060664	0.0110864782784901	AP3M2	8	42010866
cg16062480	0.0163955302974385	EPRS	1	220219722
cg16063112	0.164511883793571	C10orf107	10	63423079
cg16063666	0.0297371307349622	TP53TG1;CROT	7	86974833
cg16065186	0.109213146710682	ERBB2	17	37856663
cg16068780	NA	SBNO1	12	123835423
cg16068833	0.316276790832626	UBXN11;CD52	1	26644515
cg16069236	0.0231297245081852	MRPL39	21	26980353
cg16069910	0.552220079969232	NXNL1	19	17571528
cg16070444	0.028428896764885	TMEM184B	22	38668323
cg16072030	0.0123238728463844	PPP1R15B	1	204381148
cg16072462	0.344934305653161	PF4	4	74847758
cg16075384	0.0194990790247488	C7orf42	7	66386859
cg16075940	NA		6	109557698
cg16076328	0.60607386048584	EPCAM	2	47597118
cg16077929	0.797058489859633	CDKL1	14	50862509
cg16078836	0.0531108188855561	MAP3K13	3	185081374
cg16080552	0.35430258586655	TACSTD2	1	59043199
cg16082125	0.307291121798637	USP11	X	47092560
cg16084788	0.868943220588516	SLC2A7	1	9086146
cg16085042	0.0248800905140145	LOC253724;HSP90B1	12	104323957
cg16087263	NA	PLA2G2F	1	20465218
cg16090392	0.0220227129508439	AFF1	4	87928170
cg16091845	0.0119189780570893	SMARCA5	4	144434637
cg16092786	0.281669842748517	WT1	11	32455735
cg16092956	0.0283982746191159	ACSL1	4	185747098
cg16094520	0.039408591055037	SHMT1	17	18267123
cg16094954	0.0398184577648892	BCL3	19	45251180
cg16097079	0.20808386590146	HLA-C	6	31239916
cg16097772	0.850634333921681	LYZ	12	69742232
cg16098170	0.747497136549071	JSRP1	19	2255848
cg16098726	0.935187540445031	GP9	3	128778738
cg16098981	0.0781554937356788	TMEM90B	20	24449865
cg16101572	0.0187167133259872	ZNF219;C14orf176	14	21566698
cg16101800	0.766260066933585	PCK1	20	56136569
cg16104446	0.0585303582306139	MCM4;PRKDC	8	48873951
cg16106497	0.501820059005444	NA	NA	0
cg16107172	0.884886245716584	SLC27A5	19	59023222
cg16107553	0.0199496790706589	PPP2R5E	14	64010427
cg16108132	0.0214680403895326	ANXA7	10	75174197
cg16109297	0.103635361108524	CDC20	1	43824900
cg16111791	0.0302501853293988	CACNB4	2	152955109
cg16112050	0.720855089298691	ENOSF1	18	713200
cg16112129	0.276987592406199	DRD1	5	174870968
cg16112157	0.795855309775347	KRT6A	12	52887685
cg16112945	NA	ADAMTS13	9	136285806
cg16114640	0.0549656833363223	THSD1	13	52980000
cg16116363	0.0116898501069869	SH3GLB1	1	87170624
cg16118817	0.386600375585815	FEM1A	19	4792497
cg16119128	NA	C15orf52	15	40630304
cg16119274	0.0297408262095704	MPHOSPH6	16	82204391
cg16120811	0.0112254069227743	WEE1	11	9594484
cg16121444	0.0236913966524422	BLZF1;NME7	1	169337314
cg16122592	0.468200236788593	MAGEB6	X	26210712
cg16124337	0.021898779477679	UBE2J1	6	90062879
cg16124821	0.0126783291757912	ZNF706	8	102218091
cg16125615	NA	CAPS	19	5913035
cg16127845	0.0268943318690025	GPER;C7orf50	7	1126423
cg16127900	0.41210181967031	NA	NA	0
cg16128363	0.837657591609125	DLGAP1	18	3880558
cg16129797	0.0156681244502641	MRPL15	8	55047904
cg16129988	0.0468753195396488	UQCRC1	3	48647215
cg16131766	0.763575007398046	MKRN3	15	23810280
cg16133244	0.659333076050172	C16orf42;GNPTG	16	1400833
cg16137862	0.0517953036528108	BCL2L1	20	30310246
cg16139316	0.818851838759714	S100A9	1	153330758
cg16140179	0.368647080977926	SPERT	13	46275352
cg16141690	0.100341867475074	C14orf119;ACIN1	14	23563715
cg16142218	NA	CHMP7	8	23101221
cg16142977	0.0202330481112109	EEF2	19	3985688
cg16144006	0.851767286590473	NA	NA	0
cg16148270	NA	DIRAS3	1	68516465
cg16148403	0.0185099322982333	SEPSECS	4	25161816
cg16148454	0.950551528323097	TMED6	16	69385606
cg16150435	0.657158552957214	C6orf15	6	31080529
cg16152813	0.0359248600172539	FAM57B	16	30042407
cg16153267	0.582375763162679	RB1	13	48893968
cg16154416	0.301448676289656	RASGRF1	15	79382767
cg16155382	0.051588394709979	GRHL3	1	24646191
cg16155588	NA	CUL4A;PCID2	13	113861933
cg16155702	0.642466612492809	FGF21	19	49260210
cg16158220	0.676983716493015		2	79383891
cg16158681	0.211450890588371	MT3	16	56623109
cg16158807	0.114608899583288	WNK2	9	95946891
cg16158874	0.583448734509716	GPR4	19	46095562
cg16159313	0.95685295152866	ACY1	3	52018129
cg16160720	0.024965388211799	RASA1	5	86563744
cg16161425	0.021971781845	MSH3;DHFR	5	79950956
cg16166399	0.0266393787182051	ZBTB45	19	59030753
cg16168311	0.0705114415567091	APOA1BP	1	156561947
cg16169604	0.03664005563557	GPR148	2	131485486
cg16173067	0.616245086843036	SDCBP2	20	1309722
cg16173109	0.625608668555695		2	242945447
cg16174071	NA	ANXA8L2	10	47746195
cg16174234	0.0227085329003513	C19orf40;CCDC123	19	33463305
cg16175263	0.15683283069301	TNFRSF10C	8	22960385
cg16175725	0.908733517475656	HNF1A	12	121416796
cg16175792	0.324692306424222	HSD3B1	1	120050104
cg16176301	0.0127096279728332	ST5;C11orf17	11	8933372
cg16176379	0.222084661401406	LPCAT2	16	55543049
cg16176600	0.441772702763096	FRK	6	116381609
cg16177163	NA	MTERFD1;PTDSS1	8	97272787
cg16177830	0.35419487403373	TNFRSF17	16	12059019
cg16178491	0.0869755469623643	SLC5A8	12	101603996
cg16179125	0.0189562095634647	CTSZ	20	57582121
cg16181202	0.0543463742643441	CTSO	4	156875136
cg16182127	NA	SASS6;CCDC76	1	100598516
cg16184930	0.0179781623279939	DICER1;FLJ45244	14	95623699
cg16184943	0.237859139458142	ZNF280B	22	22863293
cg16185365	0.0164623774991963	RNF168	3	196230308
cg16188038	0.013471904441001	ZNF622	5	16465766
cg16188243	0.0433832825090775	SGTA	19	2783719
cg16189954	0.0112495494506781	HSCB;CHEK2	22	29138267
cg16191009	0.817092039320365	CPNE9	3	9745369
cg16191875	0.632810351829504	NA	NA	0
cg16192029	0.741097250093239	ANKRD7	7	117864674
cg16192575	0.798716809813822	PTPN20B;PTPN20A	10	48828106
cg16192916	0.0132566156997649	PSME4	2	54197794
cg16193203	0.861924668417989	USP54	10	75313138
cg16194715	0.830672809267206	SMAD9	13	37453926
cg16195804	0.0284293330488299	C12orf65	12	123717050
cg16196602	0.0577168233682994	SF3B2	11	65819332
cg16196812	0.390372051431219	PRLHR	10	120355139
cg16199381	0.0268051260761851	TSTD2;NCBP1	9	100396477
cg16200844	0.012467824008181	ITCH	20	32951410
cg16202564	0.152009232463037	MATN2	8	98881927
cg16204289	NA	FAM176A	2	75796759
cg16204757	0.413358913747968	MSN	X	64887739
cg16205058	0.0509666169618805	APEX1;OSGEP	14	20924369
cg16208136	0.0374260234049249	GEM	8	95274252
cg16208271	0.0163164555882027	ENTPD6	20	25176149
cg16208448	0.1197374781707	NA	NA	0
cg16208491	0.114895900397344	PRPF4B	6	4021748
cg16209630	0.00892115349491472	ZNHIT2	11	64885070
cg16211684	0.0301959283161173	PCDH21	10	85954622
cg16213655	0.0934279632003948	NA	NA	0
cg16213976	0.0297828557841971	PIGO	9	35096797
cg16215361	0.781619600957741	MUC15;ANO3	11	26594620
cg16218254	0.0313980941218066	IMMP2L	7	111202755
cg16218377	0.0102418158969741	CAPRIN1	11	34073324
cg16218387	0.0177895636779795	FAM8A1	6	17600646
cg16218424	0.0554096140210104	CMAS	12	22198973
cg16219122	NA	RUNDC3B;ABCB1	7	87343956
cg16220183	0.113021351733829	SEPT4	17	56609687
cg16220802	0.0143354969371621	MAPKSP1	4	100815812
cg16221059	0.111093685035772	PLS3	X	114795485
cg16222568	0.783315698233404	SPEG	2	220308071
cg16222698	0.0222857225059137	REXO2	11	114310578
cg16222762	0.0438896768130292	SYT4	18	40857464
cg16224854	0.0158938451167219	NAIF1;SLC25A25	9	130829986
cg16225091	0.715527645932951	ODF3	11	197224
cg16225429	0.0249260407564607	TUSC2	3	50365552
cg16225441	0.0912749823218069	BECN1	17	40976328
cg16225753	0.0117578955880356	MAD2L1	4	120988337
cg16227684	0.459863313723283	GDI1	X	153664862
cg16227775	0.242683536464263	ABCB7	X	74376251
cg16228804	0.0176111839044171	PKN2	1	89150099
cg16232126	0.463765551438091	SLC5A7	2	108603005
cg16232979	0.0194447244369437	TPM4	19	16187631
cg16233911	0.0143496356260665	NA	NA	0
cg16233998	0.024503102500336	NA	NA	0
cg16235034	NA	FRMPD1	9	37650629
cg16235860	0.0169763255233083	USP1	1	62902122
cg16236759	0.0187616537031198	UBE2I	16	1359182
cg16236875	0.0585834072623493	C1R	12	7245112
cg16237595	0.0192856794775122	RNF41	12	56615720
cg16239406	0.0132363110680472	MTCH1	6	36954249
cg16240480	0.263046058100575	EDARADD	1	236557473
cg16241648	0.0141976558673412	ARPC1A	7	98923114
cg16241714	0.0218264151250287	CEBPD	8	48650511
cg16242770	NA	KRTAP17-1	17	39471738
cg16243644	0.418371552378406	STAG2	X	123095766
cg16243646	0.0589944513292811	PLA2G12A	4	110651822
cg16245261	0.099547783696395	PRKCDBP	11	6342357
cg16245339	0.0139199674547186	DECR2	16	451507
cg16245844	0.0130965813399783	ADIPOR2	12	1800488
cg16246410	0.0148802346138419	NR4A2	2	157189316
cg16248277	0.166971707547223	FGF8	10	103536063
cg16249454	NA	CXCL2	4	74965075
cg16249711	0.955578403578262	TBPL2	14	55907501
cg16250355	0.0156285496273316	SMARCC1	3	47823674
cg16250754	0.240853604860681	CARD6	5	40841579
cg16253168	0.0129232068676825	NOL7	6	13614902
cg16253412	0.0799314503238903	TPST1	7	65670776
cg16254309	0.404667354952466	CNTNAP2	7	145814152
cg16254764	0.0232599323050901	HDAC11	3	13521178
cg16256230	0.423832096758983	KIF4A;PDZD11	X	69510071
cg16256504	0.0842476632757588	WNT6	2	219724157
cg16256610	0.00745791267234348	REEP4	8	21999381
cg16256643	0.0813029011417665	NDUFB7	19	14683110
cg16257040	0.0120779249006852	RMND5B	5	177557700
cg16257086	0.018936467531026	CD46	1	207925400
cg16257091	0.0509987470794781	BDNF	11	27743580
cg16257685	0.0171108121583782	UCHL3	13	76124267
cg16261965	0.0526434854481636	ARF3	12	49350941
cg16263182	0.324922367195587	HBA2	16	223399
cg16264526	NA	EDNRA	4	148401273
cg16267059	0.0245311957096564	MFAP1	15	44117132
cg16267266	0.92278683124085	IL17F	6	52109232
cg16267491	0.0202051553781512	LOC256880;H2AFZ	4	100871315
cg16268051	0.0108432147618256	CDC42	1	22379390
cg16268429	0.0853180053602633	C5orf33	5	36242136
cg16268563	0.787869466419859	ATP6V1G2;NFKBIL1	6	31513680
cg16269097	0.518620874948016	CASK	X	41783155
cg16270091	0.0299824168374936	QRICH1	3	49131884
cg16270890	0.129341472961018	HAGH;FAHD1	16	1875963
cg16270990	0.575106976589738		11	130542897
cg16272420	0.589238665984988	PNLIPRP2	10	118381044
cg16273524	0.0128301109298077	THUMPD2	2	40006334
cg16273597	0.0384661970140701	CD83	6	14117480
cg16273788	0.0264251533982274	LINS1;ASB7	15	101142760
cg16274148	0.0147601274438368	C9orf156	9	100684771
cg16275172	0.0101077461823672	TMOD3	15	52121933
cg16276070	0.0139718352774659		19	58070951
cg16276199	0.015486771915053	PPP1CB	2	28974102
cg16279786	0.97487131601975	NRXN1	2	51255306
cg16280313	0.0238038584305968	PEX16	11	45939543
cg16280667	0.665971755495781	CXCR5	11	118754593
cg16280922	0.0235463944589915	C1orf25;C1orf26	1	185125973
cg16281796	0.0248357517671133	PEX26	22	18560863
cg16282101	0.0164802978254201	FAHD2A	2	96068839
cg16282679	0.945943858829934	EGFL8	6	32134310
cg16284168	0.0294783319813785	MCM7;AP4M1	7	99698217
cg16284292	0.0195314035442366	ZBTB43	9	129567924
cg16286776	0.010325909984254	EIF2C2	8	141644897
cg16290693	0.0256270959463921	NA	NA	0
cg16290737	0.142071384631581	CHGA	14	93389246
cg16293088	0.0181918862989429	NF2	22	29999326
cg16293105	0.036595446680861	SIGLEC6	19	52034970
cg16293656	0.202159067163586	FGF17	8	21900438
cg16293991	0.0496983269852544	NA	NA	0
cg16295988	0.0178885586125888	C9orf80	9	115480625
cg16296356	NA	RAD51L3	17	33447110
cg16297030	0.637492611866672	AGXT2	5	35047946
cg16298264	0.0112129592162848	MBLAC2;POLR3G	5	89770699
cg16298282	0.102101637399173	KIAA0776	6	96969423
cg16299341	0.0306712818538009	OSBPL9	1	52082824
cg16299616	0.0230764075486655	NA	NA	0
cg16301617	0.386369216938595	TMC8;TMC6	17	76128906
cg16302441	0.601081426600765	POMC	2	25391830
cg16303453	0.124200057321454	CA7	16	66879016
cg16303562	0.378522519622931	MSR1	8	16050333
cg16306115	0.061906205377499	KAAG1;DCDC2	6	24358306
cg16306381	0.0131864200340881	STRADA	17	61819073
cg16307860	0.0600588673276082	C1orf58;AIDA	1	222886951
cg16310262	0.038908465115658	C15orf44	15	65903328
cg16310717	0.131906946646839	CCND2	12	4383619
cg16312163	0.0346805139839396	ALDH1L1	3	125899401
cg16312647	0.0177137277703493	PPIB	15	64455677
cg16312916	0.0101464957789774	ACAD10;BRAP	12	112123964
cg16313343	0.0403983557818117	BRF1	14	105768109
cg16313587	0.0211291575394418	BRF2	8	37707285
cg16315923	0.0194478157685806	KIAA0195	17	73453100
cg16317961	0.0190625003201888	MAPRE2	18	32621748
cg16319213	0.0186290059251426	NA	NA	0
cg16319578	0.0259228498406843	HSPA2	14	65007512
cg16321029	0.474647587229254	SNRPN	15	25068850
cg16323498	0.0161603151796256	ATPAF2;C17orf39	17	17943126
cg16324018	NA	ELMOD3;RETSAT	2	85580627
cg16326979	0.0130756127534903	OXR1	8	107670161
cg16328273	0.00976681751441673	CCNE2	8	95908119
cg16328820	0.0180072537811905	DLD	7	107531982
cg16330965	0.409509528133474	SNAPC5	15	66790390
cg16332060	0.0300281122167966	C11orf60	11	118436807
cg16332224	0.652986678989556	MOCS3;DPM1	20	49576406
cg16332577	0.0770851752975298	C17orf37	17	37886349
cg16334519	0.835585282962227	NA	NA	0
cg16334795	0.479137687856938	BACE2	21	42538894
cg16334840	NA	SCLY	2	238968944
cg16335762	0.0971795944487673	CMTM3	16	66637919
cg16336120	0.0278587173919521	RAMP3	7	45197318
cg16338035	0.0216505232025325	C3orf58	3	143691269
cg16338347	0.0150666811692025	ALCAM	3	105085463
cg16338822	0.0195188924350655	TPX2	20	30326883
cg16339185	0.0149702928966999	SGOL1	3	20227809
cg16340268	0.0461784794746245	ITPKB	1	226925172
cg16340918	0.0138521417989446	KIF11	10	94352700
cg16341373	0.0201449685819279	CDCA8	1	38157962
cg16342780	0.786571570857283	PLXNB3	X	153030343
cg16343696	0.0133592566036687	KPNA6	1	32574126
cg16343842	0.351373348699062	CD99L2	X	150066722
cg16345226	0.0406875661972617	TMEM38A;C19orf42	19	16771394
cg16345880	0.0255306950896931	SARS	1	109756737
cg16348491	0.0234895570030112	MYL12B	18	3262664
cg16351002	0.595832365481814	FAM24B	10	124610101
cg16351184	0.00811498592216361	WDR85	9	140473184
cg16352283	0.240849254668539	FAM46B	1	27338978
cg16353413	0.0182208919206648	CENPB	20	3767628
cg16353836	0.0109966065871856	SAFB2;SAFB	19	5623459
cg16354207	0.0875010237821782	UBE2F	2	238874908
cg16356516	0.955651826848848	AARS;EXOSC6	16	70286390
cg16356956	0.808677080510697	CSF2RB	22	37317934
cg16357381	0.0288361638763886	COL7A1	3	48632892
cg16357921	0.153104506369993	CDK20	9	90589634
cg16358738	0.775110466425082	AGXT	2	241808595
cg16358826	0.11932972179673	GABRA4	4	46996264
cg16359129	NA	C1orf226;C1orf111	1	162347752
cg16360372	NA	SPINK1	5	147212728
cg16360444	0.0299889294508709	ITGA7	12	56102181
cg16361890	0.575887919316423	LTC4S	5	179220545
cg16362133	0.0200089963434873	SLC11A2	12	51420474
cg16363586	0.141290183083582	BST2	19	17516329
cg16366323	0.0302695013206707	C17orf105;DUSP3	17	41856855
cg16367027	NA	C9orf43;POLE3	9	116174442
cg16367232	0.11657972015957	UTP14A	X	129040481
cg16370389	0.945624652528076	PTTG2;TBC1D1	4	37962041
cg16370737	0.280526101570744	NA	NA	0
cg16371833	0.478928700807963	NA	NA	0
cg16372520	0.169257081940391	NRXN3	14	78869751
cg16375728	0.01197158191854	LRRC45;STRA13	17	79980611
cg16376234	0.0578491993156208	TOP1	20	39657506
cg16377872	0.853333913240721	SLC1A6	19	15084823
cg16377880	0.528549772417343	CYP4F3	19	15751167
cg16378421	0.0429162563108665	ABCC5	3	183736171
cg16379513	0.812528919730929	LOC100128071;TSSK3	1	32827150
cg16381688	NA	ACOT13;TTRAP	6	24665947
cg16381752	0.0361457629967315	TOR1AIP2	1	179847085
cg16382256	0.0200104212567555	EPHB3	3	184279657
cg16382322	0.0429391900014324	ARAP3	5	141061902
cg16382382	0.0145377415366562	TGFBR3	1	92351047
cg16384137	0.707343775331998	C13orf16	13	111972997
cg16385933	0.0134439330311585	LOC282997;PDCD4	10	112631792
cg16386080	0.341718614538261	CDK20	9	90589146
cg16386158	NA	IL1RL1	2	102927397
cg16387606	0.0217654015192867	NA	NA	0
cg16388829	0.0165830316454932	ARID5A	2	97202323
cg16390856	0.688252239889091	NA	NA	0
cg16391151	0.0126856748119591	NOD1	7	30518197
cg16391792	0.817150725941372	LIPC	15	58723657
cg16393207	0.746002150973416	GDPD5	11	75237739
cg16394138	0.00962384934650452	XPR1	1	180601363
cg16396417	0.13224886898919	MZF1;LOC100131691	19	59085259
cg16396488	NA	PLA2G1B	12	120766223
cg16396948	0.795590703232112	PHLDB2	3	111603394
cg16398289	NA	WDR49	3	167372745
cg16399745	0.157095188699647	NCAPD2	12	6604039
cg16400825	0.0156728370576701	ITPR3	6	33589418
cg16404106	0.492289145779	CCDC81	11	86085623
cg16404689	0.0146157444253637	C1orf156;C1orf112	1	169764273
cg16405575	0.0148202788935256	TSPAN9	12	3186173
cg16405957	0.887457026109987	KRT2	12	53045793
cg16406212	0.0187474518223448	UBXN2A	2	24163862
cg16408394	0.0248402254084993	RXRA	9	137219075
cg16408565	NA	ORM2	9	117090924
cg16408970	0.145365977734193	BAMBI	10	28965584
cg16409869	0.0193038077475219	NDUFC2	11	77790796
cg16411152	0.59112029934433	ADAM29	4	175839604
cg16413535	0.890916645700104	TKTL2	4	164395149
cg16413777	NA	RSAD1	17	48555933
cg16414852	0.460534272621451	SULT1B1	4	70626128
cg16414945	0.0674001757417012	DUSP12	1	161719333
cg16415058	0.285143417111928	SORCS1	10	108923781
cg16415646	0.810363958183624	LOC285954;INHBA	7	41743001
cg16417437	0.0471527864618453	TMEM126A	11	85358767
cg16417937	0.0109079454262587	NUDC	1	27248012
cg16418163	0.0120070463601899	ACPL2	3	140950828
cg16418329	0.585238314468023	C4orf35	4	71200751
cg16418684	0.031557193743568	VWCE	11	61062205
cg16419345	0.0309652179982953	ACOX1;C17orf106	17	73976089
cg16420530	0.0204324128132036	ING2	4	184426759
cg16420888	0.017108582213721	C11orf68;DRAP1	11	65687479
cg16421285	NA	SAE1	19	47633827
cg16421589	0.0211050998809925	PANK3	5	168006761
cg16422907	NA	CCNA1	13	37006734
cg16425577	0.0241625037855219	DENND3	8	142139654
cg16426459	0.231188113026771	MLPH	2	238396155
cg16427670	0.187558912881049	ARHGEF7	13	111766902
cg16428251	0.364706644399915	SOX14	3	137483479
cg16429439	0.327665153168853	MAGT1	X	77150966
cg16431978	0.471962324031028	KRTAP13-3	21	31797932
cg16433922	NA	SFRP4	7	37956704
cg16434306	0.930770491034453	C5orf23	5	32788128
cg16434546	NA	SFRS12IP1;SDCCAG10	5	64063849
cg16435601	0.0171726010717956	BPTF	17	65822392
cg16438432	0.0233129013024727	HNRNPD	4	83294858
cg16440909	0.289988801441104	MAMLD1	X	149613745
cg16442715	NA	MAP3K7IP1	22	39796206
cg16443152	0.0285373698833935	CAMSAP1L1	1	200708104
cg16443939	0.0373075086280479	ERLIN1	10	101945124
cg16444968	NA	CPNE7	16	89641723
cg16446783	0.421423238500423	MRGPRX4	11	18193360
cg16449464	0.160793323825046	MAP1D	2	172864337
cg16449972	NA	ZNF423	16	49861382
cg16452396	0.479500277044294	PHF6	X	133507394
cg16454349	0.705527959075909	SEPT12;LOC440335	16	4837889
cg16456919	0.805118070543427	LRRN2	1	204655378
cg16462075	0.733337898366821		7	100544220
cg16463460	0.527281504200749	WT1	11	32454718
cg16464322	NA	HNRNPL	19	39343574
cg16465769	0.691002428525292	SLC22A7	6	43266151
cg16465939	0.404515634862479	KCNQ1	11	2554410
cg16466334	0.671010851466646	MMP3	11	102714358
cg16467694	NA	POLR2G	11	62529198
cg16468729	0.1834225638628	IL8	4	74606465
cg16468910	NA	SNX4	3	125238791
cg16469386	0.00816933070500006	SLC38A1	12	46662743
cg16470760	NA	CD4	12	6898217
cg16470957	0.019422649659828	TUSC4;CYB561D2	3	50388565
cg16473288	0.892055386928531	OR1N1	9	125290120
cg16474684	0.0218468001081525	RNF4	4	2470049
cg16474696	0.0315312920051571	MRI1	19	13875014
cg16475089	0.0114983533736108	NA	NA	0
cg16477324	0.0179250337554056	ITPKC;ADCK4	19	41223331
