Hybridization REF	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05	TCGA-A2-A0T3-01A-21D-A112-05
cg16069236	0.0195292601657262	MRPL39	21	26980353
cg16069910	0.937926710250816	NXNL1	19	17571528
cg16070444	0.0251056319221533	TMEM184B	22	38668323
cg16072030	0.0127501107177982	PPP1R15B	1	204381148
cg16072462	0.744463272896465	PF4	4	74847758
cg16075384	0.0246378937815023	C7orf42	7	66386859
cg16075940	NA		6	109557698
cg16076328	0.0582298774566982	EPCAM	2	47597118
cg16077929	0.948990790045629	CDKL1	14	50862509
cg16078836	0.0719781041400855	MAP3K13	3	185081374
cg16080552	0.102707110618167	TACSTD2	1	59043199
cg16082125	0.407471717135304	USP11	X	47092560
cg16084788	0.975195587011245	SLC2A7	1	9086146
cg16085042	0.0145081700359507	LOC253724;HSP90B1	12	104323957
cg16087263	NA	PLA2G2F	1	20465218
cg16090392	0.106729633510439	AFF1	4	87928170
cg16091845	0.00865921687418945	SMARCA5	4	144434637
cg16092786	0.702680530730181	WT1	11	32455735
cg16092956	0.0204670910854062	ACSL1	4	185747098
cg16094520	0.0169506546152096	SHMT1	17	18267123
cg16094954	0.0192851703719261	BCL3	19	45251180
cg16097079	0.298765122353026	HLA-C	6	31239916
cg16097772	0.894737233851535	LYZ	12	69742232
cg16098170	0.893024904825353	JSRP1	19	2255848
cg16098726	0.966898681024287	GP9	3	128778738
cg16098981	0.694679955411101	TMEM90B	20	24449865
cg16101572	0.0108903004452795	ZNF219;C14orf176	14	21566698
cg16101800	0.961654427153521	PCK1	20	56136569
cg16104446	0.0781104920616506	MCM4;PRKDC	8	48873951
cg16106497	0.045755030197411	NA	NA	0
cg16107172	0.953511524918518	SLC27A5	19	59023222
cg16107553	0.0173829811058052	PPP2R5E	14	64010427
cg16108132	0.0357579358932076	ANXA7	10	75174197
cg16109297	0.15663010250015	CDC20	1	43824900
cg16111791	0.0977366992148811	CACNB4	2	152955109
cg16112050	0.862090173800576	ENOSF1	18	713200
cg16112129	0.814112830300114	DRD1	5	174870968
cg16112157	0.689108906712727	KRT6A	12	52887685
cg16112945	NA	ADAMTS13	9	136285806
cg16114640	0.0557584140914368	THSD1	13	52980000
cg16116363	0.0120397660615908	SH3GLB1	1	87170624
cg16118817	0.321497959982421	FEM1A	19	4792497
cg16119128	NA	C15orf52	15	40630304
cg16119274	0.0313667550961684	MPHOSPH6	16	82204391
cg16120811	0.00990964102603705	WEE1	11	9594484
cg16121444	0.0206072351882054	BLZF1;NME7	1	169337314
cg16122592	0.780636041613785	MAGEB6	X	26210712
cg16124337	0.0393982876099169	UBE2J1	6	90062879
cg16124821	0.01167632352288	ZNF706	8	102218091
cg16125615	NA	CAPS	19	5913035
cg16127845	0.0409393052898764	GPER;C7orf50	7	1126423
cg16127900	0.538859309954017	NA	NA	0
cg16128363	0.964098721519001	DLGAP1	18	3880558
cg16129797	0.0145538744556417	MRPL15	8	55047904
cg16129988	0.0468880683827197	UQCRC1	3	48647215
cg16131766	0.577316831991745	MKRN3	15	23810280
cg16133244	0.855116026826147	C16orf42;GNPTG	16	1400833
cg16137862	0.0652684588279618	BCL2L1	20	30310246
cg16139316	0.947935551370485	S100A9	1	153330758
cg16140179	0.513017743899323	SPERT	13	46275352
cg16141690	0.302032142840497	C14orf119;ACIN1	14	23563715
cg16142218	NA	CHMP7	8	23101221
cg16142977	0.012319802393452	EEF2	19	3985688
cg16144006	0.982439697996358	NA	NA	0
cg16148270	NA	DIRAS3	1	68516465
cg16148403	0.021394724741172	SEPSECS	4	25161816
cg16148454	0.887125127797723	TMED6	16	69385606
cg16150435	0.783213479849605	C6orf15	6	31080529
cg16152813	0.241615722480332	FAM57B	16	30042407
cg16153267	0.815501970884722	RB1	13	48893968
cg16154416	0.577519983216218	RASGRF1	15	79382767
cg16155382	0.0259844834786447	GRHL3	1	24646191
cg16155588	NA	CUL4A;PCID2	13	113861933
cg16155702	0.899082952054551	FGF21	19	49260210
cg16158220	0.895417452828709		2	79383891
cg16158681	0.725260334383853	MT3	16	56623109
cg16158807	0.748358321771728	WNK2	9	95946891
cg16158874	0.796878475698146	GPR4	19	46095562
cg16159313	0.956971238984658	ACY1	3	52018129
cg16160720	0.0133124915125245	RASA1	5	86563744
cg16161425	0.0226687925793728	MSH3;DHFR	5	79950956
cg16166399	0.0242895966394104	ZBTB45	19	59030753
cg16168311	0.122377007262257	APOA1BP	1	156561947
cg16169604	0.612270735964782	GPR148	2	131485486
cg16173067	0.772957045155867	SDCBP2	20	1309722
cg16173109	0.855489109642521		2	242945447
cg16174071	NA	ANXA8L2	10	47746195
cg16174234	0.0465716100691346	C19orf40;CCDC123	19	33463305
cg16175263	0.716260573420462	TNFRSF10C	8	22960385
cg16175725	0.974305439002386	HNF1A	12	121416796
cg16175792	0.828869718459902	HSD3B1	1	120050104
cg16176301	0.0135634974659959	ST5;C11orf17	11	8933372
cg16176379	0.796250110898173	LPCAT2	16	55543049
cg16176600	0.0830601243578767	FRK	6	116381609
cg16177163	NA	MTERFD1;PTDSS1	8	97272787
cg16177830	0.880585865612573	TNFRSF17	16	12059019
cg16178491	0.293461171957515	SLC5A8	12	101603996
cg16179125	0.0239458442243261	CTSZ	20	57582121
cg16181202	0.0255795843229289	CTSO	4	156875136
cg16182127	NA	SASS6;CCDC76	1	100598516
cg16184930	0.0211367760390617	DICER1;FLJ45244	14	95623699
cg16184943	0.694341575204523	ZNF280B	22	22863293
cg16185365	0.0142957783555477	RNF168	3	196230308
cg16188038	0.0146999618771212	ZNF622	5	16465766
cg16188243	0.0537123235399491	SGTA	19	2783719
cg16189954	0.00740453642378388	HSCB;CHEK2	22	29138267
cg16191009	0.915110718339251	CPNE9	3	9745369
cg16191875	0.746872612710025	NA	NA	0
cg16192029	0.983341226760651	ANKRD7	7	117864674
cg16192575	0.492104287953727	PTPN20B;PTPN20A	10	48828106
cg16192916	0.0111541682952594	PSME4	2	54197794
cg16193203	0.919368829847091	USP54	10	75313138
cg16194715	0.924934496885733	SMAD9	13	37453926
cg16195804	0.0239537335665339	C12orf65	12	123717050
cg16196602	0.0351301221607783	SF3B2	11	65819332
cg16196812	0.565924805050102	PRLHR	10	120355139
cg16199381	0.0260977708330527	TSTD2;NCBP1	9	100396477
cg16200844	0.0119695231741936	ITCH	20	32951410
cg16202564	0.0977693793894629	MATN2	8	98881927
cg16204289	NA	FAM176A	2	75796759
cg16204757	0.385537221266198	MSN	X	64887739
cg16205058	0.0583211903040982	APEX1;OSGEP	14	20924369
cg16208136	0.750324768624518	GEM	8	95274252
cg16208271	0.0139657543939496	ENTPD6	20	25176149
cg16208448	0.14969540719447	NA	NA	0
cg16208491	0.125820182108884	PRPF4B	6	4021748
cg16209630	0.0128337665294586	ZNHIT2	11	64885070
cg16211684	0.539190363403767	PCDH21	10	85954622
cg16213655	0.0187154581447932	NA	NA	0
cg16213976	0.0199854402972456	PIGO	9	35096797
cg16215361	0.886218477325861	MUC15;ANO3	11	26594620
cg16218254	0.0433829874948643	IMMP2L	7	111202755
cg16218377	0.00780325165227696	CAPRIN1	11	34073324
cg16218387	0.0138213551977337	FAM8A1	6	17600646
cg16218424	0.0578025240595087	CMAS	12	22198973
cg16219122	NA	RUNDC3B;ABCB1	7	87343956
cg16220183	0.535927106025805	SEPT4	17	56609687
cg16220802	0.016815256427233	MAPKSP1	4	100815812
cg16221059	0.397817076193413	PLS3	X	114795485
cg16222568	0.945469796116129	SPEG	2	220308071
cg16222698	0.0756660106191833	REXO2	11	114310578
cg16222762	0.496062177942792	SYT4	18	40857464
cg16224854	0.00837124348738563	NAIF1;SLC25A25	9	130829986
cg16225091	0.892812049900833	ODF3	11	197224
cg16225429	0.0203368157253156	TUSC2	3	50365552
cg16225441	0.181283107194919	BECN1	17	40976328
cg16225753	0.0220219417549654	MAD2L1	4	120988337
cg16227684	0.523374827875356	GDI1	X	153664862
cg16227775	0.254265900466398	ABCB7	X	74376251
cg16228804	0.0185391459217833	PKN2	1	89150099
cg16232126	0.598590104935951	SLC5A7	2	108603005
cg16232979	0.00867304038679818	TPM4	19	16187631
cg16233911	0.0819606398555126	NA	NA	0
cg16233998	0.0742856595972303	NA	NA	0
cg16235034	NA	FRMPD1	9	37650629
cg16235860	0.00995453020987382	USP1	1	62902122
cg16236759	0.0116469396478621	UBE2I	16	1359182
cg16236875	0.0361253695121036	C1R	12	7245112
cg16237595	0.0131256720529569	RNF41	12	56615720
cg16239406	0.00923535470544704	MTCH1	6	36954249
cg16240480	0.0372560677539624	EDARADD	1	236557473
cg16241648	0.0155352477056889	ARPC1A	7	98923114
cg16241714	0.00594985686462322	CEBPD	8	48650511
cg16242770	NA	KRTAP17-1	17	39471738
cg16243644	0.319413743007404	STAG2	X	123095766
cg16243646	0.0405473131414498	PLA2G12A	4	110651822
cg16245261	0.813095565503155	PRKCDBP	11	6342357
cg16245339	0.00952545757061102	DECR2	16	451507
cg16245844	0.0421628525905459	ADIPOR2	12	1800488
cg16246410	0.0201008600195674	NR4A2	2	157189316
cg16248277	0.621027218119648	FGF8	10	103536063
cg16249454	NA	CXCL2	4	74965075
cg16249711	0.983107967524391	TBPL2	14	55907501
cg16250355	0.0538284847362827	SMARCC1	3	47823674
cg16250754	0.630942285983817	CARD6	5	40841579
cg16253168	0.0130267084984488	NOL7	6	13614902
cg16253412	0.404832501982455	TPST1	7	65670776
cg16254309	0.805702249930686	CNTNAP2	7	145814152
cg16254764	0.0820830791585376	HDAC11	3	13521178
cg16256230	0.505142225020761	KIF4A;PDZD11	X	69510071
cg16256504	0.0403648579899551	WNT6	2	219724157
cg16256610	0.00908439510495231	REEP4	8	21999381
cg16256643	0.0769923032578354	NDUFB7	19	14683110
cg16257040	0.010817679854591	RMND5B	5	177557700
cg16257086	0.0134750909545047	CD46	1	207925400
cg16257091	0.612903326262603	BDNF	11	27743580
cg16257685	0.0196168053977777	UCHL3	13	76124267
cg16261965	0.0687112393582828	ARF3	12	49350941
cg16263182	0.607991897679384	HBA2	16	223399
cg16264526	NA	EDNRA	4	148401273
cg16267059	0.204334984371734	MFAP1	15	44117132
cg16267266	0.931371862435524	IL17F	6	52109232
cg16267491	0.0221662446496745	LOC256880;H2AFZ	4	100871315
cg16268051	0.00798841546478864	CDC42	1	22379390
cg16268429	0.205057531783613	C5orf33	5	36242136
cg16268563	0.885303214024415	ATP6V1G2;NFKBIL1	6	31513680
cg16269097	0.399596335804307	CASK	X	41783155
cg16270091	0.0375332357485739	QRICH1	3	49131884
cg16270890	0.085043870764147	HAGH;FAHD1	16	1875963
cg16270990	0.869238887803947		11	130542897
cg16272420	0.903696172807727	PNLIPRP2	10	118381044
cg16273524	0.0123483619643563	THUMPD2	2	40006334
cg16273597	0.0186711212496204	CD83	6	14117480
cg16273788	0.029213133282534	LINS1;ASB7	15	101142760
cg16274148	0.015640729369901	C9orf156	9	100684771
cg16275172	0.0158744705433621	TMOD3	15	52121933
cg16276070	0.531619071422227		19	58070951
cg16276199	0.0556756391415802	PPP1CB	2	28974102
cg16279786	0.977862113892667	NRXN1	2	51255306
cg16280313	0.0162923385368897	PEX16	11	45939543
cg16280667	0.938703615850988	CXCR5	11	118754593
cg16280922	0.0384938437099725	C1orf25;C1orf26	1	185125973
cg16281796	0.0328056380635067	PEX26	22	18560863
cg16282101	0.0168600459092145	FAHD2A	2	96068839
cg16282679	0.960204072586163	EGFL8	6	32134310
cg16284168	0.0300521000811503	MCM7;AP4M1	7	99698217
cg16284292	0.0197299921161449	ZBTB43	9	129567924
cg16286776	0.0109798755244663	EIF2C2	8	141644897
cg16290693	0.343518363924614	NA	NA	0
cg16290737	0.61614223398238	CHGA	14	93389246
cg16293088	0.0448300108907595	NF2	22	29999326
cg16293105	0.617879388823625	SIGLEC6	19	52034970
cg16293656	0.517393301288283	FGF17	8	21900438
cg16293991	0.0428414212307444	NA	NA	0
cg16295988	0.0119602493059738	C9orf80	9	115480625
cg16296356	NA	RAD51L3	17	33447110
cg16297030	0.819185534264805	AGXT2	5	35047946
cg16298264	0.0114808838279408	MBLAC2;POLR3G	5	89770699
cg16298282	0.159925688790294	KIAA0776	6	96969423
cg16299341	0.0410698968543999	OSBPL9	1	52082824
cg16299616	0.0295315030244548	NA	NA	0
cg16301617	0.831984100200589	TMC8;TMC6	17	76128906
cg16302441	0.783103292040633	POMC	2	25391830
cg16303453	0.809555251752952	CA7	16	66879016
cg16303562	0.779104197648065	MSR1	8	16050333
cg16306115	0.07022775888063	KAAG1;DCDC2	6	24358306
cg16306381	0.016393102196848	STRADA	17	61819073
cg16307860	0.154473735359234	C1orf58;AIDA	1	222886951
cg16310262	0.0367914541491169	C15orf44	15	65903328
cg16310717	0.602178729270176	CCND2	12	4383619
cg16312163	0.755574843668558	ALDH1L1	3	125899401
cg16312647	0.0285320421219722	PPIB	15	64455677
cg16312916	0.0100076320965131	ACAD10;BRAP	12	112123964
cg16313343	0.84317415389106	BRF1	14	105768109
cg16313587	0.013232966522098	BRF2	8	37707285
cg16315923	0.0365179879064663	KIAA0195	17	73453100
cg16317961	0.0801844835192323	MAPRE2	18	32621748
cg16319213	0.0179643970576863	NA	NA	0
cg16319578	0.0801107660936134	HSPA2	14	65007512
cg16321029	0.449096762605126	SNRPN	15	25068850
cg16323498	0.0153096560694001	ATPAF2;C17orf39	17	17943126
cg16324018	NA	ELMOD3;RETSAT	2	85580627
cg16326979	0.0116211872535897	OXR1	8	107670161
cg16328273	0.0138413239992456	CCNE2	8	95908119
cg16328820	0.0230368160683397	DLD	7	107531982
cg16330965	0.141640906704969	SNAPC5	15	66790390
cg16332060	0.0565166055588067	C11orf60	11	118436807
cg16332224	0.943628261735221	MOCS3;DPM1	20	49576406
cg16332577	0.0304150834502086	C17orf37	17	37886349
cg16334519	0.901623292574116	NA	NA	0
cg16334795	0.835809410714533	BACE2	21	42538894
cg16334840	NA	SCLY	2	238968944
cg16335762	0.0464032666235196	CMTM3	16	66637919
cg16336120	0.488290639744398	RAMP3	7	45197318
cg16338035	0.0254014805183059	C3orf58	3	143691269
cg16338347	0.0402977282554078	ALCAM	3	105085463
cg16338822	0.0313316380711959	TPX2	20	30326883
cg16339185	0.0174497128920226	SGOL1	3	20227809
cg16340268	0.629991643818962	ITPKB	1	226925172
cg16340918	0.0109707540613718	KIF11	10	94352700
cg16341373	0.020693923535987	CDCA8	1	38157962
cg16342780	0.851144062028694	PLXNB3	X	153030343
cg16343696	0.0186164030786277	KPNA6	1	32574126
cg16343842	0.365361705709753	CD99L2	X	150066722
cg16345226	0.0257656214210223	TMEM38A;C19orf42	19	16771394
cg16345880	0.0348380087430122	SARS	1	109756737
cg16348491	0.043229478719508	MYL12B	18	3262664
cg16351002	0.828065290993327	FAM24B	10	124610101
cg16351184	0.0128903850865287	WDR85	9	140473184
cg16352283	0.715267214730689	FAM46B	1	27338978
cg16353413	0.02380504452264	CENPB	20	3767628
cg16353836	0.036411488989172	SAFB2;SAFB	19	5623459
cg16354207	0.640168721184702	UBE2F	2	238874908
cg16356516	0.861123888170077	AARS;EXOSC6	16	70286390
cg16356956	0.922005762661127	CSF2RB	22	37317934
cg16357381	0.428001576209984	COL7A1	3	48632892
cg16357921	0.0154418840532385	CDK20	9	90589634
cg16358738	0.920989497510007	AGXT	2	241808595
cg16358826	0.773204109848955	GABRA4	4	46996264
cg16359129	NA	C1orf226;C1orf111	1	162347752
cg16360372	NA	SPINK1	5	147212728
cg16360444	0.0358364434837912	ITGA7	12	56102181
cg16361890	0.683298339906101	LTC4S	5	179220545
cg16362133	0.0974938794631969	SLC11A2	12	51420474
cg16363586	0.0644920915085024	BST2	19	17516329
cg16366323	0.342571877662639	C17orf105;DUSP3	17	41856855
cg16367027	NA	C9orf43;POLE3	9	116174442
cg16367232	0.468845290533948	UTP14A	X	129040481
cg16370389	0.953228703093431	PTTG2;TBC1D1	4	37962041
cg16370737	0.580202419738182	NA	NA	0
cg16371833	0.451308286018558	NA	NA	0
cg16372520	0.611638119441498	NRXN3	14	78869751
cg16375728	0.0110012976803108	LRRC45;STRA13	17	79980611
cg16376234	0.0549754642867885	TOP1	20	39657506
cg16377872	0.668395439001378	SLC1A6	19	15084823
cg16377880	0.0978093618456306	CYP4F3	19	15751167
cg16378421	0.0155359155127764	ABCC5	3	183736171
cg16379513	0.969871613134835	LOC100128071;TSSK3	1	32827150
cg16381688	NA	ACOT13;TTRAP	6	24665947
cg16381752	0.0286158984141851	TOR1AIP2	1	179847085
cg16382256	0.0148448276553574	EPHB3	3	184279657
cg16382322	0.0130733310622744	ARAP3	5	141061902
cg16382382	0.0118424208583619	TGFBR3	1	92351047
cg16384137	0.765541545573498	C13orf16	13	111972997
cg16385933	0.00791849328512373	LOC282997;PDCD4	10	112631792
cg16386080	0.109207540706691	CDK20	9	90589146
cg16386158	NA	IL1RL1	2	102927397
cg16387606	0.051245333916658	NA	NA	0
cg16388829	0.610979497882761	ARID5A	2	97202323
cg16390856	0.727942024158721	NA	NA	0
cg16391151	0.0151563392782084	NOD1	7	30518197
cg16391792	0.933944457476735	LIPC	15	58723657
cg16393207	0.817197625571329	GDPD5	11	75237739
cg16394138	0.0195826503880679	XPR1	1	180601363
cg16396417	0.19616362792283	MZF1;LOC100131691	19	59085259
cg16396488	NA	PLA2G1B	12	120766223
cg16396948	0.91770932590786	PHLDB2	3	111603394
cg16398289	NA	WDR49	3	167372745
cg16399745	0.149262799020609	NCAPD2	12	6604039
cg16400825	0.0134602821484166	ITPR3	6	33589418
cg16404106	0.888236015565959	CCDC81	11	86085623
cg16404689	0.0234636172442546	C1orf156;C1orf112	1	169764273
cg16405575	0.0198464255148029	TSPAN9	12	3186173
cg16405957	0.938859366531909	KRT2	12	53045793
cg16406212	0.024141888790259	UBXN2A	2	24163862
cg16408394	0.00909302039573718	RXRA	9	137219075
cg16408565	NA	ORM2	9	117090924
cg16408970	0.0242803324647677	BAMBI	10	28965584
cg16409869	0.0162362336323996	NDUFC2	11	77790796
cg16411152	0.912185841721657	ADAM29	4	175839604
cg16413535	0.978718658061946	TKTL2	4	164395149
cg16413777	NA	RSAD1	17	48555933
cg16414852	0.859784246080715	SULT1B1	4	70626128
cg16414945	0.071672423012488	DUSP12	1	161719333
cg16415058	0.596611204586972	SORCS1	10	108923781
cg16415646	0.819409048671153	LOC285954;INHBA	7	41743001
cg16417437	0.0550298376492236	TMEM126A	11	85358767
cg16417937	0.00846251536704838	NUDC	1	27248012
cg16418163	0.00838562401843024	ACPL2	3	140950828
cg16418329	0.875833887541122	C4orf35	4	71200751
cg16418684	0.0284146545473983	VWCE	11	61062205
cg16419345	0.201259262053597	ACOX1;C17orf106	17	73976089
cg16420530	0.0181630036339275	ING2	4	184426759
cg16420888	0.0180791579365329	C11orf68;DRAP1	11	65687479
cg16421285	NA	SAE1	19	47633827
cg16421589	0.0329279758345573	PANK3	5	168006761
cg16422907	NA	CCNA1	13	37006734
cg16425577	0.863022595443552	DENND3	8	142139654
cg16426459	0.129299983543119	MLPH	2	238396155
cg16427670	0.337144250043603	ARHGEF7	13	111766902
cg16428251	0.7380824522983	SOX14	3	137483479
cg16429439	0.426106255707488	MAGT1	X	77150966
cg16431978	0.903384251517126	KRTAP13-3	21	31797932
cg16433922	NA	SFRP4	7	37956704
cg16434306	0.947712789942396	C5orf23	5	32788128
cg16434546	NA	SFRS12IP1;SDCCAG10	5	64063849
cg16435601	0.00645915600115826	BPTF	17	65822392
cg16438432	0.0162280419121386	HNRNPD	4	83294858
cg16440909	0.253820457215347	MAMLD1	X	149613745
cg16442715	NA	MAP3K7IP1	22	39796206
cg16443152	0.0675003127217951	CAMSAP1L1	1	200708104
cg16443939	0.0216858372745082	ERLIN1	10	101945124
cg16444968	NA	CPNE7	16	89641723
cg16446783	0.483647441218048	MRGPRX4	11	18193360
cg16449464	0.697168861277213	MAP1D	2	172864337
cg16449972	NA	ZNF423	16	49861382
cg16452396	0.423139523334265	PHF6	X	133507394
cg16454349	0.871170682384006	SEPT12;LOC440335	16	4837889
cg16456919	0.897676678192509	LRRN2	1	204655378
cg16462075	0.908279221316593		7	100544220
cg16463460	0.816869033041957	WT1	11	32454718
cg16464322	NA	HNRNPL	19	39343574
cg16465769	0.863136291203864	SLC22A7	6	43266151
cg16465939	0.780957727560106	KCNQ1	11	2554410
cg16466334	0.816221639634475	MMP3	11	102714358
cg16467694	NA	POLR2G	11	62529198
cg16468729	0.113267292119247	IL8	4	74606465
cg16468910	NA	SNX4	3	125238791
cg16469386	0.0369304901911784	SLC38A1	12	46662743
cg16470760	NA	CD4	12	6898217
cg16470957	0.067994971818323	TUSC4;CYB561D2	3	50388565
cg16473288	0.918447164030263	OR1N1	9	125290120
cg16474684	0.0359848261651376	RNF4	4	2470049
cg16474696	0.0345789888450599	MRI1	19	13875014
cg16475089	0.0144432284462016	NA	NA	0
cg16477324	0.0162885925357468	ITPKC;ADCK4	19	41223331
cg16478145	0.838951602207023	TFPI	2	188419830
cg16478792	0.915922930540464	RGSL1	1	182458262
cg16479674	NA	ZNF672	1	249131947
cg16480145	0.0117979547595588	RUSC2	9	35489718
cg16480209	0.95297228455759	CNGB1	16	58004460
cg16481024	0.00911270133486174	KLF10	8	103668053
cg16481281	0.0132025967518289	IL11	19	55880843
cg16482226	0.0100741376559719	CNOT2	12	70637792
cg16483466	0.796216563286457	C20orf186	20	31671234
cg16483916	0.0748053701965922	PLAC2	19	5567758
cg16484842	0.0243455604070886	TH1L	20	57556086
cg16486059	0.0217821949968828	C1orf135	1	26186256
cg16488098	0.190476739999823	PODXL	7	131240440
cg16488522	0.902875651148098	KRT27	17	38940132
cg16490390	0.0712673820709526	MBOAT7;TSEN34	19	54694229
cg16491909	0.0131338559673064	C1orf43;UBAP2L	1	154193730
cg16492735	0.415311521447903	SGCE;PEG10	7	94286208
cg16494477	0.0308728149235788	FGF18	5	170847251
cg16494590	0.0315015463203303	BTN2A3	6	26421791
cg16495265	0.442098880366685	LOC404266;HOXB5	17	46671010
cg16499669	0.921102344516447	NA	NA	0
cg16500334	0.739237659551696	NA	NA	0
cg16501028	0.853656390995663	WT1	11	32450000
cg16501235	NA	C1orf54	1	150245988
cg16504670	0.467373879746496	DEF8	16	90014253
cg16504798	0.106497966104515	MYO1F	19	8643540
cg16505204	NA	THRSP	11	77774337
cg16505550	0.232674486353302	PPAP2B	1	57045708
cg16505687	0.0151569903819659	GPR137B	1	236305169
cg16506346	0.864516715407871	NA	NA	0
cg16507522	NA	SERPINA3	14	95077557
cg16508857	NA	WWOX	16	78133117
cg16509045	0.845417223041768	TRPM6	9	77502963
cg16509569	0.884036027417662	NCKAP1L	12	54891634
cg16509658	0.563440158085227	GABRB2	5	160975347
cg16510010	0.0786157401280418	FAM122C	X	133941163
cg16510657	0.813195850200422	TMEM35	X	100333950
cg16511708	0.0163928177836979	SS18	18	23671264
cg16512727	NA	RAD51AP1;C12orf4	12	4649136
cg16514843	0.784959279136445	PAX4	7	127255483
cg16514995	NA	SASS6;CCDC76	1	100597460
cg16515820	0.0259968750817052	ZBTB20	3	114866447
cg16516400	0.669086295213774	FAM89A	1	231177201
cg16517394	0.800443078691998	TNFSF4	1	173176362
cg16518291	0.0107977257717569	ZNF460	19	57792257
cg16519321	0.499354845358029	MYOD1	11	17741243
cg16519742	0.899615351516915	ZIM2	19	57306847
cg16521028	0.816868083995932	NA	NA	0
cg16521836	0.0145447621401573	QTRTD1;KIAA1407	3	113775302
cg16522484	0.862509863541588	C14orf49	14	95942049
cg16523424	0.175166424613585	SYN1;TIMP1	X	47441779
cg16523471	0.0682832013853549	SPRYD4	12	56862146
cg16523653	0.00972018285818803	DNMT3B	20	31350394
cg16524139	NA	TCF3	19	1651573
cg16525692	0.0242110861701305	CHD1L	1	146715099
cg16525761	0.0550896089228688	LOC285456;RPL34	4	109541525
cg16527805	0.0481048439519937	MDH1;C2orf86	2	63816164
cg16529592	0.894966878436885	RUNX3	1	25292215
cg16530429	0.81797704571215	LIN28	1	26737470
cg16534233	0.0156184451038977	RIMKLA	1	42846477
cg16534499	0.164974964354018	ZNF223	19	44555960
cg16535180	0.0305906998118882	C22orf25	22	20008367
cg16536450	0.778732316930189	LCN15	9	139658896
cg16536918	0.830995037939898	AVP	20	3065403
cg16537367	0.690334824232734	OTOR	20	16729319
cg16538604	0.0082481546097801	WHSC2	4	2010703
cg16539629	0.0160039678276442	C14orf132	14	96505722
cg16539981	0.0313702353839106	TEAD2	19	49865373
cg16540259	0.830852864279293	NDST2	10	75572220
cg16540704	0.949374149739125	ASZ1	7	117067416
cg16540768	0.0455571603745388	TMEM56	1	95582647
cg16541031	0.0143395572524892	IRF7	11	615519
cg16542081	0.913154715085363	NA	NA	0
cg16543027	0.417273923204025	PLCB2	15	40599680
cg16543294	0.0147465113365758	ASB6	9	132404763
cg16544272	0.0154127473963959	MYO19;PIGW	17	34891014
cg16545079	0.0124487889876867	PER1	17	8055888
cg16545105	0.937544096137839	CRHBP	5	76248749
cg16546489	NA	HSD17B1	17	40703702
cg16547341	0.830656564505046	USP29	19	57630691
cg16547450	0.0255389940360998	IFT88	13	21141711
cg16547529	0.777498424071683	KLHL35	11	75140681
cg16550324	0.0213186951927106	GMDS	6	2245327
cg16551261	0.0259052305596926	LRRC6	8	133687929
cg16551326	0.0339444711963513	ERF	19	42759518
cg16555388	0.594188992734714	TNFSF10	3	172241216
cg16557944	0.703254829570331	GPX7	1	53068197
cg16558203	0.770703937565705	SLC22A14	3	38347392
cg16558348	0.00892574726456899	UBQLN1	9	86322296
cg16561743	0.454308989590316	CXorf23	X	19984992
cg16564824	0.0341940997727819	SNAP25	20	10199536
cg16567044	0.882769219028844	MEG3	14	101291136
cg16570917	0.863195967354959	PTPRF	1	43996062
cg16571399	0.96703842448283	TLN2	15	62939540
cg16574065	0.0286652515241576	RDM1	17	34257726
cg16575408	0.942243640556466	MMP1	11	102669291
cg16579101	0.0659906462745121	NOP2	12	6677158
cg16579354	0.0257037781430767	XRCC5	2	216974337
cg16579646	NA	HSD3B1	1	120048352
cg16580737	0.713779034574468	MME	3	154797589
cg16581199	0.909449374385886	TSSK1B;MCC	5	112770721
cg16582174	NA	CLINT1	5	157286420
cg16582344	0.00940757828431452	ARF1	1	228270207
cg16584172	0.55814124413557	ZIC2	13	100633446
cg16584573	0.681293339289433	FGF8	10	103535637
cg16584911	0.0967124238039427	AHCYL2	7	128864557
cg16585619	0.851211930729751	KRT19	17	39685250
cg16585682	0.60106356400152	SCGB3A1	5	180017623
cg16588061	0.0139072001695879	CTSC	11	88070780
cg16590151	0.397329143523481	SYNCRIP	6	86352636
cg16592658	0.817593473572063	EBI3	19	4229887
cg16593081	0.944715027672758	DYX1C1	15	55799927
cg16597172	0.0162302452310087	MYCN;MYCNOS	2	16080669
cg16598810	0.0194971085602703	DEPDC1	1	68962176
cg16601385	NA	CFD	19	858846
cg16601861	0.143062526153194	NA	NA	0
cg16604136	0.0264855802736152	NUF2	1	163291493
cg16604218	0.473725980671842	EIF2B3	1	45452605
cg16604516	0.729610083954952	FBLN2	3	13590419
cg16605590	0.031225047815231	MKI67IP	2	122494233
cg16606185	0.0121877364458592	C21orf33	21	45553535
cg16606638	0.0360767667654723	WDR51B;GALNT4	12	89918221
cg16607065	0.808849911969074	TP73	1	3607222
cg16608348	0.0852027941786319	PTPN14	1	214724481
cg16608652	0.314856699632484	B3GALT2;CDC73	1	193155390
cg16609872	0.698424467596627	KCNQ1	11	2828364
cg16609957	0.889155754884589	SHROOM1	5	132161867
cg16612562	NA	RASL10A	22	29712045
cg16612699	0.923134112350644	OR8B8	11	124311218
cg16613192	0.0381136570987803	UROD;HECTD3	1	45477977
