Hybridization REF	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05	TCGA-B6-A0IG-01A-11D-A032-05
cg13892015	0.0244490028132918	PPIL5	14	50065056
cg13894021	0.229591975643796	RAB36	22	23487383
cg13896269	0.015957138197557	NA	NA	0
cg13896604	0.0134464938981975	ATP5H;KCTD2	17	73043189
cg13897449	0.87585052812418	PFKFB1	X	55021841
cg13897627	0.542095760983635		16	49378497
cg13899108	0.690118022226084	PDE4C	19	18344322
cg13901134	0.0135875786543247	C9orf16	9	130923133
cg13901526	0.701420557024709	GYPC	2	127414455
cg13903548	0.92465886115684	GABRR2	6	90024543
cg13904493	0.522886496763831	KIAA1804	1	233464194
cg13904771	0.0179558872334773	C10orf47	10	11865163
cg13904968	0.157615646333781	PCK1	20	56136012
cg13905388	0.133103234608754	CDCA4	14	105487229
cg13906416	0.0270091994033246	PVR	19	45147440
cg13906548	0.0161451998477039	GABARAPL2	16	75600564
cg13906813	NA	HLA-DPA1	6	33040914
cg13908518	0.942711736540713	RNPC3;AMY2B	1	104096517
cg13908523	0.0119350096954122	PRKCD	3	53194728
cg13908977	0.0191735133369546	RSL1D1	16	11945749
cg13910855	0.0139812695417825	PBX2	6	32157485
cg13912117	0.629784704917602		8	132054555
cg13912204	0.0167695866975224	SLC19A2	1	169455529
cg13913917	NA	ATP11B	3	182511332
cg13914438	0.594839198872812	NA	NA	0
cg13915726	0.592962027375893	DUSP9	X	152908309
cg13916322	0.0169108154354546	PLA2G16	11	63381728
cg13916742	0.855985298340576	SCGB1D1	11	61957788
cg13916931	NA	POLD2	7	44162801
cg13917394	0.0141879927258374	NA	NA	0
cg13917504	0.677522516738184	MEST;MESTIT1	7	130131258
cg13918581	0.0266026349510496	ANKRD11	16	89557340
cg13918808	0.856661378239748	FAM9C	X	13062651
cg13918811	0.0348981647283007	ANAPC4	4	25378308
cg13919215	0.0232814718043967	POLR2K	8	101162909
cg13919607	0.0143257074245501	ZNF174;ZNF434	16	3451181
cg13920529	0.863291836053407	SUGT1P1;AQP7	9	33402426
cg13921319	0.550533116794788	NA	NA	0
cg13921352	0.634243987757945	FAM19A4	3	68981890
cg13925920	0.0388732713827863	PSMD12	17	65362829
cg13926569	0.674049378780627	PAPSS2	10	89418898
cg13927251	0.0689721096220335	FLT4	5	180077359
cg13928116	0.506792150301102	AFF2	X	147582053
cg13928306	0.0674106109222185	ZNF205;MGC3771	16	3162397
cg13928594	0.018672606480216	IFT81	12	110562699
cg13928866	0.846058354305569	YY2;MBTPS2	X	21874614
cg13928961	0.957826117967746	KRT73	12	53012009
cg13929328	0.723103476937889	FOXI2	10	129535898
cg13929970	0.890381916422429	FGFBP1	4	15939862
cg13931228	0.111020204123563	MPP6	7	24612418
cg13932624	0.0136742521783467	TBRG1	11	124492608
cg13935507	0.0359974925334959	ZHX2	8	123793925
cg13936125	0.0216731812200096	LOC283856;GNAO1	16	56225599
cg13940405	0.0122948039048196	GOSR2	17	45000277
cg13942909	0.0249603603940551	C9orf119;GOLGA2	9	131038152
cg13943564	0.768578996822547	NA	NA	0
cg13944141	0.325251479567992	NA	NA	0
cg13945069	0.0138657740449692	DDX59	1	200638500
cg13946500	0.0259846934633373	PPAN-P2RY11;SNORD105;PPAN	19	10217312
cg13946860	0.00797962945498842	RPN2;C20orf132	20	35807510
cg13948784	0.0108042189834349	MFSD9	2	103353092
cg13948987	0.0410783964792834	HCRTR2	6	55039259
cg13950558	0.176943507759307	BLOC1S3	19	45683263
cg13951472	0.110752847483302	NA	NA	0
cg13951948	0.0105882434134992	ZNF747	16	30546188
cg13952892	0.963979672211134	FOXRED1;SRPR	11	126140110
cg13954292	NA	ZFR	5	32445523
cg13954572	0.78408305688317	NA	NA	0
cg13956671	0.0296092865120558	CUL2	10	35379687
cg13958304	0.0154958750347613	RSBN1	1	114354463
cg13958426	0.0368870251763562	C1orf114	1	169396637
cg13958614	0.124364554447746	FOXD1	5	72744196
cg13958676	0.0225200197642492	LGI3	8	22014652
cg13959523	0.0366593128282483	CHST8	19	34175481
cg13959611	0.017988133876396	NA	NA	0
cg13960126	NA	CRB3	19	6462999
cg13960192	0.0349594882132458	GNA11	19	3093904
cg13962355	0.0441158351822647	BTRC	10	103114219
cg13964084	0.0183903170294591	C6orf134	6	30594709
cg13966710	0.0196827801082498		1	113392781
cg13967780	0.026266619475642	SMAD7	18	46476822
cg13968061	0.648814301952263	APCS	1	159557257
cg13968390	0.864107365542778	SULT1C2	2	108904812
cg13969584	0.0566139466320316	CENPBD1;AFG3L1	16	90038469
cg13970341	0.0253254898071769	ABCA2;C9orf139	9	139923093
cg13973816	0.0188835303498565	SCAND2	15	85174719
cg13974531	0.460346686967569	TRIM72;PYDC1	16	31228444
cg13975369	0.0860952589188146	TSGA14	7	130080553
cg13975625	0.287803070736811	NPY5R	4	164264796
cg13976366	0.0215962505301989	TRIM21	11	4414916
cg13976438	0.867335710334332	NA	NA	0
cg13979182	0.145696142365731	ADD1	4	2845120
cg13980308	0.0244170921693876	ADCK2	7	140373235
cg13980473	0.0344951875558682	TSPYL1;DSE	6	116601312
cg13980719	NA	TNP1	2	217725560
cg13980834	0.919827491759823	C1orf201	1	24727850
cg13982505	0.3716956818409	GIGYF2;KCNJ13	2	233642094
cg13982661	0.0227307924924002	SC5DL	11	121163497
cg13983578	0.0138082064127831	DUSP4	8	29208153
cg13983870	0.0276516883612868	TSPAN12	7	120497998
cg13984181	0.0432021466800901	EPHX4	1	92495720
cg13984351	0.0201855223617251	BMI1	10	22609903
cg13985639	NA	DHDPSL	10	99344969
cg13986130	0.665130727583746	PTGS2	1	186649330
cg13986618	0.826010312751568	CD163L1	12	7595981
cg13991029	0.930538632643496	PAGE5	X	55246455
cg13991233	0.641008299350616	GAS7	17	10102558
cg13992856	0.0287908296758582	FLOT2	17	27224025
cg13993218	0.635825147138592	INS-IGF2;INS	11	2181866
cg13994175	0.0245415166588203	KIF9;KLHL18	3	47324524
cg13994177	0.90520044931583	SNORD116-1	15	25296464
cg13995453	0.864723211091314	KLRB1	12	9759653
cg13996731	0.0296762090898526	NR3C2	4	149363522
cg13997068	0.318833946375936	TPSG1	16	1275785
cg13997435	0.373715068630134	S100A2	1	153538406
cg13998293	0.644986307572103	TRIM63	1	26394435
cg13998904	0.915051318574416	TRIM42	3	140396803
cg14001035	0.417416000700171	ATP10A	15	26026152
cg14001567	0.0304507450814864	TP53TG1;CROT	7	86974838
cg14002682	0.0198605667593835	DNAJC27	2	25195127
cg14003467	0.0164017856635988	PCYT1A	3	196014846
cg14003512	0.464733632340573	NA	NA	0
cg14008119	0.0165192594897416	C14orf179	14	76451930
cg14008883	0.733024946546734	SLC18A3;CHAT	10	50818911
cg14009312	0.946766475457343	STK11	19	1205012
cg14009688	0.0737327692477665	CALD1	7	134464242
cg14011639	0.591067405810179	PCDHGA4;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB7;PCDHGB6;PCDHGB3;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5	5	140797234
cg14011734	0.0232625566352894	TATDN2	3	10290674
cg14012294	0.0181603175181457	BTF3	5	72794041
cg14013300	0.0190559027250184	XBP1	22	29196047
cg14013604	0.0244168668468635	PTPN2	18	12884564
cg14014225	0.964012784270045	SLC16A8	22	38479236
cg14014613	0.896420396020401	OR3A1	17	3196049
cg14015044	0.0898223695005469	TNFRSF10C	8	22960619
cg14017991	0.0226896204138993	CCDC21	1	26560780
cg14018807	0.0113208234676796	GCC1	7	127225619
cg14019317	0.70127186411781	PROX1	1	214161306
cg14021073	0.489026201242199	BRSK2	11	1410385
cg14021698	0.227239594669	NA	NA	0
cg14023451	0.267434681215175	GPLD1	6	24489887
cg14023558	0.0207955269891003	HNRNPA3	2	178076969
cg14026602	0.0155422547190116	USP7	16	9056723
cg14026971	0.0161296096088325	FAR1	11	13690461
cg14027234	0.613611570692208	CD248	11	66084163
cg14028823	0.0139806892961967	NA	NA	0
cg14029663	0.0401151709895032	C14orf138	14	50582909
cg14030083	0.0382066813989073	CDR2L	17	72983622
cg14030359	0.0276811973919215	NDRG2	14	21493406
cg14031452	0.0755033404208169	NEDD1	12	97301535
cg14034870	0.719445069720229	SFTA2	6	30900197
cg14035045	0.197382089220659	HEMK1;C3orf18	3	50606289
cg14036856	0.28154376501247	C1orf210	1	43751563
cg14037413	0.0139105602708194	ZNF143	11	9482594
cg14037665	0.0264273101158614	PXDN	2	1748617
cg14039952	0.0287972811223715	NPM1	5	170815461
cg14042128	0.0487159728782	CHMP2A	19	59066234
cg14043411	0.00935798323619973	SIVA1	14	105219857
cg14043602	0.219054658710159	OR1E1	17	3301340
cg14044580	0.034713243844126	CDK16	X	47077815
cg14045072	NA	GPR116	6	46884362
cg14045283	0.0154851957581489	MADCAM1	19	495737
cg14046365	0.0303792637918693	NMI	2	152146318
cg14046757	0.0107513467184747	ZC3H14	14	89029605
cg14046986	0.102947926102239	RCSD1	1	167599371
cg14047008	0.775738742098818	SERPINC1	1	173887011
cg14047244	0.0125473981144279	LMNB2	19	2457194
cg14047656	0.0159888436848815	FAM126B;NDUFB3	2	201936671
cg14047667	0.0124084162002417	F13A1	6	6320889
cg14048487	NA	BRCA1	17	41273439
cg14049461	0.0205819150415681	GRID2	4	93224987
cg14055374	0.0149560595314274	MAF	16	79634410
cg14056306	0.983493485220725	CDK3	17	73997820
cg14056644	0.791230427479993	PITX2	4	111559105
cg14056942	0.0526122514267058	TSC22D2	3	150127151
cg14058345	0.0362060642253978	TXNDC6	3	138048746
cg14058432	0.0197097429258174	PELI2	14	56584702
cg14058998	0.0150475303984438	SEPW1	19	48281859
cg14059475	0.012612524386253	PREPL;C2orf34	2	44588633
cg14059729	NA	KLRAQ1	2	48667654
cg14059963	0.947687766222978	GPR19	12	12815026
cg14060060	0.0111080763817537	NA	NA	0
cg14060828	0.485817686774011	PTH2	19	49926276
cg14060836	0.0236414105231982	ISCA1	9	88897456
cg14061619	0.0184361072570345	SH3BP4	2	235860118
cg14062083	0.817017909410707	KRTAP13-4	21	31802829
cg14063008	0.0178193341431202	DAB2IP	9	124461599
cg14063673	0.891028789148804	NA	NA	0
cg14066280	0.0110450785024364	ZNF613	19	52430533
cg14069619	0.434376918595647	KRBA2	17	8275273
cg14070162	0.62844038267685	PTRF	17	40575582
cg14070647	0.442432648626987	RSPO2	8	109095264
cg14072120	0.0211221229256336	RAC2	22	37640402
cg14074117	0.363687921772562	C16orf73	16	1909714
cg14074431	0.0147879713243362	MAP3K10	19	40697804
cg14074641	NA	ABCC12	16	48181753
cg14076161	0.523414547945259	PRB4	12	11463379
cg14076411	0.0258563956770508	RNGTT	6	89673710
cg14078309	NA	MCAT	22	43539574
cg14078518	0.911051117273459	GK2	4	80329284
cg14079785	0.539414743839469	SFTPC	8	22018896
cg14080001	0.0290649934398251	SNX33	15	75940555
cg14081015	0.0485051113152714	RIOK2	5	96519003
cg14083376	NA	C14orf2	14	104388097
cg14084176	0.0419975069005872	FUNDC1	X	44401762
cg14085328	0.0274493674271117	DDX59	1	200639502
cg14086033	0.0227962844893385	C11orf10;FEN1	11	61559821
cg14086122	NA	RILPL2	12	123921793
cg14086647	0.0124899555277971	LIMK2	22	31608022
cg14087150	0.874669446499596	NA	NA	0
cg14088161	0.777618190464339	ACTL6B	7	100255043
cg14088811	0.914908567741468	SPI1	11	47399994
cg14089692	0.0286772989185368	ADAM33	20	3662546
cg14091223	0.0130701258456976	DNAJB2	2	220144326
cg14091657	NA	LHX3	9	139097876
cg14093125	0.0160306698661501	C19orf48	19	51308034
cg14093368	0.0291801964584356	BAZ1B	7	72936880
cg14093936	0.798144220365121	SEMA7A	15	74726614
cg14094063	0.00947096750798376	BRAF	7	140624470
cg14094960	0.794432286527034	EGFR	7	55086890
cg14095850	0.0184708768771732	CSTB	21	45196584
cg14098132	0.025674273445647	CGRRF1	14	54976507
cg14099017	0.0405777055070009	MAP2K4	17	11923960
cg14100184	0.100974335027942	GNG13	16	851298
cg14100578	0.0676779862834859	SLC25A11;RNF167	17	4842919
cg14101501	0.0171294569058752	EHBP1	2	62932430
cg14102807	0.834755346291098	CD19	16	28943677
cg14104257	0.0130303344971753	SLC36A1	5	150827447
cg14105047	0.0264244039408488	PDLIM5	4	95372810
cg14105781	0.6434837362333	TBL1X	X	9433597
cg14106085	NA	FOXD2	1	47902269
cg14106263	0.508460605688836	RBMX2	X	129535683
cg14106308	0.0697359513678646	VEPH1	3	157217286
cg14106632	0.0797961541567622	EVI5L	19	7895393
cg14107638	0.616015784570079	MAGEA5	X	151286380
cg14108384	0.0221708335197965	NA	NA	0
cg14108394	0.0351195507279117	MIRLET7I;C12orf61	12	62997291
cg14112945	0.0915733004419122	NA	NA	0
cg14114267	0.192280336593303	SP3	2	174831503
cg14115004	0.0645393277832114	STARD3	17	37793212
cg14115346	NA	BPHL	6	3118207
cg14116122	0.482235338522276	ALX1	12	85673884
cg14116596	0.597868016459979	TBXAS1	7	139528673
cg14117297	0.672990163498352	TMIGD2	19	4301870
cg14118546	0.0135868536128869	KIAA1012	18	29523417
cg14119236	0.704101919726817	FGF23	12	4489075
cg14119774	0.0226280906137186	WDR41	5	76788060
cg14120336	0.0253494620483044	DYNC2LI1	2	44001158
cg14120436	0.927506847877568	GNB5	15	52483498
cg14120784	0.048148050377261	GTF2IRD1	7	73867457
cg14120879	0.940827730781407	NA	NA	0
cg14121103	0.0294617761151367	ABHD5	3	43731973
cg14123992	0.719593422406487	APOE	19	45407868
cg14125250	0.0192419609229306	PIK3R2	19	18263590
cg14126210	0.0118973006614904	MCFD2	2	47142867
cg14127336	0.922584574855807	TCL1A	14	96180319
cg14127659	0.636752150891585	C22orf23;POLR2F	22	38350784
cg14127958	0.0104310024817816	APPL2	12	105630059
cg14129103	NA	SNX29	16	12609068
cg14129786	NA	MGMT	10	131321947
cg14131445	NA	C16orf58	16	31519964
cg14132995	0.552442948367416	SLC35A2	X	48769370
cg14133708	0.113913219453255	EMILIN2	18	2846834
cg14134005	0.324119906983661	NA	NA	0
cg14134153	0.0401230102425586	RPL26L1;LOC100268168	5	172386668
cg14135551	0.0224560267609829	DAAM2	6	39760416
cg14137939	0.639407928406821	CCDC89	11	85397109
cg14138171	NA	CIR1;SCRN3	2	175261646
cg14139633	0.0102163831480245	SLC27A4	9	131103210
cg14141399	0.20662292846044	HAS1	19	52228048
cg14142521	0.0268434054826939	TAF11	6	34855408
cg14143055	0.845268373215686	ADAMDEC1	8	24240597
cg14144305	0.702655831122704	ALX4	11	44325960
cg14145194	0.805524190218243	ICAM3	19	10450022
cg14145762	NA	C11orf57;PIH1D2	11	111945650
cg14147105	0.028935913664652	FAM125A	19	17531148
cg14149007	0.0208242721710491	PRKD2	19	47219555
cg14150666	NA	CXCR2	2	218991310
cg14153740	0.24758377719675	TRYX3	7	141957702
cg14154330	0.276429421668591	ARHGAP27	17	43503401
cg14155397	0.0461732617929425	MAP2K1	15	66678782
cg14155416	0.588424322899344	L3MBTL4	18	6414330
cg14155482	0.0185045762241067	PIP5K1A	1	151171082
cg14156381	0.58328884113027	FBN3	19	8212675
cg14159672	0.669587958261827	PM20D1	1	205819179
cg14159818	0.0085626113944103	C20orf27	20	3749519
cg14159894	0.0223787685880058	BTBD3	20	11872261
cg14161241	0.585694168150803	PLAGL1;HYMAI	6	144329909
cg14161426	0.0129776185678467	ERAP1	5	96143592
cg14161730	NA	SYN1;TIMP1	X	47441290
cg14161885	0.145099909632218	NBPF15	1	148560976
cg14162076	NA	CLEC4D	12	8665092
cg14163776	0.0530944188588475	ACAP2	3	195164580
cg14165663	NA	GALR2	17	74070269
cg14166009	0.096038151181362	HKR1	19	37825309
cg14167017	0.0160741205079968	UBAP1	9	34178925
cg14167596	0.539512066537615	MSX1	4	4862910
cg14168975	0.518107564169065	ALAS2	X	55057838
cg14170423	0.694332533500596	RASGRP2	11	64513809
cg14171478	0.0198009268162628	C14orf118	14	76618642
cg14171523	0.016640212366062	SLC25A44	1	156163644
cg14171882	NA	HUS1	7	48019441
cg14172532	0.0172597786794004	STK25	2	242447907
cg14173523	NA	FUT5	19	5871035
cg14173613	0.0212515636487729	TMEM33	4	41937393
cg14173969	0.766362492051952	CD300C	17	72541932
cg14174099	0.0141284022143833	SLC8A3	14	70655862
cg14175438	0.0483186763881839	FAM3C	7	121036729
cg14175580	0.0166399485311812	CAMSAP1L1	1	200709051
cg14175593	0.0433909704131564	UBTD1;MMS19	10	99257444
cg14176475	0.0364597835280983	TTF1	9	135282081
cg14176836	0.760468993371729	ITGAL	16	30484218
cg14178895	0.808876911034154	C6orf105	6	11778902
cg14178991	0.463892403268658	NA	NA	0
cg14179628	NA	TCEAL7	X	102584953
cg14181391	0.0114736153482052	PIGU	20	33265182
cg14181459	0.0190681836885218	SMAD5;SMAD5OS	5	135468353
cg14182690	0.749654380357851	RUNX3	1	25290947
cg14183455	0.93746125261927	MATN1	1	31196733
cg14184817	0.877148794310949	EXOC3L2	19	45737483
cg14186071	0.930761288329158		X	30993102
cg14186992	0.815144465909352	ZBTB48;TAS1R1	1	6639570
cg14187678	0.0657211474270134	TBR1	2	162272687
cg14188111	NA	C1orf77;S100A13	1	153608034
cg14188232	0.625019552464054	ITGA11	15	68724065
cg14189571	0.829670002631066	ZFP42	4	188916943
cg14189614	0.892585147037895	SLC45A2	5	33984660
cg14191109	0.0287095189945541	SLC25A16	10	70287438
cg14191360	0.0320444060985929	MET	7	116311773
cg14195915	0.0261689801140686	SFRS4	1	29507864
cg14196211	0.0143790352470713	MRPL12	17	79670206
cg14196790	0.0608974062919356	SLC22A5	5	131705035
cg14197923	0.459092519083454	FGF5	4	81187906
cg14198172	0.0961374675497499	HBXIP	1	110950618
cg14201417	0.488396268872988	ADAMTSL2	9	136400057
cg14201617	0.971504989473327	C2orf61	2	47382452
cg14203179	0.631953398362919	GNAS	20	57430663
cg14203758	0.0226304699689745	ASF1B	19	14247374
cg14204735	0.0119498907852278	CYB561	17	61524304
cg14204791	0.0639892466641923	PKNOX1	21	44394797
cg14204992	0.0100794802138134	NA	NA	0
cg14205126	0.0524687695033894	TMEM9B	11	8985648
cg14206730	0.015017525337137	SLC35D1	1	67519677
cg14209518	0.654276460482774	NNMT	11	114166636
cg14209569	0.0175599221745799	COMMD4	15	75628553
cg14209870	NA	TAS2R5	7	141489394
cg14211646	0.0522087150373115	DHDDS	1	26758996
cg14212314	0.0180293306424155	HSPE1;HSPD1	2	198364789
cg14213620	0.0223190318982245	DFFB;KIAA0562	1	3773909
cg14213992	0.0319485744281809	ZNF546	19	40503358
cg14217102	0.0125834728955193	RAB1A	2	65357592
cg14217157	0.0470839148544601	NA	NA	0
cg14217534	0.0378182765632766	TUBA1B	12	49525474
cg14218343	0.0179984017446639	ZNF32	10	44144641
cg14221171	0.703746319157079	TAC1	7	97361759
cg14221831	0.903633585247341	CDH16	16	66952714
cg14222233	0.0131239239315679	PFKFB3	10	6245271
cg14223017	0.266434631703632	AP3D1	19	2151266
cg14223444	NA	TSTD2;NCBP1	9	100394496
cg14223995	0.0543103893965661	UCP1	4	141489799
cg14225485	0.322150707069418	FAM84A	2	14772568
cg14225544	0.0241734143242321	PLK2	5	57755798
cg14226064	0.8904662855322	SYS1-DBNDD2;TP53TG5	20	44006560
cg14228238	0.046204304041791	MECOM	3	168864123
cg14228840	0.0315263976983036	MICA	6	31371488
cg14230133	NA	IDS	X	148587055
cg14230685	0.0197345395596707	SPIN1	9	91004214
cg14234680	0.00797862305218225	IMPAD1	8	57905925
cg14236389	0.79496670819557	C20orf197	20	58631038
cg14236602	0.0121634798585739	PFKL	21	45720651
cg14237152	0.683919862771887	NA	NA	0
cg14238120	0.735509169523261	CELA3A	1	22328026
cg14242042	0.0120823413721328	SOX5	12	24715250
cg14242091	0.0302440526149092	TOP3B	22	22337171
cg14243026	0.0117593192861282	NA	NA	0
cg14244577	0.209000340706341	DDX19B	16	70332878
cg14246617	0.0332720510058383	MITF	3	69788840
cg14249872	0.066649713822465	KCNK1	1	233749672
cg14251536	0.0266779790679554	C20orf7;ESF1	20	13765341
cg14252059	0.472350216691486	TECTA	11	120973274
cg14252569	0.0355258482132595	DACT1	14	59104316
cg14254380	0.0176514157899834	WDR63	1	85527879
cg14254419	NA	AMPD2	1	110162217
cg14255089	0.0475476207686817	ZMYND11	10	180755
cg14256699	0.864346862560978	SOST	17	41836026
cg14256814	0.0223774478058562	POGK	1	166808417
cg14258236	0.24659694604797	OR5V1	6	29323330
cg14260458	0.738501262920968	OCM2	7	97620123
cg14260643	0.10211436286525	CYP3A5	7	99277394
cg14260918	0.541715490330304	ZNF673	X	46306533
cg14261309	NA	C1orf163	1	53164287
cg14261863	0.0435665218326294	ELMO2	20	45035638
cg14262937	0.372681386174701	OPRM1	6	154360351
cg14264994	0.962792337583523	CTCFL	20	56099548
cg14265075	0.105933058291151	ARHGEF11	1	157016521
cg14265670	0.0161686493881442	UPP1	7	48128300
cg14267151	NA	MUTED	6	8066098
cg14269477	0.830408826896627	TRPV5	7	142630597
cg14269514	0.0193158980963173	OAZ3;MRPL9	1	151736130
cg14271400	0.0111148988919963	EPHB2	1	23036980
cg14271499	NA	THOP1	19	2785891
cg14271690	0.856485512707516	ADIG	20	37209999
cg14271908	0.0209997015661918	TFAM	10	60144732
cg14272175	0.0203797876205579	PXK	3	58318960
cg14272706	0.969432331557298	ALS2CR12	2	202216039
cg14275779	0.0145335481917205	PLEKHH3	17	40830236
cg14277764	0.723953724670775	PMCHL2	5	70671764
cg14277848	0.0299610833385622	GPATCH4	1	156570825
cg14279899	0.114610881273444	IFNGR1	6	137540774
cg14281160	0.0431924255500968	LLPH	12	66524943
cg14281165	0.0354595732780209	PIGO	9	35096257
cg14282941	0.0229249310119977	C14orf104	14	50100316
cg14283939	0.966115601831166	THSD4	15	72020908
cg14284171	0.878888689087639	NA	NA	0
cg14284643	0.0458176197226623	PRR3;GNL1	6	30524853
cg14285013	0.0246046322296337	MYBL1	8	67526270
cg14287603	0.0269935706103707	EPB41L5	2	120771169
cg14287742	0.949252489938198	BLZF1;NME7	1	169335773
cg14288464	0.831289566964454	WFDC5	20	43743301
cg14289461	0.591155888929485	LAMA4	6	112575929
cg14289511	0.330664991834742		16	24682446
cg14289985	0.708400794917507	ZNF471	19	57018848
cg14290291	NA	SMPD4;FAM128B	2	130940680
cg14290451	0.0109940232647448	RPL10A	6	35436136
cg14292823	0.526582643600329	EEF1D;TIGD5	8	144681097
cg14294758	0.541240957098013	LSAMP	3	116163694
cg14296129	NA	RAB5B	12	56367904
cg14296147	0.0141031780187328	PET117	20	18118706
cg14296374	0.923958843123333	NA	NA	0
cg14297029	0.975211893732916	SSTR3	22	37607676
cg14297700	0.0112271771175501	NA	NA	0
cg14297876	0.0311475268212498	MAGOH	1	53704016
cg14298379	0.0248560438808848	MYLIP	6	16128926
cg14298726	0.0448333249759063	GTPBP10	7	89976216
cg14298780	0.0121283340028909	ZNF230	19	44506864
cg14298951	0.0165377857350564	RPS24	10	79793653
cg14299177	0.0111968001365667	MTFR1	8	66557547
cg14299800	NA	TOR1B	9	132564053
cg14301635	0.479598573556179	C2	6	31895203
cg14303330	0.0403963881253786	RPL22	1	6259905
cg14303674	NA	MAPRE1	20	31407348
cg14304761	0.0199007758762734	SYK	9	93564149
cg14306534	NA	ZBTB2	6	151712952
cg14307212	0.0471213446805032	SLC12A6	15	34611009
cg14308291	0.0430739267657562	EIF2C3	1	36396265
cg14308452	0.922220157548887	PRR22	19	5784184
cg14309281	0.00810729677955091	NA	NA	0
cg14310034	0.0175612196131927	BMP4	14	54423433
cg14310890	0.0284333668276883	FOXO3	6	108881016
cg14311811	0.02197670155805	DSG2	18	29077863
cg14312526	0.720890045876391	NA	NA	0
cg14313310	0.166373471467246	GLT25D2	1	184006816
cg14314795	0.0116229269374303	NA	NA	0
cg14314889	0.259313206459752	OR1E2	17	3336771
cg14315198	0.717625574681107	UNC119	17	26879866
cg14317651	0.0258409984779112	GALK2;COPS2	15	49448126
cg14318370	0.018301148319638	CHCHD5	2	113342262
cg14319409	0.622340437145357	GLRA1	5	151304409
cg14320796	0.00996235600399439	MND1	4	154265537
cg14321399	0.258069675233453	RRAGB	X	55744191
cg14321743	0.809874057722021	PLA2G2D	1	20445662
cg14322224	0.0778402981192616	DDAH1	1	85931226
cg14323109	0.138255519714248	KDR	4	55991943
cg14323928	0.374991951250225	TRPM1	15	31393845
cg14324200	0.0160031812129338	SAMD11	1	861317
cg14324675	NA	LST1	6	31554848
cg14324838	NA	EPB41L1	20	34700675
cg14325649	0.0319985429628445	RBMS1	2	161350625
cg14329157	0.728870434123635	WDR69	2	228736135
cg14329976	0.0233544672544404	NEIL2	8	11627812
cg14331163	0.157965068080741	RORB	9	77111663
cg14332079	0.0305802410200964	KCTD9;CDCA2	8	25316196
cg14333454	0.247086640496407	SFN	1	27189298
cg14333565	0.77132262724873	NRTN	19	5824065
cg14334099	0.0292726981568902	PTPN12	7	77166091
cg14336578	0.0149988639456964	LETM2	8	38243683
cg14337900	0.0331870463219205	MYH9	22	36783947
cg14338062	0.889274661189125	MARS	12	57883279
cg14338548	0.949374991505098	LALBA	12	48963631
cg14338887	0.0360888288849999	GNMT	6	42928500
cg14341030	0.0217984482696545	WBP11;C12orf60	12	14956580
cg14341418	0.938824631619819	APOM	6	31624284
cg14341579	0.0190665455095839	IRS2	13	110438906
cg14343062	0.0168952282549632	ERCC6	10	50746568
cg14343107	NA	BUB1B	15	40453695
cg14343711	0.017030018782365	NA	NA	0
cg14345281	0.577212468726886	NHS	X	17393584
cg14345676	NA	HRH2	5	175109098
cg14345882	0.438851404062042	BTN3A2	6	26364793
cg14346035	0.0194929123356084	PDP1	8	94928406
cg14346048	0.541191808686058	TMEM47	X	34675036
cg14348532	0.102034427121142	CALCA	11	14993562
cg14349467	0.497343983384536	NA	NA	0
cg14350002	0.024596259837895	GAS1	9	89562473
cg14353162	0.0183267527949334	TMEM55B	14	20929766
cg14353201	NA	ALDH3B2	11	67448395
cg14353516	0.15112708567327	SEPT2;HDLBP	2	242256053
cg14354749	0.0200044597172317	EIF1AX	X	20160069
cg14356114	NA	PAGE4	X	49592934
cg14356550	0.69696896478588	KLHDC7A	1	18808102
cg14356946	0.0789987778599913	EIF2S2	20	32700496
cg14358502	0.0376456516470963	HYAL3;NAT6	3	50337045
cg14358709	0.012880413242258	RNF19A	8	101321928
cg14358743	0.969608187688368	NA	NA	0
cg14360897	0.0621962252061934	RNF167;SLC25A11	17	4843676
cg14360917	0.363998365179318	SP2	17	45992122
cg14363494	0.0175003466874549	RING1	6	33176234
cg14364739	0.0110689478730339	PRRG2;NOSIP	19	50083632
cg14365123	0.98177130653425	ACTRT2	1	2938246
cg14366490	0.808697023387299	NXNL1	19	17571825
cg14366598	0.788106653273346	IL25	14	23841754
cg14367014	0.223012868681979	ICA1L	2	203735128
cg14367344	0.0120070592853983	PRKAB2	1	146644336
cg14368286	0.55787365108178	PRAF2	X	48931953
cg14370448	0.0479746579403367	YPEL3;TBX6	16	30103978
cg14371329	0.943214679653446	GNAL	18	11688011
cg14371590	0.269217359124056	SLC26A10	12	58013915
cg14372394	0.0604880161603172	CHST10	2	101033546
cg14372520	0.876497621513129	EDA2R	X	65835804
cg14374842	0.0550441344745206	ACTR5	20	37376497
cg14375111	0.801254414924311	TMEM43;CHCHD4	3	14165186
cg14376424	0.981693019132741	FAM71B	5	156592780
cg14377370	0.00982789687824149	NCAPG;DCAF16	4	17812264
cg14377593	0.0224374698333474	TFPI2	7	93520183
cg14377791	0.0668397390121661	LOC400696	19	40169912
