Hybridization REF	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05	TCGA-AO-A12D-01A-11D-A112-05
cg17543123	0.0227836068225068	PLEKHF1	19	30155994
cg17547537	NA	EIF1	17	39845544
cg17547792	0.0183909931012617	NA	NA	0
cg17550582	0.0127968409156161	SLC2A10	20	45338652
cg17552093	0.0163437602429673	SIRT7	17	79875985
cg17552650	0.345520816441644	WDR45	X	48957963
cg17554194	NA	HLA-B	6	31324972
cg17556578	0.0171179846382714	RAB8B	15	63481415
cg17558126	0.129031824437777	RASSF5	1	206680250
cg17559549	NA	MAPK7	17	19280947
cg17559711	0.0369381297782517	JUB	14	23451724
cg17560179	NA	TAS2R5	7	141489290
cg17560327	0.0137507945671295	ZNF417	19	58427757
cg17560332	NA	BOLL	2	198651303
cg17560720	0.0341673025195798	ANKRD16;FBXO18	10	5932700
cg17561435	0.0190406590589705	BMPER	7	33944927
cg17561452	0.88814321904114	ADAD2	16	84224707
cg17563769	0.0448967719958819	GTF2A2	15	59949922
cg17564818	0.931919571843217	NA	NA	0
cg17565490	0.0139649367017461	CENPB	20	3766961
cg17567317	0.00896215144456428	POLR2F;C22orf23	22	38349719
cg17568035	0.0119917884244632	FLOT2;DHRS13	17	27224811
cg17568996	0.120835368797018	NFAM1	22	42828125
cg17569486	0.0319744934319044	AP1S3	2	224702267
cg17571291	0.379394849082092	NA	NA	0
cg17571782	0.328606434867176	CXorf40A	X	148623024
cg17572572	0.00955353820474009	GPN2	1	27216739
cg17572791	0.0159076365135116	HAX1	1	154245185
cg17574251	0.93570736876541	FNDC8	17	33448689
cg17575811	0.0264451982142381	KCNQ1	11	2466409
cg17578903	0.00911518867154402	EHD1	11	64645847
cg17580045	0.0569110915506149	CCND2	12	4384890
cg17582250	0.0336020694421618	EDC4	16	67906816
cg17582777	0.341313760189599	EFNA3	1	155050100
cg17586860	0.17969631685052	SSTR4	20	23015906
cg17587934	0.008775755118878	HNRNPAB	5	177631246
cg17589175	0.0206329931217464	PRDX5;TRMT112	11	64085337
cg17589341	0.486129827390328	SLC14A1	18	43304079
cg17592292	0.0386773065662046	DGKQ	4	967094
cg17592734	0.0170813507774436	ZNF175	19	52074501
cg17592812	0.00858386748371236	FAM32A	19	16296137
cg17593391	0.0748267119644861	RRAGC	1	39325911
cg17597195	0.0169637192563717	TMEM126B;DLG2	11	85339608
cg17598875	0.0429007817331339	AHSA1;C14orf133	14	77923690
cg17599586	0.0107733063306738	PISD	22	32026779
cg17601843	0.00941710220606518	MICALL1	22	38302113
cg17602451	0.440411898322632	BCL2	18	60985645
cg17603184	0.177743133749904	TMEM184B	22	38669222
cg17605084	0.465229359655658	NCKAP1L	12	54891491
cg17605847	0.0113120071555016	PREB	2	27356922
cg17606194	0.345783276063184	NA	NA	0
cg17606683	0.0429971269492955	C11orf73	11	86013447
cg17606785	0.0682380928926859	EFS	14	23834808
cg17606881	0.0224183525319723		3	172469009
cg17607024	0.84751247299678	ZRANB1	10	126630765
cg17607231	0.598336521909275	SP140	2	231090329
cg17607973	0.276587866449812	MEPCE;ZCWPW1	7	100027408
cg17608500	0.0127568682623271	FLAD1	1	154955711
cg17610929	0.166083673235607	ACCN4	2	220379044
cg17611475	0.911671941227821	AGAP2	12	58137179
cg17612991	0.713344626438688	C3	19	6721016
cg17614750	0.114068429041616	P4HB	17	79817963
cg17615007	0.00926743068790137	ZNF134	19	58125489
cg17616707	0.00980935084319532	ATP5B;SNORD59A	12	57039822
cg17617223	0.0112314608914137	ZER1	9	131534466
cg17618092	0.0367501407397528	RBM14	11	66384405
cg17619823	0.0135107847185423	ADRB3	8	37823475
cg17624892	0.0157767346955074	HMGN4	6	26537952
cg17625032	0.650139318556524	NLRC5	16	57054740
cg17626563	NA	RS1	X	18691141
cg17627559	0.4123208396555	TSPAN32;C11orf21	11	2323896
cg17628717	0.924169154284166	HECW1	7	43351208
cg17630127	NA	MS4A5	11	60196778
cg17630833	0.00680344177589545	NA	NA	0
cg17631429	0.957536830724416	FOXS1	20	30433233
cg17638137	0.0315196521182569	TCERG1	5	145826831
cg17638468	0.251905789050611	CD200R1	3	112694062
cg17639046	0.250169186954019	HS3ST3B1	17	14204027
cg17639059	0.00750252238095595	NAB2	12	57483108
cg17639290	0.0229148644133858	TIMM8B;SDHD	11	111957166
cg17640201	0.0115291870242987	ZNF48	16	30407289
cg17640322	0.51697863333329	CD44	11	35160462
cg17641104	0.0315530993193026	CDK17	12	96794247
cg17641252	0.468643680136354	PLEK2	14	67878535
cg17642353	0.817456886274941	PSG6	19	43423265
cg17644208	0.403301804017375	ADCY3	2	25142391
cg17644867	0.00879163170061521	FOS	14	75746076
cg17647273	0.878900365342893	C22orf45;UPB1	22	24891452
cg17647744	0.00863994625577992	TMEM9B	11	8986217
cg17648241	0.028717708679327	ALKBH8	11	107436281
cg17648620	0.0229457881235862	EFHC1	6	52284686
cg17651255	NA	SYF2	1	25559743
cg17651821	0.197529037440731	HIST1H4L	6	27841683
cg17653969	0.869136078269358	RAB4A;SPHAR	1	229439834
cg17655576	0.0109508470884006	PIAS4	19	4007179
cg17655614	0.266039875511918	CDH1	16	68770944
cg17657618	0.265740733267824	KIAA1026	1	15427654
cg17659886	0.0241821372304111	AP1S2	X	15872951
cg17660026	0.0425111901412395	XPNPEP3;ST13	22	41252631
cg17660655	NA	HIST3H2A	1	228646841
cg17661881	0.00952433670373788	PARP1	1	226595978
cg17662177	NA	CFP	X	47490087
cg17663463	0.415315256844231	PEG3;ZIM2	19	57349709
cg17663577	0.0102285140109383	SLC2A4	17	7185232
cg17665193	0.0487711366116494	GAD2	10	26506008
cg17665608	0.111389615981471	CSGALNACT2	10	43633793
cg17667972	NA	KRT4	12	53208293
cg17669700	0.00999462570265495	NDUFS7	19	1384167
cg17671157	0.0299209422700087	KCNK10	14	88793036
cg17675150	0.869625776633589	ZNF532	18	56529784
cg17675882	0.121718900547584	NDRG3	20	35374068
cg17676096	0.0161269264255692	LEO1	15	52263839
cg17676129	0.645912502935241	SYCE1	10	135382545
cg17676574	0.728266549886898	UROC1	3	126237373
cg17677397	0.781207795890329	CD300C	17	72543519
cg17677842	0.0106485254615849	PRDM4	12	108154370
cg17679246	0.0264488058482338	PDK1	2	173420265
cg17680902	0.0436242041966176	RDBP;SKIV2L	6	31927069
cg17682309	0.0259384947630025	STX7	6	132834573
cg17682828	0.0306013438435168	FXYD1;FXYD7	19	35632767
cg17683775	NA	PTGES	9	132515809
cg17685111	NA	BMP8A	1	39956370
cg17685628	0.0757884703344793	NKX2-8	14	37051693
cg17686260	0.956430863381802	MGMT	10	131412764
cg17686885	0.0757998225038439	TOM1L1	17	52977769
cg17687282	0.802984447899797	A4GNT	3	137851111
cg17687883	0.524468112562142	NA	NA	0
cg17687962	0.74249334329389	KLK3	19	51358244
cg17688525	0.0464461329673303	L3MBTL4	18	6414978
cg17691309	0.116219856370015	TPM2	9	35690459
cg17692403	0.345219877851042	R3HDML	20	42964959
cg17693270	0.308697038300528	DGAT2L6	X	69397196
cg17693957	NA	TCN2	22	31002757
cg17694279	0.392278934518718	NA	NA	0
cg17694877	0.104948244528154	DIAPH2	X	95939631
cg17696091	NA	SYCP1	1	115396629
cg17697457	NA	GEMIN7	19	45582312
cg17698505	0.138157266643057	NA	NA	0
cg17698643	0.0139419963363588	C16orf63	16	15982631
cg17699374	0.478278927531654	C22orf33	22	37403802
cg17701785	0.013995806137795	YPEL5	2	30369896
cg17701886	0.0241998737212594	MCF2L2;B3GNT5	3	182970833
cg17703212	0.778348988608499	DYDC1;DYDC2	10	82117257
cg17703324	NA	OPTC	1	203462465
cg17703554	0.940735041868974	DCAF4L2	8	88886339
cg17703658	0.0151374583599448	DDIT3	12	57914352
cg17704839	0.14502179386583	UBL5	19	9939038
cg17705056	0.075437854811581	PQLC1	18	77711560
cg17705081	NA	GPKOW	X	48980694
cg17706173	0.704349245525611	IFT140	16	1582581
cg17709466	0.0298322242424835	OBFC2B	12	56618184
cg17709676	0.0104149769509656	LMAN1	18	57026192
cg17709873	0.578462847338747	LTA	6	31540456
cg17709884	0.0408854911592682	H2AFZ;LOC256880	4	100872167
cg17710021	0.0323495605406397	G0S2	1	209848577
cg17710288	0.0451362500279802	NPM3	10	103543118
cg17711541	0.403477515776615	HIST1H2AC;HIST1H2BC	6	26124704
cg17711587	NA	EIF2S2	20	32699478
cg17711870	0.0902290466699676	WWP1	8	87354470
cg17714030	0.890697510809733	HBQ1	16	229983
cg17714794	0.0258949060805418	BNIP1	5	172571566
cg17714799	NA	CASP6	4	110625080
cg17714828	0.0188254398377661	LPCAT1	5	1523874
cg17717588	NA	GTDC1	2	145052739
cg17718210	0.0110298151539987	MESDC1	15	81293605
cg17718302	0.264193523496963	HIST1H3J	6	27858637
cg17718322	0.0566952787177069	OPHN1	X	67653749
cg17718515	0.159925148147451	IPO9	1	201798817
cg17720231	0.0328712715227403	IGSF9	1	159915374
cg17720233	0.920446993044144	TNFAIP8L2	1	151128310
cg17723549	0.925856983269758	CCDC55;MIR423	17	28443042
cg17724365	0.0800090720108186	NBN	8	90997008
cg17725461	0.0126535382117269	RFX1	19	14117250
cg17725472	0.975234201491425	CHIT1	1	203198757
cg17725968	0.891433372032056	PDHA2	4	96761026
cg17726022	0.0263838454822443	SLC38A1	12	46662421
cg17727529	0.463842407360113	C1orf61	1	156399685
cg17729667	0.12477776298462	NINL	20	25566382
cg17729941	0.116992758482771	C1orf77;S100A13	1	153607617
cg17731079	0.00930081560423886	CDC42EP3	2	37899023
cg17731261	0.0171616628267809	ACHE	7	100493811
cg17732044	0.019791919228552	PEX11A;WDR93	15	90234207
cg17732521	NA	RHOG	11	3863047
cg17733100	0.0358703194499894	C1orf106	1	200860363
cg17733331	0.0735929591900088	CDH3	16	68678998
cg17736259	0.984475909848092	DMRTB1	1	53925145
cg17738133	NA	CDKN1C	11	2907059
cg17738194	0.545235579219839	GK2	4	80329388
cg17738494	0.216768627382701	BRPF1	3	9773251
cg17740305	0.735171378059611	NA	NA	0
cg17740399	0.0108865526898123	PDX1	13	28494177
cg17740645	0.0956221567116647	GRB7	17	37894413
cg17741106	0.0258876678633464	RDH14	2	18742122
cg17741291	0.0268314473862384	DDX21	10	70715745
cg17741572	0.854676475192366	CFB	6	31914305
cg17742155	0.0551880479654447	ATP6V1G1	9	117350088
cg17742874	0.0207559292270935	DHPS	19	12792761
cg17745122	0.0165190756997375	IRX3	16	54320230
cg17746675	0.0354657576098805	C3orf31	3	11888297
cg17747005	0.0427542526610519	PREX2	8	68864324
cg17747332	0.0105247282083447	SMARCA4	19	11071239
cg17749384	NA	MPP7	10	28571186
cg17749443	0.210223578348088	ZFP37	9	115819190
cg17749456	0.468695495348969	NA	NA	0
cg17749520	0.925157020042323	ITGA2B	17	42466567
cg17749961	0.0218838231825938	LCLAT1	2	30669863
cg17751569	0.89999927612149	CD180	5	66493908
cg17751867	0.0580798197295794	GOLPH3	5	32173610
cg17753124	0.753653685265741	IER2;STX10	19	13259872
cg17754680	0.78887478139303	NPC1L1	7	44581831
cg17754980	0.0586808844520173	FAM54A	6	136571643
cg17755581	0.0374073975603008	VAPB	20	56964015
cg17756392	0.0136920831810153	CLPP	19	6361455
cg17757055	NA	PARM1	4	75858107
cg17758148	0.829243991797437	JMY	5	78573641
cg17758721	0.0393153309892264	SNRPB	20	2451208
cg17759354	NA	SLC12A3	16	56898786
cg17761453	0.926902515399816	NA	NA	0
cg17765461	0.0366698896790723	DAZAP1	19	1408416
cg17767184	0.0449503670650743	NSUN3;DHFRL1	3	93782171
cg17767659	0.016392802460467	MED20;BYSL	6	41888922
cg17767931	0.91520781461615	SLC25A26	3	66293366
cg17769158	0.945318074549823	ODF1	8	103563327
cg17769238	0.430611435385516	H19	11	2019568
cg17770886	NA	TUBGCP2;ZNF511	10	135121331
cg17771150	0.47153917918623	LCP1	13	46756209
cg17771854	0.00624168388091099	IPO13	1	44412679
cg17773950	0.0871657967125438	NA	NA	0
cg17774305	0.0229939044487807	C12orf62	12	50505649
cg17774418	0.811628218109067	LOC285780;LY86	6	6622864
cg17775235	0.0201364268592721	NPTX1	17	78450855
cg17775283	0.0445620576239501	UBA1	X	47050480
cg17775713	0.571393595732326	TF	3	133465469
cg17776353	0.0197250267344134	BMPR1A	10	88516420
cg17777592	0.249778790538822	CAB39L	13	49975418
cg17778120	0.911242523625593	RBP2	3	139195319
cg17778721	0.0141736051074701	CBX1	17	46178745
cg17778867	0.835707139836462	C21orf29;KRTAP10-8	21	46032026
cg17780098	0.00921191236758085	CSRP1	1	201476311
cg17783509	0.167127764293195	PHOX2B	4	41751001
cg17784922	0.887669806328653	KEL	7	142659425
cg17786776	0.685452546755678	FKBP9	7	32996145
cg17787710	0.0134089284554385	RAC3	17	79989039
cg17788013	0.709035683460141	SPINK5	5	147443252
cg17788682	0.0149396901961022	ARNT2	15	80697029
cg17788832	0.640595709727817	PSKH2	8	87081654
cg17790333	0.714937362290099	CYP11A1	15	74660265
cg17791617	0.943010213086845	DLG5	10	79628941
cg17791651	0.599772635203224	POU3F1	1	38513489
cg17791766	0.0311831930370154	HSPBP1	19	55791675
cg17791936	0.87285679718719	SLC37A4	11	118902213
cg17792192	0.950716001911472	CAMSAP1	9	138774526
cg17793621	0.0164527827853124	ATP10A	15	26108084
cg17794261	0.0454183622991348	ZNF688	16	30583759
cg17795240	0.386153538490576	GATA4	8	11568257
cg17795586	0.525649167548276	MED12L;P2RY13	3	151047735
cg17797182	0.0173095100646556	SNRPD1	18	19192384
cg17797815	NA	CASC2;RAB11FIP2	10	119806972
cg17800442	0.170254506927686	CTF1	16	30908233
cg17801256	0.0134010995120848	ZMYM4	1	35734334
cg17802847	0.0230074797757076	CFLAR	2	201980910
cg17803089	0.0191687175989707	FANCE	6	35419793
cg17803430	NA	C4BPA	1	207278324
cg17803807	0.0428334215516507	NA	NA	0
cg17803965	0.513526684373187	SPOCD1	1	32281812
cg17804302	0.009370377586783	NKD1	16	50581891
cg17804987	0.00884074730333016	MAPKAPK3	3	50654788
cg17805404	0.347505468267807	GPR162	12	6930624
cg17806989	0.971051730869227	RNF17	13	25338287
cg17808849	0.0367729081127736	HERPUD1	16	56965376
cg17809798	0.0251933858202406	SNW1;C14orf178	14	78226923
cg17810944	0.0408817317510395	GDAP1L1	20	42876091
cg17811228	0.015047202555969	PSD2	5	139175116
cg17812013	0.0118941501131641	GPX4	19	1104136
cg17812431	NA	UMOD	16	20364284
cg17813891	0.592965951041003	EVL	14	100532036
cg17814481	NA	FBP1	9	97402166
cg17815841	0.00883734904890493	PDS5A	4	39979368
cg17818900	0.00718771941090438	CRIP2	14	105941190
cg17819635	NA	TCTEX1D1	1	67217673
cg17820459	0.498163975373763	GPX3	5	150400531
cg17820591	0.0169205036435643	ENO3	17	4853706
cg17820828	0.157112173220718	KCNQ1	11	2813298
cg17823175	0.835229730504826	AZU1	19	828170
cg17823320	0.01568981836209	INTS10	8	19675140
cg17824393	0.890943793970985	PTPN3	9	112225819
cg17826679	0.431440266701792	SLC44A2	19	10736038
cg17827767	0.679825069141198	LRIT1	10	86001154
cg17829314	0.0067822820821814	C1orf122;YRDC	1	38274017
cg17829936	0.529901579561437	TAAR5	6	132910681
cg17830308	NA	NEUROG1	5	134872124
cg17830754	0.0972544500222971	HSD11B1L;C19orf70	19	5679875
cg17832162	NA	SEC11C	18	56807548
cg17832674	0.105895811911366	CALM3	19	47103718
cg17833578	0.515054514239802	LRIT1	10	86001560
cg17834443	0.0186277035294859	INTS10	8	19674713
cg17834752	0.0125928028674984	KCNK9	8	140715239
cg17836145	0.504843712443202	VNN2	6	133084642
cg17838026	0.0399194325961708	KCNC3	19	50832861
cg17838516	0.562572960571981	MTNR1B	11	92703536
cg17838626	0.0335240524994905	ACER3	11	76571610
cg17838765	0.0104102211843334	ALKBH3	11	43902310
cg17839278	0.0504271169303552	MTCH2	11	47664375
cg17839611	0.731024487923768	ABI3;GNGT2	17	47286802
cg17841529	0.0281741379597071	OSBPL8	12	76953712
cg17843048	0.460637045196225	PHF16	X	46771580
cg17843759	0.0240138530659062	ELL	19	18633053
cg17846100	0.00740767476991757	MCAT	22	43538986
cg17847607	0.0154203669010431	CALR3;C19orf44	19	16606955
cg17849194	0.0114419445797903	UTP3	4	71553882
cg17849956	0.0132200163996905	ZNF304	19	57862480
cg17850880	0.0147944881615611	RNF6	13	26795990
cg17850932	0.871132005895243	NA	NA	0
cg17851105	0.0262330300094417	UNKL	16	1464982
cg17853587	0.0307730776341252	NDST3	4	118954386
cg17854440	NA	ENPEP	4	111397581
cg17854497	0.0781092381473827	SEPHS1	10	13390774
cg17858663	0.104769817689758	CENPN;C16orf61	16	81039969
cg17860158	0.681052086204991	CNTN2	1	205012569
cg17860186	0.0294854483995401	PLEKHG2	19	39903047
cg17861230	0.542694881238936	PDE4C	19	18343901
cg17863168	0.0184754562688598	APRT	16	88878090
cg17864730	0.0621999364203553	ITGB8	7	20370899
cg17865752	0.301253062870302	CCNT2	2	135675644
cg17866455	0.529329789090043	SCAND2	15	85173951
cg17867194	0.0790161036810496	SLC30A6	2	32390673
cg17868994	0.351934115179328	NIPSNAP3B	9	107526283
cg17869167	NA	IL18R1	2	102979704
cg17870792	0.0126483234996108	LPHN2	1	82266841
cg17872064	0.0150897161257193	NOP58	2	203130438
cg17872476	0.509383620409864	VTI1A;ZDHHC6	10	114205654
cg17872757	0.0417372024074257	FLI1	11	128564180
cg17875156	0.0146660495040795	NTN1	17	8924757
cg17877494	0.0336280463996486	ACAA1	3	38178256
cg17877656	0.0326776652986784	PCGF6	10	105110211
cg17878972	0.13040764875899	HRASLS;MGC2889	3	192959356
cg17880199	0.0146492526716898	MYH11	16	15950840
cg17880859	0.014114805114762	RBBP7	X	16888414
cg17881637	0.0105283349116148	HIRA;MRPL40	22	19420236
cg17884373	0.915301929327098	PPM1A	14	60711697
cg17885062	0.0377970552902182	NRCAM	7	108096417
cg17886028	0.0291542958204877	CCND2	12	4383507
cg17886204	0.33792966710958	NA	NA	0
cg17886959	0.200166421466062	MT2A	16	56642024
cg17887537	0.0169471572854634	RRAGA	9	19049789
cg17889103	0.0293279814760657	UQCRB	8	97247634
cg17889912	0.1344444769837	NA	NA	0
cg17890764	0.365355063397745	ITIH4	3	52864816
cg17891123	0.148109438391741	IQGAP1	15	90931113
cg17891149	0.0241929448030591	SHC1;CKS1B	1	154948248
cg17891278	0.0239899616554206	ARFGAP2	11	47198315
cg17892328	0.00922754497323047	GLUL	1	182360794
cg17892556	0.0330944688763352	ZNF625	19	12267464
cg17894008	0.912447020811451	NACA2	17	59668604
cg17895149	0.745849564701292	HYMAI;PLAGL1	6	144329829
cg17895873	0.00955167615215525	SMYD5	2	73441412
cg17896097	0.0196326766659976	ZBTB26	9	125693949
cg17896229	0.609943927436152	PROKR2	20	5294595
cg17896249	0.0123988639179992	E2F4	16	67225987
cg17897236	0.023027355690735	NIPA2	15	23034682
cg17897879	0.16512829071501	TNFRSF8	1	12123437
cg17901463	0.023436007446238	GSTM1	1	110230473
cg17902858	0.0211235505689133	NPDC1	9	139941067
cg17903316	0.544132821082526	LOXHD1	18	44181660
cg17903544	0.0200290606033368	PGAM5	12	133286774
cg17904068	0.975917270319509	CHFR	12	133420801
cg17904739	0.111599207826811	EFCAB4B	12	3861567
cg17904786	0.0390600825307389	GTF3A	13	27998438
cg17904815	0.0677046409789139	NHLRC3;C13orf23	13	39612422
cg17905198	0.0168944153098176	NDUFV2	18	9103090
cg17906786	0.51140386403399	C13orf36	13	37247708
cg17907567	0.38059057640946	HAMP	19	35773474
cg17910564	0.442547377042905	VDAC3	8	42248702
cg17913068	NA	PPFIA1	11	70116114
cg17914753	0.0278636127416375	CYP2S1	19	41699364
cg17915429	0.773356652099701	PGLYRP2	19	15590069
cg17917518	0.971909003052655	P2RX4	12	121647183
cg17918089	0.0488333589785572	SETDB1	1	150899251
cg17918201	0.0127587401536982	ABI1	10	27150106
cg17918239	0.0595558986880765	ZNF281	1	200379718
cg17918501	0.0506599091538734	FNDC4	2	27717709
cg17918700	0.808879847775795	KCNK7	11	65363503
cg17919471	0.66157100742899	XAGE3	X	52896992
cg17920197	0.840444641680389	LGI4	19	35627220
cg17921034	0.0204513049563287	AKAP11	13	42846375
cg17921310	NA	ROBLD3;UBQLN4	1	156024283
cg17922226	0.868004901020626	CLCN1	7	143013614
cg17923358	0.0938413650775911	RELN	7	103629618
cg17925436	0.631540658377552	NA	NA	0
cg17925542	0.0202173829562424	NA	NA	0
cg17926057	0.0432853887213832	ATG4A;PSMD10	X	107334934
cg17926869	NA	CCDC124	19	18046000
cg17927917	0.0128080109149306	INSIG1	7	155089006
cg17928268	0.406940519922164	CST11	20	23433503
cg17929627	0.0916210542397781	MKI67	10	129924035
cg17935677	0.0221332439058644	WDR76	15	44119062
cg17936488	0.388613958964918	FAM78A	9	134151519
cg17938146	0.95845009164425	ITGA10;PEX11B	1	145523592
cg17939444	0.622845159129331	C8orf4	8	40010443
cg17940013	0.0584553824460226	GPR157	1	9188688
cg17940740	0.617747057110795	C22orf27	22	31318444
cg17941312	NA		20	25381464
cg17942096	NA	LOC729991;RFXANK;LOC729991-MEF2B	19	19301711
cg17942553	NA	ARNT	1	150850380
cg17943999	0.0500533784557898	GEM	8	95274687
cg17945001	NA	IGSF21	1	18434118
cg17946497	0.00881531096437599	DUSP1	5	172198141
cg17946995	NA	PLBD2	12	113796032
cg17947053	0.0931104384585817	WDR37	10	1102371
cg17947599	0.95785219245247	ACOXL	2	111556607
cg17948627	0.031318635561115	PSMB2	1	36107295
cg17950095	0.21488861863075	HOXA11AS;HOXA11	7	27224700
cg17952262	0.308575082073573	MFSD7	4	683240
cg17959722	0.0127476856665821	MRPL41	9	140446823
cg17960516	0.0278624321261251	DOK7	4	3465004
cg17961200	0.906887662331633	CEL	9	135937572
cg17963089	0.0223226440121456	PHPT1	9	139743185
cg17963840	0.251344913157158	ADRA1A	8	26722861
cg17964955	0.712165338294386	RBP3	10	48390936
cg17965019	0.215908202135782	HIST1H3J	6	27858545
cg17965230	0.00729051655645143	PRDM1	6	106534206
cg17966192	0.363607877162651	SULT1C4	2	108994116
cg17966619	0.0371617998910112	NT5E	6	86160162
cg17969298	0.0252278666442123	ANGEL2	1	213189164
cg17971003	0.686054243461361	SLN	11	107582804
cg17974185	0.925993234902325	CTNNBL1	20	36323340
cg17976381	NA	SMARCB1	22	24129829
cg17976829	0.0571652426889719	GLRX3	10	131934431
cg17977362	NA		2	240500249
cg17977409	0.0336117474068291	SH3GL2	9	17579227
cg17978274	0.887006769464483	C15orf32	15	93013676
cg17979628	0.0176900937571642	NENF	1	212606106
cg17980508	0.150907638455407	IFI44L	1	79085713
cg17981339	NA	MUCL1	12	55247319
cg17982102	0.384755295845678	RAB31	18	9707896
cg17982504	0.00963492323926768	DDX28;DUS2L	16	68056849
cg17982671	0.853127292570511	IL28B	19	39735568
cg17983064	0.942925628767589	IL3	5	131396357
cg17983274	0.0215837842928191	NA	NA	0
cg17983307	0.831430883786952	IGFN1	1	201181402
cg17987231	0.0196038829498575	COQ10B	2	198317829
cg17987660	0.0700598374531862	NA	NA	0
cg17989037	0.0337771471025936	SKA2;PRR11	17	57232584
cg17989572	0.0155292026862684	RAB5C	17	40306700
cg17990871	0.00974421035845376	SLC35E2	1	1677678
cg17991347	0.0704642050848149	MAGED1	X	51546132
cg17992056	0.0252534419023956	ICMT	1	6296335
cg17993772	0.10652138314291	COPA;NCSTN	1	160313241
cg17993949	NA	SLC22A12	11	64357910
cg17994910	0.362878487607058	NA	NA	0
cg17995823	0.205308418625056	NA	NA	0
cg17997329	0.0240748035286027	MFSD9	2	103353471
cg17998964	0.0749382372313142	MARK2	11	63655903
cg18001427	0.131441047715408	RWDD2B	21	30391784
cg18003135	NA	EDNRB	13	78549657
cg18003231	0.891933626301651	SLC25A18	22	18043745
cg18003698	0.878346663731093	GNRHR	4	68622520
cg18003791	0.0709150499356765	GABRA3	X	151620239
cg18003795	0.948108195103048	CECR1	22	17690463
cg18006085	0.0173862318475207	LRRC59	17	48474872
cg18006568	0.170875708260916	ANKRD53	2	71205891
cg18008766	0.0300995885713038	SFRS7	2	38978896
cg18009798	0.0154636459690616	MIR611;FEN1;C11orf10	11	61560220
cg18011401	0.0320346857106594	CACNA1A	19	13617366
cg18013830	0.0214675309661171	RPUSD2	15	40861582
cg18014844	0.0169764648062263	PARS2	1	55230402
cg18015044	0.0293193381565814	ABCF1	6	30538844
cg18015677	0.0349434553365877	TTC26	7	138818325
cg18016365	0.0501709794378685	GABRB1	4	47033634
cg18017908	0.485973989390688	C17orf76	17	16394618
cg18020749	0.935977505867089	NA	NA	0
cg18022193	0.0143742017062968	C19orf22	19	913536
cg18022322	0.00928939774804158	PCNX	14	71374612
cg18022344	NA	METTL9;IGSF6	16	21665238
cg18022496	0.136426655931013	SENP5	3	196594351
cg18022926	0.0411852713829911	PBLD;HNRNPH3	10	70093071
cg18023080	0.695662063306641	MASP2	1	11107384
cg18023724	0.877953775931444	NAF1	4	164088493
cg18027946	0.0137617392007952	C21orf2	21	45758982
cg18031008	0.110142540991534	MRPS21	1	150266311
cg18034329	0.0257617208526534	RABEP1	17	5186160
cg18034859	0.941935464758914	MYLK2	20	30406688
cg18036707	0.0171913822895634	TBCE	1	235530995
cg18042079	0.0774982272429151	UTP6	17	30229074
cg18042806	0.243522127287868	AGXT2L2	5	177659971
cg18043104	0.0152823940073129	TMEM50B	21	34852648
cg18043195	0.933132226519243	FAM154A	9	19033231
cg18043280	0.963424636770122	AOC2	17	40996886
cg18043455	0.0162718089634589	SEC61A1	3	127771761
cg18043828	0.0447626940953081	C9orf150	9	12774985
cg18044482	0.237998353970474	ATG4A;PSMD10	X	107334626
cg18047509	0.0201693683254582	CEP70	3	138313341
cg18047970	NA	GADL1	3	30893036
cg18049750	0.436857054680864	SCML1	X	17755305
cg18050213	0.00743371123132951	IFI27L2	14	94595944
cg18053505	0.0654186503590621	KAT2B	3	20081161
cg18053607	0.313204735964768	INPP5J	22	31518963
cg18055007	0.501677945081155	DDAH2	6	31698226
cg18055394	0.131497224140609	EPHA3	3	89156478
cg18056600	0.0786212216595703	ZMYND15;CXCL16	17	4642047
cg18058833	0.0910991430853844	NA	NA	0
cg18058949	0.0898385563887267	NUP133	1	229644400
cg18059088	0.0349181053030216	HS3ST1	4	11430353
cg18059223	0.748388253831214	NLRP2	19	55478588
cg18059933	NA	TP53INP1	8	95962463
cg18060199	0.113232025902127	BCAR3	1	94146495
cg18061485	0.0887425774131585	GPX4	19	1103660
cg18062196	0.803167802112924	DHX40	17	57642675
cg18063149	0.925209430685818	FMO3	1	171060071
cg18064655	0.0480417180901238	EEF2	19	3985414
cg18070061	0.0078972293248196	DUSP4	8	29207457
cg18071006	0.021837119038523	ULBP3	6	150390253
cg18071588	NA	DIDO1;C20orf11	20	61569198
cg18074297	0.61748330271394	CLIC6	21	36041612
cg18075299	0.930273092461661	FAM71D	14	67655758
cg18075454	0.0237608035493303	MTRF1L	6	153324222
cg18079631	NA	HNRNPC	14	21737765
cg18081104	0.755124575264008	THEM5	1	151826123
cg18081258	0.597450424129243	NDRG2	14	21494161
cg18081313	0.82102400690817	ULK1	12	132378192
cg18081750	0.0189526122208687	DUSP6	12	89746418
cg18081881	0.0452188372420105	PGM2	4	37828048
cg18084114	NA	MATN1	1	31197218
cg18084554	0.815427409155763	ARID3A	19	929046
cg18084791	0.903155092804183	SLAMF8	1	159797320
cg18084798	0.0127994858897741	RHPN2	19	33555255
cg18085206	0.0052551355118628	CRK	17	1359243
cg18085435	0.470866535497495	ATP8B1	18	55400167
